z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
7.0355977186e-06 4.9169053177e+01 4.9634325480e-01
7.5206098700e-06 5.2418608300e+01 4.9634325480e-01
8.0390564108e-06 5.5882917745e+01 4.9634325480e-01
8.5932442744e-06 5.9576186137e+01 4.9634325480e-01
9.1856354629e-06 6.3513530036e+01 4.9634325480e-01
9.8188638731e-06 6.7711079061e+01 4.9634325480e-01
1.0495745300e-05 7.2186030436e+01 4.9634325480e-01
1.1219289263e-05 7.6956714748e+01 4.9634325480e-01
1.1992711734e-05 8.2042666719e+01 4.9634325480e-01
1.2819450603e-05 8.7464712740e+01 4.9634325480e-01
1.3703183868e-05 9.3245074606e+01 4.9634325480e-01
1.4647837816e-05 9.9407406720e+01 4.9634325480e-01
1.5657613403e-05 1.0597695092e+02 4.9634325480e-01
1.6736999896e-05 1.1298060638e+02 4.9634325480e-01
1.7890795789e-05 1.2044704541e+02 4.9634325480e-01
1.9124130631e-05 1.2840683330e+02 4.9634325480e-01
2.0442488676e-05 1.3689255789e+02 4.9634325480e-01
2.1851728889e-05 1.4593893370e+02 4.9634325480e-01
2.3358117687e-05 1.5558298568e+02 4.9634325480e-01
2.4968352591e-05 1.6586417192e+02 4.9634325480e-01
2.6689593142e-05 1.7682455041e+02 4.9634325480e-01
2.8529490010e-05 1.8850893130e+02 4.9634325480e-01
3.0496221370e-05 2.0096507240e+02 4.9634325480e-01
3.2598534744e-05 2.1424390540e+02 4.9634325480e-01
3.4845776099e-05 2.2839967781e+02 4.9634325480e-01
3.7247933506e-05 2.4349018309e+02 4.9634325480e-01
3.9815688069e-05 2.5957703163e+02 4.9634325480e-01
4.2560455768e-05 2.7672585949e+02 4.9634325480e-01
4.5494442020e-05 2.9500661156e+02 4.9634325480e-01
4.8630685342e-05 3.1449375082e+02 4.9634325480e-01
5.1983130106e-05 3.3526664230e+02 4.9634325480e-01
5.5566681112e-05 3.5740981636e+02 4.9634325480e-01
5.9397272707e-05 3.8101331462e+02 4.9634325480e-01
6.3491934270e-05 4.0617300504e+02 4.9634325480e-01
6.7868866609e-05 4.3299095547e+02 4.9634325480e-01
7.2547532909e-05 4.6157588630e+02 4.9634325480e-01
7.7548735135e-05 4.9204352356e+02 4.9634325480e-01
8.2894701336e-05 5.2451700842e+02 4.9634325480e-01
8.8609194791e-05 5.5912742839e+02 4.9634325480e-01
9.4717637694e-05 5.9601442353e+02 4.9634325480e-01
1.0124716937e-04 6.3532638563e+02 4.9634325480e-01
1.0822682816e-04 6.7722139290e+02 4.9634325480e-01
1.1568764603e-04 7.2186760488e+02 4.9634325480e-01
1.2366278679e-04 7.6944390980e+02 4.9634325480e-01
1.3218770619e-04 8.2014069051e+02 4.9634325480e-01
1.4130031923e-04 8.7416062108e+02 4.9634325480e-01
1.5104110935e-04 9.3171910793e+02 4.9634325480e-01
1.6145341215e-04 9.9304575295e+02 4.9634325480e-01
1.7258350272e-04 1.0583846409e+03 4.9634325480e-01
1.8448085757e-04 1.1279956440e+03 4.9634325480e-01
1.9719838747e-04 1.2021555341e+03 4.9634325480e-01
2.1079262660e-04 1.2811588175e+03 4.9634325480e-01
2.2532400908e-04 1.3653190556e+03 4.9634325480e-01
2.4085713085e-04 1.4549700648e+03 4.9634325480e-01
2.5746106985e-04 1.5504674142e+03 4.9634325480e-01
2.7520960430e-04 1.6521892894e+03 4.9634325480e-01
2.9418169288e-04 1.7605388046e+03 4.9634325480e-01
3.1446164940e-04 1.8759444973e+03 4.9634325480e-01
3.3613966662e-04 1.9988627452e+03 4.9634325480e-01
3.5931204911e-04 2.1297784390e+03 4.9634325480e-01
3.8408191176e-04 2.2692081926e+03 4.9634325480e-01
4.1055929614e-04 2.4177001472e+03 4.9634325480e-01
4.3886195635e-04 2.5758374200e+03 4.9634325480e-01
4.6911570826e-04 2.7442389355e+03 4.9634325480e-01
5.0145509886e-04 2.9235618717e+03 4.9634325480e-01
5.3602381376e-04 3.1145024345e+03 4.9634325480e-01
5.7297560852e-04 3.3177992813e+03 4.9634325480e-01
6.1247474514e-04 3.5342338971e+03 4.9634325480e-01
6.5469677793e-04 3.7646325407e+03 4.9634325480e-01
6.9982954301e-04 4.0098688460e+03 4.9634325480e-01
7.4807356577e-04 4.2708627122e+03 4.9634325480e-01
7.9964339966e-04 4.5485836005e+03 4.9634325480e-01
8.5476832464e-04 4.8440495318e+03 4.9634325480e-01
9.1369333677e-04 5.1583266745e+03 4.9634325480e-01
9.7668042872e-04 5.4925292512e+03 4.9634325480e-01
1.0440096958e-03 5.8478169842e+03 4.9634325480e-01
1.1159804417e-03 6.2253906972e+03 4.9634325480e-01
1.1929126922e-03 6.6264877977e+03 4.9634325480e-01
1.2751482427e-03 7.0523725809e+03 4.9634325480e-01
1.3630529866e-03 7.5043298987e+03 4.9634325480e-01
1.4570176136e-03 7.9836464985e+03 4.9634325480e-01
1.5574598219e-03 8.4915957585e+03 4.9634325480e-01
1.6648261808e-03 9.0294155722e+03 4.9634325480e-01
1.7795939930e-03 9.5982808353e+03 4.9634325480e-01
1.9022736233e-03 1.0199272693e+04 4.9634325480e-01
2.0334103610e-03 1.0833340154e+04 4.9634325480e-01
2.1735872142e-03 1.1501261693e+04 4.9634325480e-01
2.3234274704e-03 1.2203602381e+04 4.9634325480e-01
2.4835972581e-03 1.2940669758e+04 4.9634325480e-01
2.6548085734e-03 1.3712473114e+04 4.9634325480e-01
2.8378227726e-03 1.4518688746e+04 4.9634325480e-01
3.0334533658e-03 1.5358628565e+04 4.9634325480e-01
3.2425699755e-03 1.6231222337e+04 4.9634325480e-01
3.4661025274e-03 1.7135009778e+04 4.9634325480e-01
3.7050447427e-03 1.8068138045e+04 4.9634325480e-01
3.9604585618e-03 1.9028369229e+04 4.9634325480e-01
4.2334804311e-03 2.0013096915e+04 4.9634325480e-01
4.5253229327e-03 2.1019343850e+04 4.9634325480e-01
4.8372847959e-03 2.2043784008e+04 4.9634325480e-01
5.1707518287e-03 2.3082723567e+04 4.9634325480e-01
5.5272071622e-03 2.4132102385e+04 4.9634325480e-01
5.9082354419e-03 2.5187463254e+04 4.9634325480e-01
6.3155302778e-03 2.6243920197e+04 4.9634325480e-01
6.7509030923e-03 2.7296118540e+04 4.9634325480e-01
7.2162891738e-03 2.8338176856e+04 4.9634325480e-01
7.7137574553e-03 2.9363627291e+04 4.9634325480e-01
8.2455193624e-03 3.0365340440e+04 4.9634325480e-01
8.8139399886e-03 3.1335439527e+04 4.9634325480e-01
9.4215450808e-03 3.2265189696e+04 4.9634325480e-01
1.0071036406e-02 3.3144882942e+04 4.9634325480e-01
1.0765301995e-02 3.3963697148e+04 4.9634325480e-01
1.1507427320e-02 3.4709553267e+04 4.9634325480e-01
1.2300713919e-02 3.5369001890e+04 4.9634325480e-01
1.3148685917e-02 3.5927170485e+04 4.9634325480e-01
1.4055115171e-02 3.6367882379e+04 4.9634325480e-01
1.5024030581e-02 3.6674037053e+04 4.9634325480e-01
1.6059739515e-02 3.6828415969e+04 4.9634325480e-01
1.7166847363e-02 3.6815026514e+04 4.9634325480e-01
1.8350275233e-02 3.6621013035e+04 4.9634325480e-01
1.9615285099e-02 3.6238953739e+04 4.9634325480e-01
2.0967502147e-02 3.5669077069e+04 4.9634325480e-01
2.2412935272e-02 3.4920696913e+04 4.9634325480e-01
2.3958012462e-02 3.4012156880e+04 4.9634325480e-01
2.5609601289e-02 3.2968978642e+04 4.9634325480e-01
2.7375046164e-02 3.1820543665e+04 4.9634325480e-01
2.9262196273e-02 3.0596263415e+04 4.9634325480e-01
3.1279440969e-02 2.9322332361e+04 4.9634325480e-01
3.3435747027e-02 2.8019819623e+04 4.9634325480e-01
3.5740699619e-02 2.6704244585e+04 4.9634325480e-01
3.8204550743e-02 2.5386279031e+04 4.9634325480e-01
4.0838252753e-02 2.4073028789e+04 4.9634325480e-01
4.3653514236e-02 2.2769379344e+04 4.9634325480e-01
4.6478152275e-02 2.1555439856e+04 4.9634325480e-01
4.9302790314e-02 2.0426531300e+04 4.9634325480e-01
5.2127432078e-02 1.9374700097e+04 4.9634325480e-01
5.4952070117e-02 1.8393112105e+04 4.9634325480e-01
5.7776708156e-02 1.7475843805e+04 4.9634325480e-01
6.0601349920e-02 1.6617700166e+04 4.9634325480e-01
6.3425987959e-02 1.5814073595e+04 4.9634325480e-01
6.6250629723e-02 1.5060830082e+04 4.9634325480e-01
6.9075264037e-02 1.4354229883e+04 4.9634325480e-01
7.1899905801e-02 1.3690862907e+04 4.9634325480e-01
7.4724547565e-02 1.3067616877e+04 4.9634325480e-01
7.7549181879e-02 1.2481633567e+04 4.9634325480e-01
8.0373823643e-02 1.1930279983e+04 4.9634325480e-01
8.3198465407e-02 1.1411135788e+04 4.9634325480e-01
8.6023099720e-02 1.0921967777e+04 4.9634325480e-01
8.8847741485e-02 1.0460711119e+04 4.9634325480e-01
9.1672383249e-02 1.0025462939e+04 4.9634325480e-01
9.5292858779e-02 9.5028174512e+03 4.9634325480e-01
9.8913334310e-02 9.0166314270e+03 4.9634325480e-01
1.0253380984e-01 8.5638380816e+03 4.9634325480e-01
1.0615429282e-01 8.1416600547e+03 4.9634325480e-01
1.0977476835e-01 7.7475835661e+03 4.9634325480e-01
1.1339524388e-01 7.3793269751e+03 4.9634325480e-01
1.1701571941e-01 7.0348207530e+03 4.9634325480e-01
1.2063620240e-01 6.7121847875e+03 4.9634325480e-01
1.2425667793e-01 6.4097120086e+03 4.9634325480e-01
1.2787716091e-01 6.1258468182e+03 4.9634325480e-01
1.3149763644e-01 5.8591748201e+03 4.9634325480e-01
1.3511811197e-01 5.6084049527e+03 4.9634325480e-01
1.3873858750e-01 5.3723596011e+03 4.9634325480e-01
1.4235906303e-01 5.1499630230e+03 4.9634325480e-01
1.4597953856e-01 4.9402314926e+03 4.9634325480e-01
1.4960001409e-01 4.7422644963e+03 4.9634325480e-01
1.5322048962e-01 4.5552368132e+03 4.9634325480e-01
1.5684096515e-01 4.3783914284e+03 4.9634325480e-01
1.6046145558e-01 4.2110324895e+03 4.9634325480e-01
1.6408193111e-01 4.0525223061e+03 4.9634325480e-01
1.6770240664e-01 3.9022720855e+03 4.9634325480e-01
1.7132288217e-01 3.7597400924e+03 4.9634325480e-01
1.7494335771e-01 3.6244267850e+03 4.9634325480e-01
1.7856383324e-01 3.4958710691e+03 4.9634325480e-01
1.8218430877e-01 3.3736469088e+03 4.9634325480e-01
1.8580478430e-01 3.2573602813e+03 4.9634325480e-01
1.8942527473e-01 3.1466459778e+03 4.9634325480e-01
1.9304575026e-01 3.0411669039e+03 4.9634325480e-01
1.9666622579e-01 2.9406090963e+03 4.9634325480e-01
2.0028670132e-01 2.8446815255e+03 4.9634325480e-01
2.0390717685e-01 2.7531137693e+03 4.9634325480e-01
2.0752765238e-01 2.6656543346e+03 4.9634325480e-01
2.1114812791e-01 2.5820691309e+03 4.9634325480e-01
2.1476860344e-01 2.5021400754e+03 4.9634325480e-01
2.1838907898e-01 2.4256638305e+03 4.9634325480e-01
2.2200956941e-01 2.3524503579e+03 4.9634325480e-01
2.2563004494e-01 2.2823230547e+03 4.9634325480e-01
2.2925052047e-01 2.2151159887e+03 4.9634325480e-01
2.3287099600e-01 2.1506742410e+03 4.9634325480e-01
2.3649147153e-01 2.0888527922e+03 4.9634325480e-01
2.4011194706e-01 2.0295157900e+03 4.9634325480e-01
2.4373242259e-01 1.9725358776e+03 4.9634325480e-01
2.4735289812e-01 1.9177935740e+03 4.9634325480e-01
2.5097337365e-01 1.8651767090e+03 4.9634325480e-01
2.5459384918e-01 1.8145799040e+03 4.9634325480e-01
2.5821432471e-01 1.7659040916e+03 4.9634325480e-01
2.6183480024e-01 1.7190560766e+03 4.9634325480e-01
2.6545527577e-01 1.6739481309e+03 4.9634325480e-01
2.6907578111e-01 1.6304972680e+03 4.9634325480e-01
2.7269625664e-01 1.5886263154e+03 4.9634325480e-01
2.7631673217e-01 1.5482614524e+03 4.9634325480e-01
2.7993720770e-01 1.5093333582e+03 4.9634325480e-01
2.8355768323e-01 1.4717765765e+03 4.9634325480e-01
2.8717815876e-01 1.4355292644e+03 4.9634325480e-01
2.9079863429e-01 1.4005329585e+03 4.9634325480e-01
2.9441910982e-01 1.3667323596e+03 4.9634325480e-01
2.9803958535e-01 1.3340751330e+03 4.9634325480e-01
3.0166006088e-01 1.3025117221e+03 4.9634325480e-01
3.0528053641e-01 1.2719951759e+03 4.9634325480e-01
3.0890101194e-01 1.2424809894e+03 4.9634325480e-01
3.1252148747e-01 1.2139269542e+03 4.9634325480e-01
3.1614196301e-01 1.1862930192e+03 4.9634325480e-01
3.1976243854e-01 1.1595411627e+03 4.9634325480e-01
3.2338291407e-01 1.1336352711e+03 4.9634325480e-01
3.2700338960e-01 1.1085410269e+03 4.9634325480e-01
3.3062389493e-01 1.0842256073e+03 4.9634325480e-01
3.3424437046e-01 1.0606583804e+03 4.9634325480e-01
3.3786484599e-01 1.0378096136e+03 4.9634325480e-01
3.4148532152e-01 1.0156511947e+03 4.9634325480e-01
3.4510579705e-01 9.9415634949e+02 4.9634325480e-01
3.4872627258e-01 9.7329956612e+02 4.9634325480e-01
3.5234674811e-01 9.5305652618e+02 4.9634325480e-01
3.5596722364e-01 9.3340403873e+02 4.9634325480e-01
3.5958769917e-01 9.1431997900e+02 4.9634325480e-01
3.6320817471e-01 8.9578323105e+02 4.9634325480e-01
3.6682865024e-01 8.7777363362e+02 4.9634325480e-01
3.7044912577e-01 8.6027192943e+02 4.9634325480e-01
3.7406960130e-01 8.4325971775e+02 4.9634325480e-01
3.7769007683e-01 8.2671940953e+02 4.9634325480e-01
3.8131055236e-01 8.1063418533e+02 4.9634325480e-01
3.8493102789e-01 7.9498795587e+02 4.9634325480e-01
3.8855153322e-01 7.7976520112e+02 4.9634325480e-01
3.9217200875e-01 7.6495143292e+02 4.9634325480e-01
3.9579248428e-01 7.5053241037e+02 4.9634325480e-01
3.9941295981e-01 7.3649461328e+02 4.9634325480e-01
4.0303343535e-01 7.2282508566e+02 4.9634325480e-01
4.0665391088e-01 7.0951140819e+02 4.9634325480e-01
4.1027438641e-01 6.9654167201e+02 4.9634325480e-01
4.1389486194e-01 6.8390445402e+02 4.9634325480e-01
4.1751533747e-01 6.7158879364e+02 4.9634325480e-01
4.2113581300e-01 6.5958417073e+02 4.9634325480e-01
4.2475628853e-01 6.4788048480e+02 4.9634325480e-01
4.2837676406e-01 6.3646803530e+02 4.9634325480e-01
4.3199723959e-01 6.2533750300e+02 4.9634325480e-01
4.3561771512e-01 6.1447993233e+02 4.9634325480e-01
4.3923819065e-01 6.0388671470e+02 4.9634325480e-01
4.4285866618e-01 5.9354957269e+02 4.9634325480e-01
4.4647914171e-01 5.8346054499e+02 4.9634325480e-01
4.5009964704e-01 5.7361189216e+02 4.9634325480e-01
4.5372012258e-01 5.6399640542e+02 4.9634325480e-01
