z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.2780000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
7.0355977186e-06 4.9143432023e+01 4.3985223493e-01
7.5206098700e-06 5.2391293866e+01 4.3985223493e-01
8.0390564108e-06 5.5853798128e+01 4.3985223493e-01
8.5932442744e-06 5.9545142032e+01 4.3985223493e-01
9.1856354629e-06 6.3480434262e+01 4.3985223493e-01
9.8188638731e-06 6.7675796032e+01 4.3985223493e-01
1.0495745300e-05 7.2148415607e+01 4.3985223493e-01
1.1219289263e-05 7.6916614023e+01 4.3985223493e-01
1.1992711734e-05 8.1999915823e+01 4.3985223493e-01
1.2819450603e-05 8.7419136548e+01 4.3985223493e-01
1.3703183868e-05 9.3196486415e+01 4.3985223493e-01
1.4647837816e-05 9.9355607504e+01 4.3985223493e-01
1.5657613403e-05 1.0592172850e+02 4.3985223493e-01
1.6736999896e-05 1.1292173457e+02 4.3985223493e-01
1.7890795789e-05 1.2038428307e+02 4.3985223493e-01
1.9124130631e-05 1.2833992339e+02 4.3985223493e-01
2.0442488676e-05 1.3682122638e+02 4.3985223493e-01
2.1851728889e-05 1.4586288848e+02 4.3985223493e-01
2.3358117687e-05 1.5550191536e+02 4.3985223493e-01
2.4968352591e-05 1.6577774456e+02 4.3985223493e-01
2.6689593142e-05 1.7673241216e+02 4.3985223493e-01
2.8529490010e-05 1.8841070498e+02 4.3985223493e-01
3.0496221370e-05 2.0086035594e+02 4.3985223493e-01
3.2598534744e-05 2.1413227025e+02 4.3985223493e-01
3.4845776099e-05 2.2828066716e+02 4.3985223493e-01
3.7247933506e-05 2.4336331005e+02 4.3985223493e-01
3.9815688069e-05 2.5944177723e+02 4.3985223493e-01
4.2560455768e-05 2.7658167063e+02 4.3985223493e-01
4.5494442020e-05 2.9485289874e+02 4.3985223493e-01
4.8630685342e-05 3.1432988580e+02 4.3985223493e-01
5.1983130106e-05 3.3509195559e+02 4.3985223493e-01
5.5566681112e-05 3.5722359452e+02 4.3985223493e-01
5.9397272707e-05 3.8081479740e+02 4.3985223493e-01
6.3491934270e-05 4.0596138240e+02 4.3985223493e-01
6.7868866609e-05 4.3276536435e+02 4.3985223493e-01
7.2547532909e-05 4.6133540725e+02 4.3985223493e-01
7.7548735135e-05 4.9178717705e+02 4.3985223493e-01
8.2894701336e-05 5.2424375111e+02 4.3985223493e-01
8.8609194791e-05 5.5883614899e+02 4.3985223493e-01
9.4717637694e-05 5.9570393849e+02 4.3985223493e-01
1.0124716937e-04 6.3499543460e+02 4.3985223493e-01
1.0822682816e-04 6.7686863387e+02 4.3985223493e-01
1.1568764603e-04 7.2149160899e+02 4.3985223493e-01
1.2366278679e-04 7.6904315597e+02 4.3985223493e-01
1.3218770619e-04 8.1971355960e+02 4.3985223493e-01
1.4130031923e-04 8.7370538972e+02 4.3985223493e-01
1.5104110935e-04 9.3123394214e+02 4.3985223493e-01
1.6145341215e-04 9.9252870107e+02 4.3985223493e-01
1.7258350272e-04 1.0578336263e+03 4.3985223493e-01
1.8448085757e-04 1.1274084576e+03 4.3985223493e-01
1.9719838747e-04 1.2015298257e+03 4.3985223493e-01
2.1079262660e-04 1.2804920873e+03 4.3985223493e-01
2.2532400908e-04 1.3646086448e+03 4.3985223493e-01
2.4085713085e-04 1.4542131462e+03 4.3985223493e-01
2.5746106985e-04 1.5496609816e+03 4.3985223493e-01
2.7520960430e-04 1.6513301467e+03 4.3985223493e-01
2.9418169288e-04 1.7596235545e+03 4.3985223493e-01
3.1446164940e-04 1.8749695292e+03 4.3985223493e-01
3.3613966662e-04 1.9978242228e+03 4.3985223493e-01
3.5931204911e-04 2.1286722873e+03 4.3985223493e-01
3.8408191176e-04 2.2680300836e+03 4.3985223493e-01
4.1055929614e-04 2.4164454867e+03 4.3985223493e-01
4.3886195635e-04 2.5745013322e+03 4.3985223493e-01
4.6911570826e-04 2.7428162485e+03 4.3985223493e-01
5.0145509886e-04 2.9220471018e+03 4.3985223493e-01
5.3602381376e-04 3.1128897709e+03 4.3985223493e-01
