z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.4625000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
7.0355977186e-06 5.0433144094e+01 4.0946019559e-01
7.5206098700e-06 5.3766272843e+01 4.0946019559e-01
8.0390564108e-06 5.7319695141e+01 4.0946019559e-01
8.5932442744e-06 6.1107961463e+01 4.0946019559e-01
9.1856354629e-06 6.5146583599e+01 4.0946019559e-01
9.8188638731e-06 6.9452119968e+01 4.0946019559e-01
1.0495745300e-05 7.4042198378e+01 4.0946019559e-01
1.1219289263e-05 7.8935652538e+01 4.0946019559e-01
1.1992711734e-05 8.4152493622e+01 4.0946019559e-01
1.2819450603e-05 8.9714115041e+01 4.0946019559e-01
1.3703183868e-05 9.5643303821e+01 4.0946019559e-01
1.4647837816e-05 1.0196433162e+02 4.0946019559e-01
1.5657613403e-05 1.0870311397e+02 4.0946019559e-01
1.6736999896e-05 1.1588726154e+02 4.0946019559e-01
1.7890795789e-05 1.2354617104e+02 4.0946019559e-01
1.9124130631e-05 1.3171121874e+02 4.0946019559e-01
2.0442488676e-05 1.4041591965e+02 4.0946019559e-01
2.1851728889e-05 1.4969584793e+02 4.0946019559e-01
2.3358117687e-05 1.5958905778e+02 4.0946019559e-01
2.4968352591e-05 1.7013609488e+02 4.0946019559e-01
2.6689593142e-05 1.8138011010e+02 4.0946019559e-01
2.8529490010e-05 1.9336713254e+02 4.0946019559e-01
3.0496221370e-05 2.0614634259e+02 4.0946019559e-01
3.2598534744e-05 2.1977002641e+02 4.0946019559e-01
3.4845776099e-05 2.3429397410e+02 4.0946019559e-01
3.7247933506e-05 2.4977766173e+02 4.0946019559e-01
3.9815688069e-05 2.6628445613e+02 4.0946019559e-01
4.2560455768e-05 2.8388193339e+02 4.0946019559e-01
4.5494442020e-05 3.0264224296e+02 4.0946019559e-01
4.8630685342e-05 3.2264206209e+02 4.0946019559e-01
5.1983130106e-05 3.4396318745e+02 4.0946019559e-01
5.5566681112e-05 3.6669296741e+02 4.0946019559e-01
5.9397272707e-05 3.9092430205e+02 4.0946019559e-01
6.3491934270e-05 4.1675639399e+02 4.0946019559e-01
6.7868866609e-05 4.4429477118e+02 4.0946019559e-01
7.2547532909e-05 4.7365210596e+02 4.0946019559e-01
7.7548735135e-05 5.0494839711e+02 4.0946019559e-01
8.2894701336e-05 5.3831128838e+02 4.0946019559e-01
8.8609194791e-05 5.7387711513e+02 4.0946019559e-01
9.4717637694e-05 6.1179113185e+02 4.0946019559e-01
1.0124716937e-04 6.5220778520e+02 4.0946019559e-01
1.0822682816e-04 6.9529198819e+02 4.0946019559e-01
1.1568764603e-04 7.4121934767e+02 4.0946019559e-01
1.2366278679e-04 7.9017652840e+02 4.0946019559e-01
1.3218770619e-04 8.4236302780e+02 4.0946019559e-01
1.4130031923e-04 8.9799022027e+02 4.0946019559e-01
1.5104110935e-04 9.5728426959e+02 4.0946019559e-01
1.6145341215e-04 1.0204852644e+03 4.0946019559e-01
1.7258350272e-04 1.0878489471e+03 4.0946019559e-01
1.8448085757e-04 1.1596473515e+03 4.0946019559e-01
1.9719838747e-04 1.2361697123e+03 4.0946019559e-01
2.1079262660e-04 1.3177239218e+03 4.0946019559e-01
2.2532400908e-04 1.4046367116e+03 4.0946019559e-01
2.4085713085e-04 1.4972551998e+03 4.0946019559e-01
2.5746106985e-04 1.5959488025e+03 4.0946019559e-01
2.7520960430e-04 1.7011094155e+03 4.0946019559e-01
2.9418169288e-04 1.8131528709e+03 4.0946019559e-01
3.1446164940e-04 1.9325189366e+03 4.0946019559e-01
3.3613966662e-04 2.0596741381e+03 4.0946019559e-01
3.5931204911e-04 2.1951130322e+03 4.0946019559e-01
3.8408191176e-04 2.3393583895e+03 4.0946019559e-01
4.1055929614e-04 2.4929615583e+03 4.0946019559e-01
4.3886195635e-04 2.6565042846e+03 4.0946019559e-01
4.6911570826e-04 2.8306014426e+03 4.0946019559e-01
5.0145509886e-04 3.0158988507e+03 4.0946019559e-01
5.3602381376e-04 3.2130738171e+03 4.0946019559e-01
5.7297560852e-04 3.4228406006e+03 4.0946019559e-01
6.1247474514e-04 3.6459445863e+03 4.0946019559e-01
6.5469677793e-04 3.8831641051e+03 4.0946019559e-01
6.9982954301e-04 4.1353135288e+03 4.0946019559e-01
7.4807356577e-04 4.4032370809e+03 4.0946019559e-01
7.9964339966e-04 4.6878153894e+03 4.0946019559e-01
8.5476832464e-04 4.9899552939e+03 4.0946019559e-01
9.1369333677e-04 5.3105960340e+03 4.0946019559e-01
9.7668042872e-04 5.6507045166e+03 4.0946019559e-01
1.0440096958e-03 6.0112694918e+03 4.0946019559e-01
1.1159804417e-03 6.3933011882e+03 4.0946019559e-01
1.1929126922e-03 6.7978251242e+03 4.0946019559e-01
1.2751482427e-03 7.2258744635e+03 4.0946019559e-01
1.3630529866e-03 7.6784874663e+03 4.0946019559e-01
1.4570176136e-03 8.1566900151e+03 4.0946019559e-01
1.5574598219e-03 8.6614912465e+03 4.0946019559e-01
1.6648261808e-03 9.1938609799e+03 4.0946019559e-01
1.7795939930e-03 9.7547268054e+03 4.0946019559e-01
1.9022736233e-03 1.0344956610e+04 4.0946019559e-01
2.0334103610e-03 1.0965324355e+04 4.0946019559e-01
2.1735872142e-03 1.1616522458e+04 4.0946019559e-01
2.3234274704e-03 1.2299126839e+04 4.0946019559e-01
2.4835972581e-03 1.3013561977e+04 4.0946019559e-01
2.6548085734e-03 1.3760114740e+04 4.0946019559e-01
