z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.5400000000e-01        0.022445000000000007        0.6693300000000001        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0413088906e-06 5.0426603065e+01
7.5267644206e-06 5.3759644953e+01
8.0456893556e-06 5.7312983099e+01
8.6003910838e-06 6.1101198058e+01
9.1933361546e-06 6.5139782607e+01
9.8271611932e-06 6.9445310677e+01
1.0504683814e-05 7.4035422337e+01
1.1228918993e-05 7.8928925149e+01
1.2003084521e-05 8.4145857992e+01
1.2830624655e-05 8.9707603676e+01
1.3715219211e-05 9.5636956517e+01
1.4660800844e-05 1.0195822745e+02
1.5671574147e-05 1.0869731160e+02
1.6752033844e-05 1.1588178589e+02
1.7906986613e-05 1.2354112675e+02
1.9141563825e-05 1.3170670266e+02
2.0461258828e-05 1.4041198432e+02
2.1871939680e-05 1.4969258973e+02
2.3379878257e-05 1.5958661452e+02
2.4991779355e-05 1.7013454188e+02
2.6714811611e-05 1.8137960294e+02
2.8556636607e-05 1.9336785182e+02
3.0525443435e-05 2.0614837588e+02
3.2629988709e-05 2.1977356602e+02
3.4879627492e-05 2.3429916170e+02
3.7284367863e-05 2.4978479153e+02
3.9854901843e-05 2.6629365793e+02
4.2602656322e-05 2.8389357325e+02
4.5539851271e-05 3.0265653929e+02
4.8679547035e-05 3.2265916778e+02
5.2035709814e-05 3.4398362638e+02
5.5623255321e-05 3.6671688787e+02
5.9458143369e-05 3.9095223176e+02
6.3557425165e-05 4.1678858358e+02
6.7939326982e-05 4.4433168613e+02
7.2623326560e-05 4.7369418959e+02
7.7630269516e-05 5.0499610198e+02
8.2982405729e-05 5.3836517960e+02
8.8703542133e-05 5.7393782794e+02
9.4819115475e-05 6.1185904171e+02
1.0135632329e-04 6.5228360600e+02
1.0834422574e-04 6.9537633666e+02
1.1581390572e-04 7.4131298116e+02
1.2379857071e-04 7.9027991832e+02
1.3233373465e-04 8.4247698133e+02
1.4145734895e-04 8.9811565581e+02
1.5120998432e-04 9.5742166253e+02
1.6163499095e-04 1.0206353179e+03
1.7277874576e-04 1.0880120744e+03
1.8469079805e-04 1.1598242024e+03
1.9742411678e-04 1.2363609706e+03
2.1103530889e-04 1.3179295467e+03
2.2558492492e-04 1.4048571598e+03
2.4113764812e-04 1.4974909801e+03
2.5776261464e-04 1.5961995609e+03
2.7553379186e-04 1.7013743997e+03
