z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.5400000000e-01        0.022445000000000007        0.6693300000000001        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0413088906e-06 4.9082485124e+01
7.5267644206e-06 5.2326650426e+01
8.0456893556e-06 5.5785242616e+01
8.6003910838e-06 5.9472431486e+01
9.1933361546e-06 6.3403323522e+01
9.8271611932e-06 6.7594023374e+01
1.0504683814e-05 7.2061694417e+01
1.1228918993e-05 7.6824654288e+01
1.2003084521e-05 8.1902397502e+01
1.2830624655e-05 8.7315736558e+01
1.3715219211e-05 9.3086845767e+01
1.4660800844e-05 9.9239357841e+01
1.5671574147e-05 1.0579847079e+02
1.6752033844e-05 1.1279104729e+02
1.7906986613e-05 1.2024573585e+02
1.9141563825e-05 1.2819303170e+02
2.0461258828e-05 1.3666549402e+02
2.1871939680e-05 1.4569780268e+02
2.3379878257e-05 1.5532691829e+02
2.4991779355e-05 1.6559223966e+02
2.6714811611e-05 1.7653576994e+02
2.8556636607e-05 1.8820226837e+02
3.0525443435e-05 2.0063943364e+02
3.2629988709e-05 2.1389811809e+02
3.4879627492e-05 2.2803248087e+02
3.7284367863e-05 2.4310028574e+02
3.9854901843e-05 2.5916304562e+02
4.2602656322e-05 2.7628628812e+02
4.5539851271e-05 2.9453986061e+02
4.8679547035e-05 3.1399816105e+02
5.2035709814e-05 3.3474047556e+02
5.5623255321e-05 3.5685117374e+02
5.9458143369e-05 3.8042021097e+02
6.3557425165e-05 4.0554333013e+02
6.7939326982e-05 4.3232247885e+02
7.2623326560e-05 4.6086617214e+02
7.7630269516e-05 4.9129008828e+02
8.2982405729e-05 5.2371716665e+02
8.8703542133e-05 5.5827840272e+02
9.4819115475e-05 5.9511314445e+02
1.0135632329e-04 6.3436972982e+02
1.0834422574e-04 6.7620593670e+02
1.1581390572e-04 7.2078977029e+02
1.2379857071e-04 7.6829989005e+02
1.3233373465e-04 8.1892650348e+02
1.4145734895e-04 8.7287194467e+02
1.5120998432e-04 9.3035154443e+02
1.6163499095e-04 9.9159435945e+02
1.7277874576e-04 1.0568444016e+03
1.8469079805e-04 1.1263612527e+03
1.9742411678e-04 1.2004212609e+03
2.1103530889e-04 1.2793185439e+03
2.2558492492e-04 1.3633664714e+03
2.4113764812e-04 1.4528984412e+03
2.5776261464e-04 1.5482693746e+03
2.7553379186e-04 1.6498574948e+03
2.9453018215e-04 1.7580650475e+03
3.1483627390e-04 1.8733203758e+03
3.3654231811e-04 1.9960789204e+03
3.5974488128e-04 2.1268257032e+03
3.8454713649e-04 2.2660762241e+03
4.1105932905e-04 2.4143782366e+03
4.3939938769e-04 2.5723141999e+03
4.6969330288e-04 2.7405022721e+03
5.0207582535e-04 2.9195989084e+03
5.3669093177e-04 3.1102999502e+03
5.7369249407e-04 3.3133425929e+03
6.1324512353e-04 3.5295080006e+03
6.5552472370e-04 3.7596219533e+03
7.0071918890e-04 4.0045558632e+03
7.4902951019e-04 4.2652294577e+03
8.0067059025e-04 4.5426112054e+03
8.5587194189e-04 4.8377173215e+03
9.1487914324e-04 5.1516138333e+03
9.7795459442e-04 5.4854136618e+03
1.0453786235e-03 5.8402740812e+03
1.1174511164e-03 6.2173950720e+03
1.1944926810e-03 6.6180129253e+03
1.2768456945e-03 7.0433905395e+03
1.3648765162e-03 7.4948104706e+03
1.4589765342e-03 7.9735580672e+03
1.5595641453e-03 8.4809049726e+03
1.6670866171e-03 9.0180870024e+03
1.7820221838e-03 9.5862777750e+03
1.9048817921e-03 1.0186555067e+04
2.0362120122e-03 1.0819867574e+04
2.1765963174e-03 1.1486989153e+04
2.3266596254e-03 1.2188485479e+04
2.4870687630e-03 1.2924659966e+04
2.6585371233e-03 1.3695520789e+04
2.8418272268e-03 1.4500741841e+04
3.0377539806e-03 1.5339633546e+04
3.2471886370e-03 1.6211125078e+04
3.4710627515e-03 1.7113755471e+04
3.7103716750e-03 1.8045671221e+04
3.9661792107e-03 1.9004634708e+04
4.2396234348e-03 1.9988038989e+04
4.5319199562e-03 2.0992911218e+04
4.8443684354e-03 2.2015922405e+04
5.1783579402e-03 2.3053383600e+04
5.5353748612e-03 2.4101238780e+04
5.9170052409e-03 2.5155029202e+04
6.3249468803e-03 2.6209875059e+04
6.7610139959e-03 2.7260423495e+04
7.2271451354e-03 2.8300795947e+04
7.7254129574e-03 2.9324528222e+04
8.2580335438e-03 3.0324495988e+04
8.8273752481e-03 3.1292824572e+04
9.4359694049e-03 3.2220785077e+04
1.0086522438e-02 3.3098673387e+04
1.0781927034e-02 3.3915671389e+04
1.1525275186e-02 3.4659706378e+04
1.2319874018e-02 3.5317334727e+04
1.3169254176e-02 3.5873692330e+04
1.4077194966e-02 3.6312614747e+04
1.5047732741e-02 3.6617019399e+04
1.6085183248e-02 3.6769715123e+04
1.7194159329e-02 3.6754749457e+04
1.8379593268e-02 3.6559322084e+04
1.9646754488e-02 3.6176081422e+04
2.1001279354e-02 3.5605334065e+04
2.2449189797e-02 3.4856467011e+04
2.3996926844e-02 3.3947877043e+04
2.5651369244e-02 3.2905106787e+04
2.7419876307e-02 3.1757517000e+04
2.9310310260e-02 3.0534465015e+04
3.1331080943e-02 2.9262065583e+04
3.3491168171e-02 2.7961308849e+04
3.5800181329e-02 2.6647638205e+04
3.8268387318e-02 2.5331672283e+04
4.0906760842e-02 2.4020478148e+04
4.3727036565e-02 2.2718917053e+04
4.6556431800e-02 2.1507081757e+04
4.9385830760e-02 2.0380161803e+04
5.2215225995e-02 1.9330217670e+04
5.5044624955e-02 1.8350418556e+04
5.7874020189e-02 1.7434852377e+04
6.0703415424e-02 1.6578329965e+04
6.3532814384e-02 1.5776245851e+04
6.6362209618e-02 1.5024474601e+04
6.9191604853e-02 1.4319276202e+04
7.2021000087e-02 1.3657247930e+04
7.4850402772e-02 1.3035277120e+04
7.7679798007e-02 1.2450510219e+04
8.0509193242e-02 1.1900318527e+04
8.3338588476e-02 1.1382282757e+04
8.6167983711e-02 1.0894170976e+04
