z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.2060000000e+00        0.022445000000000007        0.6693300000000001        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0413088906e-06 4.9059925106e+01
7.5267644206e-06 5.2302599283e+01
8.0456893556e-06 5.5759601793e+01
8.6003910838e-06 5.9445095911e+01
9.1933361546e-06 6.3374181185e+01
9.8271611932e-06 6.7562954860e+01
1.0504683814e-05 7.2028572424e+01
1.1228918993e-05 7.6789343095e+01
1.2003084521e-05 8.1864752429e+01
1.2830624655e-05 8.7275603361e+01
1.3715219211e-05 9.3044060009e+01
1.4660800844e-05 9.9193744228e+01
1.5671574147e-05 1.0574984245e+02
1.6752033844e-05 1.1273920499e+02
1.7906986613e-05 1.2019046721e+02
1.9141563825e-05 1.2813411033e+02
2.0461258828e-05 1.3660267856e+02
2.1871939680e-05 1.4563083583e+02
2.3379878257e-05 1.5525552579e+02
2.4991779355e-05 1.6551612912e+02
2.6714811611e-05 1.7645462970e+02
2.8556636607e-05 1.8811576620e+02
3.0525443435e-05 2.0054721539e+02
3.2629988709e-05 2.1379980628e+02
3.4879627492e-05 2.2792767314e+02
3.7284367863e-05 2.4298855320e+02
3.9854901843e-05 2.5904393115e+02
4.2602656322e-05 2.7615930452e+02
4.5539851271e-05 2.9440448861e+02
4.8679547035e-05 3.1385384728e+02
5.2035709814e-05 3.3458663025e+02
5.5623255321e-05 3.5668716844e+02
5.9458143369e-05 3.8024537600e+02
6.3557425165e-05 4.0535695194e+02
6.7939326982e-05 4.3212379716e+02
7.2623326560e-05 4.6065437702e+02
7.7630269516e-05 4.9106431685e+02
8.2982405729e-05 5.2347649981e+02
8.8703542133e-05 5.5802186148e+02
9.4819115475e-05 5.9483968619e+02
1.0135632329e-04 6.3407824423e+02
1.0834422574e-04 6.7589524154e+02
1.1581390572e-04 7.2045860680e+02
1.2379857071e-04 7.6794691818e+02
1.3233373465e-04 8.1855029678e+02
1.4145734895e-04 8.7247098489e+02
1.5120998432e-04 9.2992421576e+02
1.6163499095e-04 9.9113894250e+02
1.7277874576e-04 1.0563590668e+03
1.8469079805e-04 1.1258440537e+03
1.9742411678e-04 1.1998701270e+03
2.1103530889e-04 1.2787312725e+03
2.2558492492e-04 1.3627407201e+03
2.4113764812e-04 1.4522317187e+03
2.5776261464e-04 1.5475590320e+03
2.7553379186e-04 1.6491007158e+03
2.9453018215e-04 1.7572588386e+03
3.1483627390e-04 1.8724615552e+03
3.3654231811e-04 1.9951641076e+03
3.5974488128e-04 2.1258513068e+03
3.8454713649e-04 2.2650384300e+03
4.1105932905e-04 2.4132729958e+03
4.3939938769e-04 2.5711372151e+03
4.6969330288e-04 2.7392489846e+03
5.0207582535e-04 2.9182644848e+03
5.3669093177e-04 3.1088792682e+03
5.7369249407e-04 3.3118302278e+03
6.1324512353e-04 3.5278982112e+03
6.5552472370e-04 3.7579086684e+03
7.0071918890e-04 4.0027326689e+03
7.4902951019e-04 4.2632895846e+03
8.0067059025e-04 4.5405475173e+03
8.5587194189e-04 4.8355223061e+03
9.1487914324e-04 5.1492795941e+03
9.7795459442e-04 5.4829319135e+03
1.0453786235e-03 5.8376361490e+03
1.1174511164e-03 6.2145918939e+03
1.1944926810e-03 6.6150350618e+03
1.2768456945e-03 7.0402281900e+03
1.3648765162e-03 7.4914534979e+03
1.4589765342e-03 7.9699960340e+03
1.5595641453e-03 8.4771271901e+03
1.6670866171e-03 9.0140825943e+03
1.7820221838e-03 9.5820357589e+03
1.9048817921e-03 1.0182064457e+04
2.0362120122e-03 1.0815117502e+04
2.1765963174e-03 1.1481969023e+04
2.3266596254e-03 1.2183185130e+04
2.4870687630e-03 1.2919069876e+04
2.6585371233e-03 1.3689632291e+04
2.8418272268e-03 1.4494547358e+04
3.0377539806e-03 1.5333126847e+04
3.2471886370e-03 1.6204301531e+04
3.4710627515e-03 1.7106612309e+04
3.7103716750e-03 1.8038207792e+04
3.9661792107e-03 1.8996852719e+04
4.2396234348e-03 1.9979942732e+04
4.5319199562e-03 2.0984507773e+04
4.8443684354e-03 2.2007221826e+04
5.1783579402e-03 2.3044399067e+04
5.5353748612e-03 2.4091986729e+04
5.9170052409e-03 2.5145529423e+04
6.3249468803e-03 2.6200150763e+04
6.7610139959e-03 2.7250501339e+04
7.2271451354e-03 2.8290706021e+04
7.7254129574e-03 2.9314303983e+04
8.2580335438e-03 3.0314174148e+04
8.8273752481e-03 3.1282444926e+04
9.4359694049e-03 3.2210390275e+04
1.0086522438e-02 3.3088308643e+04
1.0781927034e-02 3.3905384138e+04
1.1525275186e-02 3.4649545860e+04
1.2319874018e-02 3.5307351505e+04
1.3169254176e-02 3.5863937714e+04
1.4077194966e-02 3.6303140103e+04
1.5047732741e-02 3.6607875290e+04
1.6085183248e-02 3.6760950237e+04
1.7194159329e-02 3.6746409275e+04
1.8379593268e-02 3.6551447289e+04
1.9646754488e-02 3.6168706120e+04
2.1001279354e-02 3.5598484015e+04
2.2449189797e-02 3.4850158165e+04
2.3996926844e-02 3.3942114724e+04
2.5651369244e-02 3.2899885755e+04
2.7419876307e-02 3.1752822449e+04
2.9310310260e-02 3.0530274295e+04
3.1331080943e-02 2.9258350294e+04
3.3491168171e-02 2.7958036912e+04
3.5800181329e-02 2.6644775646e+04
3.8268387318e-02 2.5329184588e+04
4.0906760842e-02 2.4018331209e+04
4.3727036565e-02 2.2717077778e+04
4.6556431800e-02 2.1505502864e+04
4.9385830760e-02 2.0378803527e+04
5.2215225995e-02 1.9329047119e+04
5.5044624955e-02 1.8349408363e+04
5.7874020189e-02 1.7433979649e+04
6.0703415424e-02 1.6577575456e+04
6.3532814384e-02 1.5775593310e+04
6.6362209618e-02 1.5023910248e+04
6.9191604853e-02 1.4318788310e+04
7.2021000087e-02 1.3656826484e+04
7.4850402772e-02 1.3034913539e+04
7.7679798007e-02 1.2450197129e+04
8.0509193242e-02 1.1900049572e+04
8.3338588476e-02 1.1382052446e+04
8.6167983711e-02 1.0893974553e+04
8.8997386396e-02 1.0433755580e+04
9.1826781630e-02 9.9994966215e+03
9.5449604094e-02 9.4785699489e+03
9.9072426557e-02 8.9939589867e+03
1.0269524902e-01 8.5426109224e+03
1.0631807148e-01 8.1217617104e+03
1.0994090140e-01 7.7289062064e+03
1.1356372386e-01 7.3617752567e+03
1.1718654633e-01 7.0183074299e+03
1.2080936879e-01 6.6966312626e+03
1.2443219125e-01 6.3950455421e+03
1.2805502117e-01 6.1120018072e+03
1.3167783618e-01 5.8460919842e+03
1.3530066609e-01 5.5960286390e+03
1.3892348111e-01 5.3606409154e+03
1.4254631102e-01 5.1388553684e+03
1.4616914093e-01 4.9296930905e+03
1.4979195595e-01 4.7322578095e+03
1.5341478586e-01 4.5457258080e+03
1.5703760087e-01 4.3693444440e+03
1.6066043079e-01 4.2024196544e+03
1.6428324580e-01 4.0443160852e+03
1.6790607572e-01 3.8944464738e+03
1.7152890563e-01 3.7522716832e+03
1.7515172064e-01 3.6172944729e+03
1.7877455056e-01 3.4890542456e+03
1.8239736557e-01 3.3671274906e+03
1.8602019548e-01 3.2511205255e+03
1.8964301050e-01 3.1406707720e+03
1.9326584041e-01 3.0354404432e+03
1.9688867032e-01 2.9351175418e+03
2.0051148534e-01 2.8394123715e+03
2.0413431525e-01 2.7480545958e+03
2.0775713027e-01 2.6607942788e+03
2.1137996018e-01 2.5773973531e+03
2.1500279009e-01 2.4976467849e+03
2.1862560511e-01 2.4213401743e+03
2.2224843502e-01 2.3482877330e+03
2.2587125003e-01 2.2783133968e+03
2.2949407995e-01 2.2112514653e+03
2.3311689496e-01 2.1469480347e+03
2.3673972487e-01 2.0852579854e+03
2.4036255479e-01 2.0260461333e+03
2.4398536980e-01 1.9691857203e+03
2.4760819972e-01 1.9145571418e+03
2.5123101473e-01 1.8620489981e+03
2.5485384464e-01 1.8115557769e+03
2.5847667456e-01 1.7629789088e+03
2.6209950447e-01 1.7162254576e+03
2.6572230458e-01 1.6712083009e+03
2.6934513450e-01 1.6278442891e+03
2.7296796441e-01 1.5860561236e+03
2.7659079433e-01 1.5457705457e+03
2.8021359444e-01 1.5069187339e+03
2.8383642435e-01 1.4694347665e+03
2.8745925427e-01 1.4332572887e+03
2.9108208418e-01 1.3983279897e+03
2.9470491409e-01 1.3645917138e+03
2.9832771420e-01 1.3319965244e+03
3.0195054412e-01 1.3004924555e+03
3.0557337403e-01 1.2700329480e+03
3.0919620395e-01 1.2405736092e+03
3.1281903386e-01 1.2120723360e+03
3.1644183397e-01 1.1844894002e+03
3.2006466389e-01 1.1577864204e+03
3.2368749380e-01 1.1319276020e+03
3.2731032372e-01 1.1068787112e+03
3.3093315363e-01 1.0826072011e+03
3.3455595374e-01 1.0590823049e+03
3.3817878365e-01 1.0362741769e+03
3.4180161357e-01 1.0141549684e+03
3.4542444348e-01 9.9269796799e+02
3.4904724360e-01 9.7187789262e+02
