z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.3500000000e+00        0.022445000000000007        0.6693300000000001        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0413088906e-06 5.0360448955e+01
7.5267644206e-06 5.3689126147e+01
8.0456893556e-06 5.7237797106e+01
8.6003910838e-06 6.1021043097e+01
9.1933361546e-06 6.5054333536e+01
9.8271611932e-06 6.9354219284e+01
1.0504683814e-05 7.3938311754e+01
1.1228918993e-05 7.8825387397e+01
1.2003084521e-05 8.4035476519e+01
1.2830624655e-05 8.9589941642e+01
1.3715219211e-05 9.5511534978e+01
1.4660800844e-05 1.0182449769e+02
1.5671574147e-05 1.0855474274e+02
1.6752033844e-05 1.1572979221e+02
1.7906986613e-05 1.2337910119e+02
1.9141563825e-05 1.3153396378e+02
2.0461258828e-05 1.4022783696e+02
2.1871939680e-05 1.4949627791e+02
2.3379878257e-05 1.5937732018e+02
2.4991779355e-05 1.6991143188e+02
2.6714811611e-05 1.8114176647e+02
2.8556636607e-05 1.9311428809e+02
3.0525443435e-05 2.0587809557e+02
3.2629988709e-05 2.1948543278e+02
3.4879627492e-05 2.3399203349e+02
3.7284367863e-05 2.4945735124e+02
3.9854901843e-05 2.6594466383e+02
4.2602656322e-05 2.8352157483e+02
4.5539851271e-05 3.0225993004e+02
4.8679547035e-05 3.2223648617e+02
5.2035709814e-05 3.4353303624e+02
5.5623255321e-05 3.6623663946e+02
5.9458143369e-05 3.9044035263e+02
6.3557425165e-05 4.1624314656e+02
6.7939326982e-05 4.4375042851e+02
7.2623326560e-05 4.7307462731e+02
7.7630269516e-05 5.0433590391e+02
8.2982405729e-05 5.3766164977e+02
8.8703542133e-05 5.7318820054e+02
9.4819115475e-05 6.1106041805e+02
1.0135632329e-04 6.5143286060e+02
1.0834422574e-04 6.9447007555e+02
1.1581390572e-04 7.4034756051e+02
1.2379857071e-04 7.8925193066e+02
1.3233373465e-04 8.4138221428e+02
1.4145734895e-04 8.9695022898e+02
1.5120998432e-04 9.5618099961e+02
1.6163499095e-04 1.0193150988e+03
1.7277874576e-04 1.0866076438e+03
1.8469079805e-04 1.1583307209e+03
1.9742411678e-04 1.2347729670e+03
2.1103530889e-04 1.3162419106e+03
2.2558492492e-04 1.4030642221e+03
2.4113764812e-04 1.4955867174e+03
2.5776261464e-04 1.5941781964e+03
2.7553379186e-04 1.6992303630e+03
2.9453018215e-04 1.8111574901e+03
3.1483627390e-04 1.9304004327e+03
3.3654231811e-04 2.0574246209e+03
3.5974488128e-04 2.1927239058e+03
3.8454713649e-04 2.3368203918e+03
4.1105932905e-04 2.4902637682e+03
4.3939938769e-04 2.6536369931e+03
4.6969330288e-04 2.8275519469e+03
5.0207582535e-04 3.0126554506e+03
5.3669093177e-04 3.2096237490e+03
5.7369249407e-04 3.4191686964e+03
6.1324512353e-04 3.6420345801e+03
6.5552472370e-04 3.8790017982e+03
7.0071918890e-04 4.1308798384e+03
7.4902951019e-04 4.3985149680e+03
8.0067059025e-04 4.6827845498e+03
8.5587194189e-04 4.9845970424e+03
9.1487914324e-04 5.3048896590e+03
9.7795459442e-04 5.6446283684e+03
1.0453786235e-03 6.0048025441e+03
1.1174511164e-03 6.3864219560e+03
1.1944926810e-03 6.7905104169e+03
1.2768456945e-03 7.2181037769e+03
1.3648765162e-03 7.6702352108e+03
1.4589765342e-03 8.1479325441e+03
1.5595641453e-03 8.6521995279e+03
1.6670866171e-03 9.1840084835e+03
1.7820221838e-03 9.7442842532e+03
1.9048817921e-03 1.0333886813e+04
2.0362120122e-03 1.0953597898e+04
2.1765963174e-03 1.1604101612e+04
2.3266596254e-03 1.2285974392e+04
2.4870687630e-03 1.2999644888e+04
2.6585371233e-03 1.3745391290e+04
2.8418272268e-03 1.4523299193e+04
3.0377539806e-03 1.5333240203e+04
3.2471886370e-03 1.6174845185e+04
3.4710627515e-03 1.7047466817e+04
3.7103716750e-03 1.7950134115e+04
3.9661792107e-03 1.8881525685e+04
4.2396234348e-03 1.9839910875e+04
4.5319199562e-03 2.0823133726e+04
4.8443684354e-03 2.1829566570e+04
5.1783579402e-03 2.2853978665e+04
5.5353748612e-03 2.3893624241e+04
5.9170052409e-03 2.4944140557e+04
6.3249468803e-03 2.5999902326e+04
6.7610139959e-03 2.7056244545e+04
7.2271451354e-03 2.8106193785e+04
7.7254129574e-03 2.9142632172e+04
8.2580335438e-03 3.0156922495e+04
8.8273752481e-03 3.1140023639e+04
9.4359694049e-03 3.2082188316e+04
1.0086522438e-02 3.2972548460e+04
1.0781927034e-02 3.3799444239e+04
1.1525275186e-02 3.4550161918e+04
1.2319874018e-02 3.5211297638e+04
1.3169254176e-02 3.5768808243e+04
1.4077194966e-02 3.6208179799e+04
1.5047732741e-02 3.6514810097e+04
1.6085183248e-02 3.6674324296e+04
1.7194159329e-02 3.6673075124e+04
1.8379593268e-02 3.6498790200e+04
1.9646754488e-02 3.6141414624e+04
2.1001279354e-02 3.5594065914e+04
2.2449189797e-02 3.4854018358e+04
2.3996926844e-02 3.3923936146e+04
2.5651369244e-02 3.2812924590e+04
2.7419876307e-02 3.1537431571e+04
2.9310310260e-02 3.0121819956e+04
3.1331080943e-02 2.8598418428e+04
3.3491168171e-02 2.7006769839e+04
3.5800181329e-02 2.5391999528e+04
3.8268387318e-02 2.3802094965e+04
4.0906760842e-02 2.2284262552e+04
4.3727036565e-02 2.0880415089e+04
4.6556431800e-02 1.9692648994e+04
4.9385830760e-02 1.8705282744e+04
5.2215225995e-02 1.7888289395e+04
5.5044624955e-02 1.7206290895e+04
5.7874020189e-02 1.6622129055e+04
6.0703415424e-02 1.6099460188e+04
6.3532814384e-02 1.5605456745e+04
6.6362209618e-02 1.5112747947e+04
6.9191604853e-02 1.4601559693e+04
7.2021000087e-02 1.4058430617e+04
7.4850402772e-02 1.3478196848e+04
7.7679798007e-02 1.2865950034e+04
8.0509193242e-02 1.2228089842e+04
8.3338588476e-02 1.1577255111e+04
8.6167983711e-02 1.0930299634e+04
8.8997386396e-02 1.0304900402e+04
9.1826781630e-02 9.7151661043e+03
9.5449604094e-02 9.0267251399e+03
9.9072426557e-02 8.4257161942e+03
1.0269524902e-01 7.9215247759e+03
1.0631807148e-01 7.5133671435e+03
1.0994090140e-01 7.1889963275e+03
1.1356372386e-01 6.9314134225e+03
1.1718654633e-01 6.7228518303e+03
1.2080936879e-01 6.5440550410e+03
1.2443219125e-01 6.3758534782e+03
1.2805502117e-01 6.2025997230e+03
1.3167783618e-01 6.0133220585e+03
1.3530066609e-01 5.8005167585e+03
1.3892348111e-01 5.5638842356e+03
1.4254631102e-01 5.3090387428e+03
1.4616914093e-01 5.0447475561e+03
1.4979195595e-01 4.7802266634e+03
1.5341478586e-01 4.5246793473e+03
1.5703760087e-01 4.2868819112e+03
1.6066043079e-01 4.0736506354e+03
1.6428324580e-01 3.8886200224e+03
1.6790607572e-01 3.7323340772e+03
1.7152890563e-01 3.6029608368e+03
1.7515172064e-01 3.4967828773e+03
1.7877455056e-01 3.4085463866e+03
1.8239736557e-01 3.3321552977e+03
1.8602019548e-01 3.2615887748e+03
1.8964301050e-01 3.1915789627e+03
1.9326584041e-01 3.1179185988e+03
1.9688867032e-01 3.0377161306e+03
2.0051148534e-01 2.9497223859e+03
2.0413431525e-01 2.8544445900e+03
2.0775713027e-01 2.7537700429e+03
2.1137996018e-01 2.6503926898e+03
2.1500279009e-01 2.5473809603e+03
2.1862560511e-01 2.4478261877e+03
2.2224843502e-01 2.3543907201e+03
2.2587125003e-01 2.2689779068e+03
2.2949407995e-01 2.1926857887e+03
2.3311689496e-01 2.1257818545e+03
2.3673972487e-01 2.0676467008e+03
2.4036255479e-01 2.0169895275e+03
2.4398536980e-01 1.9722413463e+03
2.4760819972e-01 1.9316720070e+03
2.5123101473e-01 1.8933465633e+03
2.5485384464e-01 1.8554059690e+03
2.5847667456e-01 1.8165080996e+03
2.6209950447e-01 1.7759068289e+03
2.6572230458e-01 1.7332763221e+03
2.6934513450e-01 1.6886754268e+03
2.7296796441e-01 1.6425760935e+03
2.7659079433e-01 1.5957618966e+03
2.8021359444e-01 1.5491747307e+03
2.8383642435e-01 1.5038056414e+03
2.8745925427e-01 1.4605341649e+03
2.9108208418e-01 1.4199827139e+03
2.9470491409e-01 1.3824970175e+03
2.9832771420e-01 1.3481967770e+03
3.0195054412e-01 1.3169785911e+03
3.0557337403e-01 1.2885166254e+03
3.0919620395e-01 1.2623110102e+03
3.1281903386e-01 1.2377699269e+03
3.1644183397e-01 1.2142958727e+03
3.2006466389e-01 1.1913566287e+03
3.2368749380e-01 1.1685128447e+03
3.2731032372e-01 1.1454411102e+03
3.3093315363e-01 1.1219744955e+03
3.3455595374e-01 1.0981109945e+03
3.3817878365e-01 1.0739647914e+03
3.4180161357e-01 1.0497368371e+03
3.4542444348e-01 1.0257042331e+03
3.4904724360e-01 1.0021681549e+03
3.5267007351e-01 9.7938455588e+02
3.5629290342e-01 9.5754828470e+02
3.5991573334e-01 9.3680913507e+02
3.6353856325e-01 9.1725245258e+02
3.6716136336e-01 8.9886879153e+02
3.7078419328e-01 8.8156536681e+02
3.7440702319e-01 8.6519564475e+02
3.7802985311e-01 8.4958207976e+02
3.8165268302e-01 8.3454135849e+02
3.8527548313e-01 8.1990805591e+02
3.8889831305e-01 8.0553722660e+02
3.9252114296e-01 7.9130106112e+02
3.9614397287e-01 7.7710986719e+02
3.9976677299e-01 7.6293547488e+02
4.0338960290e-01 7.4880597051e+02
4.0701243281e-01 7.3477769390e+02
4.1063526273e-01 7.2091375563e+02
4.1425809264e-01 7.0728470587e+02
4.1788089275e-01 6.9396819991e+02
4.2150372267e-01 6.8104147511e+02
4.2512655258e-01 6.6856225051e+02
4.2874938250e-01 6.5655873781e+02
4.3237221241e-01 6.4503081163e+02
4.3599501252e-01 6.3395820133e+02
4.3961784244e-01 6.2330680211e+02
4.4324067235e-01 6.1303147526e+02
4.4686350226e-01 6.0307817969e+02
4.5048633218e-01 5.9338731561e+02
4.5410913229e-01 5.8390078779e+02
4.5773196220e-01 5.7457287240e+02
4.6135479212e-01 5.6537560852e+02
4.6497762203e-01 5.5629457682e+02
4.6860042214e-01 5.4732267215e+02
4.7222325206e-01 5.3846123194e+02
4.7584608197e-01 5.2972250217e+02
4.7946891189e-01 5.2112729679e+02
4.8309174180e-01 5.1270002414e+02
4.8671454191e-01 5.0446362975e+02
4.9033737183e-01 4.9643495703e+02
4.9396020174e-01 4.8862077680e+02
4.9758303165e-01 4.8102217573e+02
5.0120586157e-01 4.7363898663e+02
5.0482869148e-01 4.6646753154e+02
5.0845152140e-01 4.5949481219e+02
5.1207429171e-01 4.5270039075e+02
5.1569712162e-01 4.4606278455e+02
5.1931995153e-01 4.3956356195e+02
5.2294278145e-01 4.3318993364e+02
5.2656561136e-01 4.2693099111e+02
5.3018844128e-01 4.2077586762e+02
5.3381127119e-01 4.1471561902e+02
5.3743410111e-01 4.0874602400e+02
5.4105693102e-01 4.0286988284e+02
5.4467976093e-01 3.9709354840e+02
5.4830253124e-01 3.9142195249e+02
5.5192536116e-01 3.8585772821e+02
5.5554819107e-01 3.8040267275e+02
5.5917102099e-01 3.7506042228e+02
5.6279385090e-01 3.6983498913e+02
5.6641668081e-01 3.6472779433e+02
5.7003951073e-01 3.5973499274e+02
5.7366234064e-01 3.5485044048e+02
5.7728517055e-01 3.5006820263e+02
5.8090794086e-01 3.4538380713e+02
6.2894219160e-01 2.9054599474e+02
7.6819157600e-01 1.8657983222e+02
9.3827110529e-01 1.1862476158e+02
1.1460068226e+00 7.4744591596e+01
1.3997354507e+00 4.6711521986e+01
1.7096420527e+00 2.8975133916e+01
2.0881612301e+00 1.7850796948e+01
2.5504853725e+00 1.0928931132e+01
3.1151692867e+00 6.6528457380e+00
3.8048753738e+00 4.0285483269e+00
4.6472892761e+00 2.4276117638e+00
5.6762104034e+00 1.4563439443e+00
