z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.66866        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0470305218e-06 4.9043454769e+01
7.5328712228e-06 5.2284978258e+01
8.0522077042e-06 5.5740753011e+01
8.6073478087e-06 5.9424928180e+01
9.2007612693e-06 6.3352606149e+01
9.8350856206e-06 6.7539870686e+01
1.0513142115e-05 7.2003880501e+01
1.1237945728e-05 7.6762922646e+01
1.2012719708e-05 8.1836494893e+01
1.2840908312e-05 8.7245374964e+01
1.3726194084e-05 9.3011718006e+01
1.4672514226e-05 9.9159146898e+01
1.5684076061e-05 1.0571283528e+02
1.6765377950e-05 1.1269962451e+02
1.7921227482e-05 1.2014812121e+02
1.9156763301e-05 1.2808881659e+02
2.0477480575e-05 1.3655422716e+02
2.1889252821e-05 1.4557900989e+02
2.3398355552e-05 1.5520008698e+02
2.5011499019e-05 1.6545682626e+02
2.6735857318e-05 1.7639119550e+02
2.8579097488e-05 1.8804791383e+02
3.0549417716e-05 2.0047465777e+02
3.2655574614e-05 2.1372219481e+02
3.4906934161e-05 2.2784466240e+02
3.7313511712e-05 2.4289977349e+02
3.9886002924e-05 2.5894896115e+02
4.2635849240e-05 2.7605773439e+02
4.5575277909e-05 2.9429586910e+02
4.8717356549e-05 3.1373768417e+02
5.2076058637e-05 3.3446237841e+02
5.5666318076e-05 3.5655429269e+02
5.9504101955e-05 3.8010327677e+02
6.3606472395e-05 4.0520498051e+02
6.7991670221e-05 4.3196127013e+02
7.2679191362e-05 4.6048058999e+02
7.7689888713e-05 4.9087846900e+02
8.3046033979e-05 5.2327777309e+02
8.8771448645e-05 5.5780936610e+02
9.4891584013e-05 5.9461245017e+02
1.0143365944e-04 6.3383524560e+02
1.0842676420e-04 6.7563543946e+02
1.1590198846e-04 7.2018079782e+02
1.2389257608e-04 7.6764989604e+02
1.3243405556e-04 8.1823270730e+02
1.4156440739e-04 8.7213139657e+02
1.5132423141e-04 9.2956110239e+02
1.6175692144e-04 9.9075075010e+02
1.7290886899e-04 1.0559440228e+03
1.8482966698e-04 1.1254003166e+03
1.9757231348e-04 1.1993956788e+03
2.1119345911e-04 1.2782239794e+03
2.2575369803e-04 1.3621983056e+03
2.4131775717e-04 1.4516517365e+03
2.5795484544e-04 1.5469390025e+03
2.7573891566e-04 1.6484375944e+03
2.9474907205e-04 1.7565496486e+03
3.1506986124e-04 1.8717030999e+03
3.3679162152e-04 1.9943530960e+03
3.6001091939e-04 2.1249838184e+03
3.8483101525e-04 2.2641103647e+03
4.1136227082e-04 2.4122801864e+03
4.3972267304e-04 2.5700750488e+03
4.7003829968e-04 2.7381125110e+03
5.0244398881e-04 2.9170483557e+03
5.3708377527e-04 3.1075775150e+03
5.7411176385e-04 3.3104371516e+03
6.1369256582e-04 3.5264070296e+03
6.5600214293e-04 3.7563117626e+03
7.0122862235e-04 4.0010224491e+03
7.4957316974e-04 4.2614580768e+03
8.0125074601e-04 4.5385856400e+03
8.5649109678e-04 4.8334207083e+03
9.1553980019e-04 5.1470273040e+03
9.7865960561e-04 5.4805180836e+03
1.0461308993e-03 5.8350483932e+03
1.1182539165e-03 6.2118176931e+03
1.1953492649e-03 6.6120598086e+03
1.2777597876e-03 7.0370374822e+03
1.3658519601e-03 7.4880311881e+03
1.4600174036e-03 7.9663247072e+03
1.5606748639e-03 8.4731886237e+03
1.6682718415e-03 9.0098570419e+03
1.7832869198e-03 9.5775024161e+03
1.9062313950e-03 1.0177201343e+04
2.0376520697e-03 1.0809900790e+04
2.1781332325e-03 1.1476375715e+04
2.3282994516e-03 1.2177187420e+04
2.4888184853e-03 1.2912641100e+04
2.6604041923e-03 1.3682744536e+04
2.8438193258e-03 1.4487170278e+04
3.0398797244e-03 1.5325230504e+04
3.2494571060e-03 1.6195854041e+04
3.4734832589e-03 1.7097578655e+04
3.7129542325e-03 1.8028551477e+04
3.9689349942e-03 1.8986537114e+04
4.2425640859e-03 1.9968928011e+04
4.5350575820e-03 2.0972750810e+04
4.8477165401e-03 2.1994679189e+04
5.1819304936e-03 2.3031023776e+04
5.5391867645e-03 2.4077729946e+04
5.9210727923e-03 2.5130341986e+04
6.3292868435e-03 2.6183981056e+04
6.7656449974e-03 2.7233299668e+04
7.2320862673e-03 2.8272422098e+04
7.7306851745e-03 2.9294891489e+04
8.2636587322e-03 3.0293590315e+04
8.8333776221e-03 3.1260655158e+04
9.4423741102e-03 3.2187368063e+04
1.0093355551e-02 3.3064039028e+04
1.0789218359e-02 3.3879870783e+04
1.1533055455e-02 3.4622811126e+04
1.2328174897e-02 3.5279441351e+04
1.3178111054e-02 3.5834928153e+04
1.4086645097e-02 3.6273138705e+04
1.5057815239e-02 3.6577023036e+04
1.6095941886e-02 3.6729420614e+04
1.7205636948e-02 3.6714401730e+04
1.8391840160e-02 3.6519176823e+04
1.9659820944e-02 3.6136388547e+04
2.1015221253e-02 3.5566318279e+04
2.2464066744e-02 3.4818312309e+04
2.4012798443e-02 3.3910720912e+04
2.5668302551e-02 3.2869037823e+04
2.7437943965e-02 3.1722586272e+04
2.9329586774e-02 3.0500703778e+04
3.1351648271e-02 2.9229496211e+04
3.3513110131e-02 2.7929958310e+04
