z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.0125000000e+00        0.022445000000000007        0.66866        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0470305218e-06 4.8987426423e+01
7.5328712228e-06 5.2225246738e+01
8.0522077042e-06 5.5677073555e+01
8.6073478087e-06 5.9357039861e+01
9.2007612693e-06 6.3280230789e+01
9.8350856206e-06 6.7462711734e+01
1.0513142115e-05 7.1921621805e+01
1.1237945728e-05 7.6675227164e+01
1.2012719708e-05 8.1743003311e+01
1.2840908312e-05 8.7145704233e+01
1.3726194084e-05 9.2905459772e+01
1.4672514226e-05 9.9045865821e+01
1.5684076061e-05 1.0559206727e+02
1.6765377950e-05 1.1257087481e+02
1.7921227482e-05 1.2001086240e+02
1.9156763301e-05 1.2794248642e+02
2.0477480575e-05 1.3639822625e+02
2.1889252821e-05 1.4541269927e+02
2.3398355552e-05 1.5502278551e+02
2.5011499019e-05 1.6526780787e+02
2.6735857318e-05 1.7618968618e+02
2.8579097488e-05 1.8783308851e+02
3.0549417716e-05 2.0024563696e+02
3.2655574614e-05 2.1347804105e+02
3.4906934161e-05 2.2758437645e+02
3.7313511712e-05 2.4262229024e+02
3.9886002924e-05 2.5865314537e+02
4.2635849240e-05 2.7574237612e+02
4.5575277909e-05 2.9395967878e+02
4.8717356549e-05 3.1337928747e+02
5.2076058637e-05 3.3408031068e+02
5.5666318076e-05 3.5614699316e+02
5.9504101955e-05 3.7966908225e+02
6.3606472395e-05 4.0474211883e+02
6.7991670221e-05 4.3146785313e+02
7.2679191362e-05 4.5995460603e+02
7.7689888713e-05 4.9031777502e+02
8.3046033979e-05 5.2268008627e+02
8.8771448645e-05 5.5717225491e+02
9.4891584013e-05 5.9393332496e+02
1.0143365944e-04 6.3311134851e+02
1.0842676420e-04 6.7486383382e+02
1.1590198846e-04 7.1935835688e+02
1.2389257608e-04 7.6677329097e+02
1.3243405556e-04 8.1729839452e+02
1.4156440739e-04 8.7113560425e+02
1.5132423141e-04 9.2849981618e+02
1.6175692144e-04 9.8961969796e+02
1.7290886899e-04 1.0547386589e+03
1.8482966698e-04 1.1241158041e+03
1.9757231348e-04 1.1980268721e+03
2.1119345911e-04 1.2767654045e+03
2.2575369803e-04 1.3606441400e+03
2.4131775717e-04 1.4499957875e+03
2.5795484544e-04 1.5451746847e+03
2.7573891566e-04 1.6465579057e+03
2.9474907205e-04 1.7545471445e+03
3.1506986124e-04 1.8695698673e+03
3.3679162152e-04 1.9920807253e+03
3.6001091939e-04 2.1225633746e+03
3.8483101525e-04 2.2615323566e+03
4.1136227082e-04 2.4095345354e+03
4.3972267304e-04 2.5671510562e+03
4.7003829968e-04 2.7349988242e+03
5.0244398881e-04 2.9137329337e+03
5.3708377527e-04 3.1040475940e+03
5.7411176385e-04 3.3066792083e+03
6.1369256582e-04 3.5224067465e+03
6.5600214293e-04 3.7520539929e+03
7.0122862235e-04 3.9964911824e+03
7.4957316974e-04 4.2566364059e+03
8.0125074601e-04 4.5334557313e+03
8.5649109678e-04 4.8279637753e+03
9.1553980019e-04 5.1412235855e+03
9.7865960561e-04 5.4743468275e+03
1.0461308993e-03 5.8284878515e+03
1.1182539165e-03 6.2048451237e+03
1.1953492649e-03 6.6046514943e+03
1.2777597876e-03 7.0291687652e+03
1.3658519601e-03 7.4796765260e+03
1.4600174036e-03 7.9574577560e+03
1.5606748639e-03 8.4637823507e+03
1.6682718415e-03 8.9998838771e+03
1.7832869198e-03 9.5669344448e+03
1.9062313950e-03 1.0166010550e+04
2.0376520697e-03 1.0798059359e+04
2.1781332325e-03 1.1463856381e+04
2.3282994516e-03 1.2163963893e+04
2.4888184853e-03 1.2898688536e+04
2.6604041923e-03 1.3668040075e+04
2.8438193258e-03 1.4471693625e+04
3.0398797244e-03 1.5308964543e+04
3.2494571060e-03 1.6178785477e+04
3.4734832589e-03 1.7079698660e+04
3.7129542325e-03 1.8009856323e+04
3.9689349942e-03 1.8967028783e+04
4.2425640859e-03 1.9948614769e+04
4.5350575820e-03 2.0951647738e+04
4.8477165401e-03 2.1972808658e+04
5.1819304936e-03 2.3008415873e+04
5.5391867645e-03 2.4054422833e+04
5.9210727923e-03 2.5106382207e+04
6.3292868435e-03 2.6159423755e+04
6.7656449974e-03 2.7208208736e+04
7.2320862673e-03 2.8246870217e+04
7.7306851745e-03 2.9268960072e+04
8.2636587322e-03 3.0267369316e+04
8.8333776221e-03 3.1234242762e+04
9.4423741102e-03 3.2160870218e+04
1.0093355551e-02 3.3037568844e+04
1.0789218359e-02 3.3853547767e+04
1.1533055455e-02 3.4596760246e+04
1.2328174897e-02 3.5253791908e+04
1.3178111054e-02 3.5809812408e+04
1.4086645097e-02 3.6248690168e+04
1.5057815239e-02 3.6553374305e+04
1.6095941886e-02 3.6706700621e+04
1.7205636948e-02 3.6692732257e+04
1.8391840160e-02 3.6498668294e+04
1.9659820944e-02 3.6117135254e+04
2.1015221253e-02 3.5548393572e+04
2.2464066744e-02 3.4801764505e+04
2.4012798443e-02 3.3895570835e+04
2.5668302551e-02 3.2855278656e+04
2.7437943965e-02 3.1710185863e+04
2.9329586774e-02 3.0489608915e+04
3.1351648271e-02 2.9219637948e+04
3.3513110131e-02 2.7921257313e+04
3.5823594779e-02 2.6609906980e+04
3.8293365389e-02 2.5296214996e+04
4.0933411568e-02 2.3987246878e+04
4.3755467981e-02 2.2687867639e+04
4.6586707234e-02 2.1478014725e+04
4.9417942762e-02 2.0352920615e+04
5.2249178290e-02 1.9304657166e+04
5.5080413818e-02 1.8326409746e+04
5.7911653072e-02 1.7412274080e+04
6.0742888600e-02 1.6557074968e+04
6.3574127853e-02 1.5756215241e+04
6.6405363381e-02 1.5005577811e+04
6.9236598909e-02 1.4301430212e+04
7.2067834437e-02 1.3640376890e+04
7.4899069965e-02 1.3019313069e+04
7.7730305493e-02 1.2435387662e+04
8.0561541021e-02 1.1885979030e+04
8.3392776549e-02 1.1368672660e+04
8.6224012077e-02 1.0881240963e+04
8.9055255055e-02 1.0421627031e+04
9.1886490583e-02 9.9879350280e+03
9.5512367785e-02 9.4675865659e+03
9.9138244986e-02 8.9835147997e+03
1.0276412219e-01 8.5326701108e+03
1.0638999939e-01 8.1122913529e+03
