z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.7820000000e+00        0.022445000000000007        0.66866        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0470305218e-06 5.0202179504e+01
7.5328712228e-06 5.3520332615e+01
8.0522077042e-06 5.7057791174e+01
8.6073478087e-06 6.0829057736e+01
9.2007612693e-06 6.4849584726e+01
9.8350856206e-06 6.9135853300e+01
1.0513142115e-05 7.3705427106e+01
1.1237945728e-05 7.8576995298e+01
1.2012719708e-05 8.3770587605e+01
1.2840908312e-05 8.9307430951e+01
1.3726194084e-05 9.5210236207e+01
1.4672514226e-05 1.0150319103e+02
1.5684076061e-05 1.0821203870e+02
1.6765377950e-05 1.1536432907e+02
1.7921227482e-05 1.2298933965e+02
1.9156763301e-05 1.3111828356e+02
2.0477480575e-05 1.3978450306e+02
2.1889252821e-05 1.4902349822e+02
2.3398355552e-05 1.5887314917e+02
2.5011499019e-05 1.6937367308e+02
2.6735857318e-05 1.8056826936e+02
2.8579097488e-05 1.9250267518e+02
3.0549417716e-05 2.0522582502e+02
3.2655574614e-05 2.1878985065e+02
3.4906934161e-05 2.3325023886e+02
3.7313511712e-05 2.4866624725e+02
3.9886002924e-05 2.6510100460e+02
4.2635849240e-05 2.8262178325e+02
4.5575277909e-05 3.0130041495e+02
4.8717356549e-05 3.2121326214e+02
5.2076058637e-05 3.4244184882e+02
5.5666318076e-05 3.6507300394e+02
5.9504101955e-05 3.8919954957e+02
6.3606472395e-05 4.1491984216e+02
6.7991670221e-05 4.4233937829e+02
7.2679191362e-05 4.7157004916e+02
7.7689888713e-05 5.0273143095e+02
8.3046033979e-05 5.3595084219e+02
8.8771448645e-05 5.7136408931e+02
9.4891584013e-05 6.0911546664e+02
1.0143365944e-04 6.4935924754e+02
1.0842676420e-04 6.9225956967e+02
1.1590198846e-04 7.3799083647e+02
1.2389257608e-04 7.8673972444e+02
1.3243405556e-04 8.3870438021e+02
1.4156440739e-04 8.9409579695e+02
1.5132423141e-04 9.5313913348e+02
1.6175692144e-04 1.0160733127e+03
1.7290886899e-04 1.0831532012e+03
1.8482966698e-04 1.1546501250e+03
1.9757231348e-04 1.2308522140e+03
2.1119345911e-04 1.3120657208e+03
2.2575369803e-04 1.3986161679e+03
2.4131775717e-04 1.4908509859e+03
2.5795484544e-04 1.5891371044e+03
2.7573891566e-04 1.6938651963e+03
2.9474907205e-04 1.8054492189e+03
3.1506986124e-04 1.9243283638e+03
3.3679162152e-04 2.0509686626e+03
3.6001091939e-04 2.1858613813e+03
3.8483101525e-04 2.3295285260e+03
4.1136227082e-04 2.4825204338e+03
4.3972267304e-04 2.6454170348e+03
4.7003829968e-04 2.8188319815e+03
5.0244398881e-04 3.0034078309e+03
5.3708377527e-04 3.1998233858e+03
5.7411176385e-04 3.4087888772e+03
6.1369256582e-04 3.6310487169e+03
6.5600214293e-04 3.8673785157e+03
7.0122862235e-04 4.1185910474e+03
7.4957316974e-04 4.3855282204e+03
8.0125074601e-04 4.6690677293e+03
8.5649109678e-04 4.9701134212e+03
9.1553980019e-04 5.2896003416e+03
9.7865960561e-04 5.6284906057e+03
1.0461308993e-03 5.9877674336e+03
1.1182539165e-03 6.3684360683e+03
1.1953492649e-03 6.7715168932e+03
1.2777597876e-03 7.1980390090e+03
1.3658519601e-03 7.6490333517e+03
1.4600174036e-03 8.1255216811e+03
1.5606748639e-03 8.6285101579e+03
1.6682718415e-03 9.1589691555e+03
1.7832869198e-03 9.7178227083e+03
1.9062313950e-03 1.0305935206e+04
2.0376520697e-03 1.0924085700e+04
2.1781332325e-03 1.1572957811e+04
2.3282994516e-03 1.2253124128e+04
2.4888184853e-03 1.2965018680e+04
2.6604041923e-03 1.3708908494e+04
2.8438193258e-03 1.4484895423e+04
3.0398797244e-03 1.5292850085e+04
3.2494571060e-03 1.6132409105e+04
3.4734832589e-03 1.7002926485e+04
3.7129542325e-03 1.7903436900e+04
3.9689349942e-03 1.8832628163e+04
4.2425640859e-03 1.9788784345e+04
4.5350575820e-03 2.0769749057e+04
4.8477165401e-03 2.1773916482e+04
5.1819304936e-03 2.2796063576e+04
5.5391867645e-03 2.3833452190e+04
5.9210727923e-03 2.4881740187e+04
6.3292868435e-03 2.5935330141e+04
6.7656449974e-03 2.6989555082e+04
7.2320862673e-03 2.8037472364e+04
7.7306851745e-03 2.9072005372e+04
8.2636587322e-03 3.0084524892e+04
8.8333776221e-03 3.1066021819e+04
9.4423741102e-03 3.2006752959e+04
1.0093355551e-02 3.2895899678e+04
1.0789218359e-02 3.3721834010e+04
1.1533055455e-02 3.4471874570e+04
1.2328174897e-02 3.5132638920e+04
1.3178111054e-02 3.5690105962e+04
1.4086645097e-02 3.6129799467e+04
1.5057815239e-02 3.6437136759e+04
1.6095941886e-02 3.6597755390e+04
1.7205636948e-02 3.6598045355e+04
1.8391840160e-02 3.6425718007e+04
1.9659820944e-02 3.6070719999e+04
2.1015221253e-02 3.5526150897e+04
2.2464066744e-02 3.4789257868e+04
2.4012798443e-02 3.3862650596e+04
2.5668302551e-02 3.2755365716e+04
2.7437943965e-02 3.1483777079e+04
2.9329586774e-02 3.0072129803e+04
3.1351648271e-02 2.8552661397e+04
3.3513110131e-02 2.6964777749e+04
3.5823594779e-02 2.5353515208e+04
3.8293365389e-02 2.3766741869e+04
4.0933411568e-02 2.2251599082e+04
4.3755467981e-02 2.0849983129e+04
4.6586707234e-02 1.9663871793e+04
4.9417942762e-02 1.8677761118e+04
5.2249178290e-02 1.7861757172e+04
5.5080413818e-02 1.7180614517e+04
5.7911653072e-02 1.6597298372e+04
6.0742888600e-02 1.6075548421e+04
