z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.67067        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0298974606e-06 4.9313282914e+01
7.5145258052e-06 5.2572431612e+01
8.0325635281e-06 5.6046978150e+01
8.5863139248e-06 5.9751156891e+01
9.1782385425e-06 6.3700138981e+01
9.8109694591e-06 6.7910103346e+01
1.0487319742e-05 7.2398294579e+01
1.1210296179e-05 7.7183095028e+01
1.1983113836e-05 8.2284107826e+01
1.2809206964e-05 8.7722214680e+01
1.3692250832e-05 9.3519704097e+01
1.4636168999e-05 9.9700302684e+01
1.5645160602e-05 1.0628933650e+02
1.6723708541e-05 1.1331376561e+02
1.7876611309e-05 1.2080237155e+02
1.9108991182e-05 1.2878578877e+02
2.0426330593e-05 1.3729671747e+02
2.1834483050e-05 1.4636996914e+02
2.3339713152e-05 1.5604269798e+02
2.4948709324e-05 1.6635445391e+02
2.6668629289e-05 1.7734744342e+02
2.8507114621e-05 1.8906658921e+02
3.0472343497e-05 2.0155983088e+02
3.2573050703e-05 2.1487821309e+02
3.4818578570e-05 2.2907616689e+02
3.7218906073e-05 2.4421164826e+02
3.9784710680e-05 2.6034647919e+02
4.2527393816e-05 2.7754645412e+02
4.5459153625e-05 2.9588173872e+02
4.8593024985e-05 3.1542705663e+02
5.1942937716e-05 3.3626198415e+02
5.5523789342e-05 3.5847132807e+02
5.9351499658e-05 3.8214538241e+02
6.3443083491e-05 4.0738029009e+02
6.7816734372e-05 4.3427846253e+02
7.2491893661e-05 4.6294889972e+02
7.7489348769e-05 4.9350767906e+02
8.2831327745e-05 5.2607841022e+02
8.8541564764e-05 5.6079250178e+02
9.4645460194e-05 5.9778999265e+02
1.0117013881e-04 6.3721975117e+02
1.0814462439e-04 6.7924036896e+02
1.1559991981e-04 7.2402046988e+02
1.2356915977e-04 7.7173944821e+02
1.3208779274e-04 8.2258836739e+02
1.4119368279e-04 8.7677036852e+02
1.5092732792e-04 9.3450176344e+02
1.6133197642e-04 9.9601250929e+02
