z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.5400000000e-01        0.022445000000000007        0.67067        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0298974606e-06 5.0608486825e+01
7.5145258052e-06 5.3953273175e+01
8.0325635281e-06 5.7519113335e+01
8.5863139248e-06 6.1320626119e+01
9.1782385425e-06 6.5373400429e+01
9.8109694591e-06 6.9693999010e+01
1.0487319742e-05 7.4300156955e+01
1.1210296179e-05 7.9210736764e+01
1.1983113836e-05 8.4445866927e+01
1.2809206964e-05 9.0026971885e+01
1.3692250832e-05 9.5976944332e+01
1.4636168999e-05 1.0232013023e+02
1.5645160602e-05 1.0908257600e+02
1.6723708541e-05 1.1629191618e+02
1.7876611309e-05 1.2397771801e+02
1.9108991182e-05 1.3217148140e+02
2.0426330593e-05 1.4090673636e+02
2.1834483050e-05 1.5021925272e+02
2.3339713152e-05 1.6014724990e+02
2.4948709324e-05 1.7073134443e+02
2.6668629289e-05 1.8201492457e+02
2.8507114621e-05 1.9404413527e+02
3.0472343497e-05 2.0686829769e+02
3.2573050703e-05 2.2053990921e+02
3.4818578570e-05 2.3511501798e+02
3.7218906073e-05 2.5065320792e+02
3.9784710680e-05 2.6721812310e+02
4.2527393816e-05 2.8487761759e+02
4.5459153625e-05 3.0370395019e+02
4.8593024985e-05 3.2377421894e+02
5.1942937716e-05 3.4517046597e+02
5.5523789342e-05 3.6798030676e+02
5.9351499658e-05 3.9229702004e+02
6.3443083491e-05 4.1822023697e+02
6.7816734372e-05 4.4585564148e+02
7.2491893661e-05 4.7531634864e+02
7.7489348769e-05 5.0672272487e+02
8.2831327745e-05 5.4020322693e+02
8.8541564764e-05 5.7589407234e+02
9.4645460194e-05 6.1394154659e+02
1.0117013881e-04 6.5450026524e+02
1.0814462439e-04 6.9773587072e+02
1.1559991981e-04 7.4382431313e+02
1.2356915977e-04 7.9295322864e+02
1.3208779274e-04 8.4532211928e+02
1.4119368279e-04 9.0114415077e+02
1.5092732792e-04 9.6064507381e+02
1.6133197642e-04 1.0240662205e+03
1.7245390336e-04 1.0916640250e+03
1.8434255617e-04 1.1637110422e+03
1.9705080194e-04 1.2404980452e+03
2.1063511667e-04 1.3223325871e+03
2.2515591991e-04 1.4095433159e+03
2.4067774939e-04 1.5024780566e+03
2.5726962485e-04 1.6015069279e+03
2.7500532451e-04 1.7070229409e+03
2.9396370519e-04 1.8194417597e+03
3.1422902248e-04 1.9392050574e+03
3.3589138184e-04 2.0667795574e+03
3.5904711694e-04 2.2026617075e+03
3.8379916805e-04 2.3473732452e+03
4.1025757673e-04 2.5014676703e+03
4.3854000978e-04 2.6655282072e+03
4.6877213754e-04 2.8401670854e+03
5.0108844880e-04 3.0260344096e+03
5.3563254187e-04 3.2238071321e+03
5.7255808497e-04 3.4341998407e+03
6.1202916550e-04 3.6579573267e+03
6.5422133775e-04 3.8958617773e+03
6.9932214683e-04 4.1487291789e+03
7.4753217632e-04 4.4174054826e+03
7.9906563042e-04 4.7027711580e+03
8.5415178910e-04 5.0057414334e+03
9.1303541558e-04 5.3272569467e+03
9.7597844433e-04 5.6682899781e+03
1.0432605632e-03 6.0298353409e+03
1.1151810177e-03 6.4129065461e+03
1.1920596007e-03 6.8185377202e+03
1.2742379913e-03 7.2477668251e+03
1.3620816171e-03 7.7016318224e+03
1.4559810516e-03 8.1811625238e+03
1.5563537599e-03 8.6873686050e+03
1.6636458458e-03 9.2212156341e+03
1.7783346120e-03 9.7836384958e+03
1.9009297248e-03 1.0375496325e+04
2.0319763571e-03 1.0997571550e+04
2.1720570512e-03 1.1650558380e+04
2.3217946291e-03 1.2335028295e+04
2.4818549864e-03 1.3051418534e+04
2.6529494207e-03 1.3800000452e+04
2.8358388227e-03 1.4580857470e+04
3.0313364696e-03 1.5393861101e+04
3.2403112855e-03 1.6238642185e+04
3.4636922646e-03 1.7114545825e+04
3.7024728954e-03 1.8020599739e+04
3.9577148855e-03 1.8955473035e+04
4.2305523530e-03 1.9917428266e+04
4.5221988112e-03 2.0904292664e+04
4.8339506611e-03 2.1914434255e+04
5.1671946421e-03 2.2942613848e+04
5.5234115571e-03 2.3986054598e+04
