z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.1700000000e+00        0.022445000000000007        0.67067        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0298974606e-06 5.0571791027e+01
7.5145258052e-06 5.3914154482e+01
8.0325635281e-06 5.7477413222e+01
8.5863139248e-06 6.1276171857e+01
9.1782385425e-06 6.5325990903e+01
9.8109694591e-06 6.9643463432e+01
1.0487319742e-05 7.4246287220e+01
1.1210296179e-05 7.9153305324e+01
1.1983113836e-05 8.4384641354e+01
1.2809206964e-05 8.9961708490e+01
1.3692250832e-05 9.5907367299e+01
1.4636168999e-05 1.0224596631e+02
1.5645160602e-05 1.0900348631e+02
1.6723708541e-05 1.1620760346e+02
1.7876611309e-05 1.2388785163e+02
1.9108991182e-05 1.3207564944e+02
2.0426330593e-05 1.4080458885e+02
2.1834483050e-05 1.5011039005e+02
2.3339713152e-05 1.6003119006e+02
2.4948709324e-05 1.7060759681e+02
2.6668629289e-05 1.8188298677e+02
2.8507114621e-05 1.9390347785e+02
3.0472343497e-05 2.0671838035e+02
3.2573050703e-05 2.2038007065e+02
3.4818578570e-05 2.3494460449e+02
3.7218906073e-05 2.5047159067e+02
3.9784710680e-05 2.6702458789e+02
4.2527393816e-05 2.8467130309e+02
4.5459153625e-05 3.0348402435e+02
4.8593024985e-05 3.2353974715e+02
5.1942937716e-05 3.4492060720e+02
5.5523789342e-05 3.6771404278e+02
5.9351499658e-05 3.9201319152e+02
6.3443083491e-05 4.1791761187e+02
6.7816734372e-05 4.4553321092e+02
7.2491893661e-05 4.7497271334e+02
7.7489348769e-05 5.0635652715e+02
8.2831327745e-05 5.3981296007e+02
8.8541564764e-05 5.7547847210e+02
9.4645460194e-05 6.1349857727e+02
1.0117013881e-04 6.5402845689e+02
1.0814462439e-04 6.9723321204e+02
1.1559991981e-04 7.4328901786e+02
1.2356915977e-04 7.9238315966e+02
1.3208779274e-04 8.4471525931e+02
1.4119368279e-04 9.0049792458e+02
1.5092732792e-04 9.5995725413e+02
1.6133197642e-04 1.0233343525e+03
1.7245390336e-04 1.0908854024e+03
1.8434255617e-04 1.1628832516e+03
1.9705080194e-04 1.2396175574e+03
2.1063511667e-04 1.3213968788e+03
2.2515591991e-04 1.4085493259e+03
2.4067774939e-04 1.5014227761e+03
2.5726962485e-04 1.6003867498e+03
2.7500532451e-04 1.7058342864e+03
2.9396370519e-04 1.8181816557e+03
3.1422902248e-04 1.9378705220e+03
3.3589138184e-04 2.0653677998e+03
3.5904711694e-04 2.2011685401e+03
3.8379916805e-04 2.3457957852e+03
4.1025757673e-04 2.4998030224e+03
4.3854000978e-04 2.6637725964e+03
4.6877213754e-04 2.8383198938e+03
5.0108844880e-04 3.0240916115e+03
5.3563254187e-04 3.2217670556e+03
5.7255808497e-04 3.4320598725e+03
6.1202916550e-04 3.6557157404e+03
6.5422133775e-04 3.8935178524e+03
6.9932214683e-04 4.1462785477e+03
7.4753217632e-04 4.4148462373e+03
7.9906563042e-04 4.7001013640e+03
8.5415178910e-04 5.0029564027e+03
9.1303541558e-04 5.3243512427e+03
9.7597844433e-04 5.6652578051e+03
1.0432605632e-03 6.0266659030e+03
1.1151810177e-03 6.4095913208e+03
1.1920596007e-03 6.8150660036e+03
1.2742379913e-03 7.2441242048e+03
1.3620816171e-03 7.6978082578e+03
1.4559810516e-03 8.1771443362e+03
1.5563537599e-03 8.6831424530e+03
1.6636458458e-03 9.2167751065e+03
1.7783346120e-03 9.7789703547e+03
1.9009297248e-03 1.0370587574e+04
2.0319763571e-03 1.0992415153e+04
2.1720570512e-03 1.1645138745e+04
2.3217946291e-03 1.2329335501e+04
2.4818549864e-03 1.3045439438e+04
2.6529494207e-03 1.3793721816e+04
2.8358388227e-03 1.4574274981e+04
3.0313364696e-03 1.5386968495e+04
3.2403112855e-03 1.6231426056e+04
3.4636922646e-03 1.7107002411e+04
3.7024728954e-03 1.8012723330e+04
3.9577148855e-03 1.8947268293e+04
4.2305523530e-03 1.9908882762e+04
4.5221988112e-03 2.0895417430e+04
4.8339506611e-03 2.1905234344e+04
5.1671946421e-03 2.2933092978e+04
5.5234115571e-03 2.3976225320e+04
5.9041851200e-03 2.5030268112e+04
6.3112089410e-03 2.6089574516e+04
6.7462921143e-03 2.7149464995e+04
7.2113694623e-03 2.8202923711e+04
7.7085080557e-03 2.9242844788e+04
8.2399183884e-03 3.0260543268e+04
8.8079627603e-03 3.1246946345e+04
9.4151683152e-03 3.2192307106e+04
1.0064232163e-02 3.3085680470e+04
1.0758042335e-02 3.3915414926e+04
1.1499681510e-02 3.4668718512e+04
1.2292448431e-02 3.5332180564e+04
1.3139867224e-02 3.5891702452e+04
1.4045706019e-02 3.6332733060e+04
1.5013990924e-02 3.6640608153e+04
1.6049027443e-02 3.6800924365e+04
1.7155418172e-02 3.6799993998e+04
1.8338082358e-02 3.6625500665e+04
1.9602276385e-02 3.6267344232e+04
