z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.2060000000e+00        0.022445000000000007        0.67067        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0298974606e-06 4.9239617261e+01
7.5145258052e-06 5.2493897367e+01
8.0325635281e-06 5.5963253548e+01
8.5863139248e-06 5.9661898905e+01
9.1782385425e-06 6.3604981924e+01
9.8109694591e-06 6.7808657364e+01
1.0487319742e-05 7.2290144058e+01
1.1210296179e-05 7.7067796898e+01
1.1983113836e-05 8.2161189736e+01
1.2809206964e-05 8.7591173089e+01
1.3692250832e-05 9.3380002173e+01
1.4636168999e-05 9.9551368157e+01
1.5645160602e-05 1.0613055927e+02
1.6723708541e-05 1.1314449532e+02
1.7876611309e-05 1.2062191485e+02
1.9108991182e-05 1.2859340657e+02
2.0426330593e-05 1.3709162184e+02
2.1834483050e-05 1.4615132016e+02
2.3339713152e-05 1.5580960025e+02
2.4948709324e-05 1.6610595298e+02
2.6668629289e-05 1.7708252184e+02
2.8507114621e-05 1.8878416243e+02
3.0472343497e-05 2.0125874280e+02
3.2573050703e-05 2.1455723142e+02
3.4818578570e-05 2.2873397809e+02
3.7218906073e-05 2.4384685231e+02
3.9784710680e-05 2.5995758382e+02
4.2527393816e-05 2.7713186890e+02
4.5459153625e-05 2.9543976856e+02
4.8593024985e-05 3.1495589500e+02
5.1942937716e-05 3.3575970586e+02
5.5523789342e-05 3.5793588154e+02
5.9351499658e-05 3.8157458150e+02
6.3443083491e-05 4.0677180545e+02
6.7816734372e-05 4.3362981230e+02
7.2491893661e-05 4.6225743980e+02
7.7489348769e-05 4.9277059268e+02
8.2831327745e-05 5.2529269680e+02
8.8541564764e-05 5.5995496547e+02
9.4645460194e-05 5.9689722965e+02
1.0117013881e-04 6.3626813681e+02
1.0814462439e-04 6.7822604344e+02
1.1559991981e-04 7.2293932366e+02
1.2356915977e-04 7.7058710632e+02
1.3208779274e-04 8.2136017253e+02
1.4119368279e-04 8.7546136360e+02
1.5092732792e-04 9.3310667260e+02
1.6133197642e-04 9.9452571832e+02
1.7245390336e-04 1.0599631542e+03
1.8434255617e-04 1.1296792864e+03
1.9705080194e-04 1.2039512751e+03
2.1063511667e-04 1.2830739741e+03
2.2515591991e-04 1.3673615916e+03
2.4067774939e-04 1.4571483856e+03
2.5726962485e-04 1.5527904199e+03
2.7500532451e-04 1.6546667632e+03
2.9396370519e-04 1.7631808869e+03
3.1422902248e-04 1.8787619986e+03
3.3589138184e-04 2.0018670485e+03
3.5904711694e-04 2.1329822280e+03
3.8379916805e-04 2.2726243733e+03
4.1025757673e-04 2.4213429125e+03
4.3854000978e-04 2.5797218400e+03
4.6877213754e-04 2.7483807217e+03
5.0108844880e-04 2.9279779592e+03
5.3563254187e-04 3.1192109149e+03
5.7255808497e-04 3.3228195063e+03
6.1202916550e-04 3.5395861052e+03
6.5422133775e-04 3.7703389283e+03
6.9932214683e-04 4.0159520940e+03
7.4753217632e-04 4.2773480095e+03
7.9906563042e-04 4.5554965586e+03
8.5415178910e-04 4.8514182043e+03
9.1303541558e-04 5.1661804274e+03
9.7597844433e-04 5.5008998269e+03
1.0432605632e-03 5.8567367729e+03
1.1151810177e-03 6.2348947145e+03
1.1920596007e-03 6.6366128696e+03
1.2742379913e-03 7.0631580436e+03
1.3620816171e-03 7.5158158732e+03
1.4559810516e-03 7.9958757522e+03
1.5563537599e-03 8.5046131152e+03
1.6636458458e-03 9.0432667199e+03
1.7783346120e-03 9.6130145943e+03
1.9009297248e-03 1.0214937415e+04
2.0319763571e-03 1.0849986429e+04
2.1720570512e-03 1.1518940396e+04
2.3217946291e-03 1.2222364403e+04
2.4818549864e-03 1.2960566749e+04
2.6529494207e-03 1.3733554964e+04
2.8358388227e-03 1.4541004306e+04
3.0313364696e-03 1.5382226252e+04
3.2403112855e-03 1.6256147720e+04
3.4636922646e-03 1.7161304394e+04
3.7024728954e-03 1.8095841984e+04
3.9577148855e-03 1.9057520655e+04
4.2305523530e-03 2.0043724139e+04
4.5221988112e-03 2.1051477088e+04
4.8339506611e-03 2.2077443553e+04
5.1671946421e-03 2.3117930328e+04
5.5234115571e-03 2.4168866882e+04
5.9041851200e-03 2.5225789769e+04
6.3112089410e-03 2.6283808373e+04
6.7462921143e-03 2.7337556344e+04
7.2113694623e-03 2.8381144412e+04
7.7085080557e-03 2.9408092349e+04
8.2399183884e-03 3.0411258992e+04
8.8079627603e-03 3.1382750717e+04
9.4151683152e-03 3.2313820732e+04
1.0064232163e-02 3.3194736891e+04
1.0758042335e-02 3.4014657346e+04
1.1499681510e-02 3.4761476417e+04
1.2292448431e-02 3.5421715549e+04
1.3139867224e-02 3.5980472404e+04
1.4045706019e-02 3.6421535840e+04
1.5013990924e-02 3.6727772589e+04
1.6049027443e-02 3.6881935784e+04
1.7155418172e-02 3.6868013174e+04
1.8338082358e-02 3.6673144024e+04
1.9602276385e-02 3.6289921828e+04
2.0953619853e-02 3.5718612888e+04
2.2398125380e-02 3.4968582542e+04
2.3942209780e-02 3.4058242650e+04
2.5592742488e-02 3.3013174764e+04
2.7357058600e-02 3.1862815047e+04
2.9243005440e-02 3.0636607399e+04
3.1258963049e-02 2.9360765877e+04
3.3413898200e-02 2.8056360114e+04
3.5717394203e-02 2.6738904654e+04
3.8179684430e-02 2.5419073987e+04
4.0811721235e-02 2.4103967530e+04
4.3625205755e-02 2.2798471768e+04
4.6448014677e-02 2.1582828971e+04
4.9270823598e-02 2.0452333612e+04
5.2093628794e-02 1.9399026265e+04
5.4916437715e-02 1.8416059859e+04
5.7739246637e-02 1.7497507058e+04
6.0562051833e-02 1.6638168771e+04
6.3384860754e-02 1.5833426608e+04
6.6207669675e-02 1.5079144156e+04
6.9030478597e-02 1.4371573489e+04
7.1853287518e-02 1.3707302946e+04
7.4676088989e-02 1.3083215165e+04
7.7498897910e-02 1.2496442721e+04
8.0321706832e-02 1.1944353156e+04
8.3144515753e-02 1.1424520689e+04
8.5967324674e-02 1.0934707325e+04
8.8790133596e-02 1.0472847469e+04
9.1612935066e-02 1.0037034999e+04
9.5230370760e-02 9.5138118493e+03
9.8847806454e-02 9.0270869850e+03
1.0246524215e-01 8.5737904692e+03
1.0608267784e-01 8.1511429113e+03
1.0970010608e-01 7.7566269749e+03
1.1331754178e-01 7.3879579217e+03
1.1693497747e-01 7.0430649004e+03
1.2055241317e-01 6.7200664704e+03
1.2416984886e-01 6.4172524405e+03
1.2778727710e-01 6.1330673923e+03
1.3140471280e-01 5.8660930990e+03
1.3502214849e-01 5.6150383388e+03
1.3863958418e-01 5.3787242458e+03
1.4225701988e-01 5.1560739329e+03
1.4587445557e-01 4.9461026240e+03
1.4949189127e-01 4.7479088430e+03
1.5310931206e-01 4.5606672342e+03
1.5672674775e-01 4.3836184293e+03
1.6034418345e-01 4.2160672910e+03
1.6396161914e-01 4.0573740635e+03
1.6757905483e-01 3.9069500257e+03
1.7119649053e-01 3.7642528551e+03
1.7481392622e-01 3.6287824670e+03
1.7843136191e-01 3.5000772650e+03
1.8204879761e-01 3.3777107488e+03
1.8566623330e-01 3.2612884644e+03
1.8928365409e-01 3.1504456934e+03
1.9290108979e-01 3.0448431486e+03
1.9651852548e-01 2.9441674561e+03
2.0013596117e-01 2.8481272651e+03
2.0375339687e-01 2.7564518550e+03
2.0737083256e-01 2.6688894542e+03
2.1098826826e-01 2.5852057123e+03
2.1460570395e-01 2.5051823044e+03
2.1822313964e-01 2.4286156665e+03
2.2184057534e-01 2.3553158433e+03
2.2545801103e-01 2.2851054320e+03
2.2907543182e-01 2.2178188944e+03
2.3269286752e-01 2.1533005836e+03
2.3631030321e-01 2.0914056007e+03
2.3992773890e-01 2.0319979403e+03
2.4354517460e-01 1.9749501020e+03
2.4716261029e-01 1.9201424701e+03
2.5078004599e-01 1.8674627474e+03
2.5439748168e-01 1.8168054357e+03
2.5801491737e-01 1.7680713556e+03
2.6163235307e-01 1.7211672057e+03
2.6524978876e-01 1.6760051581e+03
2.6886722445e-01 1.6325024834e+03
2.7248466015e-01 1.5905812052e+03
2.7610209584e-01 1.5501677832e+03
2.7971953154e-01 1.5111928174e+03
2.8333693743e-01 1.4735910806e+03
2.8695437312e-01 1.4373000397e+03
2.9057180881e-01 1.4022614795e+03
2.9418924451e-01 1.3684200373e+03
2.9780668020e-01 1.3357233177e+03
3.0142411590e-01 1.3041217071e+03
3.0504155159e-01 1.2735682002e+03
3.0865898728e-01 1.2440182406e+03
3.1227642298e-01 1.2154295708e+03
3.1589385867e-01 1.1877620935e+03
3.1951129436e-01 1.1609777427e+03
3.2312873006e-01 1.1350403627e+03
3.2674616575e-01 1.1099155963e+03
3.3036360145e-01 1.0855707795e+03
3.3398103714e-01 1.0619748443e+03
3.3759847283e-01 1.0390982268e+03
3.4121590853e-01 1.0169127821e+03
3.4483334422e-01 9.9539170436e+02
3.4845077992e-01 9.7450945208e+02
3.5206821561e-01 9.5424167823e+02
3.5568562150e-01 9.3456532443e+02
3.5930305719e-01 9.1545791584e+02
3.6292049289e-01 8.9689847617e+02
3.6653792858e-01 8.7886682043e+02
3.7015536428e-01 8.6134366866e+02
3.7377279997e-01 8.4431059839e+02
3.7739023566e-01 8.2774999983e+02
3.8100767136e-01 8.1164503367e+02
3.8462510705e-01 7.9597959158e+02
3.8824254274e-01 7.8073825891e+02
3.9185997844e-01 7.6590627955e+02
3.9547741413e-01 7.5146952286e+02
3.9909484982e-01 7.3741445262e+02
4.0271228552e-01 7.2372809746e+02
4.0632972121e-01 7.1039802328e+02
4.0994715691e-01 6.9741230706e+02
4.1356459260e-01 6.8475951209e+02
4.1718202829e-01 6.7242866473e+02
4.2079946399e-01 6.6040923233e+02
4.2441689968e-01 6.4869110231e+02
4.2803430557e-01 6.3726465551e+02
4.3165174127e-01 6.2612037337e+02
4.3526917696e-01 6.1524938492e+02
4.3888661265e-01 6.0464307127e+02
4.4250404835e-01 5.9429314508e+02
4.4612148404e-01 5.8419163552e+02
4.4973891974e-01 5.7433087404e+02
4.5335635543e-01 5.6470348094e+02
4.5697379112e-01 5.5530235247e+02
4.6059122682e-01 5.4612064873e+02
4.6420866251e-01 5.3715178213e+02
4.6782609820e-01 5.2838940639e+02
4.7144353390e-01 5.1982740620e+02
4.7506096959e-01 5.1145988724e+02
4.7867840528e-01 5.0328116683e+02
4.8229584098e-01 4.9528576493e+02
4.8591327667e-01 4.8746839570e+02
4.8953071237e-01 4.7982395929e+02
4.9314814806e-01 4.7234753423e+02
4.9676558375e-01 4.6503437001e+02
5.0038301945e-01 4.5787988010e+02
5.0400042534e-01 4.5087969233e+02
5.0761789083e-01 4.4402935731e+02
5.1123529673e-01 4.3732496746e+02
5.1485276222e-01 4.3076230751e+02
