z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.5400000000e-01        0.022445000000000007        0.67134        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0242085712e-06 5.0699586683e+01
7.5084535638e-06 5.4050453452e+01
8.0260824689e-06 5.7622791046e+01
8.5793963080e-06 6.1431224263e+01
9.1708561740e-06 6.5491380571e+01
9.8030895970e-06 6.9819863923e+01
1.0478909644e-05 7.4434430594e+01
1.1201320376e-05 7.9353974221e+01
1.1973534129e-05 8.4598667969e+01
1.2798983334e-05 9.0189986980e+01
1.3681338714e-05 9.6150843061e+01
1.4624522919e-05 1.0250566699e+02
1.5632729628e-05 1.0928047588e+02
1.6710442651e-05 1.1650303026e+02
1.7862452296e-05 1.2420296135e+02
1.9093880837e-05 1.3241173359e+02
2.0410201614e-05 1.4116302631e+02
2.1817271772e-05 1.5049272617e+02
2.3321343178e-05 1.6043896466e+02
2.4929104256e-05 1.7104252209e+02
2.6647703635e-05 1.8234685758e+02
2.8484782888e-05 1.9439825865e+02
3.0448509278e-05 2.0724608073e+02
3.2547613955e-05 2.2094294165e+02
3.4791428334e-05 2.3554490126e+02
3.7189933209e-05 2.5111182059e+02
3.9753787860e-05 2.6770733191e+02
4.2494393711e-05 2.8539952713e+02
4.5423934353e-05 3.0426071838e+02
4.8555437388e-05 3.2436815629e+02
5.1902825362e-05 3.4580406000e+02
5.5480977608e-05 3.6865630548e+02
5.9305806644e-05 3.9301812628e+02
6.3394320023e-05 4.1898940052e+02
6.7764689447e-05 4.4667611215e+02
7.2436356277e-05 4.7619172773e+02
7.7430078818e-05 5.0765656793e+02
8.2768070570e-05 5.4119927408e+02
8.8474058430e-05 5.7695677829e+02
9.4573413662e-05 6.1507490201e+02
1.0109325376e-04 6.5570940363e+02
1.0806257342e-04 6.9902579887e+02
1.1551235366e-04 7.4520013901e+02
1.2347570737e-04 7.9442080670e+02
1.3198806846e-04 8.4688791734e+02
1.4108725009e-04 9.0281409730e+02
1.5081373567e-04 9.6242645929e+02
1.6121075896e-04 1.0259664827e+03
1.7232455139e-04 1.0936908516e+03
1.8420451670e-04 1.1658733104e+03
1.9690347835e-04 1.2428040655e+03
2.1047789778e-04 1.3247923588e+03
2.2498813632e-04 1.4121669471e+03
2.4049870262e-04 1.5052765807e+03
2.5707855821e-04 1.6044915600e+03
2.7480142307e-04 1.7102056507e+03
2.9374609585e-04 1.8228357250e+03
3.1399680302e-04 1.9428243954e+03
3.3564359182e-04 2.0706400145e+03
3.5878267954e-04 2.2067783513e+03
3.8351697731e-04 2.3517627109e+03
4.0995643940e-04 2.5061474063e+03
4.3821861618e-04 2.6705166812e+03
4.6842917800e-04 2.8454859070e+03
5.0072243903e-04 3.0317032587e+03
5.3524202667e-04 3.2298499548e+03
5.7214131812e-04 3.4406388205e+03
6.1158445897e-04 3.6648197946e+03
6.5374677069e-04 3.9031739439e+03
6.9881574018e-04 4.1565172937e+03
7.4699171819e-04 4.4256998706e+03
7.9848896712e-04 4.7116052234e+03
8.5353635950e-04 5.0151470707e+03
9.1237871675e-04 5.3372683434e+03
9.7527762409e-04 5.6789431002e+03
1.0425128276e-03 6.0411688650e+03
1.1143831070e-03 6.4249623176e+03
1.1912080226e-03 6.8313545042e+03
1.2733293697e-03 7.2613898800e+03
1.3611119939e-03 7.7161076324e+03
1.4549463522e-03 8.1965354555e+03
1.5552496770e-03 8.7036857189e+03
1.6624677228e-03 9.2385329600e+03
1.7770774430e-03 9.8020023910e+03
1.8995882710e-03 1.0394957926e+04
2.0305449143e-03 1.1018189731e+04
2.1705296822e-03 1.1672383573e+04
2.3201648146e-03 1.2358115076e+04
2.4801157415e-03 1.3075821945e+04
2.6510935277e-03 1.3825770440e+04
2.8338585980e-03 1.4608051550e+04
3.0292235315e-03 1.5422534061e+04
3.2380565535e-03 1.6268839650e+04
3.4612864256e-03 1.7146317988e+04
3.6999057047e-03 1.8053993100e+04
3.9549754001e-03 1.8990522183e+04
4.2276293971e-03 1.9954173579e+04
4.5190798119e-03 2.0942759725e+04
4.8306230456e-03 2.1954656233e+04
5.1636435091e-03 2.2984597248e+04
5.5196224712e-03 2.4029810966e+04
5.9001427144e-03 2.5085916517e+04
6.3068955205e-03 2.6147251527e+04
6.7416895181e-03 2.7209119060e+04
7.2064581327e-03 2.8264487123e+04
7.7032675035e-03 2.9306222197e+04
8.2343267277e-03 3.0325631503e+04
8.8019976392e-03 3.1313618081e+04
9.4088027254e-03 3.2260383879e+04
1.0057440028e-02 3.3154993005e+04
1.0750794783e-02 3.3985733770e+04
1.1491949670e-02 3.4739810281e+04
1.2284198776e-02 3.5403763865e+04
1.3131065294e-02 3.5963492222e+04
1.4036313631e-02 3.6404402669e+04
1.5003969893e-02 3.6711791426e+04
1.6038335860e-02 3.6871261195e+04
1.7144011334e-02 3.6869096621e+04
1.8325909972e-02 3.6692953880e+04
1.9589288160e-02 3.6332772488e+04
2.0939763635e-02 3.5781633471e+04
2.2383341566e-02 3.5036828235e+04
2.3926436901e-02 3.4101042386e+04
2.5575913489e-02 3.2983455253e+04
2.7339102700e-02 3.1700605718e+04
2.9223846272e-02 3.0277014773e+04
3.1238524243e-02 2.8745172109e+04
3.3392090350e-02 2.7144836940e+04
3.5694126040e-02 2.5521365724e+04
3.8154859096e-02 2.3922967178e+04
4.0785238147e-02 2.2397102954e+04
4.3596949428e-02 2.0985859663e+04
4.6417929232e-02 1.9791784506e+04
4.9238909036e-02 1.8799185277e+04
5.2059888840e-02 1.7977865201e+04
5.4880868644e-02 1.7292248631e+04
5.7701844722e-02 1.6704982287e+04
6.0522824526e-02 1.6179536579e+04
6.3343808055e-02 1.5682905574e+04
6.6164784133e-02 1.5187590554e+04
6.8985760212e-02 1.4673717658e+04
7.1806743741e-02 1.4127756379e+04
7.4627719820e-02 1.3544521317e+04
7.7448703349e-02 1.2929131785e+04
8.0269679427e-02 1.2288015422e+04
8.3090662956e-02 1.1633883835e+04
8.5911639035e-02 1.0983678174e+04
8.8732615113e-02 1.0355159444e+04
9.1553598642e-02 9.7624969881e+03
9.5167994499e-02 9.0702219564e+03
9.8782390356e-02 8.4659512510e+03
1.0239678621e-01 7.9591309416e+03
1.0601118952e-01 7.5489296782e+03
1.0962558538e-01 7.2229825677e+03
1.1323998123e-01 6.9641803713e+03
1.1685437709e-01 6.7546303894e+03
1.2046877295e-01 6.5749261566e+03
1.2408316881e-01 6.4057823664e+03
1.2769757211e-01 6.2314728092e+03
1.3131196797e-01 6.0410002963e+03
1.3492636383e-01 5.8267921689e+03
1.3854075968e-01 5.5886401105e+03
1.4215515554e-01 5.3322404963e+03
1.4576955140e-01 5.0664273767e+03
1.4938394725e-01 4.8004816051e+03
1.5299834311e-01 4.5436691892e+03
1.5661273897e-01 4.3048146018e+03
1.6022713482e-01 4.0907491830e+03
1.6384153068e-01 3.9050859050e+03
1.6745594144e-01 3.7483316707e+03
1.7107033730e-01 3.6186180980e+03
1.7468473315e-01 3.5121734633e+03
1.7829912901e-01 3.4236888122e+03
1.8191352487e-01 3.3470183329e+03
1.8552792072e-01 3.2761105547e+03
1.8914231658e-01 3.2056780731e+03
1.9275671244e-01 3.1315071507e+03
1.9637110829e-01 3.0507112890e+03
1.9998550415e-01 2.9620709992e+03
2.0359990001e-01 2.8661279038e+03
2.0721429586e-01 2.7648080912e+03
2.1082869172e-01 2.6608330830e+03
2.1444310248e-01 2.5572979336e+03
2.1805749834e-01 2.4573111063e+03
2.2167189419e-01 2.3635356983e+03
2.2528629005e-01 2.2778702620e+03
2.2890068591e-01 2.2013992396e+03
2.3251508176e-01 2.1343697375e+03
2.3612947762e-01 2.0761347777e+03
2.3974387348e-01 2.0253822065e+03
2.4335826933e-01 1.9805313337e+03
2.4697266519e-01 1.9398320625e+03
2.5058707595e-01 1.9013311275e+03
2.5420147181e-01 1.8631676890e+03
2.5781586766e-01 1.8240101983e+03
2.6143026352e-01 1.7831238015e+03
2.6504465938e-01 1.7401917141e+03
2.6865905523e-01 1.6952852903e+03
2.7227345109e-01 1.6488935948e+03
2.7588784695e-01 1.6018131383e+03
2.7950224280e-01 1.5549958309e+03
2.8311663866e-01 1.5094382389e+03
2.8673103452e-01 1.4660193616e+03
2.9034543037e-01 1.4253540914e+03
2.9395982623e-01 1.3877816009e+03
2.9757422209e-01 1.3534147880e+03
3.0118861795e-01 1.3221406351e+03
3.0480301380e-01 1.2936224838e+03
3.0841740966e-01 1.2673517548e+03
3.1203180551e-01 1.2427311548e+03
3.1564620137e-01 1.2191605171e+03
3.1926059723e-01 1.1961071985e+03
3.2287499309e-01 1.1731338541e+03
3.2648938894e-01 1.1499199882e+03
3.3010378480e-01 1.1263056520e+03
3.3371821046e-01 1.1022951556e+03
3.3733260632e-01 1.0780075026e+03
3.4094700217e-01 1.0536489741e+03
3.4456139803e-01 1.0295012762e+03
3.4817579389e-01 1.0058665873e+03
3.5179018974e-01 9.8299973570e+02
3.5540458560e-01 9.6109443177e+02
3.5901898146e-01 9.4029931040e+02
3.6263337731e-01 9.2069590232e+02
3.6624777317e-01 9.0226960142e+02
3.6986216903e-01 8.8492355257e+02
3.7347656488e-01 8.6850846238e+02
3.7709096074e-01 8.5284420902e+02
3.8070535660e-01 8.3774677971e+02
3.8431975245e-01 8.2305119745e+02
3.8793414831e-01 8.0861223941e+02
3.9154854417e-01 7.9430222201e+02
3.9516294003e-01 7.8003398761e+02
3.9877733588e-01 7.6578317277e+02
4.0239173174e-01 7.5158060591e+02
4.0600612760e-01 7.3748303529e+02
4.0962052345e-01 7.2355505095e+02
4.1323491931e-01 7.0986770794e+02
4.1684931517e-01 6.9649972349e+02
4.2046371102e-01 6.8352819860e+02
4.2407810688e-01 6.7100958223e+02
4.2769253254e-01 6.5897027309e+02
4.3130692840e-01 6.4740889436e+02
4.3492132425e-01 6.3630383623e+02
4.3853572011e-01 6.2561984054e+02
4.4215011597e-01 6.1531099389e+02
4.4576451182e-01 6.0532228401e+02
4.4937890768e-01 5.9559367028e+02
4.5299330354e-01 5.8606708750e+02
4.5660769939e-01 5.7669758006e+02
4.6022209525e-01 5.6745833020e+02
4.6383649111e-01 5.5833533046e+02
4.6745088696e-01 5.4932181652e+02
4.7106528282e-01 5.4041988354e+02
4.7467967868e-01 5.3164276080e+02
4.7829407454e-01 5.2301169895e+02
4.8190847039e-01 5.1455136075e+02
4.8552286625e-01 5.0628485255e+02
4.8913726211e-01 4.9822785793e+02
4.9275165796e-01 4.9038690175e+02
4.9636605382e-01 4.8276306151e+02
4.9998044968e-01 4.7535576852e+02
5.0359487534e-01 4.6816086245e+02
5.0720924139e-01 4.6116451539e+02
5.1082366705e-01 4.5434616510e+02
5.1443803310e-01 4.4768348340e+02
5.1805245876e-01 4.4115923032e+02
5.2166682482e-01 4.3476017657e+02
5.2528125048e-01 4.2847578662e+02
5.2889561653e-01 4.2229498616e+02
5.3251004219e-01 4.1620897564e+02
5.3612440824e-01 4.1021425319e+02
5.3973883390e-01 4.0431402136e+02
5.4335319996e-01 3.9851474515e+02
5.4696762562e-01 3.9282124337e+02
5.5058199167e-01 3.8723573088e+02
5.5419641733e-01 3.8176039260e+02
5.5781078339e-01 3.7639876034e+02
5.6142520905e-01 3.7115523388e+02
5.6503957510e-01 3.6603041184e+02
5.6865400076e-01 3.6102016379e+02
5.7226842642e-01 3.5611832406e+02
5.7588279247e-01 3.5131881676e+02
5.7949721813e-01 3.4661754139e+02
6.2741476297e-01 2.9157673592e+02
7.6632601023e-01 1.8723659041e+02
9.3599247932e-01 1.1903885550e+02
1.1432236433e+00 7.5003664043e+01
1.3963360786e+00 4.6872327174e+01
1.7054901123e+00 2.9074293919e+01
2.0830900669e+00 1.7911542852e+01
2.5442914963e+00 1.0965932695e+01
3.1076040268e+00 6.6752609336e+00
3.7956349850e+00 4.0420614431e+00
4.6360030174e+00 2.4357196069e+00
5.6624255180e+00 1.4611887892e+00
