z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022445000000000007        0.67134        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0242085712e-06 4.9348997109e+01
7.5084535638e-06 5.2610565657e+01
8.0260824689e-06 5.6087698248e+01
8.5793963080e-06 5.9794636727e+01
9.1708561740e-06 6.3746573429e+01
9.8030895970e-06 6.7959682765e+01
1.0478909644e-05 7.2451236916e+01
1.1201320376e-05 7.7239629459e+01
1.1973534129e-05 8.2344476772e+01
1.2798983334e-05 8.7786681898e+01
1.3681338714e-05 9.3588538993e+01
1.4624522919e-05 9.9773806608e+01
1.5632729628e-05 1.0636781549e+02
1.6710442651e-05 1.1339757472e+02
1.7862452296e-05 1.2089185838e+02
1.9093880837e-05 1.2888134986e+02
2.0410201614e-05 1.3739874265e+02
2.1817271772e-05 1.4647892732e+02
2.3321343178e-05 1.5615903522e+02
2.4929104256e-05 1.6647867950e+02
2.6647703635e-05 1.7748007571e+02
2.8484782888e-05 1.8920821827e+02
3.0448509278e-05 2.0171105365e+02
3.2547613955e-05 2.1503968490e+02
3.4791428334e-05 2.2924856076e+02
3.7189933209e-05 2.4439574126e+02
3.9753787860e-05 2.6054303224e+02
4.2494393711e-05 2.7775633329e+02
4.5423934353e-05 2.9610583077e+02
4.8555437388e-05 3.1566632221e+02
5.1902825362e-05 3.3651746562e+02
5.5480977608e-05 3.5874409014e+02
5.9305806644e-05 3.8243658915e+02
6.3394320023e-05 4.0769121425e+02
6.7764689447e-05 4.3461040596e+02
7.2436356277e-05 4.6330333871e+02
7.7430078818e-05 4.9388609706e+02
8.2768070570e-05 5.2648239995e+02
8.8474058430e-05 5.6122382238e+02
9.4573413662e-05 5.9825045092e+02
1.0109325376e-04 6.3771134903e+02
1.0806257342e-04 6.7976518724e+02
1.1551235366e-04 7.2458072949e+02
1.2347570737e-04 7.7233752821e+02
1.3198806846e-04 8.2322686794e+02
1.4108725009e-04 8.7745191410e+02
1.5081373567e-04 9.3522924273e+02
1.6121075896e-04 9.9678909738e+02
1.7232455139e-04 1.0623766307e+03
1.8420451670e-04 1.1322526980e+03
1.9690347835e-04 1.2066950622e+03
2.1047789778e-04 1.2859994054e+03
2.2498813632e-04 1.3704805691e+03
2.4049870262e-04 1.4604736770e+03
2.5707855821e-04 1.5563355569e+03
2.7480142307e-04 1.6584461143e+03
2.9374609585e-04 1.7672097337e+03
3.1399680302e-04 1.8830567820e+03
3.3564359182e-04 2.0064452863e+03
3.5878267954e-04 2.1378622753e+03
3.8351697731e-04 2.2778260138e+03
4.0995643940e-04 2.4268871280e+03
4.3821861618e-04 2.5856307543e+03
4.6842917800e-04 2.7546783625e+03
5.0072243903e-04 2.9346893986e+03
5.3524202667e-04 3.1263635239e+03
5.7214131812e-04 3.3304413060e+03
6.1158445897e-04 3.5477078321e+03
6.5374677069e-04 3.7789925642e+03
6.9881574018e-04 4.0251719665e+03
7.4699171819e-04 4.2871699823e+03
7.9848896712e-04 4.5659597547e+03
8.5353635950e-04 4.8625626311e+03
9.1237871675e-04 5.1780496316e+03
9.7527762409e-04 5.5135388445e+03
1.0425128276e-03 5.8701944283e+03
1.1143831070e-03 6.2492209550e+03
1.1912080226e-03 6.6518601111e+03
1.2733293697e-03 7.0793830537e+03
1.3611119939e-03 7.5330761615e+03
1.4549463522e-03 8.0142319920e+03
1.5552496770e-03 8.5241284661e+03
1.6624677228e-03 9.0640061028e+03
1.7770774430e-03 9.6350444997e+03
1.8995882710e-03 1.0238326176e+04
2.0305449143e-03 1.0874802685e+04
2.1705296822e-03 1.1545253730e+04
2.3201648146e-03 1.2250243082e+04
2.4801157415e-03 1.2990077640e+04
2.6510935277e-03 1.3764763840e+04
2.8338585980e-03 1.4573973956e+04
3.0292235315e-03 1.5417014659e+04
3.2380565535e-03 1.6292807338e+04
3.4612864256e-03 1.7199883319e+04
3.6999057047e-03 1.8136380354e+04
3.9549754001e-03 1.9100051009e+04
4.2276293971e-03 2.0088272454e+04
4.5190798119e-03 2.1098057940e+04
4.8306230456e-03 2.2126064414e+04
5.1636435091e-03 2.3168583311e+04
5.5196224712e-03 2.4221537083e+04
5.9001427144e-03 2.5280449808e+04
6.3068955205e-03 2.6340414021e+04
6.7416895181e-03 2.7396050875e+04
7.2064581327e-03 2.8441455122e+04
7.7032675035e-03 2.9470130482e+04
8.2343267277e-03 3.0474917372e+04
8.8019976392e-03 3.1447903823e+04
9.4088027254e-03 3.2380316233e+04
1.0057440028e-02 3.3262402997e+04
1.0750794783e-02 3.4083294701e+04
1.1491949670e-02 3.4830859013e+04
1.2284198776e-02 3.5491583612e+04
1.3131065294e-02 3.6050534562e+04
1.4036313631e-02 3.6491466668e+04
1.5003969893e-02 3.6797216461e+04
1.6038335860e-02 3.6950510969e+04
1.7144011334e-02 3.6935323920e+04
1.8325909972e-02 3.6738798777e+04
1.9589288160e-02 3.6353555221e+04
2.0939763635e-02 3.5779909327e+04
2.2383341566e-02 3.5027299566e+04
2.3926436901e-02 3.4114219908e+04
2.5575913489e-02 3.3066334219e+04
2.7339102700e-02 3.1913146263e+04
2.9223846272e-02 3.0684148049e+04
3.1238524243e-02 2.9405577064e+04
3.3392090350e-02 2.8098518012e+04
3.5694126040e-02 2.6778483271e+04
3.8154859096e-02 2.5456143579e+04
4.0785238147e-02 2.4138593823e+04
4.3596949428e-02 2.2830723467e+04
4.6417929232e-02 2.1612931830e+04
4.9238909036e-02 2.0480472168e+04
5.2059888840e-02 1.9425363429e+04
5.4880868644e-02 1.8440744462e+04
5.7701844722e-02 1.7520673319e+04
6.0522824526e-02 1.6659934898e+04
6.3343808055e-02 1.5853901922e+04
6.6164784133e-02 1.5098429934e+04
6.8985760212e-02 1.4389760029e+04
7.1806743741e-02 1.3724470640e+04
7.4627719820e-02 1.3099439088e+04
7.7448703349e-02 1.2511791452e+04
8.0269679427e-02 1.1958890689e+04
8.3090662956e-02 1.1438302752e+04
8.5911639035e-02 1.0947787602e+04
8.8732615113e-02 1.0485273826e+04
9.1553598642e-02 1.0048849107e+04
9.5167994499e-02 9.5249994599e+03
9.8782390356e-02 9.0376942285e+03
1.0239678621e-01 8.5838591823e+03
1.0601118952e-01 8.1607102706e+03
1.0962558538e-01 7.7657277135e+03
1.1323998123e-01 7.3966244564e+03
1.1685437709e-01 7.0513260912e+03
1.2046877295e-01 6.7279487415e+03
1.2408316881e-01 6.4247800271e+03
1.2769757211e-01 6.1402614233e+03
1.3131196797e-01 5.8729752641e+03
1.3492636383e-01 5.6216275125e+03
1.3854075968e-01 5.3850378481e+03
1.4215515554e-01 5.1621280646e+03
1.4576955140e-01 4.9519121869e+03
1.4938394725e-01 4.7534876477e+03
1.5299834311e-01 4.5660273471e+03
1.5661273897e-01 4.3887725485e+03
1.6022713482e-01 4.2210264918e+03
1.6384153068e-01 4.0621486605e+03
1.6745594144e-01 3.9115490317e+03
1.7107033730e-01 3.7686858835e+03
1.7468473315e-01 3.6330579049e+03
1.7829912901e-01 3.5042029574e+03
1.8191352487e-01 3.3816940421e+03
1.8552792072e-01 3.2651362436e+03
1.8914231658e-01 3.1541639722e+03
1.9275671244e-01 3.0484384591e+03
1.9637110829e-01 2.9476454975e+03
1.9998550415e-01 2.8514933985e+03
2.0359990001e-01 2.7597111280e+03
2.0721429586e-01 2.6720466226e+03
2.1082869172e-01 2.5882652607e+03
2.1444310248e-01 2.5081481423e+03
2.1805749834e-01 2.4314921281e+03
2.2167189419e-01 2.3581067057e+03
2.2528629005e-01 2.2878142680e+03
2.2890068591e-01 2.2204488139e+03
2.3251508176e-01 2.1558550718e+03
2.3612947762e-01 2.0938876925e+03
2.3974387348e-01 2.0344105142e+03
2.4335826933e-01 1.9772958891e+03
2.4697266519e-01 1.9224240644e+03
2.5058707595e-01 1.8696824001e+03
