z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.1340000000e+00        0.022445000000000007        0.67134        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0242085712e-06 4.9335994425e+01
7.5084535638e-06 5.2596703605e+01
8.0260824689e-06 5.6072920030e+01
8.5793963080e-06 5.9778881796e+01
9.1708561740e-06 6.3729777231e+01
9.8030895970e-06 6.7941776488e+01
1.0478909644e-05 7.2432147195e+01
1.1201320376e-05 7.7219278085e+01
1.1973534129e-05 8.2322780367e+01
1.2798983334e-05 8.7763551577e+01
1.3681338714e-05 9.3563879999e+01
1.4624522919e-05 9.9747517923e+01
1.5632729628e-05 1.0633978943e+02
1.6710442651e-05 1.1336769646e+02
1.7862452296e-05 1.2086000555e+02
1.9093880837e-05 1.2884739200e+02
2.0410201614e-05 1.3736254067e+02
2.1817271772e-05 1.4644033296e+02
2.3321343178e-05 1.5611789043e+02
2.4929104256e-05 1.6643481580e+02
2.6647703635e-05 1.7743331350e+02
2.8484782888e-05 1.8915836611e+02
3.0448509278e-05 2.0165790747e+02
3.2547613955e-05 2.1498302717e+02
3.4791428334e-05 2.2918815963e+02
3.7189933209e-05 2.4433134959e+02
3.9753787860e-05 2.6047438663e+02
4.2494393711e-05 2.7768315299e+02
4.5423934353e-05 2.9602781658e+02
4.8555437388e-05 3.1558315526e+02
5.1902825362e-05 3.3642880606e+02
5.5480977608e-05 3.5864957586e+02
5.9305806644e-05 3.8233583427e+02
6.3394320023e-05 4.0758380760e+02
6.7764689447e-05 4.3449590948e+02
7.2436356277e-05 4.6318128568e+02
7.7430078818e-05 4.9375599031e+02
8.2768070570e-05 5.2634370987e+02
8.8474058430e-05 5.6107598488e+02
9.4573413662e-05 5.9809286524e+02
1.0109325376e-04 6.3754337542e+02
1.0806257342e-04 6.7958614448e+02
1.1551235366e-04 7.2438989229e+02
1.2347570737e-04 7.7213412445e+02
1.3198806846e-04 8.2301007570e+02
1.4108725009e-04 8.7722085859e+02
1.5081373567e-04 9.3498299293e+02
1.6121075896e-04 9.9652666258e+02
1.7232455139e-04 1.0620969568e+03
1.8420451670e-04 1.1319546634e+03
1.9690347835e-04 1.2063774738e+03
2.1047789778e-04 1.2856609943e+03
2.2498813632e-04 1.3701199854e+03
2.4049870262e-04 1.4600894853e+03
2.5707855821e-04 1.5559262309e+03
2.7480142307e-04 1.6580100315e+03
2.9374609585e-04 1.7667451690e+03
3.1399680302e-04 1.8825619022e+03
3.3564359182e-04 2.0059181435e+03
3.5878267954e-04 2.1373008002e+03
3.8351697731e-04 2.2772280086e+03
4.0995643940e-04 2.4262502597e+03
4.3821861618e-04 2.5849525468e+03
4.6842917800e-04 2.7539561891e+03
5.0072243903e-04 2.9339204741e+03
5.3524202667e-04 3.1255448966e+03
5.7214131812e-04 3.3295698501e+03
6.1158445897e-04 3.5467802394e+03
6.5374677069e-04 3.7780053362e+03
6.9881574018e-04 4.0241214069e+03
7.4699171819e-04 4.2860521903e+03
7.9848896712e-04 4.5647706177e+03
8.5353635950e-04 4.8612978198e+03
9.1237871675e-04 5.1767045952e+03
9.7527762409e-04 5.5121088080e+03
1.0425128276e-03 5.8686743917e+03
1.1143831070e-03 6.2476056954e+03
1.1912080226e-03 6.6501441876e+03
1.2733293697e-03 7.0775608167e+03
1.3611119939e-03 7.5311417675e+03
1.4549463522e-03 8.0121794238e+03
1.5552496770e-03 8.5219515609e+03
1.6624677228e-03 9.0616985894e+03
1.7770774430e-03 9.6326000448e+03
1.8995882710e-03 1.0235738443e+04
2.0305449143e-03 1.0872065406e+04
2.1705296822e-03 1.1542360792e+04
2.3201648146e-03 1.2247188620e+04
2.4801157415e-03 1.2986856157e+04
2.6510935277e-03 1.3761370331e+04
2.8338585980e-03 1.4570404043e+04
3.0292235315e-03 1.5413264735e+04
3.2380565535e-03 1.6288874717e+04
3.4612864256e-03 1.7195766388e+04
3.6999057047e-03 1.8132078718e+04
3.9549754001e-03 1.9095565629e+04
4.2276293971e-03 2.0083605778e+04
4.5190798119e-03 2.1093214023e+04
4.8306230456e-03 2.2121049021e+04
5.1636435091e-03 2.3163404009e+04
5.5196224712e-03 2.4216203312e+04
5.9001427144e-03 2.5274972942e+04
6.3068955205e-03 2.6334807406e+04
6.7416895181e-03 2.7390329845e+04
7.2064581327e-03 2.8435636989e+04
7.7032675035e-03 2.9464234502e+04
8.2343267277e-03 3.0468964683e+04
8.8019976392e-03 3.1441917341e+04
9.4088027254e-03 3.2374320529e+04
1.0057440028e-02 3.3256424127e+04
