z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6875000000e+00        0.022445000000000007        0.67134        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0242085712e-06 5.0579603176e+01
7.5084535638e-06 5.3922534661e+01
8.0260824689e-06 5.7486413549e+01
8.5793963080e-06 6.1285845612e+01
9.1708561740e-06 6.5336368694e+01
9.8030895970e-06 6.9654613065e+01
1.0478909644e-05 7.4258264674e+01
1.1201320376e-05 7.9166165368e+01
1.1973534129e-05 8.4398453209e+01
1.2798983334e-05 8.9976542426e+01
1.3681338714e-05 9.5923303815e+01
1.4624522919e-05 1.0226308479e+02
1.5632729628e-05 1.0902186972e+02
1.6710442651e-05 1.1622734678e+02
1.7862452296e-05 1.2390903487e+02
1.9093880837e-05 1.3209841055e+02
2.0410201614e-05 1.4082901499e+02
2.1817271772e-05 1.5013660762e+02
2.3321343178e-05 1.6005933984e+02
2.4929104256e-05 1.7063784858e+02
2.6647703635e-05 1.8191545671e+02
2.8484782888e-05 1.9393836019e+02
3.0448509278e-05 2.0675582843e+02
3.2547613955e-05 2.2042027117e+02
3.4791428334e-05 2.3498773291e+02
3.7189933209e-05 2.5051790620e+02
3.9753787860e-05 2.6707427874e+02
4.2494393711e-05 2.8472468117e+02
4.5423934353e-05 3.0354138067e+02
4.8555437388e-05 3.2360134820e+02
5.1902825362e-05 3.4498681974e+02
5.5480977608e-05 3.6778510922e+02
5.9305806644e-05 3.9208967756e+02
6.3394320023e-05 4.1799986539e+02
6.7764689447e-05 4.4562153451e+02
7.2436356277e-05 4.7506778945e+02
7.7430078818e-05 5.0645884390e+02
8.2768070570e-05 5.3992303622e+02
8.8474058430e-05 5.7559688296e+02
9.4573413662e-05 6.1362625477e+02
1.0109325376e-04 6.5416600226e+02
1.0806257342e-04 6.9738161297e+02
1.1551235366e-04 7.4344910452e+02
1.2347570737e-04 7.9255604016e+02
1.3198806846e-04 8.4490206331e+02
1.4108725009e-04 9.0069980624e+02
1.5081373567e-04 9.6017611946e+02
1.6121075896e-04 1.0235715372e+03
1.7232455139e-04 1.0911429500e+03
1.8420451670e-04 1.1631629634e+03
1.9690347835e-04 1.2399223566e+03
2.1047789778e-04 1.3217293340e+03
2.2498813632e-04 1.4089124120e+03
2.4049870262e-04 1.5018197773e+03
2.5707855821e-04 1.6008224939e+03
2.7480142307e-04 1.7063134346e+03
2.9374609585e-04 1.8187095253e+03
3.1399680302e-04 1.9384528145e+03
3.3564359182e-04 2.0660122905e+03
3.5878267954e-04 2.2018835608e+03
3.8351697731e-04 2.3465915245e+03
4.0995643940e-04 2.5006890896e+03
4.3821861618e-04 2.6647623044e+03
4.6842917800e-04 2.8394262953e+03
5.0072243903e-04 3.0253308253e+03
5.3524202667e-04 3.2231581564e+03
5.7214131812e-04 3.4336215528e+03
6.1158445897e-04 3.6574708400e+03
6.5374677069e-04 3.8954885560e+03
6.9881574018e-04 4.1484912343e+03
7.4699171819e-04 4.4173276936e+03
7.9848896712e-04 4.7028792513e+03
8.5353635950e-04 5.0060571581e+03
9.1237871675e-04 5.3278043080e+03
9.7527762409e-04 5.6690866866e+03
1.0425128276e-03 6.0308967918e+03
1.1143831070e-03 6.4142472190e+03
1.1912080226e-03 6.8201651030e+03
1.2733293697e-03 7.2496848480e+03
1.3611119939e-03 7.7038476999e+03
1.4549463522e-03 8.1836778000e+03
1.5552496770e-03 8.6901945859e+03
1.6624677228e-03 9.2243670364e+03
1.7770774430e-03 9.7871324868e+03
1.8995882710e-03 1.0379350446e+04
2.0305449143e-03 1.1001809439e+04
2.1705296822e-03 1.1655196217e+04
2.3201648146e-03 1.2340082076e+04
2.4801157415e-03 1.3056904896e+04
2.6510935277e-03 1.3805939205e+04
2.8338585980e-03 1.4587275660e+04
3.0292235315e-03 1.5400790250e+04
3.2380565535e-03 1.6246105818e+04
3.4612864256e-03 1.7122572388e+04
3.6999057047e-03 1.8029218414e+04
3.9549754001e-03 1.8964725128e+04
4.2276293971e-03 1.9927352987e+04
4.5190798119e-03 2.0914926276e+04
4.8306230456e-03 2.1925825187e+04
5.1636435091e-03 2.2954796878e+04
5.5196224712e-03 2.3999075527e+04
5.9001427144e-03 2.5054284052e+04
6.3068955205e-03 2.6114777915e+04
6.7416895181e-03 2.7175868731e+04
7.2064581327e-03 2.8230555564e+04
7.7032675035e-03 2.9271705771e+04
8.2343267277e-03 3.0290637028e+04
