z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.95904
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9650218061e+01
7.5206098700e-06 5.2928185692e+01
8.0390564108e-06 5.6422561711e+01
8.5932442744e-06 6.0147645390e+01
9.1856354629e-06 6.4118652990e+01
9.8188638731e-06 6.8351819498e+01
1.0495745300e-05 7.2864453379e+01
1.1219289263e-05 7.7675002605e+01
1.1992711734e-05 8.2803125717e+01
1.2819450603e-05 8.8269779778e+01
1.3703183868e-05 9.4097324614e+01
1.4647837816e-05 1.0030955996e+02
1.5657613403e-05 1.0693188117e+02
1.6736999896e-05 1.1399134925e+02
1.7890795789e-05 1.2151680716e+02
1.9124130631e-05 1.2953900013e+02
2.0442488676e-05 1.3809070577e+02
2.1851728889e-05 1.4720683842e+02
2.3358117687e-05 1.5692463387e+02
2.4968352591e-05 1.6728377227e+02
2.6689593142e-05 1.7832654560e+02
2.8529490010e-05 1.9009801040e+02
3.0496221370e-05 2.0264618394e+02
3.2598534744e-05 2.1602227139e+02
3.4845776099e-05 2.3028080794e+02
3.7247933506e-05 2.4547988974e+02
3.9815688069e-05 2.6168144589e+02
4.2560455768e-05 2.7895144767e+02
4.5494442020e-05 2.9736019265e+02
4.8630685342e-05 3.1698251425e+02
5.1983130106e-05 3.3789816719e+02
5.5566681112e-05 3.6019209129e+02
5.9397272707e-05 3.8395475838e+02
6.3491934270e-05 4.0928248807e+02
6.7868866609e-05 4.3627782220e+02
7.2547532909e-05 4.6504997894e+02
7.7548735135e-05 4.9571520631e+02
8.2894701336e-05 5.2839719263e+02
8.8609194791e-05 5.6322759904e+02
9.4717637694e-05 6.0034666752e+02
1.0124716937e-04 6.3990341904e+02
1.0822682816e-04 6.8205659180e+02
1.1568764603e-04 7.2697503594e+02
1.2366278679e-04 7.7483836224e+02
1.3218770619e-04 8.2583770982e+02
1.4130031923e-04 8.8017654445e+02
1.5104110935e-04 9.3807109911e+02
1.6145341215e-04 9.9975184225e+02
1.7258350272e-04 1.0654637631e+03
1.8448085757e-04 1.1354676802e+03
1.9719838747e-04 1.2100413550e+03
2.1079262660e-04 1.2894803279e+03
2.2532400908e-04 1.3740992404e+03
2.4085713085e-04 1.4642330378e+03
2.5746106985e-04 1.5602384685e+03
2.7520960430e-04 1.6624949470e+03
2.9418169288e-04 1.7714068726e+03
3.1446164940e-04 1.8874041192e+03
3.3613966662e-04 2.0109444585e+03
3.5931204911e-04 2.1425142283e+03
3.8408191176e-04 2.2826315511e+03
4.1055929614e-04 2.4318461287e+03
4.3886195635e-04 2.5907426987e+03
4.6911570826e-04 2.7599418606e+03
5.0145509886e-04 2.9401025232e+03
5.3602381376e-04 3.1319226722e+03
5.7297560852e-04 3.3361427979e+03
6.1247474514e-04 3.5535462617e+03
6.5469677793e-04 3.7849612377e+03
6.9982954301e-04 4.0312633122e+03
7.4807356577e-04 4.2933743550e+03
7.9964339966e-04 4.5722658156e+03
8.5476832464e-04 4.8689577006e+03
9.1369333677e-04 5.1845181431e+03
9.7668042872e-04 5.5200632925e+03
1.0440096958e-03 5.8767547312e+03
1.1159804417e-03 6.2557950400e+03
1.1929126922e-03 6.6584232438e+03
1.2751482427e-03 7.0859050587e+03
