z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.5400000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.95904
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.1005718495e+01
7.5206098700e-06 5.4373211155e+01
8.0390564108e-06 5.7963025897e+01
8.5932442744e-06 6.1789857360e+01
9.1856354629e-06 6.5869327042e+01
9.8188638731e-06 7.0218129643e+01
1.0495745300e-05 7.4854063087e+01
1.1219289263e-05 7.9796047286e+01
1.1992711734e-05 8.5064315511e+01
1.2819450603e-05 9.0680376872e+01
1.3703183868e-05 9.6667248966e+01
1.4647837816e-05 1.0304935281e+02
1.5657613403e-05 1.0985280554e+02
1.6736999896e-05 1.1710542791e+02
1.7890795789e-05 1.2483686435e+02
1.9124130631e-05 1.3307871810e+02
2.0442488676e-05 1.4186468626e+02
2.1851728889e-05 1.5123066489e+02
2.3358117687e-05 1.6121497410e+02
2.4968352591e-05 1.7185844069e+02
2.6689593142e-05 1.8320456319e+02
2.8529490010e-05 1.9529967699e+02
3.0496221370e-05 2.0819322453e+02
3.2598534744e-05 2.2193793538e+02
3.4845776099e-05 2.3658999141e+02
3.7247933506e-05 2.5220923687e+02
3.9815688069e-05 2.6885947861e+02
4.2560455768e-05 2.8660877127e+02
4.5494442020e-05 3.0552964243e+02
4.8630685342e-05 3.2569927272e+02
5.1983130106e-05 3.4720015624e+02
5.5566681112e-05 3.7012004056e+02
5.9397272707e-05 3.9455240700e+02
6.3491934270e-05 4.2059707101e+02
6.7868866609e-05 4.4836036237e+02
7.2547532909e-05 4.7795551534e+02
7.7548735135e-05 5.0950308899e+02
8.2894701336e-05 5.4313186782e+02
8.8609194791e-05 5.7897850145e+02
9.4717637694e-05 6.1718936590e+02
1.0124716937e-04 6.5791990313e+02
1.0822682816e-04 7.0133570176e+02
1.1568764603e-04 7.4761309746e+02
1.2366278679e-04 7.9694043377e+02
1.3218770619e-04 8.4951746171e+02
1.4130031923e-04 9.0555726107e+02
1.5104110935e-04 9.6528672066e+02
1.6145341215e-04 1.0289472588e+03
1.7258350272e-04 1.0967958442e+03
1.8448085757e-04 1.1691053557e+03
1.9719838747e-04 1.2461671044e+03
2.1079262660e-04 1.3282893325e+03
2.2532400908e-04 1.4158004555e+03
2.4085713085e-04 1.5090496624e+03
2.5746106985e-04 1.6084071561e+03
2.7520960430e-04 1.7142655940e+03
2.9418169288e-04 1.8270423700e+03
3.1446164940e-04 1.9471792539e+03
3.3613966662e-04 2.0751440726e+03
3.5931204911e-04 2.2114317906e+03
3.8408191176e-04 2.3565671523e+03
4.1055929614e-04 2.5111010789e+03
4.3886195635e-04 2.6756188345e+03
4.6911570826e-04 2.8507354624e+03
5.0145509886e-04 3.0370967462e+03
5.3602381376e-04 3.2353825720e+03
5.7297560852e-04 3.4463071682e+03
6.1247474514e-04 3.6706167042e+03
6.5469677793e-04 3.9090912118e+03
6.9982954301e-04 4.1625472264e+03
7.4807356577e-04 4.4318320240e+03
7.9964339966e-04 4.7178269827e+03
8.5476832464e-04 5.0214427797e+03
9.1369333677e-04 5.3436237146e+03
9.7668042872e-04 5.6853381024e+03
1.0440096958e-03 6.0475816364e+03
1.1159804417e-03 6.4313701828e+03
1.1929126922e-03 6.8377311357e+03
1.2751482427e-03 7.2677034163e+03
1.3630529866e-03 7.7223269070e+03
1.4570176136e-03 8.2026227575e+03
1.5574598219e-03 8.7096020310e+03
1.6648261808e-03 9.2442340033e+03
1.7795939930e-03 9.8074389581e+03
1.9022736233e-03 1.0400080502e+04
2.0334103610e-03 1.1022939627e+04
2.1735872142e-03 1.1676703184e+04
2.3234274704e-03 1.2361939865e+04
2.4835972581e-03 1.3079078113e+04
2.6548085734e-03 1.3828387863e+04
2.8378227726e-03 1.4609950770e+04
3.0334533658e-03 1.5423634266e+04
3.2425699755e-03 1.6269056982e+04
3.4661025274e-03 1.7145557043e+04
3.7050447427e-03 1.8052157488e+04
3.9604585618e-03 1.8987523042e+04
4.2334804311e-03 1.9949913043e+04
4.5253229327e-03 2.0937143017e+04
4.8372847959e-03 2.1947577973e+04
5.1707518287e-03 2.2975963263e+04
5.5272071622e-03 2.4019522667e+04
5.9082354419e-03 2.5073889159e+04
6.3155302778e-03 2.6133393102e+04
6.7509030923e-03 2.7193352383e+04
7.2162891738e-03 2.8246752482e+04
7.7137574553e-03 2.9286457837e+04
8.2455193624e-03 3.0303795881e+04
8.8139399886e-03 3.1289692501e+04
9.4215450808e-03 3.2234366561e+04
1.0071036406e-02 3.3126907224e+04
1.0765301995e-02 3.3955631306e+04
1.1507427320e-02 3.4707777797e+04
1.2300713919e-02 3.5369909403e+04
1.3148685917e-02 3.5927974026e+04
1.4055115171e-02 3.6367404671e+04
1.5024030581e-02 3.6673553649e+04
1.6059739515e-02 3.6832034565e+04
1.7166847363e-02 3.6829187257e+04
1.8350275233e-02 3.6652707976e+04
1.9615285099e-02 3.6292517788e+04
2.0967502147e-02 3.5741734742e+04
2.2412935272e-02 3.4997634489e+04
2.3958012462e-02 3.4062887581e+04
2.5609601289e-02 3.2946604634e+04
2.7375046164e-02 3.1665268140e+04
2.9262196273e-02 3.0243297317e+04
3.1279440969e-02 2.8713080770e+04
3.3435747027e-02 2.7114238728e+04
3.5740699619e-02 2.5492016871e+04
3.8204550743e-02 2.3894542766e+04
4.0838252753e-02 2.2369165874e+04
4.3653514236e-02 2.0957973321e+04
4.6478152275e-02 1.9763546956e+04
4.9302790314e-02 1.8770397579e+04
5.2127432078e-02 1.7948497813e+04
5.4952070117e-02 1.7262417698e+04
5.7776708156e-02 1.6674952029e+04
6.0601349920e-02 1.6149675634e+04
6.3425987959e-02 1.5653641780e+04
6.6250629723e-02 1.5159370682e+04
6.9075264037e-02 1.4646932148e+04
7.1899905801e-02 1.4102756315e+04
7.4724547565e-02 1.3521515530e+04
7.7549181879e-02 1.2908226202e+04
8.0373823643e-02 1.2269189105e+04
8.3198465407e-02 1.1616943344e+04
8.6023099720e-02 1.0968261521e+04
8.8847741485e-02 1.0340857655e+04
9.1672383249e-02 9.7489721267e+03
9.5292858779e-02 9.0570292862e+03
9.8913334310e-02 8.4526257872e+03
1.0253380984e-01 7.9452435294e+03
1.0615429282e-01 7.5343277488e+03
1.0977476835e-01 7.2077442461e+03
1.1339524388e-01 6.9484298286e+03
1.1701571941e-01 6.7385556814e+03
1.2063620240e-01 6.5588414778e+03
1.2425667793e-01 6.3900280244e+03
1.2787716091e-01 6.2163533023e+03
1.3149763644e-01 6.0267936005e+03
1.3511811197e-01 5.8137013424e+03
1.3873858750e-01 5.5767028430e+03
1.4235906303e-01 5.3213471823e+03
1.4597953856e-01 5.0564250864e+03
1.4960001409e-01 4.7911955889e+03
1.5322048962e-01 4.5348740146e+03
1.5684096515e-01 4.2962592550e+03
1.6046145558e-01 4.0822202959e+03
1.6408193111e-01 3.8964375516e+03
1.6770240664e-01 3.7394835575e+03
1.7132288217e-01 3.6095391203e+03
1.7494335771e-01 3.5028902039e+03
1.7856383324e-01 3.4142836023e+03
1.8218430877e-01 3.3376104285e+03
1.8580478430e-01 3.2668254370e+03
1.8942527473e-01 3.1966384378e+03
1.9304575026e-01 3.1228265008e+03
1.9666622579e-01 3.0424810781e+03
2.0028670132e-01 2.9543365396e+03
2.0390717685e-01 2.8588859287e+03
2.0752765238e-01 2.7580156828e+03
2.1114812791e-01 2.6544263733e+03
2.1476860344e-01 2.5511903355e+03
2.1838907898e-01 2.4514058418e+03
2.2200956941e-01 2.3577448848e+03
2.2563004494e-01 2.2721203193e+03
2.2925052047e-01 2.1956330274e+03
2.3287099600e-01 2.1285551076e+03
2.3649147153e-01 2.0702707959e+03
2.4011194706e-01 2.0194866040e+03
2.4373242259e-01 1.9746252972e+03
2.4735289812e-01 1.9339554598e+03
2.5097337365e-01 1.8955427429e+03
2.5459384918e-01 1.8575236442e+03
2.5821432471e-01 1.8185454765e+03
2.6183480024e-01 1.7778599087e+03
2.6545527577e-01 1.7351442894e+03
2.6907578111e-01 1.6904576972e+03
2.7269625664e-01 1.6442718015e+03
2.7631673217e-01 1.5973719175e+03
2.7993720770e-01 1.5507017442e+03
2.8355768323e-01 1.5052525317e+03
2.8717815876e-01 1.4619066189e+03
2.9079863429e-01 1.4212884154e+03
2.9441910982e-01 1.3837438680e+03
2.9803958535e-01 1.3493908941e+03
3.0166006088e-01 1.3181247851e+03
3.0528053641e-01 1.2896185664e+03
3.0890101194e-01 1.2633718699e+03
3.1252148747e-01 1.2387910260e+03
3.1614196301e-01 1.2152769620e+03
3.1976243854e-01 1.1922966480e+03
3.2338291407e-01 1.1694110762e+03
3.2700338960e-01 1.1462966343e+03
3.3062389493e-01 1.1227873734e+03
3.3424437046e-01 1.0988805316e+03
3.3786484599e-01 1.0746930658e+03
3.4148532152e-01 1.0504259878e+03
3.4510579705e-01 1.0263567996e+03
3.4872627258e-01 1.0027874993e+03
3.5234674811e-01 9.7997481533e+02
3.5596722364e-01 9.5811291500e+02
3.5958769917e-01 9.3735123636e+02
3.6320817471e-01 9.1777371446e+02
3.6682865024e-01 8.9937122333e+02
3.7044912577e-01 8.8205016157e+02
3.7406960130e-01 8.6566301240e+02
3.7769007683e-01 8.5003169903e+02
3.8131055236e-01 8.3497220074e+02
3.8493102789e-01 8.2031910903e+02
3.8855153322e-01 8.0592754887e+02
3.9217200875e-01 7.9167041689e+02
3.9579248428e-01 7.7745807430e+02
3.9941295981e-01 7.6326290296e+02
4.0303343535e-01 7.4911300132e+02
4.0665391088e-01 7.3506534675e+02
4.1027438641e-01 7.2118418139e+02
4.1389486194e-01 7.0753951116e+02
4.1751533747e-01 6.9420926717e+02
4.2113581300e-01 6.8127017977e+02
4.2475628853e-01 6.6878018694e+02
4.2837676406e-01 6.5676696686e+02
4.3199723959e-01 6.4523015928e+02
4.3561771512e-01 6.3414929078e+02
4.3923819065e-01 6.2348959854e+02
4.4285866618e-01 6.1320551269e+02
4.4647914171e-01 6.0324311785e+02
4.5009964704e-01 5.9354279491e+02
4.5372012258e-01 5.8404666592e+02
4.5734059811e-01 5.7470856058e+02
4.6096107364e-01 5.6550104090e+02
4.6458154917e-01 5.5640963738e+02
4.6820202470e-01 5.4742780575e+02
4.7182250023e-01 5.3855710700e+02
4.7544297576e-01 5.2980972915e+02
4.7906345129e-01 5.2120650586e+02
4.8268392682e-01 5.1277193320e+02
4.8630440235e-01 5.0452930644e+02
4.8992487788e-01 4.9649480620e+02
4.9354535341e-01 4.8867548711e+02
4.9716582894e-01 4.8107233982e+02
5.0078630447e-01 4.7368461383e+02
5.0440680981e-01 4.6650861673e+02
5.0802725554e-01 4.5953147006e+02
5.1164776087e-01 4.5273279046e+02
5.1526820660e-01 4.4609042340e+02
5.1888871193e-01 4.3958668727e+02
5.2250915766e-01 4.3320795313e+02
5.2612966299e-01 4.2694398428e+02
5.2975010872e-01 4.2078385353e+02
5.3337061405e-01 4.1471888521e+02
5.3699105978e-01 4.0874463640e+02
5.4061156511e-01 4.0286422914e+02
5.4423207045e-01 3.9708369740e+02
5.4785251617e-01 3.9140832463e+02
5.5147302151e-01 3.8584078260e+02
5.5509346724e-01 3.8038257228e+02
5.5871397257e-01 3.7503744614e+02
