z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.4625000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.95904
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9601818916e+01
7.5206098700e-06 5.2876591191e+01
8.0390564108e-06 5.6367560902e+01
8.5932442744e-06 6.0089013382e+01
9.1856354629e-06 6.4056150061e+01
9.8188638731e-06 6.8285190101e+01
1.0495745300e-05 7.2793425096e+01
1.1219289263e-05 7.7599285036e+01
1.1992711734e-05 8.2722409304e+01
1.2819450603e-05 8.8183734533e+01
1.3703183868e-05 9.4005598759e+01
1.4647837816e-05 1.0021177852e+02
1.5657613403e-05 1.0682764442e+02
1.6736999896e-05 1.1388023108e+02
1.7890795789e-05 1.2139835337e+02
1.9124130631e-05 1.2941272656e+02
2.0442488676e-05 1.3795609629e+02
2.1851728889e-05 1.4706334291e+02
2.3358117687e-05 1.5677166590e+02
2.4968352591e-05 1.6712070677e+02
2.6689593142e-05 1.7815271630e+02
2.8529490010e-05 1.8991270712e+02
3.0496221370e-05 2.0244864973e+02
3.2598534744e-05 2.1581169944e+02
3.4845776099e-05 2.3005633832e+02
3.7247933506e-05 2.4524060594e+02
3.9815688069e-05 2.6142637113e+02
4.2560455768e-05 2.7867954094e+02
4.5494442020e-05 2.9707034452e+02
4.8630685342e-05 3.1667354247e+02
5.1983130106e-05 3.3756881195e+02
5.5566681112e-05 3.5984101016e+02
5.9397272707e-05 3.8358052099e+02
6.3491934270e-05 4.0888357043e+02
6.7868866609e-05 4.3585260072e+02
7.2547532909e-05 4.6459672399e+02
7.7548735135e-05 4.9523207545e+02
8.2894701336e-05 5.2788222346e+02
8.8609194791e-05 5.6267870156e+02
9.4717637694e-05 5.9976161592e+02
1.0124716937e-04 6.3927984331e+02
1.0822682816e-04 6.8139196849e+02
1.1568764603e-04 7.2626667852e+02
1.2366278679e-04 7.7408341096e+02
1.3218770619e-04 8.2503312080e+02
1.4130031923e-04 8.7931907812e+02
1.5104110935e-04 9.3715730822e+02
1.6145341215e-04 9.9877805861e+02
1.7258350272e-04 1.0644260841e+03
1.8448085757e-04 1.1343619542e+03
1.9719838747e-04 1.2088631659e+03
2.1079262660e-04 1.2882249787e+03
2.2532400908e-04 1.3727617360e+03
2.4085713085e-04 1.4628080668e+03
2.5746106985e-04 1.5587203836e+03
2.7520960430e-04 1.6608777453e+03
2.9418169288e-04 1.7696841732e+03
3.1446164940e-04 1.8855691417e+03
3.3613966662e-04 2.0089899990e+03
3.5931204911e-04 2.1404326355e+03
3.8408191176e-04 2.2804146997e+03
4.1055929614e-04 2.4294853940e+03
4.3886195635e-04 2.5882289287e+03
4.6911570826e-04 2.7572653484e+03
5.0145509886e-04 2.9372529779e+03
5.3602381376e-04 3.1288891906e+03
5.7297560852e-04 3.3329138348e+03
6.1247474514e-04 3.5501096007e+03
6.5469677793e-04 3.7813039636e+03
6.9982954301e-04 4.0273717823e+03
7.4807356577e-04 4.2892341749e+03
7.9964339966e-04 4.5678618150e+03
8.5476832464e-04 4.8642739133e+03
9.1369333677e-04 5.1795377926e+03
9.7668042872e-04 5.5147687819e+03
1.0440096958e-03 5.8711276417e+03
1.1159804417e-03 6.2498161395e+03
1.1929126922e-03 6.6520725072e+03
1.2751482427e-03 7.0791617056e+03
1.3630529866e-03 7.5323690644e+03
1.4570176136e-03 8.0129815595e+03
1.5574598219e-03 8.5222724993e+03
1.6648261808e-03 9.0614793454e+03
1.7795939930e-03 9.6317761263e+03
1.9022736233e-03 1.0234242610e+04
2.0334103610e-03 1.0869825831e+04
2.1735872142e-03 1.1539301621e+04
2.3234274704e-03 1.2243231663e+04
2.4835972581e-03 1.2981919304e+04
2.6548085734e-03 1.3755368799e+04
2.8378227726e-03 1.4563250562e+04
3.0334533658e-03 1.5404869789e+04
3.2425699755e-03 1.6279148762e+04
3.4661025274e-03 1.7184619035e+04
3.7050447427e-03 1.8119419038e+04
3.9604585618e-03 1.9081301694e+04
4.2334804311e-03 2.0067651119e+04
4.5253229327e-03 2.1075480382e+04
4.8372847959e-03 2.2101453691e+04
5.1707518287e-03 2.3141867398e+04
5.5272071622e-03 2.4192651516e+04
5.9082354419e-03 2.5249338960e+04
6.3155302778e-03 2.6307033794e+04
6.7509030923e-03 2.7360371252e+04
7.2162891738e-03 2.8403459584e+04
7.7137574553e-03 2.9429820284e+04
8.2455193624e-03 3.0432312847e+04
8.8139399886e-03 3.1403048818e+04
9.4215450808e-03 3.2333280927e+04
1.0071036406e-02 3.3213287870e+04
1.0765301995e-02 3.4032233199e+04
1.1507427320e-02 3.4778022387e+04
1.2300713919e-02 3.5437189391e+04
1.3148685917e-02 3.5994844060e+04
1.4055115171e-02 3.6434791623e+04
1.5024030581e-02 3.6739913988e+04
1.6059739515e-02 3.6892977231e+04
1.7166847363e-02 3.6877977978e+04
1.8350275233e-02 3.6682057520e+04
1.9615285099e-02 3.6297801955e+04
2.0967502147e-02 3.5725461128e+04
2.2412935272e-02 3.4974384622e+04
2.3958012462e-02 3.4062964175e+04
2.5609601289e-02 3.3016777522e+04
2.7375046164e-02 3.1865263938e+04
2.9262196273e-02 3.0637888362e+04
3.1279440969e-02 2.9360890030e+04
3.3435747027e-02 2.8055372291e+04
3.5740699619e-02 2.6736878713e+04
3.8204550743e-02 2.5416097188e+04
4.0838252753e-02 2.4100144019e+04
4.3653514236e-02 2.2793911723e+04
4.6478152275e-02 2.1577657252e+04
4.9302790314e-02 2.0446674684e+04
5.2127432078e-02 1.9392980325e+04
5.4952070117e-02 1.8409714693e+04
5.7776708156e-02 1.7490932737e+04
6.0601349920e-02 1.6631420965e+04
6.3425987959e-02 1.5826555825e+04
6.6250629723e-02 1.5072189417e+04
6.9075264037e-02 1.4364569838e+04
7.1899905801e-02 1.3700276295e+04
7.4724547565e-02 1.3076187077e+04
7.7549181879e-02 1.2489435600e+04
8.0373823643e-02 1.1937381448e+04
8.3198465407e-02 1.1417597685e+04
8.6023099720e-02 1.0927845228e+04
8.8847741485e-02 1.0466053991e+04
9.1672383249e-02 1.0030316404e+04
9.5292858779e-02 9.5071030003e+03
9.8913334310e-02 9.0204085751e+03
1.0253380984e-01 8.5671595218e+03
1.0615429282e-01 8.1445725220e+03
1.0977476835e-01 7.7501285846e+03
1.1339524388e-01 7.3815414985e+03
1.1701571941e-01 7.0367377211e+03
1.2063620240e-01 6.7138336079e+03
1.2425667793e-01 6.4111189766e+03
1.2787716091e-01 6.1270354789e+03
1.3149763644e-01 5.8601662875e+03
1.3511811197e-01 5.6092181857e+03
1.3873858750e-01 5.3730116462e+03
1.4235906303e-01 5.1504692269e+03
1.4597953856e-01 4.9406056885e+03
1.4960001409e-01 4.7425191683e+03
1.5322048962e-01 4.5553832405e+03
1.5684096515e-01 4.3784398126e+03
1.6046145558e-01 4.2109920672e+03
1.6408193111e-01 4.0524014493e+03
1.6770240664e-01 3.9020783893e+03
1.7132288217e-01 3.7594804534e+03
1.7494335771e-01 3.6241074712e+03
1.7856383324e-01 3.4954977820e+03
1.8218430877e-01 3.3732248387e+03
1.8580478430e-01 3.2568941567e+03
1.8942527473e-01 3.1461401095e+03
1.9304575026e-01 3.0406252249e+03
1.9666622579e-01 2.9400351969e+03
2.0028670132e-01 2.8440786851e+03
2.0390717685e-01 2.7524849850e+03
2.0752765238e-01 2.6650023471e+03
2.1114812791e-01 2.5813964473e+03
2.1476860344e-01 2.5014489905e+03
2.1838907898e-01 2.4249564453e+03
2.2200956941e-01 2.3517285966e+03
2.2563004494e-01 2.2815886804e+03
2.2925052047e-01 2.2143706172e+03
2.3287099600e-01 2.1499193533e+03
2.3649147153e-01 2.0880897459e+03
2.4011194706e-01 2.0287458302e+03
2.4373242259e-01 1.9717601457e+03
2.4735289812e-01 1.9170131168e+03
2.5097337365e-01 1.8643924863e+03
2.5459384918e-01 1.8137927958e+03
2.5821432471e-01 1.7651149046e+03
2.6183480024e-01 1.7182655501e+03
2.6545527577e-01 1.6731569423e+03
2.6907578111e-01 1.6297060377e+03
2.7269625664e-01 1.5878356115e+03
2.7631673217e-01 1.5474717946e+03
2.7993720770e-01 1.5085452218e+03
2.8355768323e-01 1.4709903959e+03
2.8717815876e-01 1.4347454360e+03
2.9079863429e-01 1.3997518440e+03
2.9441910982e-01 1.3659542886e+03
2.9803958535e-01 1.3333004054e+03
3.0166006088e-01 1.3017406105e+03
3.0528053641e-01 1.2712279275e+03
3.0890101194e-01 1.2417178283e+03
3.1252148747e-01 1.2131680827e+03
3.1614196301e-01 1.1855386199e+03
3.1976243854e-01 1.1587913996e+03
3.2338291407e-01 1.1328902913e+03
3.2700338960e-01 1.1078009619e+03
3.3062389493e-01 1.0834905739e+03
3.3424437046e-01 1.0599284821e+03
3.3786484599e-01 1.0370849415e+03
3.4148532152e-01 1.0149318284e+03
3.4510579705e-01 9.9344235792e+02
3.4872627258e-01 9.7259100855e+02
3.5234674811e-01 9.5235345280e+02
3.5596722364e-01 9.3270649139e+02
3.5958769917e-01 9.1362799182e+02
3.6320817471e-01 8.9509683105e+02
3.6682865024e-01 8.7709284124e+02
3.7044912577e-01 8.5959675905e+02
3.7406960130e-01 8.4259017817e+02
3.7769007683e-01 8.2605550440e+02
3.8131055236e-01 8.0997591355e+02
3.8493102789e-01 7.9433531198e+02
3.8855153322e-01 7.7911817569e+02
3.9217200875e-01 7.6431001273e+02
3.9579248428e-01 7.4989657888e+02
3.9941295981e-01 7.3586435081e+02
4.0303343535e-01 7.2220036970e+02
4.0665391088e-01 7.0889221364e+02
4.1027438641e-01 6.9592797137e+02
4.1389486194e-01 6.8329621762e+02
4.1751533747e-01 6.7098598983e+02
4.2113581300e-01 6.5898676608e+02
4.2475628853e-01 6.4728844424e+02
4.2837676406e-01 6.3588132228e+02
4.3199723959e-01 6.2475607966e+02
4.3561771512e-01 6.1390375961e+02
4.3923819065e-01 6.0331575247e+02
4.4285866618e-01 5.9298377985e+02
4.4647914171e-01 5.8289987962e+02
4.5009964704e-01 5.7305631164e+02
4.5372012258e-01 5.6344586637e+02
4.5734059811e-01 5.5406136602e+02
4.6096107364e-01 5.4489597842e+02
4.6458154917e-01 5.3594312349e+02
4.6820202470e-01 5.2719646223e+02
4.7182250023e-01 5.1864988638e+02
4.7544297576e-01 5.1029750853e+02
4.7906345129e-01 5.0213365266e+02
4.8268392682e-01 4.9415284522e+02
4.8630440235e-01 4.8634980668e+02
4.8992487788e-01 4.7871944332e+02
4.9354535341e-01 4.7125683961e+02
4.9716582894e-01 4.6395725084e+02
5.0078630447e-01 4.5681609611e+02
5.0440680981e-01 4.4982889478e+02
5.0802725554e-01 4.4299154462e+02
5.1164776087e-01 4.3629969223e+02
5.1526820660e-01 4.2974956878e+02
5.1888871193e-01 4.2333710276e+02
5.2250915766e-01 4.1705877776e+02
5.2612966299e-01 4.1091078259e+02
5.2975010872e-01 4.0488983365e+02
5.3337061405e-01 3.9899236036e+02
5.3699105978e-01 3.9321529407e+02
5.4061156511e-01 3.8755528685e+02
5.4423207045e-01 3.8200937828e+02
5.4785251617e-01 3.7657469781e+02
5.5147302151e-01 3.7124820113e+02
5.5509346724e-01 3.6602728857e+02
5.5871397257e-01 3.6090909997e+02
5.6233441830e-01 3.5589119936e+02
5.6595492363e-01 3.5097089753e+02
5.6957536936e-01 3.4614591022e+02
5.7319587469e-01 3.4141370711e+02
