z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6020000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.95904
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0898350647e+01
7.5206098700e-06 5.4258754109e+01
8.0390564108e-06 5.7841007717e+01
8.5932442744e-06 6.1659774897e+01
9.1856354629e-06 6.5730668457e+01
9.8188638731e-06 7.0070323137e+01
1.0495745300e-05 7.4696490230e+01
1.1219289263e-05 7.9628069121e+01
1.1992711734e-05 8.4885258685e+01
1.2819450603e-05 9.0489506824e+01
1.3703183868e-05 9.6463756482e+01
1.4647837816e-05 1.0283243303e+02
1.5657613403e-05 1.0962157045e+02
1.6736999896e-05 1.1685893744e+02
1.7890795789e-05 1.2457408797e+02
1.9124130631e-05 1.3279860091e+02
2.0442488676e-05 1.4156608637e+02
2.1851728889e-05 1.5091237498e+02
2.3358117687e-05 1.6087570707e+02
2.4968352591e-05 1.7149678320e+02
2.6689593142e-05 1.8281904166e+02
2.8529490010e-05 1.9488872162e+02
3.0496221370e-05 2.0775516586e+02
3.2598534744e-05 2.2147099742e+02
3.4845776099e-05 2.3609228366e+02
3.7247933506e-05 2.5167862450e+02
3.9815688069e-05 2.6829393468e+02
4.2560455768e-05 2.8600596434e+02
4.5494442020e-05 3.0488718215e+02
4.8630685342e-05 3.2501452299e+02
5.1983130106e-05 3.4647032157e+02
5.5566681112e-05 3.6934216101e+02
5.9397272707e-05 3.9372335232e+02
6.3491934270e-05 4.1971366606e+02
6.7868866609e-05 4.4741885301e+02
7.2547532909e-05 4.7695215809e+02
7.7548735135e-05 5.0843394186e+02
8.2894701336e-05 5.4199258894e+02
8.8609194791e-05 5.7776481077e+02
9.4717637694e-05 6.1589640261e+02
1.0124716937e-04 6.5654249586e+02
1.0822682816e-04 6.9986851693e+02
1.1568764603e-04 7.4605064137e+02
1.2366278679e-04 7.9527629863e+02
1.3218770619e-04 8.4774558500e+02
1.4130031923e-04 9.0367111224e+02
1.5104110935e-04 9.6327942067e+02
1.6145341215e-04 1.0268110296e+03
1.7258350272e-04 1.0945233137e+03
1.8448085757e-04 1.1666883839e+03
1.9719838747e-04 1.2435970233e+03
2.1079262660e-04 1.3255580815e+03
2.2532400908e-04 1.4128987778e+03
2.4085713085e-04 1.5059682337e+03
2.5746106985e-04 1.6051363623e+03
2.7520960430e-04 1.7107961901e+03
2.9418169288e-04 1.8233644624e+03
3.1446164940e-04 1.9432833592e+03
3.3613966662e-04 2.0710203943e+03
3.5931204911e-04 2.2070707367e+03
3.8408191176e-04 2.3519592290e+03
4.1055929614e-04 2.5062387730e+03
4.3886195635e-04 2.6704933571e+03
4.6911570826e-04 2.8453378548e+03
5.0145509886e-04 3.0314210525e+03
5.3602381376e-04 3.2294230252e+03
5.7297560852e-04 3.4400571554e+03
6.1247474514e-04 3.6640721514e+03
6.5469677793e-04 3.9022482122e+03
6.9982954301e-04 4.1554000551e+03
7.4807356577e-04 4.4243759069e+03
7.9964339966e-04 4.7100546772e+03
8.5476832464e-04 5.0133455552e+03
9.1369333677e-04 5.3351896243e+03
9.7668042872e-04 5.6765529988e+03
1.0440096958e-03 6.0384235944e+03
1.1159804417e-03 6.4218135500e+03
