z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.9580799999999999
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.1492326603e+01
7.5206098700e-06 5.4888435385e+01
8.0390564108e-06 5.8508519702e+01
8.5932442744e-06 6.2367376867e+01
9.1856354629e-06 6.6480722963e+01
9.8188638731e-06 7.0865371179e+01
1.0495745300e-05 7.5539181406e+01
1.1219289263e-05 8.0521250202e+01
1.1992711734e-05 8.5831899152e+01
1.2819450603e-05 9.1492798934e+01
1.3703183868e-05 9.7527062348e+01
1.4647837816e-05 1.0395926758e+02
1.5657613403e-05 1.1081571408e+02
1.6736999896e-05 1.1812434499e+02
1.7890795789e-05 1.2591496428e+02
1.9124130631e-05 1.3421941504e+02
2.0442488676e-05 1.4307153299e+02
2.1851728889e-05 1.5250746436e+02
2.3358117687e-05 1.6256566586e+02
2.4968352591e-05 1.7328719935e+02
2.6689593142e-05 1.8471585589e+02
2.8529490010e-05 1.9689809367e+02
3.0496221370e-05 2.0988376689e+02
3.2598534744e-05 2.2372576903e+02
3.4845776099e-05 2.3848059118e+02
3.7247933506e-05 2.5420833747e+02
3.9815688069e-05 2.7097328336e+02
4.2560455768e-05 2.8884356548e+02
4.5494442020e-05 3.0789229813e+02
4.8630685342e-05 3.2819695301e+02
5.1983130106e-05 3.4984030511e+02
5.5566681112e-05 3.7291055679e+02
5.9397272707e-05 3.9750183400e+02
6.3491934270e-05 4.2371406219e+02
6.7868866609e-05 4.5165420688e+02
7.2547532909e-05 4.8143596353e+02
7.7548735135e-05 5.1318047081e+02
8.2894701336e-05 5.4701683788e+02
8.8609194791e-05 5.8308279564e+02
9.4717637694e-05 6.2152482080e+02
1.0124716937e-04 6.6249903525e+02
1.0822682816e-04 7.0617191941e+02
1.1568764603e-04 7.5272031218e+02
1.2366278679e-04 8.0233339584e+02
1.3218770619e-04 8.5521145550e+02
1.4130031923e-04 9.1156879436e+02
1.5104110935e-04 9.7163286535e+02
1.6145341215e-04 1.0356459458e+03
1.7258350272e-04 1.1038656959e+03
1.8448085757e-04 1.1765666469e+03
1.9719838747e-04 1.2540399535e+03
2.1079262660e-04 1.3365958746e+03
2.2532400908e-04 1.4245638976e+03
2.4085713085e-04 1.5182939785e+03
2.5746106985e-04 1.6181570388e+03
2.7520960430e-04 1.7245479422e+03
2.9418169288e-04 1.8378848746e+03
3.1446164940e-04 1.9586110807e+03
3.3613966662e-04 2.0871948642e+03
3.5931204911e-04 2.2241338055e+03
3.8408191176e-04 2.3699535212e+03
4.1055929614e-04 2.5252067958e+03
4.3886195635e-04 2.6904799082e+03
4.6911570826e-04 2.8663884141e+03
5.0145509886e-04 3.0535823562e+03
5.3602381376e-04 3.2527415503e+03
5.7297560852e-04 3.4645817876e+03
6.1247474514e-04 3.6898503691e+03
6.5469677793e-04 3.9293305715e+03
6.9982954301e-04 4.1838401585e+03
7.4807356577e-04 4.4542251781e+03
7.9964339966e-04 4.7413693904e+03
8.5476832464e-04 5.0461868253e+03
9.1369333677e-04 5.3696207888e+03
9.7668042872e-04 5.7126423753e+03
1.0440096958e-03 6.0762460013e+03
1.1159804417e-03 6.4614474206e+03
1.1929126922e-03 6.8692792584e+03
1.2751482427e-03 7.3007756282e+03
1.3630529866e-03 7.7569765986e+03
1.4570176136e-03 8.2389098324e+03
1.5574598219e-03 8.7475791742e+03
1.6648261808e-03 9.2839547260e+03
1.7795939930e-03 9.8489559756e+03
1.9022736233e-03 1.0443445346e+04
2.0334103610e-03 1.1068202889e+04
2.1735872142e-03 1.1723905442e+04
2.3234274704e-03 1.2411125639e+04
2.4835972581e-03 1.3130283278e+04
2.6548085734e-03 1.3881647309e+04
2.8378227726e-03 1.4665292163e+04
3.0334533658e-03 1.5481072945e+04
3.2425699755e-03 1.6328606577e+04
3.4661025274e-03 1.7207224160e+04
3.7050447427e-03 1.8115940210e+04
3.9604585618e-03 1.9053405019e+04
4.2334804311e-03 2.0017863968e+04
4.5253229327e-03 2.1007125769e+04
4.8372847959e-03 2.2019544969e+04
5.1707518287e-03 2.3049845802e+04
5.5272071622e-03 2.4095245490e+04
5.9082354419e-03 2.5151343591e+04
6.3155302778e-03 2.6212473320e+04
6.7509030923e-03 2.7273920628e+04
7.2162891738e-03 2.8328657112e+04
7.7137574553e-03 2.9369537266e+04
8.2455193624e-03 3.0387845556e+04
8.8139399886e-03 3.1374515125e+04
9.4215450808e-03 3.2319720901e+04
1.0071036406e-02 3.3212550105e+04
1.0765301995e-02 3.4041282120e+04
1.1507427320e-02 3.4793140381e+04
1.2300713919e-02 3.5454699274e+04
1.3148685917e-02 3.6011850389e+04
1.4055115171e-02 3.6450040710e+04
1.5024030581e-02 3.6754598128e+04
1.6059739515e-02 3.6911136353e+04
1.7166847363e-02 3.6905987618e+04
1.8350275233e-02 3.6726853709e+04
1.9615285099e-02 3.6363683280e+04
2.0967502147e-02 3.5809608702e+04
2.2412935272e-02 3.5061914684e+04
2.3958012462e-02 3.4123328427e+04
2.5609601289e-02 3.3003021985e+04
2.7375046164e-02 3.1717523314e+04
2.9262196273e-02 3.0291323641e+04
3.1279440969e-02 2.8756887390e+04
3.3435747027e-02 2.7153923735e+04
3.5740699619e-02 2.5527741149e+04
3.8204550743e-02 2.3926542038e+04
4.0838252753e-02 2.2397732874e+04
4.3653514236e-02 2.0983432456e+04
4.6478152275e-02 1.9786397155e+04
4.9302790314e-02 1.8791065643e+04
5.2127432078e-02 1.7967327544e+04
5.4952070117e-02 1.7279669684e+04
5.7776708156e-02 1.6690832212e+04
6.0601349920e-02 1.6164334332e+04
6.3425987959e-02 1.5667178686e+04
6.6250629723e-02 1.5171859038e+04
6.9075264037e-02 1.4658423543e+04
7.1899905801e-02 1.4113289782e+04
7.4724547565e-02 1.3531127405e+04
7.7549181879e-02 1.2916945214e+04
8.0373823643e-02 1.2277065990e+04
8.3198465407e-02 1.1624023154e+04
8.6023099720e-02 1.0974600708e+04
8.8847741485e-02 1.0346517526e+04
9.1672383249e-02 9.7540219510e+03
9.5292858779e-02 9.0613870472e+03
9.8913334310e-02 8.4563957651e+03
1.0253380984e-01 7.9485173913e+03
1.0615429282e-01 7.5371837585e+03
1.0977476835e-01 7.2102475038e+03
1.1339524388e-01 6.9506303675e+03
1.1701571941e-01 6.7404884288e+03
1.2063620240e-01 6.5605312981e+03
1.2425667793e-01 6.3914968698e+03
1.2787716091e-01 6.2176139169e+03
1.3149763644e-01 6.0278510655e+03
1.3511811197e-01 5.8145730428e+03
1.3873858750e-01 5.5773977629e+03
1.4235906303e-01 5.3218798653e+03
1.4597953856e-01 5.0568113021e+03
1.4960001409e-01 4.7914499714e+03
1.5322048962e-01 4.5350120898e+03
1.5684096515e-01 4.2962950673e+03
1.6046145558e-01 4.0821650421e+03
1.6408193111e-01 3.8963019508e+03
1.6770240664e-01 3.7392756971e+03
1.7132288217e-01 3.6092654172e+03
1.7494335771e-01 3.5025542065e+03
1.7856383324e-01 3.4138898687e+03
1.8218430877e-01 3.3371612580e+03
1.8580478430e-01 3.2663249620e+03
1.8942527473e-01 3.1960903276e+03
1.9304575026e-01 3.1222348065e+03
1.9666622579e-01 3.0418498295e+03
2.0028670132e-01 2.9536720314e+03
2.0390717685e-01 2.8581944023e+03
2.0752765238e-01 2.7573028107e+03
2.1114812791e-01 2.6536961742e+03
2.1476860344e-01 2.5504470613e+03
2.1838907898e-01 2.4506523547e+03
2.2200956941e-01 2.3569831842e+03
2.2563004494e-01 2.2713514693e+03
2.2925052047e-01 2.1948565763e+03
2.3287099600e-01 2.1277706794e+03
2.3649147153e-01 2.0694777267e+03
2.4011194706e-01 2.0186835873e+03
2.4373242259e-01 1.9738117838e+03
2.4735289812e-01 1.9331312670e+03
2.5097337365e-01 1.8947089044e+03
2.5459384918e-01 1.8566807853e+03
2.5821432471e-01 1.8176958380e+03
2.6183480024e-01 1.7770056451e+03
2.6545527577e-01 1.7342880384e+03
2.6907578111e-01 1.6896014474e+03
2.7269625664e-01 1.6434181454e+03
2.7631673217e-01 1.5965221534e+03
2.7993720770e-01 1.5498578943e+03
2.8355768323e-01 1.5044148222e+03
2.8717815876e-01 1.4610750850e+03
2.9079863429e-01 1.4204629220e+03
2.9441910982e-01 1.3829239476e+03
2.9803958535e-01 1.3485753927e+03
3.0166006088e-01 1.3173130521e+03
3.0528053641e-01 1.2888097955e+03
3.0890101194e-01 1.2625651893e+03
3.1252148747e-01 1.2379863795e+03
3.1614196301e-01 1.2144741856e+03
3.1976243854e-01 1.1914961680e+03
3.2338291407e-01 1.1686132998e+03
3.2700338960e-01 1.1455025445e+03
3.3062389493e-01 1.1219975458e+03
3.3424437046e-01 1.0980963187e+03
3.3786484599e-01 1.0739149778e+03
3.4148532152e-01 1.0496547385e+03
3.4510579705e-01 1.0255927995e+03
3.4872627258e-01 1.0020309841e+03
3.5234674811e-01 9.7922564960e+02
3.5596722364e-01 9.5737125071e+02
3.5958769917e-01 9.3661659012e+02
3.6320817471e-01 9.1704565235e+02
3.6682865024e-01 8.9864925741e+02
3.7044912577e-01 8.8133355849e+02
3.7406960130e-01 8.6495167570e+02
3.7769007683e-01 8.4932546757e+02
3.8131055236e-01 8.3427102411e+02
3.8493102789e-01 8.1962273330e+02
3.8855153322e-01 8.0523625835e+02
3.9217200875e-01 7.9098425789e+02
3.9579248428e-01 7.7677747509e+02
3.9941295981e-01 7.6258793579e+02
4.0303343535e-01 7.4844417240e+02
4.0665391088e-01 7.3440281555e+02
4.1027438641e-01 7.2052793911e+02
4.1389486194e-01 7.0688969558e+02
4.1751533747e-01 6.9356605288e+02
4.2113581300e-01 6.8063330419e+02
4.2475628853e-01 6.6814944472e+02
4.2837676406e-01 6.5614226257e+02
4.3199723959e-01 6.4461132355e+02
4.3561771512e-01 6.3353591065e+02
4.3923819065e-01 6.2288153686e+02
4.4285866618e-01 6.1260261236e+02
