z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.9580799999999999
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0122685492e+01
7.5206098700e-06 5.3428426576e+01
8.0390564108e-06 5.6952184103e+01
8.5932442744e-06 6.0708348736e+01
9.1856354629e-06 6.4712232950e+01
9.8188638731e-06 6.8980173371e+01
1.0495745300e-05 7.3529585715e+01
1.1219289263e-05 7.8379031067e+01
1.1992711734e-05 8.3548287229e+01
1.2819450603e-05 8.9058437050e+01
1.3703183868e-05 9.4931973163e+01
1.4647837816e-05 1.0119283506e+02
1.5657613403e-05 1.0786656562e+02
1.6736999896e-05 1.1498038131e+02
1.7890795789e-05 1.2256328891e+02
1.9124130631e-05 1.3064620629e+02
2.0442488676e-05 1.3926209299e+02
2.1851728889e-05 1.4844605490e+02
2.3358117687e-05 1.5823552965e+02
2.4968352591e-05 1.6867040997e+02
2.6689593142e-05 1.7979321163e+02
2.8529490010e-05 1.9164922664e+02
3.0496221370e-05 2.0428672012e+02
3.2598534744e-05 2.1775715826e+02
3.4845776099e-05 2.3211535066e+02
3.7247933506e-05 2.4741968197e+02
3.9815688069e-05 2.6373238483e+02
4.2560455768e-05 2.8111974954e+02
4.5494442020e-05 2.9965240905e+02
4.8630685342e-05 3.1940554875e+02
5.1983130106e-05 3.4045929336e+02
5.5566681112e-05 3.6289897109e+02
5.9397272707e-05 3.8681546151e+02
6.3491934270e-05 4.1230551191e+02
6.7868866609e-05 4.3947211257e+02
7.2547532909e-05 4.6842495211e+02
7.7548735135e-05 4.9928077150e+02
8.2894701336e-05 5.3216377514e+02
8.8609194791e-05 5.6720616476e+02
9.4717637694e-05 6.0454874898e+02
1.0124716937e-04 6.4434114044e+02
1.0822682816e-04 6.8674269726e+02
1.1568764603e-04 7.3192291755e+02
1.2366278679e-04 7.8006208926e+02
1.3218770619e-04 8.3135205943e+02
1.4130031923e-04 8.8599703407e+02
1.5104110935e-04 9.4421401794e+02
1.6145341215e-04 1.0062342877e+03
1.7258350272e-04 1.0723036751e+03
1.8448085757e-04 1.1426838787e+03
1.9719838747e-04 1.2176535797e+03
2.1079262660e-04 1.2975092774e+03
2.2532400908e-04 1.3825666146e+03
2.4085713085e-04 1.4731615803e+03
2.5746106985e-04 1.5696520128e+03
2.7520960430e-04 1.6724184601e+03
2.9418169288e-04 1.7818665050e+03
3.1446164940e-04 1.8984272506e+03
3.3613966662e-04 2.0225597486e+03
3.5931204911e-04 2.1547516629e+03
3.8408191176e-04 2.2955224966e+03
4.1055929614e-04 2.4454233768e+03
4.3886195635e-04 2.6050405186e+03
4.6911570826e-04 2.7749960455e+03
5.0145509886e-04 2.9559504380e+03
5.3602381376e-04 3.1486032944e+03
5.7297560852e-04 3.3536967625e+03
6.1247474514e-04 3.5720158957e+03
6.5469677793e-04 3.8043905913e+03
6.9982954301e-04 4.0516981875e+03
7.4807356577e-04 4.3148623169e+03
7.9964339966e-04 4.5948562017e+03
8.5476832464e-04 4.8927016125e+03
9.1369333677e-04 5.2094684209e+03
9.7668042872e-04 5.5462744720e+03
1.0440096958e-03 5.9042829761e+03
1.1159804417e-03 6.2846980393e+03
1.1929126922e-03 6.6887600761e+03
1.2751482427e-03 7.1177360039e+03
1.3630529866e-03 7.5729128278e+03
1.4570176136e-03 8.0555788089e+03
1.5574598219e-03 8.5670080572e+03
1.6648261808e-03 9.1084382321e+03
1.7795939930e-03 9.6810428156e+03
1.9022736233e-03 1.0285900138e+04
2.0334103610e-03 1.0923954735e+04
2.1735872142e-03 1.1595978716e+04
2.3234274704e-03 1.2302528657e+04
2.4835972581e-03 1.3043901262e+04
2.6548085734e-03 1.3820092491e+04
2.8378227726e-03 1.4630762733e+04
3.0334533658e-03 1.5475205401e+04
3.2425699755e-03 1.6352329271e+04
3.4661025274e-03 1.7260650757e+04
3.7050447427e-03 1.8198291649e+04
3.9604585618e-03 1.9162986908e+04
4.2334804311e-03 2.0152101572e+04
