z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.0260000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.9580799999999999
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.1486059260e+01
7.5206098700e-06 5.4881753222e+01
8.0390564108e-06 5.8501395718e+01
8.5932442744e-06 6.2359781162e+01
9.1856354629e-06 6.6472636119e+01
9.8188638731e-06 7.0856727325e+01
1.0495745300e-05 7.5529985704e+01
1.1219289263e-05 8.0511438361e+01
1.1992711734e-05 8.5821456619e+01
1.2819450603e-05 9.1481660006e+01
1.3703183868e-05 9.7515156289e+01
1.4647837816e-05 1.0394661350e+02
1.5657613403e-05 1.1080220389e+02
1.6736999896e-05 1.1810995605e+02
1.7890795789e-05 1.2589964284e+02
1.9124130631e-05 1.3420306943e+02
2.0442488676e-05 1.4305410536e+02
2.1851728889e-05 1.5248890852e+02
2.3358117687e-05 1.6254587718e+02
2.4968352591e-05 1.7326610604e+02
2.6689593142e-05 1.8469331424e+02
2.8529490010e-05 1.9687411737e+02
3.0496221370e-05 2.0985820355e+02
3.2598534744e-05 2.2369854142e+02
3.4845776099e-05 2.3845158818e+02
3.7247933506e-05 2.5417746564e+02
3.9815688069e-05 2.7094029627e+02
4.2560455768e-05 2.8880845923e+02
4.5494442020e-05 3.0785483039e+02
4.8630685342e-05 3.2815699041e+02
5.1983130106e-05 3.4979770480e+02
5.5566681112e-05 3.7286524396e+02
5.9397272707e-05 3.9745344720e+02
6.3491934270e-05 4.2366258687e+02
6.7868866609e-05 4.5159930437e+02
7.2547532909e-05 4.8137750628e+02
7.7548735135e-05 5.1311810833e+02
8.2894701336e-05 5.4695047563e+02
8.8609194791e-05 5.8301210260e+02
9.4717637694e-05 6.2144947715e+02
1.0124716937e-04 6.6241878474e+02
1.0822682816e-04 7.0608632451e+02
1.1568764603e-04 7.5262927737e+02
1.2366278679e-04 8.0223641011e+02
1.3218770619e-04 8.5510833145e+02
1.4130031923e-04 9.1145902831e+02
1.5104110935e-04 9.7151592979e+02
1.6145341215e-04 1.0355215715e+03
1.7258350272e-04 1.1037335953e+03
1.8448085757e-04 1.1764260301e+03
1.9719838747e-04 1.2538904434e+03
2.1079262660e-04 1.3364371578e+03
2.2532400908e-04 1.4243950589e+03
2.4085713085e-04 1.5181147961e+03
2.5746106985e-04 1.6179669896e+03
2.7520960430e-04 1.7243463280e+03
2.9418169288e-04 1.8376710554e+03
3.1446164940e-04 1.9583843801e+03
3.3613966662e-04 2.0869556268e+03
3.5931204911e-04 2.2238804923e+03
3.8408191176e-04 2.3696857824e+03
4.1055929614e-04 2.5249244195e+03
4.3886195635e-04 2.6901822271e+03
4.6911570826e-04 2.8660757538e+03
5.0145509886e-04 3.0532530413e+03
5.3602381376e-04 3.2523961848e+03
5.7297560852e-04 3.4642190289e+03
6.1247474514e-04 3.6894712637e+03
6.5469677793e-04 3.9289333048e+03
6.9982954301e-04 4.1834244856e+03
7.4807356577e-04 4.4537912803e+03
7.9964339966e-04 4.7409170330e+03
8.5476832464e-04 5.0457153008e+03
9.1369333677e-04 5.3691288293e+03
9.7668042872e-04 5.7121275050e+03
1.0440096958e-03 6.0757078422e+03
1.1159804417e-03 6.4608853028e+03
1.1929126922e-03 6.8686896866e+03
1.2751482427e-03 7.3001574508e+03
1.3630529866e-03 7.7563265886e+03
1.4570176136e-03 8.2382284365e+03
1.5574598219e-03 8.7468610450e+03
1.6648261808e-03 9.2831999335e+03
1.7795939930e-03 9.8481612194e+03
1.9022736233e-03 1.0442610324e+04
2.0334103610e-03 1.1067323565e+04
2.1735872142e-03 1.1722980991e+04
2.3234274704e-03 1.2410155110e+04
2.4835972581e-03 1.3129265832e+04
2.6548085734e-03 1.3880579438e+04
2.8378227726e-03 1.4664168646e+04
3.0334533658e-03 1.5479898266e+04
3.2425699755e-03 1.6327379113e+04
3.4661025274e-03 1.7205941383e+04
3.7050447427e-03 1.8114598802e+04
3.9604585618e-03 1.9052004591e+04
4.2334804311e-03 2.0016411521e+04
4.5253229327e-03 2.1005613536e+04
4.8372847959e-03 2.2017978114e+04
5.1707518287e-03 2.3048224649e+04
5.5272071622e-03 2.4093567406e+04
5.9082354419e-03 2.5149616807e+04
6.3155302778e-03 2.6210698964e+04
6.7509030923e-03 2.7272104758e+04
7.2162891738e-03 2.8326800209e+04
7.7137574553e-03 2.9367638680e+04
8.2455193624e-03 3.0385929089e+04
8.8139399886e-03 3.1372566589e+04
9.4215450808e-03 3.2317760145e+04
1.0071036406e-02 3.3210579845e+04
1.0765301995e-02 3.4039319458e+04
1.1507427320e-02 3.4791185091e+04
1.2300713919e-02 3.5452764251e+04
1.3148685917e-02 3.6009939819e+04
1.4055115171e-02 3.6448164525e+04
1.5024030581e-02 3.6752772298e+04
1.6059739515e-02 3.6909375637e+04
1.7166847363e-02 3.6904287575e+04
1.8350275233e-02 3.6725238590e+04
1.9615285099e-02 3.6362146780e+04
2.0967502147e-02 3.5808158421e+04
2.2412935272e-02 3.5060565613e+04
2.3958012462e-02 3.4122080352e+04
2.5609601289e-02 3.3001881222e+04
2.7375046164e-02 3.1716488040e+04
2.9262196273e-02 3.0290396832e+04
3.1279440969e-02 2.8756063454e+04
3.3435747027e-02 2.7153196912e+04
3.5740699619e-02 2.5527110454e+04
3.8204550743e-02 2.3925995237e+04
4.0838252753e-02 2.2397253812e+04
4.3653514236e-02 2.0983024507e+04
4.6478152275e-02 1.9786041523e+04
4.9302790314e-02 1.8790760052e+04
5.2127432078e-02 1.7967055244e+04
5.4952070117e-02 1.7279431515e+04
5.7776708156e-02 1.6690624548e+04
6.0601349920e-02 1.6164148388e+04
6.3425987959e-02 1.5667012567e+04
6.6250629723e-02 1.5171714102e+04
6.9075264037e-02 1.4658295048e+04
7.1899905801e-02 1.4113176999e+04
7.4724547565e-02 1.3531027118e+04
7.7549181879e-02 1.2916860749e+04
8.0373823643e-02 1.2276992907e+04
8.3198465407e-02 1.1623960421e+04
8.6023099720e-02 1.0974547342e+04
8.8847741485e-02 1.0346471760e+04
9.1672383249e-02 9.7539849598e+03
9.5292858779e-02 9.0613581750e+03
9.8913334310e-02 8.4563744881e+03
1.0253380984e-01 7.9485002752e+03
1.0615429282e-01 7.5371722445e+03
1.0977476835e-01 7.2102376295e+03
1.1339524388e-01 6.9506235650e+03
1.1701571941e-01 6.7404849637e+03
1.2063620240e-01 6.5605306146e+03
1.2425667793e-01 6.3914979831e+03
1.2787716091e-01 6.2176148965e+03
1.3149763644e-01 6.0278546596e+03
1.3511811197e-01 5.8145774983e+03
1.3873858750e-01 5.5774039586e+03
1.4235906303e-01 5.3218860503e+03
1.4597953856e-01 5.0568172719e+03
1.4960001409e-01 4.7914576300e+03
1.5322048962e-01 4.5350205318e+03
1.5684096515e-01 4.2963035723e+03
1.6046145558e-01 4.0821732798e+03
1.6408193111e-01 3.8963110229e+03
1.6770240664e-01 3.7392849582e+03
1.7132288217e-01 3.6092748848e+03
