z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.2375000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.9580799999999999
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0100169004e+01
7.5206098700e-06 5.3404425065e+01
8.0390564108e-06 5.6926599632e+01
8.5932442744e-06 6.0681076902e+01
9.1856354629e-06 6.4683162473e+01
9.8188638731e-06 6.8949185633e+01
1.0495745300e-05 7.3496554274e+01
1.1219289263e-05 7.8343821145e+01
1.1992711734e-05 8.3510755163e+01
1.2819450603e-05 8.9018429707e+01
1.3703183868e-05 9.4889327308e+01
1.4647837816e-05 1.0114737670e+02
1.5657613403e-05 1.0781810931e+02
1.6736999896e-05 1.1492872936e+02
1.7890795789e-05 1.2250823060e+02
1.9124130631e-05 1.3058751703e+02
2.0442488676e-05 1.3919953339e+02
2.1851728889e-05 1.4837936979e+02
2.3358117687e-05 1.5816444706e+02
2.4968352591e-05 1.6859464000e+02
2.6689593142e-05 1.7971244532e+02
2.8529490010e-05 1.9156313469e+02
3.0496221370e-05 2.0419495154e+02
3.2598534744e-05 2.1765933898e+02
3.4845776099e-05 2.3201108201e+02
3.7247933506e-05 2.4730853907e+02
3.9815688069e-05 2.6361391489e+02
4.2560455768e-05 2.8099347003e+02
4.5494442020e-05 2.9951780575e+02
4.8630685342e-05 3.1926207373e+02
5.1983130106e-05 3.4030636277e+02
5.5566681112e-05 3.6273596284e+02
5.9397272707e-05 3.8664171281e+02
6.3491934270e-05 4.1212031661e+02
6.7868866609e-05 4.3927471843e+02
7.2547532909e-05 4.6821455781e+02
7.7548735135e-05 4.9905652350e+02
8.2894701336e-05 5.3192476439e+02
8.8609194791e-05 5.6695142315e+02
9.4717637694e-05 6.0427724557e+02
1.0124716937e-04 6.4405177756e+02
1.0822682816e-04 6.8643430623e+02
1.1568764603e-04 7.3159425426e+02
1.2366278679e-04 7.7971182945e+02
1.3218770619e-04 8.3097879366e+02
1.4130031923e-04 8.8559926235e+02
1.5104110935e-04 9.4379014424e+02
