z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.9609599999999998
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.8705538824e+01
7.5206098700e-06 5.1927783709e+01
8.0390564108e-06 5.5363197911e+01
8.5932442744e-06 5.9025895750e+01
9.1856354629e-06 6.2930898704e+01
9.8188638731e-06 6.7094235927e+01
1.0495745300e-05 7.1532998627e+01
1.1219289263e-05 7.6265405558e+01
1.1992711734e-05 8.1310873518e+01
1.2819450603e-05 8.6690104498e+01
1.3703183868e-05 9.2425188940e+01
1.4647837816e-05 9.8539642998e+01
1.5657613403e-05 1.0505856254e+02
1.6736999896e-05 1.1200869293e+02
1.7890795789e-05 1.1941854434e+02
1.9124130631e-05 1.2731851120e+02
2.0442488676e-05 1.3574100122e+02
2.1851728889e-05 1.4472053930e+02
2.3358117687e-05 1.5429395052e+02
2.4968352591e-05 1.6450048245e+02
2.6689593142e-05 1.7538197140e+02
2.8529490010e-05 1.8698299426e+02
3.0496221370e-05 1.9935106327e+02
3.2598534744e-05 2.1253685146e+02
3.4845776099e-05 2.2659433440e+02
3.7247933506e-05 2.4158101957e+02
3.9815688069e-05 2.5755821643e+02
4.2560455768e-05 2.7459124472e+02
4.5494442020e-05 2.9274971677e+02
4.8630685342e-05 3.1210774644e+02
5.1983130106e-05 3.3274433175e+02
5.5566681112e-05 3.5474361771e+02
5.9397272707e-05 3.7819524133e+02
6.3491934270e-05 4.0319464615e+02
6.7868866609e-05 4.2984345487e+02
7.2547532909e-05 4.5824992086e+02
7.7548735135e-05 4.8852928068e+02
8.2894701336e-05 5.2080416299e+02
8.8609194791e-05 5.5520511834e+02
9.4717637694e-05 5.9187122391e+02
1.0124716937e-04 6.3095028359e+02
1.0822682816e-04 6.7259975957e+02
1.1568764603e-04 7.1698716733e+02
1.2366278679e-04 7.6429072196e+02
1.3218770619e-04 8.1470010244e+02
1.4130031923e-04 8.6841724674e+02
1.5104110935e-04 9.2565679364e+02
1.6145341215e-04 9.8664754106e+02
1.7258350272e-04 1.0516327355e+03
1.8448085757e-04 1.1208713735e+03
1.9719838747e-04 1.1946393115e+03
2.1079262660e-04 1.2732301012e+03
2.2532400908e-04 1.3569563072e+03
2.4085713085e-04 1.4461507064e+03
2.5746106985e-04 1.5411677828e+03
2.7520960430e-04 1.6423845925e+03
2.9418169288e-04 1.7502030706e+03
3.1446164940e-04 1.8650505297e+03
3.3613966662e-04 1.9873820720e+03
3.5931204911e-04 2.1176812660e+03
