z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.5300000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.9609599999999998
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9939778062e+01
7.5206098700e-06 5.3243710410e+01
8.0390564108e-06 5.6766218932e+01
8.5932442744e-06 6.0521786510e+01
9.1856354629e-06 6.4525804568e+01
9.8188638731e-06 6.8794698599e+01
1.0495745300e-05 7.3346053677e+01
1.1219289263e-05 7.8198482970e+01
1.1992711734e-05 8.3371944521e+01
1.2819450603e-05 8.8887657579e+01
1.3703183868e-05 9.4768287885e+01
1.4647837816e-05 1.0103795963e+02
1.5657613403e-05 1.0772240489e+02
1.6736999896e-05 1.1484908316e+02
1.7890795789e-05 1.2244722320e+02
1.9124130631e-05 1.3054802628e+02
2.0442488676e-05 1.3918474982e+02
2.1851728889e-05 1.4839280308e+02
2.3358117687e-05 1.5821004597e+02
2.4968352591e-05 1.6867670540e+02
2.6689593142e-05 1.7983579367e+02
2.8529490010e-05 1.9173302483e+02
3.0496221370e-05 2.0441735256e+02
3.2598534744e-05 2.1794071919e+02
3.4845776099e-05 2.3235866535e+02
3.7247933506e-05 2.4773022239e+02
3.9815688069e-05 2.6411865356e+02
4.2560455768e-05 2.8159109534e+02
4.5494442020e-05 3.0021920305e+02
4.8630685342e-05 3.2007936597e+02
5.1983130106e-05 3.4125299429e+02
5.5566681112e-05 3.6382697335e+02
5.9397272707e-05 3.8789383101e+02
6.3491934270e-05 4.1355214413e+02
6.7868866609e-05 4.4090706454e+02
7.2547532909e-05 4.7007065376e+02
7.7548735135e-05 5.0116236122e+02
8.2894701336e-05 5.3430938284e+02
8.8609194791e-05 5.6964728273e+02
9.4717637694e-05 6.0732080601e+02
1.0124716937e-04 6.4748368764e+02
1.0822682816e-04 6.9030023033e+02
1.1568764603e-04 7.3594487423e+02
1.2366278679e-04 7.8460425306e+02
1.3218770619e-04 8.3647623779e+02
1.4130031923e-04 8.9177213627e+02
1.5104110935e-04 9.5071683663e+02
1.6145341215e-04 1.0135495246e+03
1.7258350272e-04 1.0805247834e+03
1.8448085757e-04 1.1519138368e+03
1.9719838747e-04 1.2280052187e+03
2.1079262660e-04 1.3091051557e+03
2.2532400908e-04 1.3955395754e+03
2.4085713085e-04 1.4876547761e+03
2.5746106985e-04 1.5858187651e+03
2.7520960430e-04 1.6904215462e+03
2.9418169288e-04 1.8018780842e+03
3.1446164940e-04 1.9206268704e+03
3.3613966662e-04 2.0471336523e+03
3.5931204911e-04 2.1818909555e+03
3.8408191176e-04 2.3254198052e+03
4.1055929614e-04 2.4782702998e+03
4.3886195635e-04 2.6410244803e+03
4.6911570826e-04 2.8142936523e+03
5.0145509886e-04 2.9987222115e+03
