z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6380000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.9609599999999998
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.8643746307e+01
7.5206098700e-06 5.1861903163e+01
8.0390564108e-06 5.5292958892e+01
8.5932442744e-06 5.8951009909e+01
9.1856354629e-06 6.2851058635e+01
9.8188638731e-06 6.7009113892e+01
1.0495745300e-05 7.1442245204e+01
1.1219289263e-05 7.6168648214e+01
1.1992711734e-05 8.1207715088e+01
1.2819450603e-05 8.6580121559e+01
1.3703183868e-05 9.2307930044e+01
1.4647837816e-05 9.8414626870e+01
1.5657613403e-05 1.0492527607e+02
1.6736999896e-05 1.1186658908e+02
1.7890795789e-05 1.1926703993e+02
1.9124130631e-05 1.2715698447e+02
2.0442488676e-05 1.3556878932e+02
2.1851728889e-05 1.4453693562e+02
2.3358117687e-05 1.5409820171e+02
2.4968352591e-05 1.6429178542e+02
2.6689593142e-05 1.7515947001e+02
2.8529490010e-05 1.8674577583e+02
3.0496221370e-05 1.9909815491e+02
3.2598534744e-05 2.1226721604e+02
3.4845776099e-05 2.2630686638e+02
3.7247933506e-05 2.4127454052e+02
3.9815688069e-05 2.5723147025e+02
4.2560455768e-05 2.7424289255e+02
4.5494442020e-05 2.9237833158e+02
4.8630685342e-05 3.1171180733e+02
5.1983130106e-05 3.3232221784e+02
5.5566681112e-05 3.5429360161e+02
5.9397272707e-05 3.7771548224e+02
6.3491934270e-05 4.0268318256e+02
6.7868866609e-05 4.2929819680e+02
7.2547532909e-05 4.5766864154e+02
7.7548735135e-05 4.8790960780e+02
8.2894701336e-05 5.2014356949e+02
8.8609194791e-05 5.5450091250e+02
9.4717637694e-05 5.9112053872e+02
1.0124716937e-04 6.3015006594e+02
1.0822682816e-04 6.7174675826e+02
1.1568764603e-04 7.1607792064e+02
1.2366278679e-04 7.6332154451e+02
1.3218770619e-04 8.1366707109e+02
1.4130031923e-04 8.6731618559e+02
1.5104110935e-04 9.2448325858e+02
1.6145341215e-04 9.8539680260e+02
1.7258350272e-04 1.0502997613e+03
1.8448085757e-04 1.1194508095e+03
1.9719838747e-04 1.1931254618e+03
2.1079262660e-04 1.2716169072e+03
2.2532400908e-04 1.3552373248e+03
2.4085713085e-04 1.4443190828e+03
2.5746106985e-04 1.5392162310e+03
2.7520960430e-04 1.6403053658e+03
2.9418169288e-04 1.7479879339e+03
3.1446164940e-04 1.8626907313e+03
3.3613966662e-04 1.9848683127e+03
3.5931204911e-04 2.1150036680e+03
3.8408191176e-04 2.2536114218e+03
4.1055929614e-04 2.4012376484e+03
4.3886195635e-04 2.5584633091e+03
4.6911570826e-04 2.7259050903e+03
5.0145509886e-04 2.9042178463e+03
5.3602381376e-04 3.0940953816e+03
5.7297560852e-04 3.2962738679e+03
6.1247474514e-04 3.5115322329e+03
6.5469677793e-04 3.7406941097e+03
6.9982954301e-04 3.9846304408e+03
7.4807356577e-04 4.2442583908e+03
7.9964339966e-04 4.5205446444e+03
8.5476832464e-04 4.8145044284e+03
9.1369333677e-04 5.1272011228e+03
9.7668042872e-04 5.4597461903e+03
1.0440096958e-03 5.8132966588e+03
1.1159804417e-03 6.1890507691e+03
1.1929126922e-03 6.5882435071e+03
1.2751482427e-03 7.0121369811e+03
1.3630529866e-03 7.4620141511e+03
1.4570176136e-03 7.9391602841e+03
1.5574598219e-03 8.4448477896e+03
1.6648261808e-03 8.9803142343e+03
1.7795939930e-03 9.5467349793e+03
1.9022736233e-03 1.0145192587e+04
2.0334103610e-03 1.0776638620e+04
2.1735872142e-03 1.1441855416e+04
2.3234274704e-03 1.2141413399e+04
2.4835972581e-03 1.2875627116e+04
2.6548085734e-03 1.3644514654e+04
2.8378227726e-03 1.4447762973e+04
3.0334533658e-03 1.5284696563e+04
3.2425699755e-03 1.6154259656e+04
3.4661025274e-03 1.7055008219e+04
3.7050447427e-03 1.7985107325e+04
3.9604585618e-03 1.8942338453e+04
4.2334804311e-03 1.9924115831e+04
4.5253229327e-03 2.0927483930e+04
4.8372847959e-03 2.1949139287e+04
5.1707518287e-03 2.2985411355e+04
5.5272071622e-03 2.4032263788e+04
5.9082354419e-03 2.5085263599e+04
6.3155302778e-03 2.6139549328e+04
6.7509030923e-03 2.7189791012e+04
7.2162891738e-03 2.8230132030e+04
7.7137574553e-03 2.9254129315e+04
8.2455193624e-03 3.0254678122e+04
8.8139399886e-03 3.1223926100e+04
9.4215450808e-03 3.2153162487e+04
1.0071036406e-02 3.3032702937e+04
1.0765301995e-02 3.3851748462e+04
1.1507427320e-02 3.4598242458e+04
1.2300713919e-02 3.5258756996e+04
1.3148685917e-02 3.5818439520e+04
1.4055115171e-02 3.6261130856e+04
1.5024030581e-02 3.6569743836e+04
1.6059739515e-02 3.6727066592e+04
1.7166847363e-02 3.6717103019e+04
1.8350275233e-02 3.6526979678e+04
1.9615285099e-02 3.6149238725e+04
2.0967502147e-02 3.5584051808e+04
2.2412935272e-02 3.4840655789e+04
2.3958012462e-02 3.3937301595e+04
2.5609601289e-02 3.2899410749e+04
2.7375046164e-02 3.1756267153e+04
2.9262196273e-02 3.0537196384e+04
3.1279440969e-02 2.9268324553e+04
3.3435747027e-02 2.7970671678e+04
3.5740699619e-02 2.6659725529e+04
3.8204550743e-02 2.5346140033e+04
4.0838252753e-02 2.4037012695e+04
4.3653514236e-02 2.2737226645e+04
4.6478152275e-02 2.1526684795e+04
4.9302790314e-02 2.0400766660e+04
5.2127432078e-02 1.9351577710e+04
5.4952070117e-02 1.8372332357e+04
5.7776708156e-02 1.7457147379e+04
6.0601349920e-02 1.6600861484e+04
6.3425987959e-02 1.5798895551e+04
6.6250629723e-02 1.5047139787e+04
6.9075264037e-02 1.4341875164e+04
7.1899905801e-02 1.3679709423e+04
