z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.96192
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9561074463e+01
7.5206098700e-06 5.2843331407e+01
8.0390564108e-06 5.6342959337e+01
8.5932442744e-06 6.0074359255e+01
9.1856354629e-06 6.4052863946e+01
9.8188638731e-06 6.8294850379e+01
1.0495745300e-05 7.2817786837e+01
1.1219289263e-05 7.7640243793e+01
1.1992711734e-05 8.2782075195e+01
1.2819450603e-05 8.8264411210e+01
1.3703183868e-05 9.4109832259e+01
1.4647837816e-05 1.0034236901e+02
1.5657613403e-05 1.0698761842e+02
1.6736999896e-05 1.1407297573e+02
1.7890795789e-05 1.2162756199e+02
1.9124130631e-05 1.2968242712e+02
2.0442488676e-05 1.3827071659e+02
2.1851728889e-05 1.4742773680e+02
2.3358117687e-05 1.5719116529e+02
2.4968352591e-05 1.6760114502e+02
2.6689593142e-05 1.7870047293e+02
2.8529490010e-05 1.9053481744e+02
3.0496221370e-05 2.0315280550e+02
3.2598534744e-05 2.1660631260e+02
3.4845776099e-05 2.3095073838e+02
3.7247933506e-05 2.4624491954e+02
3.9815688069e-05 2.6255184051e+02
4.2560455768e-05 2.7993838692e+02
4.5494442020e-05 2.9847620119e+02
4.8630685342e-05 3.1824136353e+02
5.1983130106e-05 3.3931503004e+02
5.5566681112e-05 3.6178378075e+02
5.9397272707e-05 3.8573993867e+02
6.3491934270e-05 4.1128191791e+02
6.7868866609e-05 4.3851445564e+02
7.2547532909e-05 4.6754939527e+02
7.7548735135e-05 4.9850577347e+02
8.2894701336e-05 5.3151066131e+02
8.8609194791e-05 5.6669910623e+02
9.4717637694e-05 6.0421555330e+02
1.0124716937e-04 6.4421343916e+02
1.0822682816e-04 6.8685652625e+02
1.1568764603e-04 7.3231913482e+02
1.2366278679e-04 7.8078707113e+02
1.3218770619e-04 8.3245809152e+02
1.4130031923e-04 8.8754294657e+02
1.5104110935e-04 9.4626555515e+02
1.6145341215e-04 1.0088652088e+03
1.7258350272e-04 1.0755958176e+03
1.8448085757e-04 1.1467275345e+03
1.9719838747e-04 1.2225480894e+03
2.1079262660e-04 1.3033637755e+03
2.2532400908e-04 1.3894992171e+03
2.4085713085e-04 1.4812998062e+03
2.5746106985e-04 1.5791323985e+03
2.7520960430e-04 1.6833860095e+03
2.9418169288e-04 1.7944747151e+03
3.1446164940e-04 1.9128360273e+03
3.3613966662e-04 2.0389337946e+03
3.5931204911e-04 2.1732586662e+03
3.8408191176e-04 2.3163307604e+03
4.1055929614e-04 2.4686976921e+03
4.3886195635e-04 2.6309397943e+03
4.6911570826e-04 2.8036657085e+03
5.0145509886e-04 2.9875188825e+03
5.3602381376e-04 3.1831740893e+03
5.7297560852e-04 3.3913409083e+03
6.1247474514e-04 3.6127597799e+03
6.5469677793e-04 3.8482085032e+03
6.9982954301e-04 4.0984955064e+03
7.4807356577e-04 4.3644656484e+03
7.9964339966e-04 4.6469974335e+03
8.5476832464e-04 4.9469967471e+03
9.1369333677e-04 5.2654010319e+03
9.7668042872e-04 5.6031792882e+03
1.0440096958e-03 5.9613251123e+03
1.1159804417e-03 6.3408469515e+03
1.1929126922e-03 6.7427750646e+03
1.2751482427e-03 7.1681452793e+03
1.3630529866e-03 7.6179952798e+03
1.4570176136e-03 8.0933506843e+03
1.5574598219e-03 8.5952185474e+03
1.6648261808e-03 9.1245739026e+03
1.7795939930e-03 9.6823421263e+03
1.9022736233e-03 1.0269387337e+04
2.0334103610e-03 1.0886502183e+04
2.1735872142e-03 1.1534380931e+04
2.3234274704e-03 1.2213602752e+04
2.4835972581e-03 1.2924610379e+04
2.6548085734e-03 1.3667689686e+04
2.8378227726e-03 1.4442934417e+04
3.0334533658e-03 1.5250235049e+04
3.2425699755e-03 1.6089229599e+04
3.4661025274e-03 1.6959285990e+04
3.7050447427e-03 1.7859457497e+04
3.9604585618e-03 1.8788431700e+04
4.2334804311e-03 1.9744510065e+04
4.5253229327e-03 2.0725539257e+04
4.8372847959e-03 2.1729915414e+04
5.1707518287e-03 2.2752446404e+04
5.5272071622e-03 2.3790410856e+04
5.9082354419e-03 2.4839459409e+04
6.3155302778e-03 2.5894002676e+04
6.7509030923e-03 2.6949401707e+04
7.2162891738e-03 2.7998695295e+04
7.7137574553e-03 2.9034812707e+04
