z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.96192
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.8239933819e+01
7.5206098700e-06 5.1434666973e+01
8.0390564108e-06 5.4840967382e+01
8.5932442744e-06 5.8472857717e+01
9.1856354629e-06 6.2345262925e+01
9.8188638731e-06 6.6474110147e+01
1.0495745300e-05 7.0876382899e+01
1.1219289263e-05 7.5570186304e+01
1.1992711734e-05 8.0574817308e+01
1.2819450603e-05 8.5910851432e+01
1.3703183868e-05 9.1600245530e+01
1.4647837816e-05 9.7666375118e+01
1.5657613403e-05 1.0413418753e+02
1.6736999896e-05 1.1103027153e+02
1.7890795789e-05 1.1838297224e+02
1.9124130631e-05 1.2622250999e+02
2.0442488676e-05 1.3458110899e+02
2.1851728889e-05 1.4349310087e+02
2.3358117687e-05 1.5299510684e+02
2.4968352591e-05 1.6312615978e+02
2.6689593142e-05 1.7392786979e+02
2.8529490010e-05 1.8544457562e+02
3.0496221370e-05 1.9772353877e+02
3.2598534744e-05 2.1081516801e+02
3.4845776099e-05 2.2477316099e+02
3.7247933506e-05 2.3965473280e+02
3.9815688069e-05 2.5552088509e+02
4.2560455768e-05 2.7243661393e+02
4.5494442020e-05 2.9047119117e+02
4.8630685342e-05 3.0969837311e+02
5.1983130106e-05 3.3019678174e+02
5.5566681112e-05 3.5205016700e+02
5.9397272707e-05 3.7534775094e+02
6.3491934270e-05 4.0018454156e+02
6.7868866609e-05 4.2666170457e+02
7.2547532909e-05 4.5488701358e+02
7.7548735135e-05 4.8497520211e+02
8.2894701336e-05 5.1704837179e+02
8.8609194791e-05 5.5123652072e+02
9.4717637694e-05 5.8767814657e+02
1.0124716937e-04 6.2652044766e+02
1.0822682816e-04 6.6792025118e+02
1.1568764603e-04 7.1204440839e+02
1.2366278679e-04 7.5907043966e+02
1.3218770619e-04 8.0918729709e+02
1.4130031923e-04 8.6259615799e+02
1.5104110935e-04 9.1951086730e+02
1.6145341215e-04 9.8015939105e+02
1.7258350272e-04 1.0447841077e+03
1.8448085757e-04 1.1136431062e+03
1.9719838747e-04 1.1870112939e+03
2.1079262660e-04 1.2651812318e+03
2.2532400908e-04 1.3484644493e+03
2.4085713085e-04 1.4371926427e+03
2.5746106985e-04 1.5317191673e+03
2.7520960430e-04 1.6324199035e+03
2.9418169288e-04 1.7396955579e+03
3.1446164940e-04 1.8539721659e+03
3.3613966662e-04 1.9757034983e+03
3.5931204911e-04 2.1053717424e+03
3.8408191176e-04 2.2434906960e+03
4.1055929614e-04 2.3906055914e+03
4.3886195635e-04 2.5472965274e+03
4.6911570826e-04 2.7141793132e+03
5.0145509886e-04 2.8919079110e+03
5.3602381376e-04 3.0811752244e+03
5.7297560852e-04 3.2827165137e+03
6.1247474514e-04 3.4973097919e+03
6.5469677793e-04 3.7257777790e+03
6.9982954301e-04 3.9689905062e+03
7.4807356577e-04 4.2278642433e+03
7.9964339966e-04 4.5033647964e+03
8.5476832464e-04 4.7965065432e+03
9.1369333677e-04 5.1083520553e+03
9.7668042872e-04 5.4400120376e+03
1.0440096958e-03 5.7926428279e+03
1.1159804417e-03 6.1674420652e+03
1.1929126922e-03 6.5656442415e+03
1.2751482427e-03 6.9885111119e+03
1.3630529866e-03 7.4373254445e+03
1.4570176136e-03 7.9133725256e+03
1.5574598219e-03 8.4179250327e+03
1.6648261808e-03 8.9522210981e+03
1.7795939930e-03 9.5174370026e+03
1.9022736233e-03 1.0114656638e+04
2.0334103610e-03 1.0744833370e+04
2.1735872142e-03 1.1408751867e+04
2.3234274704e-03 1.2106985460e+04
2.4835972581e-03 1.2839852222e+04
2.6548085734e-03 1.3607374395e+04
2.8378227726e-03 1.4409243719e+04
3.0334533658e-03 1.5244790059e+04
3.2425699755e-03 1.6112963547e+04
3.4661025274e-03 1.7012326487e+04
3.7050447427e-03 1.7941050620e+04
3.9604585618e-03 1.8896924314e+04
4.2334804311e-03 1.9877368784e+04
4.5253229327e-03 2.0879435515e+04
4.8372847959e-03 2.1899827992e+04
5.1707518287e-03 2.2934882547e+04
5.5272071622e-03 2.3980569628e+04
5.9082354419e-03 2.5032463005e+04
6.3155302778e-03 2.6085708018e+04
6.7509030923e-03 2.7134981637e+04
7.2162891738e-03 2.8174434446e+04
7.7137574553e-03 2.9197630998e+04
8.2455193624e-03 3.0197474752e+04
8.8139399886e-03 3.1166122327e+04
9.4215450808e-03 3.2094872905e+04
1.0071036406e-02 3.2974053266e+04
1.0765301995e-02 3.3792876925e+04
1.1507427320e-02 3.4539301328e+04
1.2300713919e-02 3.5199914223e+04
1.3148685917e-02 3.5759880247e+04
1.4055115171e-02 3.6203058549e+04
1.5024030581e-02 3.6512380551e+04
1.6059739515e-02 3.6670651757e+04
1.7166847363e-02 3.6661890023e+04
1.8350275233e-02 3.6473229605e+04
1.9615285099e-02 3.6097210998e+04
2.0967502147e-02 3.5533992258e+04
2.2412935272e-02 3.4792783652e+04
2.3958012462e-02 3.3891797763e+04
2.5609601289e-02 3.2856409722e+04
2.7375046164e-02 3.1715854320e+04
2.9262196273e-02 3.0499410731e+04
3.1279440969e-02 2.9233165426e+04
3.3435747027e-02 2.7938107404e+04
3.5740699619e-02 2.6629701820e+04
3.8204550743e-02 2.5318586826e+04
4.0838252753e-02 2.4011848931e+04
4.3653514236e-02 2.2714363166e+04
4.6478152275e-02 2.1505897515e+04
4.9302790314e-02 2.0381851370e+04
5.2127432078e-02 1.9334353907e+04
5.4952070117e-02 1.8356639741e+04
5.7776708156e-02 1.7442843029e+04
6.0601349920e-02 1.6587817565e+04
6.3425987959e-02 1.5786997414e+04
6.6250629723e-02 1.5036284394e+04
6.9075264037e-02 1.4331969741e+04
7.1899905801e-02 1.3670670322e+04
7.4724547565e-02 1.3049297384e+04
7.7549181879e-02 1.2465013320e+04
8.0373823643e-02 1.1915203283e+04
8.3198465407e-02 1.1397462923e+04
8.6023099720e-02 1.0909573169e+04
8.8847741485e-02 1.0449481721e+04
9.1672383249e-02 1.0015296824e+04
9.5292858779e-02 9.4938808463e+03
9.8913334310e-02 9.0087913250e+03
1.0253380984e-01 8.5569772975e+03
1.0615429282e-01 8.1356751291e+03
1.0977476835e-01 7.7423829693e+03
1.1339524388e-01 7.3748295804e+03
1.1701571941e-01 7.0309545201e+03
1.2063620240e-01 6.7088856326e+03
1.2425667793e-01 6.4069228254e+03
1.2787716091e-01 6.1235166388e+03
1.3149763644e-01 5.8572580806e+03
1.3511811197e-01 5.6068608611e+03
1.3873858750e-01 5.3711515839e+03
1.4235906303e-01 5.1490582436e+03
