z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.2060000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.96192
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.8214532065e+01
7.5206098700e-06 5.1407582973e+01
8.0390564108e-06 5.4812089731e+01
8.5932442744e-06 5.8442067628e+01
9.1856354629e-06 6.2312433753e+01
9.8188638731e-06 6.6439106860e+01
1.0495745300e-05 7.0839061523e+01
1.1219289263e-05 7.5530393332e+01
1.1992711734e-05 8.0532389074e+01
1.2819450603e-05 8.5865613434e+01
1.3703183868e-05 9.1552011710e+01
1.4647837816e-05 9.7614947108e+01
1.5657613403e-05 1.0407935383e+02
1.6736999896e-05 1.1097180664e+02
1.7890795789e-05 1.1832063574e+02
1.9124130631e-05 1.2615604555e+02
2.0442488676e-05 1.3451024332e+02
2.1851728889e-05 1.4341754259e+02
2.3358117687e-05 1.5291454533e+02
2.4968352591e-05 1.6304026385e+02
2.6689593142e-05 1.7383628635e+02
2.8529490010e-05 1.8534692827e+02
3.0496221370e-05 1.9761942621e+02
3.2598534744e-05 2.1070416245e+02
3.4845776099e-05 2.2465480636e+02
3.7247933506e-05 2.3952854295e+02
3.9815688069e-05 2.5538634179e+02
4.2560455768e-05 2.7229316476e+02
4.5494442020e-05 2.9031824730e+02
4.8630685342e-05 3.0953530695e+02
5.1983130106e-05 3.3002292435e+02
5.5566681112e-05 3.5186480547e+02
5.9397272707e-05 3.7515012550e+02
6.3491934270e-05 3.9997384255e+02
6.7868866609e-05 4.2643706924e+02
7.2547532909e-05 4.5464752264e+02
7.7548735135e-05 4.8471987614e+02
8.2894701336e-05 5.1677616738e+02
8.8609194791e-05 5.5094632637e+02
9.4717637694e-05 5.8736877834e+02
1.0124716937e-04 6.2619064463e+02
1.0822682816e-04 6.6756867054e+02
1.1568764603e-04 7.1166962023e+02
1.2366278679e-04 7.5867092156e+02
1.3218770619e-04 8.0876142827e+02
1.4130031923e-04 8.6214221309e+02
1.5104110935e-04 9.1902700996e+02
1.6145341215e-04 9.7964366680e+02
1.7258350272e-04 1.0442344367e+03
1.8448085757e-04 1.1130572754e+03
1.9719838747e-04 1.1863869488e+03
2.1079262660e-04 1.2645158673e+03
2.2532400908e-04 1.3477554011e+03
2.4085713085e-04 1.4364370769e+03
2.5746106985e-04 1.5309140700e+03
2.7520960430e-04 1.6315620702e+03
2.9418169288e-04 1.7387815818e+03
3.1446164940e-04 1.8529984257e+03
3.3613966662e-04 1.9746661456e+03
3.5931204911e-04 2.1042666884e+03
3.8408191176e-04 2.2423135979e+03
4.1055929614e-04 2.3893518378e+03
4.3886195635e-04 2.5459612239e+03
4.6911570826e-04 2.7127572667e+03
5.0145509886e-04 2.8903936143e+03
5.3602381376e-04 3.0795628409e+03
5.7297560852e-04 3.2809998606e+03
6.1247474514e-04 3.4954823252e+03
6.5469677793e-04 3.7238325772e+03
6.9982954301e-04 3.9669202553e+03
7.4807356577e-04 4.2256612231e+03
7.9964339966e-04 4.5010208667e+03
8.5476832464e-04 4.7940131328e+03
9.1369333677e-04 5.1057001533e+03
9.7668042872e-04 5.4371921875e+03
1.0440096958e-03 5.7896451253e+03
1.1159804417e-03 6.1642561620e+03
1.1929126922e-03 6.5622593552e+03
1.2751482427e-03 6.9849160446e+03
1.3630529866e-03 7.4335086097e+03
1.4570176136e-03 7.9093219898e+03
1.5574598219e-03 8.4136285699e+03
1.6648261808e-03 8.9476662622e+03
1.7795939930e-03 9.5126112199e+03
1.9022736233e-03 1.0109547322e+04
2.0334103610e-03 1.0739428064e+04
2.1735872142e-03 1.1403038409e+04
2.3234274704e-03 1.2100952182e+04
2.4835972581e-03 1.2833488168e+04
2.6548085734e-03 1.3600669576e+04
2.8378227726e-03 1.4402189379e+04
3.0334533658e-03 1.5237378964e+04
3.2425699755e-03 1.6105190277e+04
3.4661025274e-03 1.7004187736e+04
3.7050447427e-03 1.7932545488e+04
3.9604585618e-03 1.8888054581e+04
4.2334804311e-03 1.9868139170e+04
4.5253229327e-03 2.0869853918e+04
4.8372847959e-03 2.1889905696e+04
5.1707518287e-03 2.2924634401e+04
5.5272071622e-03 2.3970014198e+04
5.9082354419e-03 2.5021622691e+04
6.3155302778e-03 2.6074609128e+04
6.7509030923e-03 2.7123654425e+04
7.2162891738e-03 2.8162913098e+04
7.7137574553e-03 2.9185953565e+04
8.2455193624e-03 3.0185683023e+04
8.8139399886e-03 3.1154261641e+04
9.4215450808e-03 3.2082991893e+04
1.0071036406e-02 3.2962203526e+04
1.0765301995e-02 3.3781112632e+04
1.1507427320e-02 3.4527678767e+04
1.2300713919e-02 3.5188491237e+04
1.3148685917e-02 3.5748715588e+04
1.4055115171e-02 3.6192211086e+04
1.5024030581e-02 3.6501908292e+04
1.6059739515e-02 3.6660610628e+04
1.7166847363e-02 3.6652332339e+04
1.8350275233e-02 3.6464202245e+04
1.9615285099e-02 3.6088753371e+04
2.0967502147e-02 3.5526134260e+04
2.2412935272e-02 3.4785543976e+04
2.3958012462e-02 3.3885182939e+04
2.5609601289e-02 3.2850414168e+04
2.7375046164e-02 3.1710461463e+04
2.9262196273e-02 3.0494594967e+04
3.1279440969e-02 2.9228894505e+04
3.3435747027e-02 2.7934344809e+04
3.5740699619e-02 2.6626408809e+04
3.8204550743e-02 2.5315723995e+04
4.0838252753e-02 2.4009377303e+04
4.3653514236e-02 2.2712244896e+04
4.6478152275e-02 2.1504078446e+04
4.9302790314e-02 2.0380285900e+04
5.2127432078e-02 1.9333004302e+04
5.4952070117e-02 1.8355474591e+04
5.7776708156e-02 1.7441836051e+04
6.0601349920e-02 1.6586946656e+04
6.3425987959e-02 1.5786243903e+04
6.6250629723e-02 1.5035632444e+04
6.9075264037e-02 1.4331405873e+04
7.1899905801e-02 1.3670183018e+04
7.4724547565e-02 1.3048876775e+04
7.7549181879e-02 1.2464650922e+04
8.0373823643e-02 1.1914891783e+04
8.3198465407e-02 1.1397196000e+04
8.6023099720e-02 1.0909345346e+04
8.8847741485e-02 1.0449288243e+04
9.1672383249e-02 1.0015133549e+04
9.5292858779e-02 9.4937510682e+03
9.8913334310e-02 9.0086900430e+03
1.0253380984e-01 8.5569002891e+03
1.0615429282e-01 8.1356188181e+03
1.0977476835e-01 7.7423443188e+03
1.1339524388e-01 7.3748060047e+03
1.1701571941e-01 7.0309438125e+03
1.2063620240e-01 6.7088859055e+03
1.2425667793e-01 6.4069324612e+03
1.2787716091e-01 6.1235342485e+03
1.3149763644e-01 5.8572824692e+03
1.3511811197e-01 5.6068909990e+03
1.3873858750e-01 5.3711865830e+03
1.4235906303e-01 5.1490973364e+03
1.4597953856e-01 4.9396429529e+03
1.4960001409e-01 4.7419259553e+03
1.5322048962e-01 4.5551238231e+03
1.5684096515e-01 4.3784819471e+03
1.6046145558e-01 4.2113066221e+03
1.6408193111e-01 4.0529620740e+03
1.6770240664e-01 3.9028612275e+03
1.7132288217e-01 3.7604638851e+03
1.7494335771e-01 3.6252718855e+03
1.7856383324e-01 3.4968253744e+03
1.8218430877e-01 3.3746994319e+03
1.8580478430e-01 3.2585010400e+03
1.8942527473e-01 3.1478658969e+03
1.9304575026e-01 3.0424577257e+03
1.9666622579e-01 2.9419633034e+03
2.0028670132e-01 2.8460922698e+03
2.0390717685e-01 2.7545748089e+03
2.0752765238e-01 2.6671599777e+03
2.1114812791e-01 2.5836141844e+03
2.1476860344e-01 2.5037197997e+03
2.1838907898e-01 2.4272738981e+03
2.2200956941e-01 2.3540868165e+03
2.2563004494e-01 2.2839822934e+03
2.2925052047e-01 2.2167947083e+03
2.3287099600e-01 2.1523694262e+03
2.3649147153e-01 2.0905616872e+03
2.4011194706e-01 2.0312358760e+03
2.4373242259e-01 1.9742648524e+03
2.4735289812e-01 1.9195293336e+03
2.5097337365e-01 1.8669173308e+03
2.5459384918e-01 1.8163236315e+03
2.5821432471e-01 1.7676493208e+03
2.6183480024e-01 1.7208013429e+03
2.6545527577e-01 1.6756920980e+03
2.6907578111e-01 1.6322387172e+03
2.7269625664e-01 1.5903641359e+03
2.7631673217e-01 1.5499946327e+03
2.7993720770e-01 1.5110609780e+03
2.8355768323e-01 1.4734977994e+03
2.8717815876e-01 1.4372433309e+03
2.9079863429e-01 1.4022391803e+03
2.9441910982e-01 1.3684301137e+03
2.9803958535e-01 1.3357638564e+03
3.0166006088e-01 1.3041909072e+03
3.0528053641e-01 1.2736643662e+03
3.0890101194e-01 1.2441397754e+03
3.1252148747e-01 1.2155749694e+03
3.1614196301e-01 1.1879299373e+03
3.1976243854e-01 1.1611666940e+03
3.2338291407e-01 1.1352491598e+03
3.2700338960e-01 1.1101430483e+03
3.3062389493e-01 1.0858155655e+03
3.3424437046e-01 1.0622361062e+03
3.3786484599e-01 1.0393749620e+03
3.4148532152e-01 1.0172040434e+03
3.4510579705e-01 9.9569659657e+02
3.4872627258e-01 9.7482712903e+02
3.5234674811e-01 9.5457133982e+02
3.5596722364e-01 9.3490605418e+02
3.5958769917e-01 9.1580916219e+02
3.6320817471e-01 8.9725956158e+02
3.6682865024e-01 8.7923710364e+02
3.7044912577e-01 8.6172254263e+02
3.7406960130e-01 8.4469748839e+02
3.7769007683e-01 8.2814436158e+02
3.8131055236e-01 8.1204635163e+02
3.8493102789e-01 7.9638737741e+02
3.8855153322e-01 7.8115192621e+02
3.9217200875e-01 7.6632551686e+02
3.9579248428e-01 7.5189391455e+02
3.9941295981e-01 7.3784360471e+02
4.0303343535e-01 7.2416163648e+02
4.0665391088e-01 7.1083559518e+02
4.1027438641e-01 6.9785357613e+02
4.1389486194e-01 6.8520416003e+02
4.1751533747e-01 6.7287638969e+02
4.2113581300e-01 6.6085974805e+02
4.2475628853e-01 6.4914413733e+02
4.2837676406e-01 6.3771985940e+02
4.3199723959e-01 6.2657759719e+02
4.3561771512e-01 6.1570839701e+02
4.3923819065e-01 6.0510365191e+02
4.4285866618e-01 5.9475508590e+02
4.4647914171e-01 5.8465473888e+02
4.5009964704e-01 5.7479487236e+02
4.5372012258e-01 5.6516827857e+02
4.5734059811e-01 5.5576778085e+02
4.6096107364e-01 5.4658654802e+02
4.6458154917e-01 5.3761800082e+02
4.6820202470e-01 5.2885580087e+02
4.7182250023e-01 5.2029384033e+02
4.7544297576e-01 5.1192623205e+02
4.7906345129e-01 5.0374730010e+02
4.8268392682e-01 4.9575157091e+02
4.8630440235e-01 4.8793376475e+02
4.8992487788e-01 4.8028878762e+02
4.9354535341e-01 4.7281172358e+02
4.9716582894e-01 4.6549782742e+02
5.0078630447e-01 4.5834251762e+02
5.0440680981e-01 4.5134131274e+02
5.0802725554e-01 4.4449011010e+02
5.1164776087e-01 4.3778455504e+02
5.1526820660e-01 4.3122087823e+02
5.1888871193e-01 4.2479500678e+02
5.2250915766e-01 4.1850342367e+02
5.2612966299e-01 4.1234231620e+02
5.2975010872e-01 4.0630840009e+02
5.3337061405e-01 4.0039810317e+02
5.3699105978e-01 3.9460835601e+02
5.4061156511e-01 3.8893580904e+02
5.4423207045e-01 3.8337750079e+02
5.4785251617e-01 3.7793055963e+02
5.5147302151e-01 3.7259193954e+02
5.5509346724e-01 3.6735903993e+02
5.5871397257e-01 3.6222899889e+02
5.6233441830e-01 3.5719937949e+02
5.6595492363e-01 3.5226749077e+02
5.6957536936e-01 3.4743104749e+02
5.7319587469e-01 3.4268751753e+02
5.7681632042e-01 3.3803475641e+02
5.8043682575e-01 3.3347037975e+02
6.2843209505e-01 2.8037012365e+02
7.6756852865e-01 1.7999492144e+02
9.3751013279e-01 1.1453992302e+02
1.1450772285e+00 7.2292112771e+01
1.3986002207e+00 4.5279569656e+01
1.7082554102e+00 2.8158555128e+01
2.0864677429e+00 1.7394948023e+01
2.5484168529e+00 1.0679108038e+01
3.1126427650e+00 6.5182432369e+00
3.8017895222e+00 3.9571723234e+00
4.6435198784e+00 2.3903521639e+00
5.6716070175e+00 1.4372030342e+00
