z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.2420000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.96192
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9507308361e+01
7.5206098700e-06 5.2786007974e+01
8.0390564108e-06 5.6281844128e+01
8.5932442744e-06 6.0009190585e+01
9.1856354629e-06 6.3983401348e+01
9.8188638731e-06 6.8220781983e+01
1.0495745300e-05 7.2738804783e+01
1.1219289263e-05 7.7556027488e+01
1.1992711734e-05 8.2692279766e+01
1.2819450603e-05 8.8168682341e+01
1.3703183868e-05 9.4007747411e+01
1.4647837816e-05 1.0023353644e+02
1.5657613403e-05 1.0687157408e+02
1.6736999896e-05 1.1394925943e+02
1.7890795789e-05 1.2149562690e+02
1.9124130631e-05 1.2954176705e+02
2.0442488676e-05 1.3812076916e+02
2.1851728889e-05 1.4726785516e+02
2.3358117687e-05 1.5702071434e+02
2.4968352591e-05 1.6741939813e+02
2.6689593142e-05 1.7850670266e+02
2.8529490010e-05 1.9032822612e+02
3.0496221370e-05 2.0293253135e+02
3.2598534744e-05 2.1637152838e+02
3.4845776099e-05 2.3070037879e+02
3.7247933506e-05 2.4597803125e+02
3.9815688069e-05 2.6226727891e+02
4.2560455768e-05 2.7963506543e+02
4.5494442020e-05 2.9815281014e+02
4.8630685342e-05 3.1789659928e+02
5.1983130106e-05 3.3894749206e+02
5.5566681112e-05 3.6139197970e+02
5.9397272707e-05 3.8532238705e+02
6.3491934270e-05 4.1083675790e+02
6.7868866609e-05 4.3804005989e+02
7.2547532909e-05 4.6704368729e+02
7.7548735135e-05 4.9796679980e+02
8.2894701336e-05 5.3093620784e+02
8.8609194791e-05 5.6608706110e+02
9.4717637694e-05 6.0356346058e+02
1.0124716937e-04 6.4351861163e+02
1.0822682816e-04 6.8611627757e+02
1.1568764603e-04 7.3153085620e+02
1.2366278679e-04 7.7994718853e+02
1.3218770619e-04 8.3156373380e+02
1.4130031923e-04 8.8659065687e+02
1.5104110935e-04 9.4525197035e+02
1.6145341215e-04 1.0077866057e+03
1.7258350272e-04 1.0744477247e+03
1.8448085757e-04 1.1455065449e+03
1.9719838747e-04 1.2212499676e+03
2.1079262660e-04 1.3019837915e+03
2.2532400908e-04 1.3880327889e+03
2.4085713085e-04 1.4797425422e+03
2.5746106985e-04 1.5774793671e+03
2.7520960430e-04 1.6816328373e+03
2.9418169288e-04 1.7926159379e+03
3.1446164940e-04 1.9108667483e+03
3.3613966662e-04 2.0368490540e+03
3.5931204911e-04 2.1710538773e+03
3.8408191176e-04 2.3140011600e+03
4.1055929614e-04 2.4662393045e+03
4.3886195635e-04 2.6283473162e+03
4.6911570826e-04 2.8009361802e+03
5.0145509886e-04 2.9846488618e+03
5.3602381376e-04 3.1801601529e+03
5.7297560852e-04 3.3881785089e+03
6.1247474514e-04 3.6094472720e+03
6.5469677793e-04 3.8447425296e+03
6.9982954301e-04 4.0948740324e+03
7.4807356577e-04 4.3606839698e+03
7.9964339966e-04 4.6430500305e+03
8.5476832464e-04 4.9428780579e+03
9.1369333677e-04 5.2611057223e+03
9.7668042872e-04 5.5986951762e+03
1.0440096958e-03 5.9566391748e+03
1.1159804417e-03 6.3359469992e+03
1.1929126922e-03 6.7376432316e+03
1.2751482427e-03 7.1627634712e+03
1.3630529866e-03 7.6123433174e+03
1.4570176136e-03 8.0874110248e+03
1.5574598219e-03 8.5889758741e+03
1.6648261808e-03 9.1180098109e+03
1.7795939930e-03 9.6754407126e+03
1.9022736233e-03 1.0262134027e+04
2.0334103610e-03 1.0878878694e+04
2.1735872142e-03 1.1526369398e+04
2.3234274704e-03 1.2205183920e+04
2.4835972581e-03 1.2915770286e+04
2.6548085734e-03 1.3658411265e+04
2.8378227726e-03 1.4433204786e+04
3.0334533658e-03 1.5240040680e+04
3.2425699755e-03 1.6078559056e+04
3.4661025274e-03 1.6948133170e+04
3.7050447427e-03 1.7847813111e+04
3.9604585618e-03 1.8776293973e+04
4.2334804311e-03 1.9731871792e+04
4.5253229327e-03 2.0712409268e+04
4.8372847959e-03 2.1716306486e+04
5.1707518287e-03 2.2738367086e+04
5.5272071622e-03 2.3775866195e+04
5.9082354419e-03 2.4824477799e+04
6.3155302778e-03 2.5878610150e+04
6.7509030923e-03 2.6933621415e+04
7.2162891738e-03 2.7982570873e+04
7.7137574553e-03 2.9018392948e+04
8.2455193624e-03 3.0032469886e+04
8.8139399886e-03 3.1015806908e+04
9.4215450808e-03 3.1958684559e+04
1.0071036406e-02 3.2850249856e+04
1.0765301995e-02 3.3678908006e+04
1.1507427320e-02 3.4431945373e+04
1.2300713919e-02 3.5095997097e+04
1.3148685917e-02 3.5657037295e+04
1.4055115171e-02 3.6100557783e+04
1.5024030581e-02 3.6411945106e+04
1.6059739515e-02 3.6576835526e+04
1.7166847363e-02 3.6581550808e+04
1.8350275233e-02 3.6413778827e+04
1.9615285099e-02 3.6063396172e+04
2.0967502147e-02 3.5523444987e+04
2.2412935272e-02 3.4791092675e+04
2.3958012462e-02 3.3868870700e+04
2.5609601289e-02 3.2765737120e+04
2.7375046164e-02 3.1497962839e+04
2.9262196273e-02 3.0089736323e+04
3.1279440969e-02 2.8573195425e+04
3.3435747027e-02 2.6987724745e+04
3.5740699619e-02 2.5378317766e+04
3.8204550743e-02 2.3792876464e+04
4.0838252753e-02 2.2278573244e+04
4.3653514236e-02 2.0877390272e+04
4.6478152275e-02 1.9691353664e+04
4.9302790314e-02 1.8705226890e+04
5.2127432078e-02 1.7889240754e+04
5.4952070117e-02 1.7208204468e+04
5.7776708156e-02 1.6625127795e+04
6.0601349920e-02 1.6103762311e+04
6.3425987959e-02 1.5611303024e+04
6.6250629723e-02 1.5120373877e+04
6.9075264037e-02 1.4611102627e+04
7.1899905801e-02 1.4069966500e+04
7.4724547565e-02 1.3491649177e+04
7.7549181879e-02 1.2881156053e+04
8.0373823643e-02 1.2244780291e+04
8.3198465407e-02 1.1595038444e+04
8.6023099720e-02 1.0948678820e+04
8.8847741485e-02 1.0323397192e+04
9.1672383249e-02 9.7334257038e+03
9.5292858779e-02 9.0436357877e+03
9.8913334310e-02 8.4410663449e+03
1.0253380984e-01 7.9352299545e+03
1.0615429282e-01 7.5256112651e+03
1.0977476835e-01 7.2001240008e+03
1.1339524388e-01 6.9417542200e+03
1.1701571941e-01 6.7327106698e+03
1.2063620240e-01 6.5537441789e+03
1.2425667793e-01 6.3856221019e+03
1.2787716091e-01 6.2125968417e+03
1.3149763644e-01 6.0236269025e+03
1.3511811197e-01 5.8111136049e+03
1.3873858750e-01 5.5746560523e+03
1.4235906303e-01 5.3197982506e+03
1.4597953856e-01 5.0553281045e+03
1.4960001409e-01 4.7905038839e+03
1.5322048962e-01 4.5345382603e+03
1.5684096515e-01 4.2962359699e+03
1.6046145558e-01 4.0824722413e+03
1.6408193111e-01 3.8969347139e+03
1.6770240664e-01 3.7401999446e+03
1.7132288217e-01 3.6104577769e+03
1.7494335771e-01 3.5039963953e+03
1.7856383324e-01 3.4155674169e+03
1.8218430877e-01 3.3390622136e+03
1.8580478430e-01 3.2684348932e+03
1.8942527473e-01 3.1983942287e+03
1.9304575026e-01 3.1247155014e+03
1.9666622579e-01 3.0444862415e+03
2.0028670132e-01 2.9564416344e+03
2.0390717685e-01 2.8610728555e+03
2.0752765238e-01 2.7602684044e+03
2.1114812791e-01 2.6567280615e+03
2.1476860344e-01 2.5535293992e+03
2.1838907898e-01 2.4537735535e+03
2.2200956941e-01 2.3601355168e+03
2.2563004494e-01 2.2745314843e+03
2.2925052047e-01 2.1980651466e+03
2.3287099600e-01 2.1310100928e+03
2.3649147153e-01 2.0727521245e+03
2.4011194706e-01 2.0219968955e+03
2.4373242259e-01 1.9771659125e+03
2.4735289812e-01 1.9365270563e+03
2.5097337365e-01 1.8981437806e+03
2.5459384918e-01 1.8601496198e+03
2.5821432471e-01 1.8211914702e+03
2.6183480024e-01 1.7805191039e+03
2.6545527577e-01 1.7378090491e+03
2.6907578111e-01 1.6931205223e+03
2.7269625664e-01 1.6469257249e+03
2.7631673217e-01 1.6000117613e+03
2.7993720770e-01 1.5533233404e+03
2.8355768323e-01 1.5078535237e+03
2.8717815876e-01 1.4644870386e+03
2.9079863429e-01 1.4238487944e+03
2.9441910982e-01 1.3862865923e+03
2.9803958535e-01 1.3519182530e+03
3.0166006088e-01 1.3206398801e+03
3.0528053641e-01 1.2921243293e+03
3.0890101194e-01 1.2658700207e+03
