z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022422555000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0585852347e+01
7.5206098700e-06 5.3929085245e+01
8.0390564108e-06 5.7493257121e+01
8.5932442744e-06 6.1292985910e+01
9.1856354629e-06 6.5343845078e+01
9.8188638731e-06 6.9662407460e+01
1.0495745300e-05 7.4266389902e+01
1.1219289263e-05 7.9174648879e+01
1.1992711734e-05 8.4407290075e+01
1.2819450603e-05 8.9985747280e+01
1.3703183868e-05 9.5932874437e+01
1.4647837816e-05 1.0227303331e+02
1.5657613403e-05 1.0903221619e+02
1.6736999896e-05 1.1623808977e+02
1.7890795789e-05 1.2392017921e+02
1.9124130631e-05 1.3210996457e+02
2.0442488676e-05 1.4084097722e+02
2.1851728889e-05 1.5014900152e+02
2.3358117687e-05 1.6007215368e+02
2.4968352591e-05 1.7065103077e+02
2.6689593142e-05 1.8192904390e+02
2.8529490010e-05 1.9395237434e+02
3.0496221370e-05 2.0677016639e+02
3.2598534744e-05 2.2043500077e+02
3.4845776099e-05 2.3500280697e+02
3.7247933506e-05 2.5053330154e+02
3.9815688069e-05 2.6708988291e+02
4.2560455768e-05 2.8474049050e+02
4.5494442020e-05 3.0355737678e+02
4.8630685342e-05 3.2361740535e+02
5.1983130106e-05 3.4500276973e+02
5.5566681112e-05 3.6780095837e+02
5.9397272707e-05 3.9210521044e+02
6.3491934270e-05 4.1801486652e+02
6.7868866609e-05 4.4563592963e+02
7.2547532909e-05 4.7508120550e+02
7.7548735135e-05 5.0647103895e+02
8.2894701336e-05 5.3993369958e+02
8.8609194791e-05 5.7560552208e+02
9.4717637694e-05 6.1363223870e+02
1.0124716937e-04 6.5416894415e+02
1.0822682816e-04 6.9738058657e+02
1.1568764603e-04 7.4344333506e+02
1.2366278679e-04 7.9254443942e+02
1.3218770619e-04 8.4488342237e+02
1.4130031923e-04 9.0067257047e+02
1.5104110935e-04 9.6013819649e+02
1.6145341215e-04 1.0235210602e+03
1.7258350272e-04 1.0910772099e+03
1.8448085757e-04 1.1630789643e+03
1.9719838747e-04 1.2398161047e+03
2.1079262660e-04 1.3215965765e+03
2.2532400908e-04 1.4087475407e+03
2.4085713085e-04 1.5016167069e+03
2.5746106985e-04 1.6005736655e+03
2.7520960430e-04 1.7060093268e+03
2.9418169288e-04 1.8183402690e+03
3.1446164940e-04 1.9380057928e+03
3.3613966662e-04 2.0654726900e+03
3.5931204911e-04 2.2012337012e+03
3.8408191176e-04 2.3458118635e+03
4.1055929614e-04 2.4997570040e+03
4.3886195635e-04 2.6636503685e+03
4.6911570826e-04 2.8381051825e+03
5.0145509886e-04 3.0237666513e+03
5.3602381376e-04 3.2213116795e+03
5.7297560852e-04 3.4314516760e+03
6.1247474514e-04 3.6549328347e+03
6.5469677793e-04 3.8925327683e+03
6.9982954301e-04 4.1450678017e+03
7.4807356577e-04 4.4133837149e+03
7.9964339966e-04 4.6983630365e+03
8.5476832464e-04 5.0009188724e+03
9.1369333677e-04 5.3219954663e+03
9.7668042872e-04 5.6625656757e+03
1.0440096958e-03 6.0236242388e+03
1.1159804417e-03 6.4061883358e+03
1.1929126922e-03 6.8112919782e+03
1.2751482427e-03 7.2399669335e+03
1.3630529866e-03 7.6932505796e+03
