z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022422555000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9193348986e+01
7.5206098700e-06 5.2444509790e+01
8.0390564108e-06 5.5910531030e+01
8.5932442744e-06 5.9605624348e+01
9.1856354629e-06 6.3544913774e+01
9.8188638731e-06 6.7744536894e+01
1.0495745300e-05 7.2221699428e+01
1.1219289263e-05 7.6994741020e+01
1.1992711734e-05 8.2083206042e+01
1.2819450603e-05 8.7507931172e+01
1.3703183868e-05 9.3291149184e+01
1.4647837816e-05 9.9456526165e+01
1.5657613403e-05 1.0602931642e+02
1.6736999896e-05 1.1303643241e+02
1.7890795789e-05 1.2050656060e+02
1.9124130631e-05 1.2847028139e+02
2.0442488676e-05 1.3696019870e+02
2.1851728889e-05 1.4601104418e+02
2.3358117687e-05 1.5565986108e+02
2.4968352591e-05 1.6594612696e+02
2.6689593142e-05 1.7691192057e+02
2.8529490010e-05 1.8860207418e+02
3.0496221370e-05 2.0106436914e+02
3.2598534744e-05 2.1434976229e+02
3.4845776099e-05 2.2851252789e+02
3.7247933506e-05 2.4361048789e+02
3.9815688069e-05 2.5970528305e+02
4.2560455768e-05 2.7686258176e+02
4.5494442020e-05 2.9515236339e+02
4.8630685342e-05 3.1464912756e+02
5.1983130106e-05 3.3543227836e+02
5.5566681112e-05 3.5758638772e+02
5.9397272707e-05 3.8120154151e+02
6.3491934270e-05 4.0637365478e+02
6.7868866609e-05 4.3320484545e+02
7.2547532909e-05 4.6180388723e+02
7.7548735135e-05 4.9228656281e+02
8.2894701336e-05 5.2477607360e+02
8.8609194791e-05 5.5940357114e+02
9.4717637694e-05 5.9630876360e+02
1.0124716937e-04 6.3564011501e+02
1.0822682816e-04 6.7755578042e+02
1.1568764603e-04 7.2222400092e+02
1.2366278679e-04 7.6982375128e+02
1.3218770619e-04 8.2054550624e+02
1.4130031923e-04 8.7459203739e+02
1.5104110935e-04 9.3217885443e+02
1.6145341215e-04 9.9353566902e+02
1.7258350272e-04 1.0589066820e+03
1.8448085757e-04 1.1285518891e+03
1.9719838747e-04 1.2027481923e+03
2.1079262660e-04 1.2817902366e+03
2.2532400908e-04 1.3659917292e+03
2.4085713085e-04 1.4556866416e+03
2.5746106985e-04 1.5512307067e+03
2.7520960430e-04 1.6530022827e+03
2.9418169288e-04 1.7614046666e+03
3.1446164940e-04 1.8768665881e+03
3.3613966662e-04 1.9998446279e+03
3.5931204911e-04 2.1308238895e+03
3.8408191176e-04 2.2703212107e+03
4.1055929614e-04 2.4188849672e+03
4.3886195635e-04 2.5770985214e+03
4.6911570826e-04 2.7455810536e+03
5.0145509886e-04 2.9249900079e+03
5.3602381376e-04 3.1160218660e+03
5.7297560852e-04 3.3194155703e+03
6.1247474514e-04 3.5359528987e+03
6.5469677793e-04 3.7664604098e+03
6.9982954301e-04 4.0118120421e+03
7.4807356577e-04 4.2729280018e+03
7.9964339966e-04 4.5507780573e+03
8.5476832464e-04 4.8463805327e+03
9.1369333677e-04 5.1608018905e+03
9.7668042872e-04 5.4951566342e+03
1.0440096958e-03 5.8506047465e+03
1.1159804417e-03 6.2283472819e+03
1.1929126922e-03 6.6296218404e+03
1.2751482427e-03 7.0556928582e+03
1.3630529866e-03 7.5078452645e+03
1.4570176136e-03 7.9873658014e+03
1.5574598219e-03 8.4955277412e+03
1.6648261808e-03 9.0335687481e+03
1.7795939930e-03 9.6026633397e+03
1.9022736233e-03 1.0203892106e+04
2.0334103610e-03 1.0838203294e+04
2.1735872142e-03 1.1506374374e+04
2.3234274704e-03 1.2208969143e+04
2.4835972581e-03 1.2946293561e+04
2.6548085734e-03 1.3718355007e+04
2.8378227726e-03 1.4524827507e+04
3.0334533658e-03 1.5365020328e+04
3.2425699755e-03 1.6237860209e+04
3.4661025274e-03 1.7141883455e+04
3.7050447427e-03 1.8075233440e+04
3.9604585618e-03 1.9035668121e+04
4.2334804311e-03 2.0020576623e+04
4.5253229327e-03 2.1026976954e+04
4.8372847959e-03 2.2051538110e+04
5.1707518287e-03 2.3090561116e+04
5.5272071622e-03 2.4139980569e+04
5.9082354419e-03 2.5195333978e+04
6.3155302778e-03 2.6251730160e+04
6.7509030923e-03 2.7303809432e+04
7.2162891738e-03 2.8345685709e+04
7.7137574553e-03 2.9370886988e+04
8.2455193624e-03 3.0372280442e+04
8.8139399886e-03 3.1341986828e+04
9.4215450808e-03 3.2271270065e+04
1.0071036406e-02 3.3150422485e+04
1.0765301995e-02 3.3968624255e+04
1.1507427320e-02 3.4713801007e+04
1.2300713919e-02 3.5372510929e+04
1.3148685917e-02 3.5929892593e+04
1.4055115171e-02 3.6369784549e+04
1.5024030581e-02 3.6675106165e+04
1.6059739515e-02 3.6828663709e+04
1.7166847363e-02 3.6814493912e+04
1.8350275233e-02 3.6619773556e+04
1.9615285099e-02 3.6237113412e+04
2.0967502147e-02 3.5666770140e+04
2.2412935272e-02 3.4918076172e+04
2.3958012462e-02 3.4009379396e+04
2.5609601289e-02 3.2966189559e+04
2.7375046164e-02 3.1817861943e+04
2.9262196273e-02 3.0593773056e+04
3.1279440969e-02 2.9320080712e+04
3.3435747027e-02 2.8017821942e+04
3.5740699619e-02 2.6702492370e+04
3.8204550743e-02 2.5384749316e+04
4.0838252753e-02 2.4071692262e+04
4.3653514236e-02 2.2768206273e+04
4.6478152275e-02 2.1554396181e+04
4.9302790314e-02 2.0425591455e+04
5.2127432078e-02 1.9373845585e+04
5.4952070117e-02 1.8392329579e+04
5.7776708156e-02 1.7475123542e+04
6.0601349920e-02 1.6617034945e+04
6.3425987959e-02 1.5813457901e+04
6.6250629723e-02 1.5060259555e+04
6.9075264037e-02 1.4353700958e+04
7.1899905801e-02 1.3690372563e+04
7.4724547565e-02 1.3067162475e+04
7.7549181879e-02 1.2481212744e+04
8.0373823643e-02 1.1929890586e+04
8.3198465407e-02 1.1410775824e+04
8.6023099720e-02 1.0921635389e+04
8.8847741485e-02 1.0460404564e+04
9.1672383249e-02 1.0025180578e+04
9.5292858779e-02 9.5025638519e+03
9.8913334310e-02 9.0164042341e+03
1.0253380984e-01 8.5636351115e+03
1.0615429282e-01 8.1414792859e+03
1.0977476835e-01 7.7474231301e+03
1.1339524388e-01 7.3791851478e+03
1.1701571941e-01 7.0346959457e+03
1.2063620240e-01 6.7120755386e+03
1.2425667793e-01 6.4096169752e+03
1.2787716091e-01 6.1257647677e+03
1.3149763644e-01 5.8591046219e+03
1.3511811197e-01 5.6083455710e+03
1.3873858750e-01 5.3723100872e+03
1.4235906303e-01 5.1499225085e+03
1.4597953856e-01 4.9401991826e+03
1.4960001409e-01 4.7422396639e+03
1.5322048962e-01 4.5552187934e+03
1.5684096515e-01 4.3783796128e+03
1.6046145558e-01 4.2110263217e+03
1.6408193111e-01 4.0525212772e+03
1.6770240664e-01 3.9022757298e+03
1.7132288217e-01 3.7597479840e+03
1.7494335771e-01 3.6244385341e+03
1.7856383324e-01 3.4958863189e+03
1.8218430877e-01 3.3736653329e+03
1.8580478430e-01 3.2573815807e+03
1.8942527473e-01 3.1466698787e+03
1.9304575026e-01 3.0411931556e+03
1.9666622579e-01 2.9406374692e+03
2.0028670132e-01 2.8447118089e+03
2.0390717685e-01 2.7531457704e+03
2.0752765238e-01 2.6656878765e+03
2.1114812791e-01 2.5821040516e+03
2.1476860344e-01 2.5021762261e+03
2.1838907898e-01 2.4257010750e+03
2.2200956941e-01 2.3524885711e+03
2.2563004494e-01 2.2823621219e+03
2.2925052047e-01 2.2151558049e+03
2.3287099600e-01 2.1507147095e+03
2.3649147153e-01 2.0888938246e+03
2.4011194706e-01 2.0295573051e+03
2.4373242259e-01 1.9725778009e+03
2.4735289812e-01 1.9178358373e+03
2.5097337365e-01 1.8652192497e+03
2.5459384918e-01 1.8146226647e+03
2.5821432471e-01 1.7659470198e+03
2.6183480024e-01 1.7190991241e+03
2.6545527577e-01 1.6739912535e+03
2.6907578111e-01 1.6305404254e+03
2.7269625664e-01 1.5886694707e+03
2.7631673217e-01 1.5483045718e+03
2.7993720770e-01 1.5093764109e+03
2.8355768323e-01 1.4718195344e+03
2.8717815876e-01 1.4355721017e+03
2.9079863429e-01 1.4005756518e+03
2.9441910982e-01 1.3667748877e+03
2.9803958535e-01 1.3341174765e+03
3.0166006088e-01 1.3025538634e+03
3.0528053641e-01 1.2720370992e+03
3.0890101194e-01 1.2425226804e+03
3.1252148747e-01 1.2139683997e+03
3.1614196301e-01 1.1863342078e+03
3.1976243854e-01 1.1595820838e+03
3.2338291407e-01 1.1336759153e+03
3.2700338960e-01 1.1085813859e+03
3.3062389493e-01 1.0842656737e+03
3.3424437046e-01 1.0606981477e+03
3.3786484599e-01 1.0378490761e+03
3.4148532152e-01 1.0156903474e+03
3.4510579705e-01 9.9419518802e+02
3.4872627258e-01 9.7333808685e+02
3.5234674811e-01 9.5309472600e+02
3.5596722364e-01 9.3344191509e+02
3.5958769917e-01 9.1435752983e+02
3.6320817471e-01 8.9582045474e+02
