z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.0620000000e+00        0.022422555000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0469017946e+01
7.5206098700e-06 5.3804521538e+01
8.0390564108e-06 5.7360460653e+01
8.5932442744e-06 6.1151419514e+01
9.1856354629e-06 6.5192921400e+01
9.8188638731e-06 6.9501511024e+01
1.0495745300e-05 7.4094853376e+01
1.1219289263e-05 7.8991791386e+01
1.1992711734e-05 8.4212333571e+01
1.2819450603e-05 8.9777913507e+01
1.3703183868e-05 9.5711323934e+01
1.4647837816e-05 1.0203683208e+02
1.5657613403e-05 1.0878040205e+02
1.6736999896e-05 1.1596964544e+02
1.7890795789e-05 1.2363399429e+02
1.9124130631e-05 1.3180488232e+02
2.0442488676e-05 1.4051576139e+02
2.1851728889e-05 1.4980226626e+02
2.3358117687e-05 1.5970250291e+02
2.4968352591e-05 1.7025699907e+02
2.6689593142e-05 1.8150901730e+02
2.8529490010e-05 1.9350458788e+02
3.0496221370e-05 2.0629282189e+02
3.2598534744e-05 2.1992614180e+02
3.4845776099e-05 2.3446039681e+02
3.7247933506e-05 2.4995504411e+02
3.9815688069e-05 2.6647352773e+02
4.2560455768e-05 2.8408352572e+02
4.5494442020e-05 3.0285706544e+02
4.8630685342e-05 3.2287098486e+02
5.1983130106e-05 3.4420719617e+02
5.5566681112e-05 3.6695294933e+02
5.9397272707e-05 3.9120142522e+02
6.3491934270e-05 4.1705163675e+02
6.7868866609e-05 4.4460931850e+02
7.2547532909e-05 4.7398722329e+02
7.7548735135e-05 5.0530535277e+02
8.2894701336e-05 5.3869158352e+02
8.8609194791e-05 5.7428206242e+02
9.4717637694e-05 6.1222235985e+02
1.0124716937e-04 6.5266707435e+02
1.0822682816e-04 6.9578082106e+02
1.1568764603e-04 7.4173968151e+02
1.2366278679e-04 7.9073001742e+02
1.3218770619e-04 8.4295176569e+02
1.4130031923e-04 8.9861652729e+02
1.5104110935e-04 9.5795000552e+02
1.6145341215e-04 1.0211926650e+03
1.7258350272e-04 1.0886003248e+03
1.8448085757e-04 1.1604450151e+03
1.9719838747e-04 1.2370158337e+03
2.1079262660e-04 1.3186210552e+03
2.2532400908e-04 1.4055870103e+03
2.4085713085e-04 1.4982613809e+03
2.5746106985e-04 1.5970130685e+03
2.7520960430e-04 1.7022335116e+03
2.9418169288e-04 1.8143386633e+03
3.1446164940e-04 1.9337678050e+03
3.3613966662e-04 2.0609884226e+03
3.5931204911e-04 2.1964929116e+03
3.8408191176e-04 2.3408043765e+03
4.1055929614e-04 2.4944729404e+03
4.3886195635e-04 2.6580808848e+03
4.6911570826e-04 2.8322415956e+03
5.0145509886e-04 3.0176000899e+03
5.3602381376e-04 3.2148340707e+03
5.7297560852e-04 3.4246544540e+03
6.1247474514e-04 3.6478069504e+03
6.5469677793e-04 3.8850696927e+03
6.9982954301e-04 4.1372563988e+03
7.4807356577e-04 4.4052121548e+03
7.9964339966e-04 4.6898149958e+03
8.5476832464e-04 4.9919756430e+03
9.1369333677e-04 5.3126348672e+03
9.7668042872e-04 5.6527579538e+03
1.0440096958e-03 6.0133381291e+03
1.1159804417e-03 6.3953891799e+03
1.1929126922e-03 6.7999385998e+03
1.2751482427e-03 7.2280202088e+03
1.3630529866e-03 7.6806741533e+03
1.4570176136e-03 8.1589247638e+03
1.5574598219e-03 8.6637779192e+03
1.6648261808e-03 9.1962047038e+03
1.7795939930e-03 9.7571298093e+03
1.9022736233e-03 1.0347415192e+04
2.0334103610e-03 1.0967843201e+04
2.1735872142e-03 1.1619105511e+04
2.3234274704e-03 1.2301768324e+04
2.4835972581e-03 1.3016273426e+04
2.6548085734e-03 1.3762887574e+04
2.8378227726e-03 1.4541706717e+04
3.0334533658e-03 1.5352595895e+04
3.2425699755e-03 1.6195187128e+04
3.4661025274e-03 1.7068834082e+04
3.7050447427e-03 1.7972563564e+04
3.9604585618e-03 1.8905051271e+04
4.2334804311e-03 1.9864575401e+04
4.5253229327e-03 2.0848961820e+04
4.8372847959e-03 2.1856595219e+04
5.1707518287e-03 2.2882243762e+04
5.5272071622e-03 2.3923144971e+04
5.9082354419e-03 2.4974948474e+04
6.3155302778e-03 2.6032023879e+04
6.7509030923e-03 2.7089696063e+04
7.2162891738e-03 2.8140987137e+04
7.7137574553e-03 2.9178786360e+04
8.2455193624e-03 3.0194445702e+04
8.8139399886e-03 3.1178924907e+04
9.4215450808e-03 3.2122481500e+04
1.0071036406e-02 3.3014219513e+04
1.0765301995e-02 3.3842500696e+04
1.1507427320e-02 3.4594573371e+04
1.2300713919e-02 3.5257076431e+04
1.3148685917e-02 3.5815931788e+04
1.4055115171e-02 3.6256629058e+04
1.5024030581e-02 3.6564550313e+04
1.6059739515e-02 3.6725318020e+04
1.7166847363e-02 3.6725280062e+04
1.8350275233e-02 3.6552138147e+04
1.9615285099e-02 3.6195820831e+04
2.0967502147e-02 3.5649415598e+04
2.2412935272e-02 3.4910172624e+04
2.3958012462e-02 3.3980700445e+04
2.5609601289e-02 3.2870060406e+04
2.7375046164e-02 3.1594648124e+04
2.9262196273e-02 3.0178777609e+04
3.1279440969e-02 2.8654712904e+04
3.3435747027e-02 2.7061965859e+04
3.5740699619e-02 2.5445638650e+04
3.8204550743e-02 2.3853733000e+04
4.0838252753e-02 2.2333483043e+04
4.3653514236e-02 2.0926882641e+04
4.6478152275e-02 1.9736229891e+04
4.9302790314e-02 1.8746135056e+04
