z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.2780000000e+00        0.022422555000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9113575202e+01
7.5206098700e-06 5.2359463824e+01
8.0390564108e-06 5.5819864460e+01
8.5932442744e-06 5.9508965708e+01
9.1856354629e-06 6.3441867074e+01
9.8188638731e-06 6.7634679975e+01
1.0495745300e-05 7.2104582234e+01
1.1219289263e-05 7.6869883757e+01
1.1992711734e-05 8.1950097226e+01
1.2819450603e-05 8.7366025533e+01
1.3703183868e-05 9.3139865403e+01
1.4647837816e-05 9.9295244551e+01
1.5657613403e-05 1.0585737634e+02
1.6736999896e-05 1.1285312959e+02
1.7890795789e-05 1.2031114427e+02
1.9124130631e-05 1.2826195118e+02
2.0442488676e-05 1.3673810140e+02
2.1851728889e-05 1.4577427029e+02
2.3358117687e-05 1.5540744103e+02
2.4968352591e-05 1.6567702721e+02
2.6689593142e-05 1.7662503935e+02
2.8529490010e-05 1.8829623709e+02
3.0496221370e-05 2.0073832434e+02
3.2598534744e-05 2.1400217537e+02
3.4845776099e-05 2.2814197650e+02
3.7247933506e-05 2.4321545601e+02
3.9815688069e-05 2.5928415481e+02
4.2560455768e-05 2.7641363496e+02
4.5494442020e-05 2.9467376248e+02
4.8630685342e-05 3.1413891641e+02
5.1983130106e-05 3.3488837232e+02
5.5566681112e-05 3.5700656529e+02
5.9397272707e-05 3.8058343546e+02
6.3491934270e-05 4.0571474279e+02
6.7868866609e-05 4.3250244014e+02
7.2547532909e-05 4.6105512546e+02
7.7548735135e-05 4.9148839445e+02
8.2894701336e-05 5.2392524970e+02
8.8609194791e-05 5.5849663117e+02
9.4717637694e-05 5.9534202184e+02
1.0124716937e-04 6.3460964662e+02
1.0822682816e-04 6.7645740606e+02
1.1568764603e-04 7.2105327074e+02
1.2366278679e-04 7.6857592804e+02
1.3218770619e-04 8.1921554715e+02
1.4130031923e-04 8.7317457483e+02
1.5104110935e-04 9.3066817609e+02
1.6145341215e-04 9.9192569573e+02
1.7258350272e-04 1.0571909453e+03
1.8448085757e-04 1.1267235069e+03
1.9719838747e-04 1.2007998429e+03
2.1079262660e-04 1.2797141314e+03
2.2532400908e-04 1.3637795844e+03
2.4085713085e-04 1.4533296471e+03
2.5746106985e-04 1.5487194937e+03
2.7520960430e-04 1.6503268902e+03
2.9418169288e-04 1.7585545050e+03
3.1446164940e-04 1.8738304019e+03
3.3613966662e-04 1.9966104558e+03
3.5931204911e-04 2.1273790244e+03
3.8408191176e-04 2.2666521547e+03
4.1055929614e-04 2.4149773890e+03
4.3886195635e-04 2.5729372086e+03
4.6911570826e-04 2.7411498663e+03
5.0145509886e-04 2.9202718290e+03
5.3602381376e-04 3.1109985530e+03
5.7297560852e-04 3.3140679040e+03
6.1247474514e-04 3.5302605341e+03
6.5469677793e-04 3.7604018267e+03
6.9982954301e-04 4.0053644964e+03
7.4807356577e-04 4.2660674817e+03
7.9964339966e-04 4.5434792398e+03
8.5476832464e-04 4.8386167477e+03
9.1369333677e-04 5.1525450920e+03
9.7668042872e-04 5.4863773791e+03
1.0440096958e-03 5.8412721863e+03
1.1159804417e-03 6.2184291715e+03
1.1929126922e-03 6.6190845645e+03
1.2751482427e-03 7.0445014861e+03
1.3630529866e-03 7.4959636289e+03
1.4570176136e-03 7.9747566222e+03
1.5574598219e-03 8.4821527898e+03
1.6648261808e-03 9.0193890654e+03
1.7795939930e-03 9.5876395166e+03
1.9022736233e-03 1.0187984633e+04
2.0334103610e-03 1.0821372992e+04
2.1735872142e-03 1.1488582905e+04
2.3234274704e-03 1.2190179608e+04
2.4835972581e-03 1.2926471186e+04
2.6548085734e-03 1.3697467908e+04
2.8378227726e-03 1.4502847515e+04
3.0334533658e-03 1.5341923876e+04
3.2425699755e-03 1.6213629242e+04
3.4661025274e-03 1.7116506346e+04
3.7050447427e-03 1.8048705893e+04
3.9604585618e-03 1.9007994036e+04
4.2334804311e-03 1.9991768904e+04
4.5253229327e-03 2.0997058254e+04
4.8372847959e-03 2.2020541495e+04
5.1707518287e-03 2.3058530655e+04
5.5272071622e-03 2.4106971824e+04
5.9082354419e-03 2.5161414408e+04
6.3155302778e-03 2.6216979407e+04
6.7509030923e-03 2.7268319488e+04
7.2162891738e-03 2.8309560942e+04
7.7137574553e-03 2.9334244009e+04
8.2455193624e-03 3.0335247789e+04
8.8139399886e-03 3.1304704466e+04
9.4215450808e-03 3.2233888678e+04
1.0071036406e-02 3.3113102562e+04
1.0765301995e-02 3.3931534953e+04
1.1507427320e-02 3.4677118785e+04
1.2300713919e-02 3.5336417902e+04
1.3148685917e-02 3.5894574555e+04
1.4055115171e-02 3.6335428541e+04
1.5024030581e-02 3.6641897420e+04
1.6059739515e-02 3.6796781777e+04
1.7166847363e-02 3.6784107811e+04
1.8350275233e-02 3.6591035900e+04
1.9615285099e-02 3.6210153813e+04
2.0967502147e-02 3.5641688560e+04
2.2412935272e-02 3.4894937330e+04
2.3958012462e-02 3.3988209464e+04
2.5609601289e-02 3.2946976078e+04
2.7375046164e-02 3.1800557174e+04
2.9262196273e-02 3.0578300044e+04
3.1279440969e-02 2.9306340785e+04
3.3435747027e-02 2.8005702223e+04
3.5740699619e-02 2.6691872278e+04
3.8204550743e-02 2.5375505569e+04
4.0838252753e-02 2.4063702391e+04
4.3653514236e-02 2.2761350914e+04
4.6478152275e-02 2.1548502981e+04
4.9302790314e-02 2.0420514939e+04
5.2127432078e-02 1.9369465130e+04
5.4952070117e-02 1.8388544602e+04
5.7776708156e-02 1.7471849734e+04
6.0601349920e-02 1.6614201303e+04
6.3425987959e-02 1.5811004365e+04
6.6250629723e-02 1.5058135126e+04
6.9075264037e-02 1.4351862167e+04
7.1899905801e-02 1.3688782240e+04
7.4724547565e-02 1.3065788735e+04
7.7549181879e-02 1.2480028155e+04
8.0373823643e-02 1.1928871483e+04
8.3198465407e-02 1.1409901738e+04
8.6023099720e-02 1.0920888572e+04
8.8847741485e-02 1.0459769593e+04
9.1672383249e-02 1.0024644018e+04
9.5292858779e-02 9.5021364932e+03
9.8913334310e-02 9.0160698312e+03
1.0253380984e-01 8.5633799379e+03
1.0615429282e-01 8.1412917097e+03
1.0977476835e-01 7.7472932673e+03
1.1339524388e-01 7.3791045787e+03
1.1701571941e-01 7.0346574811e+03
1.2063620240e-01 6.7120730265e+03
1.2425667793e-01 6.4096451403e+03
1.2787716091e-01 6.1258190779e+03
1.3149763644e-01 5.8591811772e+03
1.3511811197e-01 5.6084410096e+03
1.3873858750e-01 5.3724215075e+03
1.4235906303e-01 5.1500474026e+03
1.4597953856e-01 4.9403353807e+03
1.4960001409e-01 4.7423852865e+03
1.5322048962e-01 4.5553722115e+03
1.5684096515e-01 4.3785394136e+03
1.6046145558e-01 4.2111912791e+03
1.6408193111e-01 4.0526903269e+03
1.6770240664e-01 3.9024479480e+03
1.7132288217e-01 3.7599225688e+03
1.7494335771e-01 3.6246147896e+03
1.7856383324e-01 3.4960636418e+03
1.8218430877e-01 3.3738432002e+03
1.8580478430e-01 3.2575595399e+03
1.8942527473e-01 3.1468475389e+03
1.9304575026e-01 3.0413701794e+03
1.9666622579e-01 2.9408135663e+03
2.0028670132e-01 2.8448867305e+03
2.0390717685e-01 2.7533193035e+03
2.0752765238e-01 2.6658598401e+03
2.1114812791e-01 2.5822742921e+03
2.1476860344e-01 2.5023446146e+03
2.1838907898e-01 2.4258675039e+03
2.2200956941e-01 2.3526529516e+03
2.2563004494e-01 2.2825243816e+03
2.2925052047e-01 2.2153158859e+03
2.3287099600e-01 2.1508725667e+03
2.3649147153e-01 2.0890494238e+03
2.4011194706e-01 2.0297106221e+03
2.4373242259e-01 1.9727288198e+03
2.4735289812e-01 1.9179845496e+03
2.5097337365e-01 1.8653656536e+03
2.5459384918e-01 1.8147667638e+03
2.5821432471e-01 1.7660888227e+03
2.6183480024e-01 1.7192386436e+03
2.6545527577e-01 1.6741285063e+03
2.6907578111e-01 1.6306754311e+03
2.7269625664e-01 1.5888022517e+03
2.7631673217e-01 1.5484351527e+03
2.7993720770e-01 1.5095048184e+03
2.8355768323e-01 1.4719457966e+03
2.8717815876e-01 1.4356962483e+03
2.9079863429e-01 1.4006977136e+03
2.9441910982e-01 1.3668948962e+03
2.9803958535e-01 1.3342354640e+03
3.0166006088e-01 1.3026698628e+03
3.0528053641e-01 1.2721511436e+03
3.0890101194e-01 1.2426348033e+03
3.1252148747e-01 1.2140786348e+03
3.1614196301e-01 1.1864425886e+03
3.1976243854e-01 1.1596886439e+03
3.2338291407e-01 1.1337806883e+03
3.2700338960e-01 1.1086844049e+03
3.3062389493e-01 1.0843669718e+03
3.3424437046e-01 1.0607977576e+03
3.3786484599e-01 1.0379470301e+03
3.4148532152e-01 1.0157866776e+03
3.4510579705e-01 9.9428992599e+02
3.4872627258e-01 9.7343126370e+02
3.5234674811e-01 9.5318637242e+02
3.5596722364e-01 9.3353206127e+02
3.5958769917e-01 9.1444620549e+02
3.6320817471e-01 8.9590768907e+02
3.6682865024e-01 8.7789635068e+02
3.7044912577e-01 8.6039293288e+02
3.7406960130e-01 8.4337903479e+02
3.7769007683e-01 8.2683706716e+02
3.8131055236e-01 8.1075021030e+02
3.8493102789e-01 7.9510237471e+02
3.8855153322e-01 7.7987804005e+02
3.9217200875e-01 7.6506271790e+02
3.9579248428e-01 7.5064216705e+02
3.9941295981e-01 7.3660286697e+02
4.0303343535e-01 7.2293186137e+02
4.0665391088e-01 7.0961673057e+02
4.1027438641e-01 6.9664556537e+02
4.1389486194e-01 6.8400694231e+02
4.1751533747e-01 6.7168990045e+02
4.2113581300e-01 6.5968391930e+02
4.2475628853e-01 6.4797889799e+02
4.2837676406e-01 6.3656513560e+02
4.3199723959e-01 6.2543331255e+02
4.3561771512e-01 6.1457447290e+02
4.3923819065e-01 6.0398000768e+02
4.4285866618e-01 5.9364163910e+02
4.4647914171e-01 5.8355140551e+02
4.5009964704e-01 5.7370156708e+02
4.5372012258e-01 5.6408491470e+02
4.5734059811e-01 5.5469427072e+02
4.6096107364e-01 5.4552280310e+02
4.6458154917e-01 5.3656393181e+02
4.6820202470e-01 5.2781131787e+02
4.7182250023e-01 5.1925885295e+02
4.7544297576e-01 5.1090064951e+02
4.7906345129e-01 5.0273103138e+02
4.8268392682e-01 4.9474452479e+02
4.8630440235e-01 4.8693584995e+02
4.8992487788e-01 4.7929991284e+02
4.9354535341e-01 4.7183179762e+02
4.9716582894e-01 4.6452675919e+02
5.0078630447e-01 4.5738021629e+02
5.0440680981e-01 4.5038768780e+02
5.0802725554e-01 4.4354507117e+02
5.1164776087e-01 4.3684801238e+02
5.1526820660e-01 4.3029274228e+02
5.1888871193e-01 4.2387518871e+02
5.2250915766e-01 4.1759183488e+02
5.2612966299e-01 4.1143886893e+02
5.2975010872e-01 4.0541300686e+02
5.3337061405e-01 3.9951067740e+02
5.3699105978e-01 3.9372881148e+02
5.4061156511e-01 3.8806406045e+02
5.4423207045e-01 3.8251346340e+02
5.4785251617e-01 3.7707414925e+02
5.5147302151e-01 3.7174307298e+02
5.5509346724e-01 3.6651763446e+02
5.5871397257e-01 3.6139497280e+02
5.6233441830e-01 3.5637265157e+02
5.6595492363e-01 3.5144798081e+02
5.6957536936e-01 3.4661867584e+02
5.7319587469e-01 3.4188220556e+02
5.7681632042e-01 3.3723642605e+02
5.8043682575e-01 3.3267895395e+02
6.2843209505e-01 2.7966332491e+02
7.6756852865e-01 1.7947412470e+02
9.3751013279e-01 1.1416574722e+02
1.1450772285e+00 7.2028903531e+01
1.3986002207e+00 4.5097740729e+01
1.7082554102e+00 2.8034910204e+01
2.0864677429e+00 1.7312029364e+01
2.5484168529e+00 1.0624185068e+01
3.1126427650e+00 6.4822652203e+00
3.8017895222e+00 3.9338390497e+00
4.6435198784e+00 2.3753561007e+00
5.6716070175e+00 1.4276442987e+00
