z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022400110000000008        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0451283127e+01
7.5206098700e-06 5.3785612938e+01
8.0390564108e-06 5.7340299178e+01
8.5932442744e-06 6.1129930199e+01
9.1856354629e-06 6.5170010717e+01
9.8188638731e-06 6.9477097141e+01
1.0495745300e-05 7.4068828501e+01
1.1219289263e-05 7.8964034715e+01
1.1992711734e-05 8.4182744318e+01
1.2819450603e-05 8.9746362326e+01
1.3703183868e-05 9.5677693430e+01
1.4647837816e-05 1.0200098067e+02
1.5657613403e-05 1.0874219153e+02
1.6736999896e-05 1.1592890200e+02
1.7890795789e-05 1.2359054396e+02
1.9124130631e-05 1.3175856764e+02
2.0442488676e-05 1.4046635649e+02
2.1851728889e-05 1.4974963710e+02
2.3358117687e-05 1.5964637863e+02
2.4968352591e-05 1.7019716399e+02
2.6689593142e-05 1.8144525173e+02
2.8529490010e-05 1.9343654509e+02
3.0496221370e-05 2.0622031890e+02
3.2598534744e-05 2.1984886388e+02
3.4845776099e-05 2.3437799702e+02
3.7247933506e-05 2.4986715434e+02
3.9815688069e-05 2.6637987039e+02
4.2560455768e-05 2.8398360807e+02
4.5494442020e-05 3.0275057839e+02
4.8630685342e-05 3.2275743109e+02
5.1983130106e-05 3.4408610530e+02
5.5566681112e-05 3.6682386050e+02
5.9397272707e-05 3.9106383323e+02
6.3491934270e-05 4.1690488250e+02
6.7868866609e-05 4.4445288888e+02
7.2547532909e-05 4.7382044525e+02
7.7548735135e-05 5.0512744441e+02
8.2894701336e-05 5.3850172875e+02
8.8609194791e-05 5.7407977070e+02
9.4717637694e-05 6.1200661090e+02
1.0124716937e-04 6.5243678612e+02
1.0822682816e-04 6.9553535005e+02
1.1568764603e-04 7.4147750213e+02
1.2366278679e-04 7.9045081462e+02
1.3218770619e-04 8.4265356230e+02
1.4130031923e-04 8.9829831057e+02
1.5104110935e-04 9.5761055445e+02
1.6145341215e-04 1.0208304508e+03
1.7258350272e-04 1.0882136225e+03
1.8448085757e-04 1.1600321483e+03
1.9719838747e-04 1.2365748722e+03
2.1079262660e-04 1.3181498779e+03
2.2532400908e-04 1.4050836847e+03
2.4085713085e-04 1.4977237220e+03
2.5746106985e-04 1.5964382055e+03
2.7520960430e-04 1.7016188593e+03
2.9418169288e-04 1.8136809160e+03
3.1446164940e-04 1.9330642301e+03
3.3613966662e-04 2.0602348865e+03
3.5931204911e-04 2.1956860666e+03
3.8408191176e-04 2.3399402755e+03
