z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022400110000000008        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9109330892e+01
7.5206098700e-06 5.2354939002e+01
8.0390564108e-06 5.5815040588e+01
8.5932442744e-06 5.9503823019e+01
9.1856354629e-06 6.3436384497e+01
9.8188638731e-06 6.7628835046e+01
1.0495745300e-05 7.2098351003e+01
1.1219289263e-05 7.6863240691e+01
1.1992711734e-05 8.1943015105e+01
1.2819450603e-05 8.7358475337e+01
1.3703183868e-05 9.3131816193e+01
1.4647837816e-05 9.9286663344e+01
1.5657613403e-05 1.0584822797e+02
1.6736999896e-05 1.1284337657e+02
1.7890795789e-05 1.2030074662e+02
1.9124130631e-05 1.2825086631e+02
2.0442488676e-05 1.3672628387e+02
2.1851728889e-05 1.4576167166e+02
2.3358117687e-05 1.5539400967e+02
2.4968352591e-05 1.6566270806e+02
2.6689593142e-05 1.7660977373e+02
2.8529490010e-05 1.8827996240e+02
3.0496221370e-05 2.0072097387e+02
3.2598534744e-05 2.1398367798e+02
3.4845776099e-05 2.2812225635e+02
3.7247933506e-05 2.4319443223e+02
3.9815688069e-05 2.5926174117e+02
4.2560455768e-05 2.7638973952e+02
4.5494442020e-05 2.9464828721e+02
4.8630685342e-05 3.1411175677e+02
5.1983130106e-05 3.3485941685e+02
5.5566681112e-05 3.5697569511e+02
5.9397272707e-05 3.8055052382e+02
6.3491934270e-05 4.0567965448e+02
6.7868866609e-05 4.3246503098e+02
7.2547532909e-05 4.6101524165e+02
7.7548735135e-05 4.9144587195e+02
8.2894701336e-05 5.2387991350e+02
8.8609194791e-05 5.5844829455e+02
9.4717637694e-05 5.9529048559e+02
1.0124716937e-04 6.3455469814e+02
1.0822682816e-04 6.7639881841e+02
1.1568764603e-04 7.2099080169e+02
1.2366278679e-04 7.6850931893e+02
1.3218770619e-04 8.1914452173e+02
1.4130031923e-04 8.7309883799e+02
1.5104110935e-04 9.3058741248e+02
1.6145341215e-04 9.9183956823e+02
1.7258350272e-04 1.0570990935e+03
1.8448085757e-04 1.1266255449e+03
1.9719838747e-04 1.2006953580e+03
2.1079262660e-04 1.2796026816e+03
2.2532400908e-04 1.3636606960e+03
2.4085713085e-04 1.4532028123e+03
2.5746106985e-04 1.5485841677e+03
2.7520960430e-04 1.6501824883e+03
2.9418169288e-04 1.7584003988e+03
3.1446164940e-04 1.8736659161e+03
3.3613966662e-04 1.9964348637e+03
3.5931204911e-04 2.1271915433e+03
3.8408191176e-04 2.2664519412e+03
4.1055929614e-04 2.4147635330e+03
4.3886195635e-04 2.5727087275e+03
4.6911570826e-04 2.7409056975e+03
5.0145509886e-04 2.9200108228e+03
5.3602381376e-04 3.1107194637e+03
5.7297560852e-04 3.3137693804e+03
6.1247474514e-04 3.5299411086e+03
6.5469677793e-04 3.7600599038e+03
6.9982954301e-04 4.0049983387e+03
7.4807356577e-04 4.2656751952e+03
7.9964339966e-04 4.5430587573e+03
8.5476832464e-04 4.8381658093e+03
9.1369333677e-04 5.1520612248e+03
9.7668042872e-04 5.4858578732e+03
1.0440096958e-03 5.8407140686e+03
1.1159804417e-03 6.2178291765e+03
1.1929126922e-03 6.6184391019e+03
1.2751482427e-03 7.0438066049e+03
1.3630529866e-03 7.4952149775e+03
1.4570176136e-03 7.9739494052e+03
