z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.0000000000e+00        0.022400110000000008        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0449574851e+01
7.5206098700e-06 5.3783795827e+01
8.0390564108e-06 5.7338362457e+01
8.5932442744e-06 6.1127863035e+01
9.1856354629e-06 6.5167794699e+01
9.8188638731e-06 6.9474738956e+01
1.0495745300e-05 7.4066314877e+01
1.1219289263e-05 7.8961358525e+01
1.1992711734e-05 8.4179895649e+01
1.2819450603e-05 8.9743317214e+01
1.3703183868e-05 9.5674434006e+01
1.4647837816e-05 1.0199751564e+02
1.5657613403e-05 1.0873849340e+02
1.6736999896e-05 1.1592496803e+02
1.7890795789e-05 1.2358637354e+02
1.9124130631e-05 1.3175407868e+02
2.0442488676e-05 1.4046162093e+02
2.1851728889e-05 1.4974453486e+02
2.3358117687e-05 1.5964098408e+02
2.4968352591e-05 1.7019141016e+02
2.6689593142e-05 1.8143907869e+02
2.8529490010e-05 1.9343000131e+02
3.0496221370e-05 2.0621334136e+02
3.2598534744e-05 2.1984139826e+02
3.4845776099e-05 2.3437004439e+02
3.7247933506e-05 2.4985872511e+02
3.9815688069e-05 2.6637083318e+02
4.2560455768e-05 2.8397402085e+02
4.5494442020e-05 3.0274034025e+02
4.8630685342e-05 3.2274649304e+02
5.1983130106e-05 3.4407445450e+02
5.5566681112e-05 3.6681141117e+02
5.9397272707e-05 3.9105050967e+02
6.3491934270e-05 4.1689085681e+02
6.7868866609e-05 4.4443789396e+02
7.2547532909e-05 4.7380439565e+02
7.7548735135e-05 5.0511031356e+02
8.2894701336e-05 5.3848361901e+02
8.8609194791e-05 5.7406033420e+02
9.4717637694e-05 6.1198596759e+02
1.0124716937e-04 6.5241479627e+02
1.0822682816e-04 6.9551189419e+02
1.1568764603e-04 7.4145269534e+02
1.2366278679e-04 7.9042417953e+02
1.3218770619e-04 8.4262537166e+02
1.4130031923e-04 8.9826821546e+02
1.5104110935e-04 9.5757838483e+02
1.6145341215e-04 1.0207961575e+03
1.7258350272e-04 1.0881772890e+03
1.8448085757e-04 1.1599933868e+03
1.9719838747e-04 1.2365337828e+03
