z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.4940000000e+00        0.022400110000000008        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9065378870e+01
7.5206098700e-06 5.2308082229e+01
8.0390564108e-06 5.5765087099e+01
8.5932442744e-06 5.9450568151e+01
9.1856354629e-06 6.3379610076e+01
9.8188638731e-06 6.7568308482e+01
1.0495745300e-05 7.2033824335e+01
1.1219289263e-05 7.6794449573e+01
1.1992711734e-05 8.1869677730e+01
1.2819450603e-05 8.7280291286e+01
1.3703183868e-05 9.3048465185e+01
1.4647837816e-05 9.9197803958e+01
1.5657613403e-05 1.0575349622e+02
1.6736999896e-05 1.1274238444e+02
1.7890795789e-05 1.2019308047e+02
1.9124130631e-05 1.2813608517e+02
2.0442488676e-05 1.3660391767e+02
2.1851728889e-05 1.4563121931e+02
2.3358117687e-05 1.5525493698e+02
2.4968352591e-05 1.6551444559e+02
2.6689593142e-05 1.7645171448e+02
2.8529490010e-05 1.8811145933e+02
3.0496221370e-05 2.0054133729e+02
3.2598534744e-05 2.1379217270e+02
3.4845776099e-05 2.2791809873e+02
3.7247933506e-05 2.4297678704e+02
3.9815688069e-05 2.5902971818e+02
4.2560455768e-05 2.7614238989e+02
4.5494442020e-05 2.9438459970e+02
4.8630685342e-05 3.1383065370e+02
5.1983130106e-05 3.3455974972e+02
5.5566681112e-05 3.5665624007e+02
5.9397272707e-05 3.8020997674e+02
6.3491934270e-05 4.0531662581e+02
6.7868866609e-05 4.3207804023e+02
7.2547532909e-05 4.6060271157e+02
7.7548735135e-05 4.9100612228e+02
8.2894701336e-05 5.2341115450e+02
8.8609194791e-05 5.5794861997e+02
9.4717637694e-05 5.9475786518e+02
1.0124716937e-04 6.3398696999e+02
1.0822682816e-04 6.7579368051e+02
1.1568764603e-04 7.2034580311e+02
1.2366278679e-04 7.6782185055e+02
1.3218770619e-04 8.1841180628e+02
1.4130031923e-04 8.7231791945e+02
1.5104110935e-04 9.2975514516e+02
1.6145341215e-04 9.9095260464e+02
1.7258350272e-04 1.0561538720e+03
1.8448085757e-04 1.1256182764e+03
1.9719838747e-04 1.1996220118e+03
2.1079262660e-04 1.2784589704e+03
2.2532400908e-04 1.3624420601e+03
2.4085713085e-04 1.4519044030e+03
2.5746106985e-04 1.5472008296e+03
2.7520960430e-04 1.6487087408e+03
2.9418169288e-04 1.7568304163e+03
3.1446164940e-04 1.8719935077e+03
3.3613966662e-04 1.9946534517e+03
3.5931204911e-04 2.1252941409e+03
3.8408191176e-04 2.2644311288e+03
4.1055929614e-04 2.4126114347e+03
4.3886195635e-04 2.5704169854e+03
4.6911570826e-04 2.7384654469e+03
5.0145509886e-04 2.9174126651e+03
5.3602381376e-04 3.1079534412e+03
5.7297560852e-04 3.3108249485e+03
6.1247474514e-04 3.5268071100e+03
6.5469677793e-04 3.7567245424e+03
6.9982954301e-04 4.0014491542e+03
7.4807356577e-04 4.2618990406e+03
7.9964339966e-04 4.5390417770e+03
8.5476832464e-04 4.8338934212e+03
9.1369333677e-04 5.1475181070e+03
9.7668042872e-04 5.4810279551e+03
1.0440096958e-03 5.8355805297e+03
1.1159804417e-03 6.2123744546e+03
1.1929126922e-03 6.6126449118e+03
1.2751482427e-03 7.0376539736e+03
1.3630529866e-03 7.4886842924e+03
1.4570176136e-03 7.9670204880e+03
1.5574598219e-03 8.4739339244e+03
1.6648261808e-03 9.0106606513e+03
1.7795939930e-03 9.5783739595e+03
1.9022736233e-03 1.0178153704e+04
2.0334103610e-03 1.0810948011e+04
2.1735872142e-03 1.1477534968e+04
2.3234274704e-03 1.2178479860e+04
2.4835972581e-03 1.2914091139e+04
2.6548085734e-03 1.3684379800e+04
2.8378227726e-03 1.4489024714e+04
3.0334533658e-03 1.5327341303e+04
3.2425699755e-03 1.6198263817e+04
3.4661025274e-03 1.7100337439e+04
3.7050447427e-03 1.8031715769e+04
3.9604585618e-03 1.8990168290e+04
4.2334804311e-03 1.9973096865e+04
4.5253229327e-03 2.0977533384e+04
4.8372847959e-03 2.2000161745e+04
5.1707518287e-03 2.3037298822e+04
5.5272071622e-03 2.4084895887e+04
5.9082354419e-03 2.5138507856e+04
6.3155302778e-03 2.6193261578e+04
6.7509030923e-03 2.7243815905e+04
7.2162891738e-03 2.8284303673e+04
7.7137574553e-03 2.9308272049e+04
8.2455193624e-03 3.0308607487e+04
8.8139399886e-03 3.1277450016e+04
9.4215450808e-03 3.2206082702e+04
1.0071036406e-02 3.3084816832e+04
1.0765301995e-02 3.3902851299e+04
1.1507427320e-02 3.4648130235e+04
1.2300713919e-02 3.5307230106e+04
1.3148685917e-02 3.5865307486e+04
1.4055115171e-02 3.6306218409e+04
1.5024030581e-02 3.6612898561e+04
1.6059739515e-02 3.6768168066e+04
1.7166847363e-02 3.6756072808e+04
1.8350275233e-02 3.6563790631e+04
1.9615285099e-02 3.6183920945e+04
2.0967502147e-02 3.5616692058e+04
2.2412935272e-02 3.4871387750e+04
2.3958012462e-02 3.3966286750e+04
2.5609601289e-02 3.2926813333e+04
2.7375046164e-02 3.1782229478e+04
2.9262196273e-02 3.0561821207e+04
3.1279440969e-02 2.9291668447e+04
3.3435747027e-02 2.7992749213e+04
3.5740699619e-02 2.6680520809e+04
3.8204550743e-02 2.5365621036e+04
4.0838252753e-02 2.4055144636e+04
4.3653514236e-02 2.2753982215e+04
4.6478152275e-02 2.1542133415e+04
4.9302790314e-02 2.0414987404e+04
5.2127432078e-02 1.9364652071e+04
5.4952070117e-02 1.8384341741e+04
5.7776708156e-02 1.7468171133e+04
6.0601349920e-02 1.6610975553e+04
6.3425987959e-02 1.5808171663e+04
6.6250629723e-02 1.5055645014e+04
6.9075264037e-02 1.4349671790e+04
7.1899905801e-02 1.3686854982e+04
7.4724547565e-02 1.3064093139e+04
7.7549181879e-02 1.2478537065e+04
8.0373823643e-02 1.1927561357e+04
8.3198465407e-02 1.1408752087e+04
8.6023099720e-02 1.0919881498e+04
8.8847741485e-02 1.0458889416e+04
9.1672383249e-02 1.0023876958e+04
9.5292858779e-02 9.5014968652e+03
9.8913334310e-02 9.0155406005e+03
1.0253380984e-01 8.5629465174e+03
1.0615429282e-01 8.1409415669e+03
1.0977476835e-01 7.7470156025e+03
1.1339524388e-01 7.3788900597e+03
1.1701571941e-01 7.0344980233e+03
1.2063620240e-01 6.7119616096e+03
1.2425667793e-01 6.4095756547e+03
1.2787716091e-01 6.1257861961e+03
1.3149763644e-01 5.8591802447e+03
1.3511811197e-01 5.6084679533e+03
1.3873858750e-01 5.3724727568e+03
1.4235906303e-01 5.1501198232e+03
1.4597953856e-01 4.9404262173e+03
1.4960001409e-01 4.7424921141e+03
1.5322048962e-01 4.5554928932e+03
1.5684096515e-01 4.3786720645e+03
1.6046145558e-01 4.2113342352e+03
1.6408193111e-01 4.0528421176e+03
1.6770240664e-01 3.9026072730e+03
1.7132288217e-01 3.7600882776e+03
1.7494335771e-01 3.6247858639e+03
1.7856383324e-01 3.4962391797e+03
1.8218430877e-01 3.3740224028e+03
1.8580478430e-01 3.2577416994e+03
1.8942527473e-01 3.1470320282e+03
1.9304575026e-01 3.0415564432e+03
1.9666622579e-01 2.9410011126e+03
2.0028670132e-01 2.8450751239e+03
2.0390717685e-01 2.7535081588e+03
2.0752765238e-01 2.6660488167e+03
2.1114812791e-01 2.5824630894e+03
2.1476860344e-01 2.5025329675e+03
2.1838907898e-01 2.4260551788e+03
2.2200956941e-01 2.3528397433e+03
2.2563004494e-01 2.2827101102e+03
2.2925052047e-01 2.2155003938e+03
2.3287099600e-01 2.1510557167e+03
2.3649147153e-01 2.0892310967e+03
2.4011194706e-01 2.0298907146e+03
2.4373242259e-01 1.9729072432e+03
2.4735289812e-01 1.9181612280e+03
2.5097337365e-01 1.8655405227e+03
2.5459384918e-01 1.8149397697e+03
2.5821432471e-01 1.7662599205e+03
2.6183480024e-01 1.7194077969e+03
2.6545527577e-01 1.6742956858e+03
2.6907578111e-01 1.6308406142e+03
2.7269625664e-01 1.5889654218e+03
2.7631673217e-01 1.5485962984e+03
2.7993720770e-01 1.5096639328e+03
2.8355768323e-01 1.4721028772e+03
2.8717815876e-01 1.4358512962e+03
2.9079863429e-01 1.4008507331e+03
2.9441910982e-01 1.3670458946e+03
2.9803958535e-01 1.3343844511e+03
3.0166006088e-01 1.3028168508e+03
3.0528053641e-01 1.2722961466e+03
3.0890101194e-01 1.2427778371e+03
3.1252148747e-01 1.2142197169e+03
3.1614196301e-01 1.1865817377e+03
