z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022467445000000003        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0646039815e+01
7.5206098700e-06 5.3993250519e+01
8.0390564108e-06 5.7561663077e+01
8.5932442744e-06 6.1365912814e+01
9.1856354629e-06 6.5421591729e+01
9.8188638731e-06 6.9745292372e+01
1.0495745300e-05 7.4354752670e+01
1.1219289263e-05 7.9268851535e+01
1.1992711734e-05 8.4507718571e+01
1.2819450603e-05 9.0092813071e+01
1.3703183868e-05 9.6047016169e+01
1.4647837816e-05 1.0239471861e+02
1.5657613403e-05 1.0916194363e+02
1.6736999896e-05 1.1637639082e+02
1.7890795789e-05 1.2406762047e+02
1.9124130631e-05 1.3226715010e+02
2.0442488676e-05 1.4100855099e+02
2.1851728889e-05 1.5032765005e+02
2.3358117687e-05 1.6026260886e+02
2.4968352591e-05 1.7085407279e+02
2.6689593142e-05 1.8214550459e+02
2.8529490010e-05 1.9418314049e+02
3.0496221370e-05 2.0701618325e+02
3.2598534744e-05 2.2069727617e+02
3.4845776099e-05 2.3528241526e+02
3.7247933506e-05 2.5083138815e+02
3.9815688069e-05 2.6740766868e+02
4.2560455768e-05 2.8507927711e+02
4.5494442020e-05 3.0391855188e+02
4.8630685342e-05 3.2400244803e+02
5.1983130106e-05 3.4541325689e+02
5.5566681112e-05 3.6823857101e+02
5.9397272707e-05 3.9257174048e+02
6.3491934270e-05 4.1851222409e+02
6.7868866609e-05 4.4616615097e+02
7.2547532909e-05 4.7564646107e+02
7.7548735135e-05 5.0707364240e+02
8.2894701336e-05 5.4057611719e+02
8.8609194791e-05 5.7629038232e+02
9.4717637694e-05 6.1436234344e+02
1.0124716937e-04 6.5494727980e+02
1.0822682816e-04 6.9821033579e+02
1.1568764603e-04 7.4432789013e+02
1.2366278679e-04 7.9348741539e+02
1.3218770619e-04 8.4588867169e+02
1.4130031923e-04 9.0174419818e+02
1.5104110935e-04 9.6128057690e+02
1.6145341215e-04 1.0247388541e+03
1.7258350272e-04 1.0923753826e+03
1.8448085757e-04 1.1644628053e+03
1.9719838747e-04 1.2412912482e+03
2.1079262660e-04 1.3231690231e+03
2.2532400908e-04 1.4104236802e+03
2.4085713085e-04 1.5034033429e+03
2.5746106985e-04 1.6024780414e+03
2.7520960430e-04 1.7080391509e+03
2.9418169288e-04 1.8205037454e+03
3.1446164940e-04 1.9403116482e+03
3.3613966662e-04 2.0679302066e+03
3.5931204911e-04 2.2038530282e+03
3.8408191176e-04 2.3486029300e+03
4.1055929614e-04 2.5027312357e+03
4.3886195635e-04 2.6668196018e+03
4.6911570826e-04 2.8414819836e+03
5.0145509886e-04 3.0273643540e+03
