z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022467445000000003        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9205517437e+01
7.5206098700e-06 5.2457482460e+01
8.0390564108e-06 5.5924361069e+01
8.5932442744e-06 5.9620368423e+01
9.1856354629e-06 6.3560632293e+01
9.8188638731e-06 6.7761294257e+01
1.0495745300e-05 7.2239564295e+01
1.1219289263e-05 7.7013786588e+01
1.1992711734e-05 8.2103510344e+01
1.2819450603e-05 8.7529577398e+01
1.3703183868e-05 9.3314226027e+01
1.4647837816e-05 9.9481128173e+01
1.5657613403e-05 1.0605554440e+02
1.6736999896e-05 1.1306439381e+02
1.7890795789e-05 1.2053637000e+02
1.9124130631e-05 1.2850206092e+02
2.0442488676e-05 1.3699407856e+02
2.1851728889e-05 1.4604716320e+02
2.3358117687e-05 1.5569836725e+02
2.4968352591e-05 1.6598717804e+02
2.6689593142e-05 1.7695568477e+02
2.8529490010e-05 1.8864873080e+02
3.0496221370e-05 2.0111410936e+02
3.2598534744e-05 2.1440278990e+02
3.4845776099e-05 2.2856906018e+02
3.7247933506e-05 2.4367075648e+02
3.9815688069e-05 2.5976953488e+02
4.2560455768e-05 2.7693108011e+02
4.5494442020e-05 2.9522538892e+02
4.8630685342e-05 3.1472697949e+02
5.1983130106e-05 3.3551527569e+02
5.5566681112e-05 3.5767487055e+02
5.9397272707e-05 3.8129587241e+02
6.3491934270e-05 4.0647422031e+02
6.7868866609e-05 4.3331205774e+02
7.2547532909e-05 4.6191818568e+02
7.7548735135e-05 4.9240841590e+02
8.2894701336e-05 5.2490598083e+02
8.8609194791e-05 5.5954206507e+02
9.4717637694e-05 5.9645641217e+02
1.0124716937e-04 6.3579752378e+02
1.0822682816e-04 6.7772359521e+02
1.1568764603e-04 7.2240291050e+02
1.2366278679e-04 7.7001449030e+02
