z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.0620000000e+00        0.022467445000000003        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0529068142e+01
7.5206098700e-06 5.3868540459e+01
8.0390564108e-06 5.7428710582e+01
8.5932442744e-06 6.1224180088e+01
9.1856354629e-06 6.5270490726e+01
9.8188638731e-06 6.9584206894e+01
1.0495745300e-05 7.4183014601e+01
1.1219289263e-05 7.9085779197e+01
1.1992711734e-05 8.4312533007e+01
1.2819450603e-05 8.9884735108e+01
1.3703183868e-05 9.5825205361e+01
1.4647837816e-05 1.0215823986e+02
1.5657613403e-05 1.0890983362e+02
1.6736999896e-05 1.1610763109e+02
1.7890795789e-05 1.2378109931e+02
1.9124130631e-05 1.3196170941e+02
2.0442488676e-05 1.4068295305e+02
2.1851728889e-05 1.4998050741e+02
2.3358117687e-05 1.5989252378e+02
2.4968352591e-05 1.7045957813e+02
2.6689593142e-05 1.8172498449e+02
2.8529490010e-05 1.9373482792e+02
3.0496221370e-05 2.0653827791e+02
3.2598534744e-05 2.2018781933e+02
3.4845776099e-05 2.3473936782e+02
3.7247933506e-05 2.5025245131e+02
3.9815688069e-05 2.6679058933e+02
4.2560455768e-05 2.8442154045e+02
4.5494442020e-05 3.0321741773e+02
4.8630685342e-05 3.2325515057e+02
5.1983130106e-05 3.4461674861e+02
5.5566681112e-05 3.6738956564e+02
5.9397272707e-05 3.9166689341e+02
6.3491934270e-05 4.1754786263e+02
6.7868866609e-05 4.4513833369e+02
7.2547532909e-05 4.7455119356e+02
7.7548735135e-05 5.0590658669e+02
8.2894701336e-05 5.3933254181e+02
8.8609194791e-05 5.7496536778e+02
9.4717637694e-05 6.1295080820e+02
1.0124716937e-04 6.5344364555e+02
1.0822682816e-04 6.9660869084e+02
1.1568764603e-04 7.4262223510e+02
1.2366278679e-04 7.9167086181e+02
1.3218770619e-04 8.4395474575e+02
1.4130031923e-04 8.9968573967e+02
1.5104110935e-04 9.5908981540e+02
1.6145341215e-04 1.0224077237e+03
1.7258350272e-04 1.0898955880e+03
1.8448085757e-04 1.1618257622e+03
1.9719838747e-04 1.2384876881e+03
2.1079262660e-04 1.3201900070e+03
2.2532400908e-04 1.4072594379e+03
2.4085713085e-04 1.5000440764e+03
2.5746106985e-04 1.5989132629e+03
2.7520960430e-04 1.7042589018e+03
2.9418169288e-04 1.8164974411e+03
3.1446164940e-04 1.9360686847e+03
3.3613966662e-04 2.0634406747e+03
3.5931204911e-04 2.1991063928e+03
3.8408191176e-04 2.3435895657e+03
4.1055929614e-04 2.4974409710e+03
4.3886195635e-04 2.6612435832e+03
4.6911570826e-04 2.8356115178e+03
5.0145509886e-04 3.0211905595e+03
5.3602381376e-04 3.2186592177e+03
5.7297560852e-04 3.4287292543e+03
6.1247474514e-04 3.6521472672e+03
6.5469677793e-04 3.8896923148e+03
6.9982954301e-04 4.1421790834e+03
7.4807356577e-04 4.4104536646e+03
7.9964339966e-04 4.6953951382e+03
8.5476832464e-04 4.9979163647e+03
9.1369333677e-04 5.3189560674e+03
9.7668042872e-04 5.6594838470e+03
1.0440096958e-03 6.0204930560e+03
1.1159804417e-03 6.4029986874e+03
1.1929126922e-03 6.8080294575e+03
1.2751482427e-03 7.2366204164e+03
1.3630529866e-03 7.6898129479e+03
1.4570176136e-03 8.1686326014e+03
1.5574598219e-03 8.6740864527e+03
1.6648261808e-03 9.2071488527e+03
1.7795939930e-03 9.7687392596e+03
1.9022736233e-03 1.0359730156e+04
2.0334103610e-03 1.0980895321e+04
2.1735872142e-03 1.1632930420e+04
2.3234274704e-03 1.2316406550e+04
2.4835972581e-03 1.3031762856e+04
2.6548085734e-03 1.3779267469e+04
2.8378227726e-03 1.4559012229e+04
3.0334533658e-03 1.5370863070e+04
3.2425699755e-03 1.6214460021e+04
3.4661025274e-03 1.7089143311e+04
3.7050447427e-03 1.7993948089e+04
3.9604585618e-03 1.8927541087e+04
4.2334804311e-03 1.9888204788e+04
4.5253229327e-03 2.0873760361e+04
4.8372847959e-03 2.1882588463e+04
5.1707518287e-03 2.2909442587e+04
5.5272071622e-03 2.3951573860e+04
5.9082354419e-03 2.5004614065e+04
6.3155302778e-03 2.6062930334e+04
6.7509030923e-03 2.7121841980e+04
7.2162891738e-03 2.8174350145e+04
7.7137574553e-03 2.9213348294e+04
8.2455193624e-03 3.0230161218e+04
8.8139399886e-03 3.1215746349e+04
9.4215450808e-03 3.2160341175e+04
1.0071036406e-02 3.3053036764e+04
1.0765301995e-02 3.3882174683e+04
1.1507427320e-02 3.4634990196e+04
1.2300713919e-02 3.5298072514e+04
1.3148685917e-02 3.5857356359e+04
1.4055115171e-02 3.6298286634e+04
1.5024030581e-02 3.6606223796e+04
1.6059739515e-02 3.6766756315e+04
1.7166847363e-02 3.6766215830e+04
1.8350275233e-02 3.6592276747e+04
1.9615285099e-02 3.6234855641e+04
2.0967502147e-02 3.5687014880e+04
2.2412935272e-02 3.4945997144e+04
2.3958012462e-02 3.4014437298e+04
2.5609601289e-02 3.2901384246e+04
2.7375046164e-02 3.1623278446e+04
2.9262196273e-02 3.0204483953e+04
3.1279440969e-02 2.8677332755e+04
3.3435747027e-02 2.7081417495e+04
3.5740699619e-02 2.5461938352e+04
3.8204550743e-02 2.3866998499e+04
4.0838252753e-02 2.2343962166e+04
4.3653514236e-02 2.0934915406e+04
4.6478152275e-02 1.9742368819e+04
4.9302790314e-02 1.8750895356e+04
5.2127432078e-02 1.7930542431e+04
5.4952070117e-02 1.7245919881e+04
5.7776708156e-02 1.6659867245e+04
6.0601349920e-02 1.6135974618e+04
6.3425987959e-02 1.5641298800e+04
6.6250629723e-02 1.5148357390e+04
6.9075264037e-02 1.4637191498e+04
7.1899905801e-02 1.4094212991e+04
7.4724547565e-02 1.3514064521e+04
7.7549181879e-02 1.2901737131e+04
8.0373823643e-02 1.2263524517e+04
8.3198465407e-02 1.1611952842e+04
