z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.7460000000e+00        0.022467445000000003        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9134463576e+01
7.5206098700e-06 5.2381732712e+01
8.0390564108e-06 5.5843605098e+01
8.5932442744e-06 5.9534275367e+01
9.1856354629e-06 6.3468849448e+01
9.8188638731e-06 6.7663445612e+01
1.0495745300e-05 7.2135248988e+01
1.1219289263e-05 7.6902577273e+01
1.1992711734e-05 8.1984951447e+01
1.2819450603e-05 8.7403183255e+01
1.3703183868e-05 9.3179478863e+01
1.4647837816e-05 9.9337476040e+01
1.5657613403e-05 1.0590239887e+02
1.6736999896e-05 1.1290112762e+02
1.7890795789e-05 1.2036231443e+02
1.9124130631e-05 1.2831650311e+02
2.0442488676e-05 1.3679625858e+02
2.1851728889e-05 1.4583627096e+02
2.3358117687e-05 1.5547353917e+02
2.4968352591e-05 1.6574749358e+02
2.6689593142e-05 1.7670016262e+02
2.8529490010e-05 1.8837632496e+02
3.0496221370e-05 2.0082370484e+02
3.2598534744e-05 2.1409319821e+02
3.4845776099e-05 2.2823901448e+02
3.7247933506e-05 2.4331890652e+02
3.9815688069e-05 2.5939444149e+02
4.2560455768e-05 2.7653120941e+02
4.5494442020e-05 2.9479910612e+02
4.8630685342e-05 3.1427254240e+02
5.1983130106e-05 3.3503082768e+02
5.5566681112e-05 3.5715843311e+02
5.9397272707e-05 3.8074533732e+02
6.3491934270e-05 4.0588734122e+02
6.7868866609e-05 4.3268644133e+02
7.2547532909e-05 4.6125128218e+02
7.7548735135e-05 4.9169750907e+02
8.2894701336e-05 5.2414817742e+02
8.8609194791e-05 5.5873428352e+02
9.4717637694e-05 5.9559537048e+02
1.0124716937e-04 6.3487972716e+02
1.0822682816e-04 6.7674532236e+02
1.1568764603e-04 7.2136019947e+02
1.2366278679e-04 7.6890312345e+02
1.3218770619e-04 8.1956434627e+02
1.4130031923e-04 8.7354640309e+02
1.5104110935e-04 9.3106455313e+02
1.6145341215e-04 9.9234824196e+02
1.7258350272e-04 1.0576413887e+03
1.8448085757e-04 1.1272036902e+03
1.9719838747e-04 1.2013117319e+03
2.1079262660e-04 1.2802598235e+03
2.2532400908e-04 1.3643613174e+03
2.4085713085e-04 1.4539498096e+03
2.5746106985e-04 1.5493806357e+03
2.7520960430e-04 1.6510317345e+03
2.9418169288e-04 1.7593059599e+03
3.1446164940e-04 1.8746315747e+03
3.3613966662e-04 1.9974646673e+03
3.5931204911e-04 2.1282898244e+03
3.8408191176e-04 2.2676233397e+03
4.1055929614e-04 2.4160130198e+03
4.3886195635e-04 2.5740416310e+03
4.6911570826e-04 2.7423277320e+03
5.0145509886e-04 2.9215281196e+03
5.3602381376e-04 3.1123386049e+03
5.7297560852e-04 3.3154974364e+03
6.1247474514e-04 3.5317856786e+03
6.5469677793e-04 3.7620291596e+03
6.9982954301e-04 4.0071010744e+03
7.4807356577e-04 4.2679208792e+03
7.9964339966e-04 4.5454575914e+03
8.5476832464e-04 4.8407287918e+03
9.1369333677e-04 5.1548002198e+03
9.7668042872e-04 5.4887856864e+03
1.0440096958e-03 5.8438445296e+03
1.1159804417e-03 6.2211772274e+03
1.1929126922e-03 6.6220208932e+03
1.2751482427e-03 7.0476395975e+03
1.3630529866e-03 7.4993180536e+03
1.4570176136e-03 7.9783429819e+03
1.5574598219e-03 8.4859878706e+03
1.6648261808e-03 9.0234908905e+03
1.7795939930e-03 9.5920274173e+03
1.9022736233e-03 1.0192679316e+04
2.0334103610e-03 1.0826396599e+04
2.1735872142e-03 1.1493959067e+04
2.3234274704e-03 1.2195933490e+04
2.4835972581e-03 1.2932629515e+04
2.6548085734e-03 1.3704058992e+04
2.8378227726e-03 1.4509901253e+04
3.0334533658e-03 1.5349471743e+04
3.2425699755e-03 1.6221704273e+04
3.4661025274e-03 1.7125143100e+04
3.7050447427e-03 1.8057940406e+04
3.9604585618e-03 1.9017863752e+04
4.2334804311e-03 2.0002312589e+04
4.5253229327e-03 2.1008315871e+04
4.8372847959e-03 2.2032554040e+04
5.1707518287e-03 2.3071339926e+04
5.5272071622e-03 2.4120620118e+04
5.9082354419e-03 2.5175944105e+04
6.3155302778e-03 2.6232432436e+04
6.7509030923e-03 2.7284736638e+04
7.2162891738e-03 2.8326980981e+04
7.7137574553e-03 2.9352702585e+04
8.2455193624e-03 3.0354776067e+04
8.8139399886e-03 3.1325327449e+04
9.4215450808e-03 3.2255623134e+04
1.0071036406e-02 3.3135954500e+04
1.0765301995e-02 3.3955496536e+04
1.1507427320e-02 3.4702164567e+04
1.2300713919e-02 3.5362500304e+04
1.3148685917e-02 3.5921618498e+04
1.4055115171e-02 3.6363325326e+04
1.5024030581e-02 3.6670498142e+04
1.6059739515e-02 3.6825891071e+04
1.7166847363e-02 3.6813479338e+04
1.8350275233e-02 3.6620371802e+04
1.9615285099e-02 3.6239110869e+04
2.0967502147e-02 3.5669893484e+04
2.2412935272e-02 3.4922011828e+04
2.3958012462e-02 3.4013802417e+04
2.5609601289e-02 3.2970796605e+04
2.7375046164e-02 3.1822400516e+04
2.9262196273e-02 3.0598059833e+04
3.1279440969e-02 2.9324005649e+04
3.3435747027e-02 2.8021339725e+04
3.5740699619e-02 2.6705606144e+04
3.8204550743e-02 2.5387492338e+04
4.0838252753e-02 2.4074111754e+04
4.3653514236e-02 2.2770351587e+04
4.6478152275e-02 2.1556324183e+04
4.9302790314e-02 2.0427344530e+04
5.2127432078e-02 1.9375453989e+04
5.4952070117e-02 1.8393814772e+04
5.7776708156e-02 1.7476500873e+04
6.0601349920e-02 1.6618315629e+04
6.3425987959e-02 1.5814650406e+04
6.6250629723e-02 1.5061370556e+04
6.9075264037e-02 1.4354735948e+04
7.1899905801e-02 1.3691336260e+04
7.4724547565e-02 1.3068059089e+04
7.7549181879e-02 1.2482046129e+04
8.0373823643e-02 1.1930664340e+04
8.3198465407e-02 1.1411493349e+04
8.6023099720e-02 1.0922299922e+04
8.8847741485e-02 1.0461019197e+04
9.1672383249e-02 1.0025748264e+04
9.5292858779e-02 9.5030754739e+03
9.8913334310e-02 9.0168641531e+03
1.0253380984e-01 8.5640474187e+03
1.0615429282e-01 8.1418478057e+03
1.0977476835e-01 7.7477514265e+03
1.1339524388e-01 7.3794765318e+03
1.1701571941e-01 7.0349534857e+03
1.2063620240e-01 6.7123020714e+03
1.2425667793e-01 6.4098151184e+03
1.2787716091e-01 6.1259369328e+03
1.3149763644e-01 5.8592530277e+03
1.3511811197e-01 5.6084722562e+03
1.3873858750e-01 5.3724169239e+03
1.4235906303e-01 5.1500112142e+03
1.4597953856e-01 4.9402713323e+03
1.4960001409e-01 4.7422967011e+03
1.5322048962e-01 4.5552620409e+03
1.5684096515e-01 4.3784102824e+03
1.6046145558e-01 4.2110455234e+03
1.6408193111e-01 4.0525300278e+03
1.6770240664e-01 3.9022749608e+03
1.7132288217e-01 3.7597385483e+03
1.7494335771e-01 3.6244212134e+03
1.7856383324e-01 3.4958618294e+03
1.8218430877e-01 3.3736343307e+03
1.8580478430e-01 3.2573446672e+03
1.8942527473e-01 3.1466276054e+03
1.9304575026e-01 3.0411460278e+03
1.9666622579e-01 2.9405859504e+03
2.0028670132e-01 2.8446563245e+03
2.0390717685e-01 2.7530867102e+03
2.0752765238e-01 2.6656255985e+03
2.1114812791e-01 2.5820388841e+03
2.1476860344e-01 2.5021084707e+03
2.1838907898e-01 2.4256310083e+03
2.2200956941e-01 2.3524164471e+03
2.2563004494e-01 2.2822881739e+03
2.2925052047e-01 2.2150802470e+03
2.3287099600e-01 2.1506377384e+03
2.3649147153e-01 2.0888156208e+03
2.4011194706e-01 2.0294780345e+03
2.4373242259e-01 1.9724976158e+03
2.4735289812e-01 1.9177548773e+03
2.5097337365e-01 1.8651376433e+03
2.5459384918e-01 1.8145405296e+03
2.5821432471e-01 1.7658644641e+03
2.6183480024e-01 1.7190162468e+03
