z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.5400000000e-01        0.022489890000000005        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9232144161e+01
7.5206098700e-06 5.2485868930e+01
8.0390564108e-06 5.5954623583e+01
8.5932442744e-06 5.9652630969e+01
9.1856354629e-06 6.3595027046e+01
9.8188638731e-06 6.7797962129e+01
1.0495745300e-05 7.2278655509e+01
1.1219289263e-05 7.7055461294e+01
1.1992711734e-05 8.2147939271e+01
1.2819450603e-05 8.7576942553e+01
1.3703183868e-05 9.3364721451e+01
1.4647837816e-05 9.9534960718e+01
1.5657613403e-05 1.0611293458e+02
1.6736999896e-05 1.1312557673e+02
1.7890795789e-05 1.2060159626e+02
1.9124130631e-05 1.2857159769e+02
2.0442488676e-05 1.3706821067e+02
2.1851728889e-05 1.4612619426e+02
2.3358117687e-05 1.5578262092e+02
2.4968352591e-05 1.6607699937e+02
2.6689593142e-05 1.7705144155e+02
2.8529490010e-05 1.8875081513e+02
3.0496221370e-05 2.0122293919e+02
3.2598534744e-05 2.1451881076e+02
3.4845776099e-05 2.2869274697e+02
3.7247933506e-05 2.4380261542e+02
3.9815688069e-05 2.5991010555e+02
4.2560455768e-05 2.7708093764e+02
4.5494442020e-05 2.9538514633e+02
4.8630685342e-05 3.1489729012e+02
5.1983130106e-05 3.3569683589e+02
5.5566681112e-05 3.5786842243e+02
5.9397272707e-05 3.8150220688e+02
6.3491934270e-05 4.0669418022e+02
6.7868866609e-05 4.3354654121e+02
7.2547532909e-05 4.6216814974e+02
7.7548735135e-05 4.9267488029e+02
8.2894701336e-05 5.2519003202e+02
8.8609194791e-05 5.5984486056e+02
9.4717637694e-05 5.9677918513e+02
1.0124716937e-04 6.3614158782e+02
1.0822682816e-04 6.7809034962e+02
1.1568764603e-04 7.2279384572e+02
1.2366278679e-04 7.7043119380e+02
1.3218770619e-04 8.2119302084e+02
1.4130031923e-04 8.7528226081e+02
1.5104110935e-04 9.3291459630e+02
1.6145341215e-04 9.9431992360e+02
1.7258350272e-04 1.0597426403e+03
1.8448085757e-04 1.1294429519e+03
1.9719838747e-04 1.2036979848e+03
2.1079262660e-04 1.2828026230e+03
2.2532400908e-04 1.3670708293e+03
2.4085713085e-04 1.4568368480e+03
2.5746106985e-04 1.5524567038e+03
2.7520960430e-04 1.6543090663e+03
2.9418169288e-04 1.7627975662e+03
3.1446164940e-04 1.8783512894e+03
3.3613966662e-04 2.0014271979e+03
3.5931204911e-04 2.1325108028e+03
3.8408191176e-04 2.2721193787e+03
4.1055929614e-04 2.4208017681e+03
4.3886195635e-04 2.5791418333e+03
4.6911570826e-04 2.7477592899e+03
5.0145509886e-04 2.9273121554e+03
5.3602381376e-04 3.1184975245e+03
5.7297560852e-04 3.3220549971e+03
6.1247474514e-04 3.5387670551e+03
6.5469677793e-04 3.7694610104e+03
6.9982954301e-04 4.0150116095e+03
7.4807356577e-04 4.2763399224e+03
7.9964339966e-04 4.5544166431e+03
8.5476832464e-04 4.8502610858e+03
9.1369333677e-04 5.1649407716e+03
9.7668042872e-04 5.4995713352e+03
1.0440096958e-03 5.8553139666e+03
1.1159804417e-03 6.2333710066e+03
1.1929126922e-03 6.6349814229e+03
1.2751482427e-03 7.0614111013e+03
1.3630529866e-03 7.5139465056e+03
1.4570176136e-03 7.9938759922e+03
1.5574598219e-03 8.5024745246e+03
1.6648261808e-03 9.0409815292e+03
1.7795939930e-03 9.6105733457e+03
1.9022736233e-03 1.0212332434e+04
2.0334103610e-03 1.0847208939e+04
2.1735872142e-03 1.1515982241e+04
2.3234274704e-03 1.2219218032e+04
2.4835972581e-03 1.2957224129e+04
2.6548085734e-03 1.3730009706e+04
2.8378227726e-03 1.4537250497e+04
3.0334533658e-03 1.5378257372e+04
3.2425699755e-03 1.6251958551e+04
3.4661025274e-03 1.7156891682e+04
3.7050447427e-03 1.8091201337e+04
3.9604585618e-03 1.9052646509e+04
4.2334804311e-03 2.0038617194e+04
4.5253229327e-03 2.1046132050e+04
4.8372847959e-03 2.2071860492e+04
5.1707518287e-03 2.3112103641e+04
5.5272071622e-03 2.4162795792e+04
5.9082354419e-03 2.5219473623e+04
6.3155302778e-03 2.6277244431e+04
6.7509030923e-03 2.7330746137e+04
7.2162891738e-03 2.8374089125e+04
7.7137574553e-03 2.9400796433e+04
8.2455193624e-03 3.0403728478e+04
8.8139399886e-03 3.1374997014e+04
9.4215450808e-03 3.2305854148e+04
1.0071036406e-02 3.3186576919e+04
1.0765301995e-02 3.4006325874e+04
1.1507427320e-02 3.4753001689e+04
1.2300713919e-02 3.5413131090e+04
1.3148685917e-02 3.5971813394e+04
1.4055115171e-02 3.6412838933e+04
1.5024030581e-02 3.6719069156e+04
1.6059739515e-02 3.6873243132e+04
1.7166847363e-02 3.6859323675e+04
1.8350275233e-02 3.6664412770e+04
1.9615285099e-02 3.6281055470e+04
2.0967502147e-02 3.5709465362e+04
2.2412935272e-02 3.4958968998e+04
2.3958012462e-02 3.4047956128e+04
2.5609601289e-02 3.3002027381e+04
2.7375046164e-02 3.1850667193e+04
2.9262196273e-02 3.0623399114e+04
3.1279440969e-02 2.9346522531e+04
3.3435747027e-02 2.8041191685e+04
3.5740699619e-02 2.6722985106e+04
3.8204550743e-02 2.5402607942e+04
4.0838252753e-02 2.4087178048e+04
4.3653514236e-02 2.2781577731e+04
4.6478152275e-02 2.1566001122e+04
4.9302790314e-02 2.0435714154e+04
5.2127432078e-02 1.9382713820e+04
5.4952070117e-02 1.8400127181e+04
5.7776708156e-02 1.7482000299e+04
6.0601349920e-02 1.6623114181e+04
6.3425987959e-02 1.5818842204e+04
6.6250629723e-02 1.5065035112e+04
6.9075264037e-02 1.4357940813e+04
7.1899905801e-02 1.3694139115e+04
7.4724547565e-02 1.3070509420e+04
7.7549181879e-02 1.2484186570e+04
8.0373823643e-02 1.1932531758e+04
8.3198465407e-02 1.1413119741e+04
8.6023099720e-02 1.0923713144e+04
8.8847741485e-02 1.0462243570e+04
9.1672383249e-02 1.0026805083e+04
9.5292858779e-02 9.5039445460e+03
9.8913334310e-02 9.0175715726e+03
1.0253380984e-01 8.5646154148e+03
1.0615429282e-01 8.1422953766e+03
1.0977476835e-01 7.7480948583e+03
1.1339524388e-01 7.3797298234e+03
1.1701571941e-01 7.0351287011e+03
1.2063620240e-01 6.7124096317e+03
1.2425667793e-01 6.4098640457e+03
1.2787716091e-01 6.1259350533e+03
1.3149763644e-01 5.8592071437e+03
1.3511811197e-01 5.6083882900e+03
1.3873858750e-01 5.3723000398e+03
1.4235906303e-01 5.1498659225e+03
1.4597953856e-01 4.9401015773e+03
1.4960001409e-01 4.7421059363e+03
1.5322048962e-01 4.5550532934e+03
1.5684096515e-01 4.3781862084e+03
1.6046145558e-01 4.2108084552e+03
1.6408193111e-01 4.0522820150e+03
1.6770240664e-01 3.9020178057e+03
1.7132288217e-01 3.7594738366e+03
1.7494335771e-01 3.6241503402e+03
1.7856383324e-01 3.4955860228e+03
1.8218430877e-01 3.3733546717e+03
1.8580478430e-01 3.2570621072e+03
1.8942527473e-01 3.1463429814e+03
1.9304575026e-01 3.0408600760e+03
1.9666622579e-01 2.9402993177e+03
2.0028670132e-01 2.8443695788e+03
2.0390717685e-01 2.7528003496e+03
2.0752765238e-01 2.6653400592e+03
2.1114812791e-01 2.5817545474e+03
2.1476860344e-01 2.5018256690e+03
2.1838907898e-01 2.4253500310e+03
2.2200956941e-01 2.3521375451e+03
2.2563004494e-01 2.2820115639e+03
2.2925052047e-01 2.2148061153e+03
2.3287099600e-01 2.1503662444e+03
2.3649147153e-01 2.0885469000e+03
2.4011194706e-01 2.0292122010e+03
2.4373242259e-01 1.9722347647e+03
