z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022489890000000005        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0571412191e+01
7.5206098700e-06 5.3913681342e+01
8.0390564108e-06 5.7476831611e+01
8.5932442744e-06 6.1275486086e+01
9.1856354629e-06 6.5325186401e+01
9.8188638731e-06 6.9642528387e+01
1.0495745300e-05 7.4245193075e+01
1.1219289263e-05 7.9152055216e+01
1.1992711734e-05 8.4383191039e+01
1.2819450603e-05 8.9960056524e+01
1.3703183868e-05 9.5905510663e+01
1.4647837816e-05 1.0224385422e+02
1.5657613403e-05 1.0900111652e+02
1.6736999896e-05 1.1620493919e+02
1.7890795789e-05 1.2388482422e+02
1.9124130631e-05 1.3207229669e+02
2.0442488676e-05 1.4080081958e+02
2.1851728889e-05 1.5010620452e+02
2.3358117687e-05 1.6002651109e+02
2.4968352591e-05 1.7060241882e+02
2.6689593142e-05 1.8187728927e+02
2.8529490010e-05 1.9389713498e+02
3.0496221370e-05 2.0671134811e+02
3.2598534744e-05 2.2037234389e+02
3.4845776099e-05 2.3493607221e+02
3.7247933506e-05 2.5046211061e+02
3.9815688069e-05 2.6701414493e+02
4.2560455768e-05 2.8465979870e+02
4.5494442020e-05 3.0347145487e+02
4.8630685342e-05 3.2352594569e+02
5.1983130106e-05 3.4490540541e+02
5.5566681112e-05 3.6769730125e+02
5.9397272707e-05 3.9199499155e+02
6.3491934270e-05 4.1789757069e+02
6.7868866609e-05 4.4551117137e+02
7.2547532909e-05 4.7494865454e+02
7.7548735135e-05 5.0633019850e+02
8.2894701336e-05 5.3978395002e+02
8.8609194791e-05 5.7544670651e+02
9.4717637694e-05 6.1346385394e+02
1.0124716937e-04 6.5399029706e+02
1.0822682816e-04 6.9719148257e+02
1.1568764603e-04 7.4324302706e+02
1.2366278679e-04 7.9233294943e+02
1.3218770619e-04 8.4465999657e+02
1.4130031923e-04 9.0043724001e+02
1.5104110935e-04 9.5989071171e+02
1.6145341215e-04 1.0232611403e+03
1.7258350272e-04 1.0908047574e+03
1.8448085757e-04 1.1627942897e+03
1.9719838747e-04 1.2395192687e+03
2.1079262660e-04 1.3212885119e+03
2.2532400908e-04 1.4084293159e+03
2.4085713085e-04 1.5012899375e+03
2.5746106985e-04 1.6002394691e+03
2.7520960430e-04 1.7056705676e+03
2.9418169288e-04 1.8179994542e+03
3.1446164940e-04 1.9376675268e+03
3.3613966662e-04 2.0651404919e+03
3.5931204911e-04 2.2009141936e+03
3.8408191176e-04 2.3455118848e+03
4.1055929614e-04 2.4994839798e+03
4.3886195635e-04 2.6634143788e+03
4.6911570826e-04 2.8379167479e+03
5.0145509886e-04 3.0236379911e+03
5.3602381376e-04 3.2212565142e+03
5.7297560852e-04 3.4314854496e+03
6.1247474514e-04 3.6550699276e+03
6.5469677793e-04 3.8927922854e+03
6.9982954301e-04 4.1454643777e+03
7.4807356577e-04 4.4139340257e+03
7.9964339966e-04 4.6990827852e+03
8.5476832464e-04 5.0018229694e+03
9.1369333677e-04 5.3230946727e+03
9.7668042872e-04 5.6638677552e+03
1.0440096958e-03 6.0251393620e+03
1.1159804417e-03 6.4079210246e+03
1.1929126922e-03 6.8132451109e+03
1.2751482427e-03 7.2421494453e+03
1.3630529866e-03 7.6956718524e+03
1.4570176136e-03 8.1748427155e+03
1.5574598219e-03 8.6806666211e+03
1.6648261808e-03 9.2141193821e+03
1.7795939930e-03 9.7761222416e+03
1.9022736233e-03 1.0367543361e+04
2.0334103610e-03 1.0989162596e+04
2.1735872142e-03 1.1641674477e+04
2.3234274704e-03 1.2325651493e+04
2.4835972581e-03 1.3041527229e+04
2.6548085734e-03 1.3789579497e+04
2.8378227726e-03 1.4569886678e+04
3.0334533658e-03 1.5382329712e+04
3.2425699755e-03 1.6226533552e+04
3.4661025274e-03 1.7101847325e+04
3.7050447427e-03 1.8007302661e+04
3.9604585618e-03 1.8941567054e+04
4.2334804311e-03 1.9902914106e+04
4.5253229327e-03 2.0889159027e+04
4.8372847959e-03 2.1898696463e+04
5.1707518287e-03 2.2926269821e+04
5.5272071622e-03 2.3969118847e+04
5.9082354419e-03 2.5022879913e+04
6.3155302778e-03 2.6081907493e+04
6.7509030923e-03 2.7141524431e+04
7.2162891738e-03 2.8194719953e+04
7.7137574553e-03 2.9234380098e+04
8.2455193624e-03 3.0251839132e+04
8.8139399886e-03 3.1238022537e+04
9.4215450808e-03 3.2183169207e+04
1.0071036406e-02 3.3076363130e+04
1.0765301995e-02 3.3905924317e+04
1.1507427320e-02 3.4659087325e+04
1.2300713919e-02 3.5322429888e+04
1.3148685917e-02 3.5881870928e+04
