z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.0620000000e+00        0.022489890000000005        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9222346461e+01
7.5206098700e-06 5.2475423709e+01
8.0390564108e-06 5.5943488048e+01
8.5932442744e-06 5.9640759496e+01
9.1856354629e-06 6.3582371002e+01
9.8188638731e-06 6.7784469664e+01
1.0495745300e-05 7.2264271348e+01
1.1219289263e-05 7.7040126509e+01
1.1992711734e-05 8.2131591043e+01
1.2819450603e-05 8.7559513913e+01
1.3703183868e-05 9.3346141002e+01
1.4647837816e-05 9.9515152351e+01
1.5657613403e-05 1.0609181716e+02
1.6736999896e-05 1.1310306375e+02
1.7890795789e-05 1.2057759552e+02
1.9124130631e-05 1.2854601089e+02
2.0442488676e-05 1.3704093302e+02
2.1851728889e-05 1.4609711405e+02
2.3358117687e-05 1.5575161908e+02
2.4968352591e-05 1.6604394895e+02
2.6689593142e-05 1.7701620725e+02
2.8529490010e-05 1.8871325271e+02
3.0496221370e-05 2.0118289488e+02
3.2598534744e-05 2.1447612070e+02
3.4845776099e-05 2.2864723646e+02
3.7247933506e-05 2.4375409826e+02
3.9815688069e-05 2.5985838330e+02
4.2560455768e-05 2.7702579877e+02
4.5494442020e-05 2.9532636541e+02
4.8630685342e-05 3.1483462691e+02
5.1983130106e-05 3.3563003436e+02
5.5566681112e-05 3.5779720975e+02
5.9397272707e-05 3.8142629233e+02
6.3491934270e-05 4.0661325401e+02
6.7868866609e-05 4.3346027330e+02
7.2547532909e-05 4.6207618851e+02
7.7548735135e-05 4.9257685114e+02
8.2894701336e-05 5.2508553594e+02
8.8609194791e-05 5.5973347258e+02
9.4717637694e-05 5.9666045260e+02
1.0124716937e-04 6.3601502876e+02
1.0822682816e-04 6.7795545078e+02
1.1568764603e-04 7.2265006065e+02
1.2366278679e-04 7.7027794075e+02
1.3218770619e-04 8.2102968058e+02
1.4130031923e-04 8.7510817420e+02
1.5104110935e-04 9.3272906191e+02
1.6145341215e-04 9.9412219498e+02
1.7258350272e-04 1.0595319232e+03
1.8448085757e-04 1.1292184013e+03
1.9719838747e-04 1.2034587018e+03
2.1079262660e-04 1.2825476513e+03
2.2532400908e-04 1.3667991520e+03
2.4085713085e-04 1.4565473835e+03
2.5746106985e-04 1.5521483020e+03
2.7520960430e-04 1.6539805045e+03
2.9418169288e-04 1.7624475447e+03
3.1446164940e-04 1.8779784266e+03
3.3613966662e-04 2.0010300260e+03
3.5931204911e-04 2.1320877625e+03
3.8408191176e-04 2.2716688138e+03
4.1055929614e-04 2.4203219201e+03
4.3886195635e-04 2.5786308362e+03
4.6911570826e-04 2.7472151640e+03
5.0145509886e-04 2.9267328012e+03
5.3602381376e-04 3.1178807174e+03
5.7297560852e-04 3.3213983808e+03
6.1247474514e-04 3.5380681355e+03
6.5469677793e-04 3.7687171501e+03
6.9982954301e-04 4.0142200216e+03
7.4807356577e-04 4.2754976655e+03
7.9964339966e-04 4.5535206160e+03
8.5476832464e-04 4.8493080232e+03
9.1369333677e-04 5.1639272410e+03
9.7668042872e-04 5.4984937345e+03
1.0440096958e-03 5.8541685233e+03
1.1159804417e-03 6.2321537792e+03
1.1929126922e-03 6.6336883048e+03
1.2751482427e-03 7.0600378276e+03
1.3630529866e-03 7.5124886634e+03
1.4570176136e-03 7.9923290365e+03
1.5574598219e-03 8.5008337988e+03
1.6648261808e-03 9.0392422927e+03
1.7795939930e-03 9.6087308091e+03
1.9022736233e-03 1.0210381803e+04
2.0334103610e-03 1.0845145467e+04
2.1735872142e-03 1.1513801294e+04
2.3234274704e-03 1.2216915163e+04
2.4835972581e-03 1.2954795160e+04
2.6548085734e-03 1.3727450828e+04
2.8378227726e-03 1.4534558368e+04
3.0334533658e-03 1.5375429227e+04
3.2425699755e-03 1.6248992314e+04
3.4661025274e-03 1.7153786081e+04
3.7050447427e-03 1.8087956013e+04
3.9604585618e-03 1.9049262122e+04
4.2334804311e-03 2.0035095518e+04
4.5253229327e-03 2.1042476068e+04
4.8372847959e-03 2.2068074475e+04
5.1707518287e-03 2.3108193215e+04
5.5272071622e-03 2.4158767995e+04
5.9082354419e-03 2.5215336952e+04
6.3155302778e-03 2.6273008873e+04
6.7509030923e-03 2.7326423182e+04
7.2162891738e-03 2.8369691760e+04
7.7137574553e-03 2.9396339124e+04
8.2455193624e-03 3.0399227118e+04
8.8139399886e-03 3.1370468856e+04
9.4215450808e-03 3.2301317708e+04
1.0071036406e-02 3.3182051854e+04
1.0765301995e-02 3.4001832837e+04
1.1507427320e-02 3.4748562151e+04
1.2300713919e-02 3.5408767132e+04
1.3148685917e-02 3.5967547461e+04
1.4055115171e-02 3.6408693533e+04
1.5024030581e-02 3.6715066487e+04
1.6059739515e-02 3.6869404615e+04
1.7166847363e-02 3.6855669370e+04
1.8350275233e-02 3.6660960675e+04
1.9615285099e-02 3.6277820740e+04
2.0967502147e-02 3.5706459525e+04
2.2412935272e-02 3.4956199300e+04
2.3958012462e-02 3.4045425162e+04
2.5609601289e-02 3.2999733100e+04
2.7375046164e-02 3.1848603334e+04
2.9262196273e-02 3.0621555946e+04
3.1279440969e-02 2.9344887767e+04
3.3435747027e-02 2.8039751394e+04
3.5740699619e-02 2.6721724495e+04
3.8204550743e-02 2.5401511958e+04
4.0838252753e-02 2.4086231792e+04
4.3653514236e-02 2.2780766732e+04
4.6478152275e-02 2.1565304661e+04
4.9302790314e-02 2.0435114782e+04
5.2127432078e-02 1.9382197096e+04
5.4952070117e-02 1.8399681083e+04
5.7776708156e-02 1.7481614766e+04
6.0601349920e-02 1.6622780751e+04
6.3425987959e-02 1.5818553729e+04
6.6250629723e-02 1.5064785528e+04
6.9075264037e-02 1.4357724957e+04
7.1899905801e-02 1.3693952578e+04
7.4724547565e-02 1.3070348423e+04
7.7549181879e-02 1.2484047863e+04
8.0373823643e-02 1.1932412541e+04
8.3198465407e-02 1.1413017593e+04
8.6023099720e-02 1.0923625968e+04
8.8847741485e-02 1.0462169543e+04
9.1672383249e-02 1.0026742621e+04
9.5292858779e-02 9.5038949083e+03
9.8913334310e-02 9.0175328442e+03
1.0253380984e-01 8.5645859786e+03
1.0615429282e-01 8.1422738632e+03
1.0977476835e-01 7.7480801045e+03
1.1339524388e-01 7.3797208392e+03
1.1701571941e-01 7.0351246414e+03
1.2063620240e-01 6.7124097737e+03
1.2425667793e-01 6.4098677701e+03
1.2787716091e-01 6.1259418282e+03
1.3149763644e-01 5.8592165116e+03
1.3511811197e-01 5.6083998568e+03
1.3873858750e-01 5.3723134654e+03
1.4235906303e-01 5.1498809133e+03
1.4597953856e-01 4.9401178792e+03
1.4960001409e-01 4.7421233294e+03
1.5322048962e-01 4.5550715872e+03
1.5684096515e-01 4.3782052377e+03
1.6046145558e-01 4.2108280768e+03
1.6408193111e-01 4.0523021047e+03
1.6770240664e-01 3.9020382556e+03
1.7132288217e-01 3.7594945532e+03
1.7494335771e-01 3.6241712425e+03
1.7856383324e-01 3.4956070405e+03
1.8218430877e-01 3.3733757440e+03
1.8580478430e-01 3.2570831814e+03
1.8942527473e-01 3.1463640120e+03
1.9304575026e-01 3.0408810240e+03
1.9666622579e-01 2.9403201494e+03
2.0028670132e-01 2.8443902654e+03
2.0390717685e-01 2.7528208665e+03
2.0752765238e-01 2.6653603855e+03
2.1114812791e-01 2.5817746654e+03
2.1476860344e-01 2.5018455639e+03
2.1838907898e-01 2.4253696904e+03
2.2200956941e-01 2.3521569589e+03
2.2563004494e-01 2.2820307239e+03
2.2925052047e-01 2.2148250149e+03
2.3287099600e-01 2.1503848787e+03
2.3649147153e-01 2.0885652650e+03
2.4011194706e-01 2.0292302942e+03
2.4373242259e-01 1.9722525843e+03
2.4735289812e-01 1.9175126322e+03
