z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
2.2000000000e+00        0.022489890000000005        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0381712994e+01
7.5206098700e-06 5.3711449159e+01
8.0390564108e-06 5.7261237762e+01
8.5932442744e-06 6.1045644812e+01
9.1856354629e-06 6.5080148446e+01
9.8188638731e-06 6.9381288614e+01
1.0495745300e-05 7.3966695146e+01
1.1219289263e-05 7.8855157911e+01
1.1992711734e-05 8.4066673596e+01
1.2819450603e-05 8.9622628133e+01
1.3703183868e-05 9.5545773309e+01
1.4647837816e-05 1.0186034838e+02
1.5657613403e-05 1.0859226719e+02
1.6736999896e-05 1.1576907137e+02
1.7890795789e-05 1.2342020166e+02
1.9124130631e-05 1.3157695112e+02
2.0442488676e-05 1.4027277386e+02
2.1851728889e-05 1.4954326631e+02
2.3358117687e-05 1.5942641051e+02
2.4968352591e-05 1.6996265821e+02
2.6689593142e-05 1.8119524905e+02
2.8529490010e-05 1.9317011693e+02
3.0496221370e-05 2.0593630169e+02
3.2598534744e-05 2.1954615489e+02
3.4845776099e-05 2.3405533982e+02
3.7247933506e-05 2.4952326184e+02
3.9815688069e-05 2.6601334905e+02
4.2560455768e-05 2.8359301484e+02
4.5494442020e-05 3.0233427536e+02
4.8630685342e-05 3.2231382432e+02
5.1983130106e-05 3.4361342597e+02
5.5566681112e-05 3.6632019570e+02
5.9397272707e-05 3.9052708653e+02
6.3491934270e-05 4.1633322590e+02
6.7868866609e-05 4.4384384084e+02
7.2547532909e-05 4.7317175474e+02
7.7548735135e-05 5.0443663902e+02
8.2894701336e-05 5.3776628538e+02
8.8609194791e-05 5.7329675549e+02
9.4717637694e-05 6.1117309198e+02
1.0124716937e-04 6.5154995463e+02
1.0822682816e-04 6.9459176999e+02
1.1568764603e-04 7.4047411600e+02
1.2366278679e-04 7.8938379681e+02
1.3218770619e-04 8.4151966602e+02
1.4130031923e-04 8.9709389902e+02
1.5104110935e-04 9.5633161874e+02
1.6145341215e-04 1.0194732158e+03
1.7258350272e-04 1.0867744232e+03
1.8448085757e-04 1.1585069154e+03
1.9719838747e-04 1.2349604033e+03
2.1079262660e-04 1.3164420360e+03
2.2532400908e-04 1.4032791700e+03
2.4085713085e-04 1.4958196680e+03
2.5746106985e-04 1.5944323485e+03
2.7520960430e-04 1.6995092308e+03
2.9418169288e-04 1.8114661336e+03
3.1446164940e-04 1.9307441723e+03
3.3613966662e-04 2.0578106565e+03
3.5931204911e-04 2.1931601383e+03
3.8408191176e-04 2.3373168068e+03
4.1055929614e-04 2.4908320935e+03
4.3886195635e-04 2.6542911086e+03
4.6911570826e-04 2.8283084495e+03
5.0145509886e-04 3.0135319436e+03
5.3602381376e-04 3.2106420488e+03
5.7297560852e-04 3.4203530516e+03
6.1247474514e-04 3.6434139646e+03
6.5469677793e-04 3.8806043360e+03
6.9982954301e-04 4.1327399370e+03
7.4807356577e-04 4.4006691699e+03
7.9964339966e-04 4.6852700739e+03
8.5476832464e-04 4.9874521219e+03
9.1369333677e-04 5.3081535256e+03
9.7668042872e-04 5.6483376436e+03
1.0440096958e-03 6.0089923824e+03
1.1159804417e-03 6.3911224131e+03
1.1929126922e-03 6.7957497698e+03
1.2751482427e-03 7.2239024741e+03
1.3630529866e-03 7.6766133374e+03
1.4570176136e-03 8.1549085850e+03
1.5574598219e-03 8.6597934866e+03
1.6648261808e-03 9.1922433754e+03
1.7795939930e-03 9.7531922722e+03
1.9022736233e-03 1.0343504745e+04
2.0334103610e-03 1.0963969921e+04
2.1735872142e-03 1.1615276940e+04
2.3234274704e-03 1.2297994598e+04
2.4835972581e-03 1.3012557572e+04
2.6548085734e-03 1.3759242477e+04
2.8378227726e-03 1.4538145109e+04
3.0334533658e-03 1.5349140933e+04
3.2425699755e-03 1.6191865920e+04
3.4661025274e-03 1.7065677032e+04
