z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.67        0.14350435200000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0328082984e-06 4.9358352765e+01
7.5176321843e-06 5.2620445653e+01
8.0358786363e-06 5.6098129118e+01
8.5898518591e-06 5.9805650268e+01
9.1820147645e-06 6.3758196455e+01
9.8150003396e-06 6.7971960209e+01
1.0491621651e-05 7.2464194188e+01
1.1214888218e-05 7.7253307438e+01
1.1988014194e-05 8.2358906240e+01
1.2814437468e-05 8.7801906090e+01
1.3697833310e-05 9.3604605899e+01
1.4642127098e-05 9.9790755327e+01
1.5651517970e-05 1.0638569232e+02
1.6730495190e-05 1.1341643111e+02
1.7883852706e-05 1.2091173709e+02
1.9116721887e-05 1.2890231811e+02
2.0434579710e-05 1.3742085432e+02
2.1843288778e-05 1.4650223230e+02
2.3349110052e-05 1.5618360018e+02
2.4958739232e-05 1.6650457319e+02
2.6679332223e-05 1.7750736596e+02
2.8518539693e-05 1.8923698032e+02
3.0484536182e-05 2.0174135512e+02
3.2586063753e-05 2.1507160527e+02
3.4832464735e-05 2.2928218732e+02
3.7233727198e-05 2.4443114195e+02
3.9800528612e-05 2.6058032005e+02
4.2544274038e-05 2.7779556982e+02
4.5477172534e-05 2.9614715821e+02
4.8612251703e-05 3.1570979835e+02
5.1963459555e-05 3.3656321735e+02
5.5545689975e-05 3.5879223896e+02
5.9374870034e-05 3.8248724471e+02
6.3468025473e-05 4.0774448994e+02
6.7843349825e-05 4.3466643387e+02
7.2520306276e-05 4.6336226140e+02
7.7519667684e-05 4.9394801466e+02
8.2863683929e-05 5.2654749443e+02
8.8576096459e-05 5.6129221440e+02
9.4682312920e-05 5.9832232232e+02
1.0120947263e-04 6.3778684310e+02
1.0818659939e-04 6.7984444095e+02
1.1564471060e-04 7.2466390446e+02
1.2361696281e-04 7.7242484009e+02
1.3213881175e-04 8.2331844049e+02
1.4124813606e-04 8.7754802416e+02
1.5098541917e-04 9.3532991271e+02
1.6139398212e-04 9.9689459581e+02
1.7252007092e-04 1.0624870208e+03
1.8441317661e-04 1.1323682457e+03
1.9712616631e-04 1.2068159556e+03
2.1071554511e-04 1.2861257307e+03
2.2524174710e-04 1.3706124549e+03
2.4076933914e-04 1.4606111813e+03
2.5736738462e-04 1.5564788899e+03
2.7510963264e-04 1.6585951858e+03
2.9407499824e-04 1.7673646227e+03
3.1434779521e-04 1.8832175315e+03
3.3601815812e-04 2.0066118645e+03
3.5918239155e-04 2.1380345342e+03
3.8394352305e-04 2.2780038093e+03
4.1041165241e-04 2.4270704348e+03
4.3870438822e-04 2.5858191222e+03
4.6894757543e-04 2.7548715155e+03
5.0127564464e-04 2.9348868469e+03
5.3583231056e-04 3.1265643397e+03
5.7277124142e-04 3.3306451825e+03
6.1225669924e-04 3.5479140359e+03
6.5446412191e-04 3.7791998586e+03
6.9958122913e-04 4.0253791622e+03
7.4780860450e-04 4.2873758388e+03
7.9936068505e-04 4.5661625590e+03
8.5446657613e-04 4.8627604053e+03
9.1337133199e-04 5.1782400127e+03
9.7633688711e-04 5.5137195771e+03
1.0436431039e-03 5.8703619878e+03
1.1155892862e-03 6.2493725630e+03
1.1924952269e-03 6.6519920324e+03
1.2747028377e-03 7.0794898390e+03
1.3625776628e-03 7.5331535053e+03
1.4565102756e-03 8.0142735264e+03
1.5569184907e-03 8.5241279706e+03
1.6642485280e-03 9.0639566903e+03
1.7789776903e-03 9.6349378161e+03
1.9016158767e-03 1.0238152768e+04
2.0327086095e-03 1.0874553443e+04
2.1728384309e-03 1.1544916763e+04
2.3226283956e-03 1.2249806214e+04
2.4827446323e-03 1.2989527446e+04
2.6538986713e-03 1.3764084152e+04
2.8368518688e-03 1.4573147499e+04
3.0324172694e-03 1.5416020432e+04
3.2414644957e-03 1.6291624002e+04
3.4649230074e-03 1.7198485470e+04
3.7037860602e-03 1.8134737958e+04
3.9591155946e-03 1.9098129774e+04
4.2320471257e-03 2.0086035802e+04
4.5237941667e-03 2.1095465413e+04
4.8356531188e-03 2.2123066696e+04
5.1690107211e-03 2.3165130001e+04
5.5253496394e-03 2.4217573373e+04
5.9062531218e-03 2.5275914232e+04
6.3134157099e-03 2.6335246673e+04
6.7486464977e-03 2.7390186406e+04
7.2138812393e-03 2.8434828593e+04
7.7111884020e-03 2.9462678254e+04
8.2427784801e-03 3.0466576739e+04
8.8110147044e-03 3.1438615446e+04
9.4184242189e-03 3.2370031837e+04
1.0067706928e-02 3.3251083016e+04
1.0761748999e-02 3.4070910964e+04
1.1503636837e-02 3.4817402041e+04
1.2296669185e-02 3.5477066119e+04
1.3144370168e-02 3.6034990925e+04
1.4050509781e-02 3.6474957444e+04
1.5019116923e-02 3.6779824333e+04
1.6054498032e-02 3.6932335101e+04
1.7161253840e-02 3.6916468032e+04
1.8344307318e-02 3.6719354336e+04
1.9608918577e-02 3.6333581923e+04
2.0960709080e-02 3.5759420668e+04
2.2405687720e-02 3.5006259067e+04
2.3950278759e-02 3.4092549344e+04
2.5601351634e-02 3.3043941646e+04
2.7366243303e-02 3.1889960210e+04
2.9252804816e-02 3.0660145644e+04
3.1269419938e-02 2.9380805477e+04
3.3425055444e-02 2.8073090336e+04
3.5729292780e-02 2.6752574904e+04
3.8192380220e-02 2.5429961620e+04
4.0825270116e-02 2.4112366805e+04
4.3639659882e-02 2.2804679890e+04
4.6463403851e-02 2.1587223905e+04
4.9287147820e-02 2.0455239571e+04
5.2110888064e-02 1.9400707045e+04
5.4934632033e-02 1.8416730827e+04
5.7758376002e-02 1.7497344774e+04
6.0582116246e-02 1.6637318614e+04
6.3405863941e-02 1.5832008115e+04
6.6229604185e-02 1.5077259618e+04
6.9053344429e-02 1.4369306316e+04
7.1877092123e-02 1.3704721452e+04
7.4700832367e-02 1.3080378337e+04
7.7524572611e-02 1.2493401671e+04
8.0348320305e-02 1.1941148233e+04
8.3172060549e-02 1.1421188663e+04
8.5995800793e-02 1.0931277995e+04
8.8819548488e-02 1.0469344908e+04
9.1643288732e-02 1.0033480721e+04
9.5262281597e-02 9.5101681475e+03
9.8881267011e-02 9.0233858441e+03
1.0250025243e-01 8.5700572193e+03
1.0611924529e-01 8.1473974703e+03
1.0973823070e-01 7.7528864246e+03
1.1335721612e-01 7.3842369245e+03
1.1697620898e-01 7.0393739828e+03
1.2059519440e-01 6.7164154051e+03
1.2421417981e-01 6.4136484580e+03
1.2783317268e-01 6.1295150818e+03
1.3145215809e-01 5.8625981278e+03
1.3507114351e-01 5.6116041170e+03
1.3869012892e-01 5.3753533084e+03
1.4230911434e-01 5.1527680852e+03
1.4592811465e-01 4.9428622253e+03
1.4954710007e-01 4.7447354734e+03
1.5316608548e-01 4.5575604162e+03
1.5678507090e-01 4.3805788804e+03
1.6040405631e-01 4.2130946511e+03
1.6402305663e-01 4.0544671043e+03
1.6764204204e-01 3.9041086343e+03
1.7126102745e-01 3.7614760953e+03
1.7488001287e-01 3.6260692811e+03
1.7849899828e-01 3.4974265003e+03
1.8211798370e-01 3.3751211786e+03
1.8573698401e-01 3.2587583399e+03
1.8935596943e-01 3.1479737380e+03
1.9297495484e-01 3.0424284798e+03
1.9659394026e-01 2.9418087084e+03
2.0021292567e-01 2.8458230669e+03
2.0383191109e-01 2.7542008356e+03
2.0745091140e-01 2.6666898983e+03
2.1106989682e-01 2.5830566372e+03
2.1468888223e-01 2.5030823755e+03
2.1830786765e-01 2.4265635696e+03
2.2192685306e-01 2.3533102872e+03
2.2554583848e-01 2.2831451505e+03
2.2916483879e-01 2.2159021058e+03
2.3278382420e-01 2.1514266415e+03
2.3640280962e-01 2.0895733215e+03
2.4002179503e-01 2.0302061705e+03
2.4364078045e-01 1.9731977178e+03
2.4725976586e-01 1.9184283778e+03
2.5087875128e-01 1.8657858835e+03
2.5449773669e-01 1.8151647669e+03
2.5811672211e-01 1.7664658779e+03
2.6173573732e-01 1.7195955658e+03
2.6535472274e-01 1.6744668031e+03
2.6897370815e-01 1.6309964950e+03
2.7259269357e-01 1.5891066931e+03
2.7621167898e-01 1.5487238841e+03
2.7983066440e-01 1.5097786945e+03
2.8344964981e-01 1.4722056186e+03
2.8706863522e-01 1.4359427676e+03
2.9068762064e-01 1.4009316354e+03
2.9430660605e-01 1.3671168829e+03
2.9792559147e-01 1.3344461380e+03
3.0154460669e-01 1.3028695537e+03
3.0516359210e-01 1.2723406661e+03
3.0878257751e-01 1.2428146755e+03
3.1240156293e-01 1.2142493445e+03
3.1602054834e-01 1.1866045956e+03
3.1963953376e-01 1.1598423820e+03
3.2325851917e-01 1.1339265663e+03
3.2687750459e-01 1.1088228090e+03
3.3049649000e-01 1.0844984637e+03
3.3411547542e-01 1.0609224787e+03
3.3773446083e-01 1.0380653063e+03
3.4135344625e-01 1.0158988173e+03
3.4497246146e-01 9.9439604626e+02
3.4859144688e-01 9.7353182029e+02
3.5221043229e-01 9.5328162662e+02
3.5582941771e-01 9.3362226064e+02
3.5944840312e-01 9.1453158469e+02
3.6306738853e-01 8.9598847062e+02
3.6668637395e-01 8.7797274566e+02
3.7030535936e-01 8.6046514164e+02
3.7392434478e-01 8.4344724751e+02
3.7754333019e-01 8.2690146449e+02
3.8116231561e-01 8.1081096389e+02
3.8478130102e-01 7.9515964768e+02
3.8840031624e-01 7.7993198745e+02
3.9201930165e-01 7.6511348734e+02
3.9563828707e-01 7.5068989892e+02
3.9925727248e-01 7.3664769489e+02
4.0287625790e-01 7.2297391257e+02
4.0649524331e-01 7.0965612622e+02
4.1011422872e-01 6.9668242092e+02
4.1373321414e-01 6.8404136780e+02
4.1735219955e-01 6.7172200078e+02
4.2097118497e-01 6.5971379450e+02
4.2459017038e-01 6.4800664349e+02
4.2820918560e-01 6.3659074964e+02
4.3182817101e-01 6.2545697715e+02
4.3544715643e-01 6.1459627096e+02
4.3906614184e-01 6.0400001839e+02
