z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022445000000000007        0.67        0.14350435200000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0328082984e-06 5.0658654041e+01
7.5176321843e-06 5.4006719316e+01
8.0358786363e-06 5.7576055774e+01
8.5898518591e-06 6.1381287597e+01
9.1820147645e-06 6.5438005914e+01
9.8150003396e-06 6.9762852413e+01
1.0491621651e-05 7.4373522972e+01
1.1214888218e-05 7.9288913067e+01
1.1988014194e-05 8.4529146851e+01
1.2814437468e-05 9.0115708023e+01
1.3697833310e-05 9.6071483446e+01
1.4642127098e-05 1.0242085766e+02
1.5651517970e-05 1.0918988738e+02
1.6730495190e-05 1.1640624331e+02
1.7883852706e-05 1.2409953734e+02
1.9116721887e-05 1.3230123525e+02
2.0434579710e-05 1.4104500576e+02
2.1843288778e-05 1.5036660414e+02
2.3349110052e-05 1.6030422847e+02
2.4958739232e-05 1.7089857781e+02
2.6679332223e-05 1.8219307032e+02
2.8518539693e-05 1.9423397411e+02
3.0484536182e-05 2.0707052356e+02
3.2586063753e-05 2.2075539917e+02
3.4832464735e-05 2.3534456761e+02
3.7233727198e-05 2.5089774701e+02
3.9800528612e-05 2.6747868326e+02
4.2544274038e-05 2.8515522266e+02
4.5477172534e-05 3.0399974819e+02
4.8612251703e-05 3.2408935398e+02
5.1963459555e-05 3.4550625244e+02
5.5545689975e-05 3.6833800688e+02
5.9374870034e-05 3.9267820046e+02
6.3468025473e-05 4.1862617437e+02
6.7843349825e-05 4.4628813296e+02
7.2520306276e-05 4.7577714374e+02
7.7519667684e-05 5.0721360265e+02
8.2863683929e-05 5.4072613562e+02
8.8576096459e-05 5.7645133678e+02
9.4682312920e-05 6.1453507719e+02
1.0120947263e-04 6.5513253384e+02
1.0818659939e-04 6.9840935294e+02
1.1564471060e-04 7.4454170811e+02
1.2361696281e-04 7.9371740537e+02
1.3213881175e-04 8.4613623223e+02
1.4124813606e-04 9.0201117900e+02
1.5098541917e-04 9.6156849701e+02
1.6139398212e-04 1.0250497343e+03
1.7252007092e-04 1.0927114447e+03
1.8441317661e-04 1.1648268747e+03
1.9712616631e-04 1.2416859052e+03
2.1071554511e-04 1.3235976106e+03
2.2524174710e-04 1.4108900263e+03
2.4076933914e-04 1.5039118934e+03
2.5736738462e-04 1.6030335894e+03
2.7510963264e-04 1.7086474771e+03
2.9407499824e-04 1.8211708128e+03
3.1434779521e-04 1.9410450484e+03
3.3601815812e-04 2.0687381577e+03
3.5918239155e-04 2.2047444039e+03
3.8394352305e-04 2.3495887598e+03
4.1041165241e-04 2.5038237673e+03
4.3870438822e-04 2.6680322126e+03
4.6894757543e-04 2.8428303832e+03
5.0127564464e-04 3.0288636482e+03
5.3583231056e-04 3.2268134369e+03
5.7277124142e-04 3.4373928190e+03
6.1225669924e-04 3.6613492964e+03
6.5446412191e-04 3.8994629419e+03
6.9958122913e-04 4.1525501212e+03
