z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.2780000000e+00        0.022445000000000007        0.67        0.14350435200000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0328082984e-06 5.0597704956e+01
7.5176321843e-06 5.3941737454e+01
8.0358786363e-06 5.7506794329e+01
8.5898518591e-06 6.1307453280e+01
9.1820147645e-06 6.5359303663e+01
9.8150003396e-06 6.9678926746e+01
1.0491621651e-05 7.4284058567e+01
1.1214888218e-05 7.9193525774e+01
1.1988014194e-05 8.4427462769e+01
1.2814437468e-05 9.0007306762e+01
1.3697833310e-05 9.5955935958e+01
1.4642127098e-05 1.0229765968e+02
1.5651517970e-05 1.0905854409e+02
1.6730495190e-05 1.1626623449e+02
1.7883852706e-05 1.2395027122e+02
1.9116721887e-05 1.3214212907e+02
2.0434579710e-05 1.4087537524e+02
2.1843288778e-05 1.5018574830e+02
2.3349110052e-05 1.6011145425e+02
2.4958739232e-05 1.7069305798e+02
2.6679332223e-05 1.8197396689e+02
2.8518539693e-05 1.9400042101e+02
3.0484536182e-05 2.0682153248e+02
3.2586063753e-05 2.2048996657e+02
3.4832464735e-05 2.3506162584e+02
3.7233727198e-05 2.5059616340e+02
3.9800528612e-05 2.6715723946e+02
4.2544274038e-05 2.8481252141e+02
4.5477172534e-05 3.0363445360e+02
4.8612251703e-05 3.2370000075e+02
5.1963459555e-05 3.4509120067e+02
5.5545689975e-05 3.6789569722e+02
5.9374870034e-05 3.9220672055e+02
6.3468025473e-05 4.1812363986e+02
6.7843349825e-05 4.4575261474e+02
7.2520306276e-05 4.7520647678e+02
7.7519667684e-05 5.0660544020e+02
8.2863683929e-05 5.4007812827e+02
8.8576096459e-05 5.7576078375e+02
9.4682312920e-05 6.1379947974e+02
1.0120947263e-04 6.5434893526e+02
1.0818659939e-04 6.9757472616e+02
1.1564471060e-04 7.4365257439e+02
1.2361696281e-04 7.9277063791e+02
1.3213881175e-04 8.4512812881e+02
1.4124813606e-04 9.0093791901e+02
1.5098541917e-04 9.6042622442e+02
1.6139398212e-04 1.0238341841e+03
1.7252007092e-04 1.0914184128e+03
1.8441317661e-04 1.1634513962e+03
1.9712616631e-04 1.2402235434e+03
2.1071554511e-04 1.3220434239e+03
2.2524174710e-04 1.4092389520e+03
2.4076933914e-04 1.5021588081e+03
2.5736738462e-04 1.6011725177e+03
2.7510963264e-04 1.7066736096e+03
2.9407499824e-04 1.8190785105e+03
