z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.7460000000e+00        0.022445000000000007        0.67        0.14350435200000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0328082984e-06 4.9239296385e+01
7.5176321843e-06 5.2493520874e+01
8.0358786363e-06 5.5962815924e+01
8.5898518591e-06 5.9661394281e+01
9.1820147645e-06 6.3604406666e+01
9.8150003396e-06 6.7808006554e+01
1.0491621651e-05 7.2289404992e+01
1.1214888218e-05 7.7066966628e+01
1.1988014194e-05 8.2160250454e+01
1.2814437468e-05 8.7590121524e+01
1.3697833310e-05 9.3378824970e+01
1.4642127098e-05 9.9550053174e+01
1.5651517970e-05 1.0612908298e+02
1.6730495190e-05 1.1314286347e+02
1.7883852706e-05 1.2062009066e+02
1.9116721887e-05 1.2859139837e+02
2.0434579710e-05 1.3708938795e+02
2.1843288778e-05 1.4614886183e+02
2.3349110052e-05 1.5580687861e+02
2.4958739232e-05 1.6610295799e+02
2.6679332223e-05 1.7707921282e+02
2.8518539693e-05 1.8878053648e+02
3.0484536182e-05 2.0125475225e+02
3.2586063753e-05 2.1455285185e+02
3.4832464735e-05 2.2872916060e+02
3.7233727198e-05 2.4384157932e+02
3.9800528612e-05 2.5995180990e+02
4.2544274038e-05 2.7712554193e+02
4.5477172534e-05 2.9543287312e+02
4.8612251703e-05 3.1494833673e+02
5.1963459555e-05 3.3575146793e+02
5.5545689975e-05 3.5792688635e+02
5.9374870034e-05 3.8156475608e+02
6.3468025473e-05 4.0676110097e+02
6.7843349825e-05 4.3361813396e+02
7.2520306276e-05 4.6224477759e+02
7.7519667684e-05 4.9275679530e+02
8.2863683929e-05 5.2527769073e+02
8.8576096459e-05 5.5993866214e+02
9.4682312920e-05 5.9687952134e+02
1.0120947263e-04 6.3624893638e+02
1.0818659939e-04 6.7820519183e+02
1.1564471060e-04 7.2291667284e+02
1.2361696281e-04 7.7056255707e+02
1.3213881175e-04 8.2133358127e+02
1.4124813606e-04 8.7543257982e+02
1.5098541917e-04 9.3307536005e+02
1.6139398212e-04 9.9449186457e+02
1.7252007092e-04 1.0599264605e+03
1.8441317661e-04 1.1296395886e+03
1.9712616631e-04 1.2039082791e+03
2.1071554511e-04 1.2830274167e+03
2.2524174710e-04 1.3673111465e+03
2.4076933914e-04 1.4570937377e+03
2.5736738462e-04 1.5527313379e+03
2.7510963264e-04 1.6546026704e+03
2.9407499824e-04 1.7631113525e+03
3.1434779521e-04 1.8786867238e+03
3.3601815812e-04 2.0017856864e+03
3.5918239155e-04 2.1328940421e+03
3.8394352305e-04 2.2725288844e+03
4.1041165241e-04 2.4212397177e+03
4.3870438822e-04 2.5796099455e+03
4.6894757543e-04 2.7482598323e+03
5.0127564464e-04 2.9278471601e+03
5.3583231056e-04 3.1190696295e+03
5.7277124142e-04 3.3226668325e+03
6.1225669924e-04 3.5394217600e+03
6.5446412191e-04 3.7701616312e+03
6.9958122913e-04 4.0157611468e+03
7.4780860450e-04 4.2771423231e+03
7.9936068505e-04 4.5552758957e+03
8.5446657613e-04 4.8511809618e+03
9.1337133199e-04 5.1659261287e+03
9.7633688711e-04 5.5006275392e+03
1.0436431039e-03 5.8564460239e+03
1.1155892862e-03 6.2345848578e+03
1.1924952269e-03 6.6362827762e+03
1.2747028377e-03 7.0628073120e+03
1.3625776628e-03 7.5154442088e+03
1.4565102756e-03 7.9954823731e+03
1.5569184907e-03 8.5041985367e+03
1.6642485280e-03 9.0428315571e+03
1.7789776903e-03 9.6125589955e+03
1.9016158767e-03 1.0214462242e+04
2.0327086095e-03 1.0849493809e+04
2.1728384309e-03 1.1518432019e+04
2.3226283956e-03 1.2221842662e+04
2.4827446323e-03 1.2960034721e+04
2.6538986713e-03 1.3733016381e+04
2.8368518688e-03 1.4540464539e+04
3.0324172694e-03 1.5381689203e+04
3.2414644957e-03 1.6255619843e+04
3.4649230074e-03 1.7160793509e+04
3.7037860602e-03 1.8095354455e+04
3.9591155946e-03 1.9057063395e+04
4.2320471257e-03 2.0043308805e+04
4.5237941667e-03 2.1051114728e+04
4.8356531188e-03 2.2077144891e+04
5.1690107211e-03 2.3117706100e+04
5.5253496394e-03 2.4168733532e+04
5.9062531218e-03 2.5225762270e+04
6.3134157099e-03 2.6283904417e+04
6.7486464977e-03 2.7337793845e+04
7.2138812393e-03 2.8381543805e+04
7.7111884020e-03 2.9408677092e+04
8.2427784801e-03 3.0412052239e+04
8.8110147044e-03 3.1383776952e+04
9.4184242189e-03 3.2315103815e+04
1.0067706928e-02 3.3196303571e+04
1.0761748999e-02 3.4016530027e+04
1.1503636837e-02 3.4763679235e+04
1.2296669185e-02 3.5424268237e+04
1.3144370168e-02 3.5983388936e+04
1.4050509781e-02 3.6424822871e+04
1.5019116923e-02 3.6731424759e+04
1.6054498032e-02 3.6885928529e+04
1.7161253840e-02 3.6872295859e+04
1.8344307318e-02 3.6677632938e+04
1.9608918577e-02 3.6294493230e+04
2.0960709080e-02 3.5723102742e+04
2.2405687720e-02 3.4972798276e+04
2.3950278759e-02 3.4061975898e+04
2.5601351634e-02 3.3016229827e+04
2.7366243303e-02 3.1865033510e+04
2.9252804816e-02 3.0637885828e+04
3.1269419938e-02 2.9361063601e+04
3.3425055444e-02 2.8055697728e+04
3.5729292780e-02 2.6737352600e+04
3.8192380220e-02 2.5416727594e+04
4.0825270116e-02 2.4100940990e+04
4.3639659882e-02 2.2794887434e+04
4.6463403851e-02 2.1578814526e+04
4.9287147820e-02 2.0448002526e+04
5.2110888064e-02 1.9394467929e+04
5.4934632033e-02 1.8411344469e+04
5.7758376002e-02 1.7492689681e+04
6.0582116246e-02 1.6633292609e+04
6.3405863941e-02 1.5828524886e+04
6.6229604185e-02 1.5074245955e+04
6.9053344429e-02 1.4366699889e+04
7.1877092123e-02 1.3702469016e+04
7.4700832367e-02 1.3078434258e+04
7.7524572611e-02 1.2491726721e+04
8.0348320305e-02 1.1939708597e+04
8.3172060549e-02 1.1419955115e+04
8.5995800793e-02 1.0930225212e+04
8.8819548488e-02 1.0468450897e+04
9.1643288732e-02 1.0032726337e+04
9.5262281597e-02 9.5095685931e+03
9.8881267011e-02 9.0229180019e+03
1.0250025243e-01 8.5697015679e+03
1.0611924529e-01 8.1471374772e+03
1.0973823070e-01 7.7527080495e+03
1.1335721612e-01 7.3841282138e+03
1.1697620898e-01 7.0393247353e+03
1.2059519440e-01 6.7164168954e+03
1.2421417981e-01 6.4136932081e+03
1.2783317268e-01 6.1295966705e+03
1.3145215809e-01 5.8627110316e+03
1.3507114351e-01 5.6117435773e+03
1.3869012892e-01 5.3755152198e+03
1.4230911434e-01 5.1529489010e+03
1.4592811465e-01 4.9430588783e+03
1.4954710007e-01 4.7449453083e+03
1.5316608548e-01 4.5577811326e+03
1.5678507090e-01 4.3808084841e+03
1.6040405631e-01 4.2133314125e+03
1.6402305663e-01 4.0547095229e+03
1.6764204204e-01 3.9043554083e+03
1.7126102745e-01 3.7617260953e+03
1.7488001287e-01 3.6263215279e+03
1.7849899828e-01 3.4976801452e+03
1.8211798370e-01 3.3753754867e+03
1.8573698401e-01 3.2590126758e+03
1.8935596943e-01 3.1482275532e+03
1.9297495484e-01 3.0426813014e+03
1.9659394026e-01 2.9420601301e+03
2.0021292567e-01 2.8460727404e+03
2.0383191109e-01 2.7544484637e+03
2.0745091140e-01 2.6669352283e+03
2.1106989682e-01 2.5832994557e+03
2.1468888223e-01 2.5033225032e+03
2.1830786765e-01 2.4268008576e+03
2.2192685306e-01 2.3535446128e+03
2.2554583848e-01 2.2833764143e+03
2.2916483879e-01 2.2161302286e+03
2.3278382420e-01 2.1516515620e+03
2.3640280962e-01 2.0897949939e+03
2.4002179503e-01 2.0304245627e+03
2.4364078045e-01 1.9734128096e+03
2.4725976586e-01 1.9186401594e+03
2.5087875128e-01 1.8659943542e+03
2.5449773669e-01 1.8153699339e+03
2.5811672211e-01 1.7666677551e+03
2.6173573732e-01 1.7197941731e+03
