z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022445000000000007        0.67        0.14336070400000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0300170591e-06 5.0794130847e+01
7.5146531344e-06 5.4151177363e+01
8.0326990428e-06 5.7730099045e+01
8.5864585344e-06 6.1545551940e+01
9.1783931566e-06 6.5613171107e+01
9.8111349871e-06 6.9949621567e+01
1.0487496183e-05 7.4572685651e+01
1.1210484445e-05 7.9501281200e+01
1.1983313925e-05 8.4755592577e+01
1.2809421605e-05 9.0357187138e+01
1.3692479115e-05 9.6328964276e+01
1.4636413653e-05 1.0269542474e+02
1.5645420717e-05 1.0948265607e+02
1.6723986846e-05 1.1671844180e+02
1.7876907805e-05 1.2443242886e+02
1.9109307686e-05 1.3265623674e+02
2.0426668925e-05 1.4142351577e+02
2.1834845029e-05 1.5077019454e+02
2.3340098778e-05 1.6073463282e+02
2.4949120416e-05 1.7135750505e+02
2.6669067665e-05 1.8268242636e+02
2.8507582101e-05 1.9475576326e+02
3.0472841900e-05 2.0762695401e+02
3.2573581848e-05 2.2134866864e+02
3.4819146094e-05 2.3597723124e+02
3.7219513615e-05 2.5157240148e+02
3.9785358240e-05 2.6819805893e+02
4.2528085032e-05 2.8592233400e+02
4.5459892135e-05 3.0481766623e+02
4.8593814427e-05 3.2496150301e+02
5.1943781728e-05 3.4643624140e+02
5.5524687923e-05 3.6932972305e+02
5.9352456446e-05 3.9373561274e+02
6.3444102125e-05 4.1975377686e+02
6.7817825766e-05 4.4749045811e+02
7.2493057814e-05 4.7705917807e+02
7.7490592958e-05 5.0858067900e+02
8.2832651970e-05 5.4218376816e+02
8.8542976300e-05 5.7800540516e+02
9.4646966318e-05 6.1619233246e+02
1.0117175407e-04 6.5689967778e+02
1.0814634879e-04 7.0029369100e+02
1.1560175335e-04 7.4655092892e+02
1.2357112428e-04 7.9585971100e+02
1.3208988821e-04 8.4842041058e+02
1.4119592379e-04 9.0444667766e+02
1.5092969989e-04 9.6416543897e+02
1.6133450845e-04 1.0278185866e+03
1.7245661002e-04 1.0956636769e+03
1.8434545200e-04 1.1679742796e+03
1.9705388695e-04 1.2450416670e+03
2.1063841996e-04 1.3271752792e+03
2.2515944147e-04 1.4147047044e+03
2.4068150378e-04 1.5079787471e+03
2.5727364118e-04 1.6073689219e+03
2.7500960277e-04 1.7132689877e+03
2.9396824539e-04 1.8260970441e+03
3.1423388282e-04 1.9462961134e+03
3.3589659142e-04 2.0743351893e+03
3.5905267578e-04 2.2107104008e+03
3.8380510523e-04 2.3559472259e+03
4.1026389226e-04 2.5105995589e+03
4.3854673277e-04 2.6752529721e+03
4.6877932618e-04 2.8505233179e+03
5.0109607400e-04 3.0370606888e+03
5.3564074915e-04 3.2355459231e+03
5.7256681612e-04 3.4466934002e+03
6.1203847872e-04 3.6712543018e+03
6.5423129126e-04 3.9100112543e+03
6.9933279883e-04 4.1637806581e+03
7.4754346861e-04 4.4334140853e+03
7.9907773761e-04 4.7197952515e+03
8.5416465299e-04 5.0238404818e+03
9.1304921079e-04 5.3464945180e+03
9.7599311266e-04 5.6887323822e+03
1.0432762792e-03 6.0515514573e+03
1.1151977815e-03 6.4359700891e+03
1.1920774123e-03 6.8430238602e+03
1.2742570834e-03 7.2737520797e+03
1.3621019898e-03 7.7292010447e+03
1.4560027048e-03 8.2103965547e+03
1.5563768102e-03 8.7183499680e+03
1.6636705259e-03 9.2540381700e+03
1.7783609219e-03 9.8183854052e+03
1.9009577809e-03 1.0412256290e+04
2.0320063923e-03 1.1036439039e+04
2.1720889490e-03 1.1691620317e+04
2.3218288552e-03 1.2378375910e+04
2.4818913080e-03 1.3097135333e+04
2.6529883035e-03 1.3848169710e+04
2.8358804993e-03 1.4631567551e+04
3.0313807074e-03 1.5447186308e+04
3.2403585501e-03 1.6294654232e+04
3.4637427889e-03 1.7173312613e+04
3.7025266793e-03 1.8082171056e+04
3.9577721618e-03 1.9019899095e+04
4.2306133546e-03 1.9984739550e+04
4.5222640038e-03 2.0974517835e+04
4.8340205103e-03 2.1987582982e+04
5.1672691479e-03 2.3018669034e+04
