z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.5400000000e-01        0.022445000000000007        0.67        0.14336070400000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0300170591e-06 4.9442739299e+01
7.5146531344e-06 5.2710440358e+01
8.0326990428e-06 5.6194103995e+01
8.5864585344e-06 5.9908004729e+01
9.1783931566e-06 6.3867353243e+01
9.8111349871e-06 6.8088370623e+01
1.0487496183e-05 7.2588340362e+01
1.1210484445e-05 7.7385698794e+01
1.1983313925e-05 8.2500094138e+01
1.2809421605e-05 8.7952480565e+01
1.3692479115e-05 9.3765180682e+01
1.4636413653e-05 9.9962006904e+01
1.5645420717e-05 1.0656832744e+02
1.6723986846e-05 1.1361119648e+02
1.7876907805e-05 1.2111945278e+02
1.9109307686e-05 1.2912382252e+02
2.0426668925e-05 1.3765709115e+02
2.1834845029e-05 1.4675416091e+02
2.3340098778e-05 1.5645227116e+02
2.4949120416e-05 1.6679108670e+02
2.6669067665e-05 1.7781292412e+02
2.8507582101e-05 1.8956282324e+02
3.0472841900e-05 2.0208884872e+02
3.2573581848e-05 2.1544217836e+02
3.4819146094e-05 2.2967739671e+02
3.7219513615e-05 2.4485261088e+02
3.9785358240e-05 2.6102978115e+02
4.2528085032e-05 2.7827489657e+02
4.5459892135e-05 2.9665830584e+02
4.8593814427e-05 3.1625492747e+02
5.1943781728e-05 3.3714454536e+02
5.5524687923e-05 3.5941216494e+02
5.9352456446e-05 3.8314833848e+02
6.3444102125e-05 4.0844945968e+02
6.7817825766e-05 4.3541825188e+02
7.2493057814e-05 4.6416393191e+02
7.7490592958e-05 4.9480292454e+02
8.2832651970e-05 5.2745911693e+02
8.8542976300e-05 5.6226430446e+02
9.4646966318e-05 5.9935889038e+02
1.0117175407e-04 6.3889217408e+02
1.0814634879e-04 6.8102307093e+02
1.1560175335e-04 7.2592064269e+02
1.2357112428e-04 7.7376487975e+02
1.3208988821e-04 8.2474720868e+02
1.4119592379e-04 8.7907138246e+02
1.5092969989e-04 9.3695409756e+02
1.6133450845e-04 9.9862616271e+02
1.7245661002e-04 1.0643331337e+03
1.8434545200e-04 1.1343363670e+03
1.9705388695e-04 1.2089140539e+03
2.1063841996e-04 1.2883624042e+03
2.2515944147e-04 1.3729967171e+03
2.4068150378e-04 1.4631526746e+03
2.5727364118e-04 1.5591878485e+03
2.7500960277e-04 1.6614826524e+03
2.9396824539e-04 1.7704421665e+03
3.1423388282e-04 1.8864976395e+03
3.3589659142e-04 2.0101076678e+03
3.5905267578e-04 2.1417602038e+03
3.8380510523e-04 2.2819742929e+03
4.1026389226e-04 2.4313013660e+03
4.3854673277e-04 2.5903278799e+03
4.6877932618e-04 2.7596759922e+03
5.0109607400e-04 2.9400061894e+03
5.3564074915e-04 3.1320195209e+03
5.7256681612e-04 3.3364576379e+03
6.1203847872e-04 3.5541065748e+03
6.5423129126e-04 3.7857977210e+03
6.9933279883e-04 4.0324085210e+03
7.4754346861e-04 4.2948642336e+03
7.9907773761e-04 4.5741396414e+03
8.5416465299e-04 4.8712577286e+03
9.1304921079e-04 5.1872911433e+03
9.7599311266e-04 5.5233592722e+03
1.0432762792e-03 5.8806278568e+03
1.1151977815e-03 6.2603036174e+03
1.1920774123e-03 6.6636300051e+03
1.2742570834e-03 7.0918792400e+03
1.3621019898e-03 7.5463398508e+03
1.4560027048e-03 8.0283051733e+03
1.5563768102e-03 8.5390548951e+03
1.6636705259e-03 9.0798315984e+03
1.7783609219e-03 9.6518148318e+03
1.9009577809e-03 1.0256087821e+04
2.0320063923e-03 1.0893603429e+04
2.1720889490e-03 1.1565138654e+04
2.3218288552e-03 1.2271259956e+04
2.4818913080e-03 1.3012269413e+04
2.6529883035e-03 1.3788173126e+04
2.8358804993e-03 1.4598638721e+04
3.0313807074e-03 1.5442967185e+04
3.2403585501e-03 1.6320077999e+04
3.4637427889e-03 1.7228493383e+04
3.7025266793e-03 1.8166343854e+04
3.9577721618e-03 1.9131374526e+04
4.2306133546e-03 2.0120951566e+04
4.5222640038e-03 2.1132081489e+04
4.8340205103e-03 2.2161408080e+04
5.1672691479e-03 2.3205215367e+04
5.5234907195e-03 2.4259410694e+04
5.9042698704e-03 2.5319510061e+04
6.3112992793e-03 2.6380596003e+04
6.7463885061e-03 2.7437278269e+04
7.2114723735e-03 2.8483641339e+04
7.7086174861e-03 2.9513176715e+04
8.2400357351e-03 3.0518717472e+04
8.8080884889e-03 3.1492338115e+04
9.4153014943e-03 3.2425258468e+04
1.0064374656e-02 3.3307717531e+04
1.0758194141e-02 3.4128835419e+04
1.1499843560e-02 3.4876469738e+04
1.2292621657e-02 3.5537100817e+04
1.3140052557e-02 3.6095781684e+04
1.4045902528e-02 3.6536252060e+04
1.5014201403e-02 3.6841328717e+04
1.6049252823e-02 3.6993710148e+04
1.7155658454e-02 3.6977332446e+04
1.8338337541e-02 3.6779291955e+04
1.9602548331e-02 3.6392156835e+04
2.0953910425e-02 3.5816198872e+04
2.2398434579e-02 3.5060833124e+04
2.3942541331e-02 3.4144568568e+04
2.5593094528e-02 3.3093136849e+04
2.7357434854e-02 3.1936150618e+04
