z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6000000000e+00        0.022445000000000007        0.67        0.14336070400000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0300170591e-06 5.0681065830e+01
7.5146531344e-06 5.4030647090e+01
8.0326990428e-06 5.7601605031e+01
8.5864585344e-06 6.1408566040e+01
9.1783931566e-06 6.5467137484e+01
9.8111349871e-06 6.9793942408e+01
1.0487496183e-05 7.4406707850e+01
1.1210484445e-05 7.9324327939e+01
1.1983313925e-05 8.4566971123e+01
1.2809421605e-05 9.0156067569e+01
1.3692479115e-05 9.6114567801e+01
1.4636413653e-05 1.0246688593e+02
1.5645420717e-05 1.0923898797e+02
1.6723986846e-05 1.1645868834e+02
1.7876907805e-05 1.2415551740e+02
1.9109307686e-05 1.3236101792e+02
2.0426668925e-05 1.4110881450e+02
2.1834845029e-05 1.5043471451e+02
2.3340098778e-05 1.6037696041e+02
2.4949120416e-05 1.7097624238e+02
2.6669067665e-05 1.8227597590e+02
2.8507582101e-05 1.9432249102e+02
3.0472841900e-05 2.0716505753e+02
3.2573581848e-05 2.2085630143e+02
3.4819146094e-05 2.3545230577e+02
3.7219513615e-05 2.5101286303e+02
3.9785358240e-05 2.6760161393e+02
4.2528085032e-05 2.8528648900e+02
4.5459892135e-05 3.0413998616e+02
4.8593814427e-05 3.2423912025e+02
5.1943781728e-05 3.4566628102e+02
5.5524687923e-05 3.6850905644e+02
5.9352456446e-05 3.9286083839e+02
6.3444102125e-05 4.1882142820e+02
6.7817825766e-05 4.4649696102e+02
7.2493057814e-05 4.7600030953e+02
7.7490592958e-05 5.0745234565e+02
8.2832651970e-05 5.4098146112e+02
8.8542976300e-05 5.7672442541e+02
9.4646966318e-05 6.1482729421e+02
1.0117175407e-04 6.5544561127e+02
1.0814634879e-04 6.9874466074e+02
1.1560175335e-04 7.4490113266e+02
1.2357112428e-04 7.9410292103e+02
1.3208988821e-04 8.4654967905e+02
1.4119592379e-04 9.0245503963e+02
1.5092969989e-04 9.6204555562e+02
1.6133450845e-04 1.0255626176e+03
1.7245661002e-04 1.0932635137e+03
1.8434545200e-04 1.1654212783e+03
1.9705388695e-04 1.2423273160e+03
2.1063841996e-04 1.3242901910e+03
2.2515944147e-04 1.4116390586e+03
2.4068150378e-04 1.5047229584e+03
2.5727364118e-04 1.6039129345e+03
2.7500960277e-04 1.7096032463e+03
2.9396824539e-04 1.8222108642e+03
3.1423388282e-04 1.9421794058e+03
3.3589659142e-04 2.0699776221e+03
3.5905267578e-04 2.2061019206e+03
3.8380510523e-04 2.3510775769e+03
4.1026389226e-04 2.5054597439e+03
4.3854673277e-04 2.6698348651e+03
4.6877932618e-04 2.8448188572e+03
5.0109607400e-04 3.0310609463e+03
5.3564074915e-04 3.2292454847e+03
5.7256681612e-04 3.4400867016e+03
6.1203847872e-04 3.6643353658e+03
6.5423129126e-04 3.9027749493e+03
6.9933279883e-04 4.1562222335e+03
7.4754346861e-04 4.4255275107e+03
7.9907773761e-04 4.7115733732e+03
8.5416465299e-04 5.0152739054e+03
9.1304921079e-04 5.3375702428e+03
9.7599311266e-04 5.6794329947e+03
1.0432762792e-03 6.0418545725e+03
1.1151977815e-03 6.4258491901e+03
1.1920774123e-03 6.8324455962e+03
1.2742570834e-03 7.2626814223e+03
1.3621019898e-03 7.7175959143e+03
1.4560027048e-03 8.1982226663e+03
1.5563768102e-03 8.7055686245e+03
1.6636705259e-03 9.2406132805e+03
1.7783609219e-03 9.8042876762e+03
1.9009577809e-03 1.0397455024e+04
2.0320063923e-03 1.1020901016e+04
2.1720889490e-03 1.1675308795e+04
2.3218288552e-03 1.2361256525e+04
2.4818913080e-03 1.3079172987e+04
2.6529883035e-03 1.3829335960e+04
2.8358804993e-03 1.4611832653e+04
3.0313807074e-03 1.5426527406e+04
3.2403585501e-03 1.6273047157e+04
3.4637427889e-03 1.7150736220e+04
3.7025266793e-03 1.8058620756e+04
3.9577721618e-03 1.8995366783e+04
4.2306133546e-03 1.9959230111e+04
4.5222640038e-03 2.0948036964e+04
4.8340205103e-03 2.1960151356e+04
5.1672691479e-03 2.2990310034e+04
5.5234907195e-03 2.4035736830e+04
5.9042698704e-03 2.5092053505e+04
6.3112992793e-03 2.6153591443e+04
6.7463885061e-03 2.7215660714e+04
7.2114723735e-03 2.8271244183e+04
7.7086174861e-03 2.9313200365e+04
8.2400357351e-03 3.0332821232e+04
8.8080884889e-03 3.1321017618e+04
9.4153014943e-03 3.2267986533e+04
1.0064374656e-02 3.3162794493e+04
1.0758194141e-02 3.3993729588e+04
1.1499843560e-02 3.4748001096e+04
1.2292621657e-02 3.5412133538e+04
1.3140052557e-02 3.5972005439e+04
1.4045902528e-02 3.6413030208e+04
1.5014201403e-02 3.6720508202e+04
1.6049252823e-02 3.6879994950e+04
1.7155658454e-02 3.6877769493e+04
1.8338337541e-02 3.6701502997e+04
1.9602548331e-02 3.6341050092e+04
2.0953910425e-02 3.5789505081e+04
2.2398434579e-02 3.5044125709e+04
2.3942541331e-02 3.4107560561e+04
2.5593094528e-02 3.2988973092e+04
2.7357434854e-02 3.1704865271e+04
2.9243405908e-02 3.0279752652e+04
