z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6020000000e+00        0.022445000000000007        0.67        0.14336070400000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0300170591e-06 4.9386165493e+01
7.5146531344e-06 5.2650127572e+01
8.0326990428e-06 5.6129805121e+01
8.5864585344e-06 5.9839456329e+01
9.1783931566e-06 6.3794274473e+01
9.8111349871e-06 6.8010462081e+01
1.0487496183e-05 7.2505282873e+01
1.1210484445e-05 7.7297152088e+01
1.1983313925e-05 8.2405695466e+01
1.2809421605e-05 8.7851843206e+01
1.3692479115e-05 9.3657892375e+01
1.4636413653e-05 9.9847628147e+01
1.5645420717e-05 1.0644638971e+02
1.6723986846e-05 1.1348120030e+02
1.7876907805e-05 1.2098086569e+02
1.9109307686e-05 1.2897607692e+02
2.0426668925e-05 1.3749958192e+02
2.1834845029e-05 1.4658624301e+02
2.3340098778e-05 1.5627325697e+02
2.4949120416e-05 1.6660024325e+02
2.6669067665e-05 1.7760947001e+02
2.8507582101e-05 1.8934592560e+02
3.0472841900e-05 2.0185761971e+02
3.2573581848e-05 2.1519567163e+02
3.4819146094e-05 2.2941460352e+02
3.7219513615e-05 2.4457245608e+02
3.9785358240e-05 2.6073111877e+02
4.2528085032e-05 2.7795650526e+02
4.5459892135e-05 2.9631888386e+02
4.8593814427e-05 3.1589308754e+02
5.1943781728e-05 3.3675880910e+02
5.5524687923e-05 3.5900095692e+02
5.9352456446e-05 3.8270997997e+02
6.3444102125e-05 4.0798216199e+02
6.7817825766e-05 4.3492010920e+02
7.2493057814e-05 4.6363291395e+02
7.7490592958e-05 4.9423686843e+02
8.2832651970e-05 5.2685571877e+02
8.8542976300e-05 5.6162111043e+02
9.4646966318e-05 5.9867328707e+02
1.0117175407e-04 6.3816137855e+02
1.0814634879e-04 6.8024411992e+02
1.1560175335e-04 7.2509038136e+02
1.2357112428e-04 7.7287994950e+02
1.3208988821e-04 8.2380403452e+02
1.4119592379e-04 8.7806615940e+02
1.5092969989e-04 9.3588277642e+02
1.6133450845e-04 9.9748443462e+02
1.7245661002e-04 1.0631164142e+03
1.8434545200e-04 1.1330397786e+03
1.9705388695e-04 1.2075324085e+03
2.1063841996e-04 1.2868901834e+03
2.2515944147e-04 1.3714280519e+03
2.4068150378e-04 1.4614813243e+03
2.5727364118e-04 1.5574071774e+03
2.7500960277e-04 1.6595856065e+03
2.9396824539e-04 1.7684212478e+03
3.1423388282e-04 1.8843448802e+03
3.3589659142e-04 2.0078146021e+03
3.5905267578e-04 2.1393178397e+03
3.8380510523e-04 2.2793730819e+03
4.1026389226e-04 2.4285311723e+03
4.3854673277e-04 2.5873779478e+03
4.6877932618e-04 2.7565349140e+03
5.0109607400e-04 2.9366618716e+03
5.3564074915e-04 3.1284591494e+03
5.7256681612e-04 3.3326676455e+03
6.1203847872e-04 3.5500726060e+03
6.5423129126e-04 3.7815045988e+03
6.9933279883e-04 4.0278402156e+03
7.4754346861e-04 4.2900038325e+03
7.9907773761e-04 4.5689693214e+03
8.5416465299e-04 4.8657587342e+03
9.1304921079e-04 5.1814437682e+03
9.7599311266e-04 5.5171428500e+03
1.0432762792e-03 5.8740207588e+03
1.1151977815e-03 6.2532832645e+03
1.1920774123e-03 6.6561728924e+03
1.2742570834e-03 7.0839609800e+03
1.3621019898e-03 7.5379352413e+03
1.4560027048e-03 8.0193882901e+03
1.5563768102e-03 8.5295992175e+03
1.6636705259e-03 9.0698101748e+03
1.7783609219e-03 9.6412004891e+03
1.9009577809e-03 1.0244853425e+04
2.0320063923e-03 1.0881722199e+04
2.1720889490e-03 1.1552584541e+04
2.3218288552e-03 1.2258008075e+04
2.4818913080e-03 1.2998296545e+04
2.6529883035e-03 1.3773458266e+04
2.8358804993e-03 1.4583163679e+04
3.0313807074e-03 1.5426717216e+04
3.2403585501e-03 1.6303042453e+04
3.4637427889e-03 1.7210666357e+04
3.7025266793e-03 1.8147724826e+04
3.9577721618e-03 1.9111968955e+04
4.2306133546e-03 2.0100771450e+04
4.5222640038e-03 2.1111145863e+04
4.8340205103e-03 2.2139743460e+04
5.1672691479e-03 2.3182856117e+04
5.5234907195e-03 2.4236399323e+04
5.9042698704e-03 2.5295897437e+04
6.3112992793e-03 2.6356441481e+04
6.7463885061e-03 2.7412649724e+04
7.2114723735e-03 2.8458615074e+04
7.7086174861e-03 2.9487837264e+04
8.2400357351e-03 3.0493157252e+04
8.8080884889e-03 3.1466656952e+04
9.4153014943e-03 3.2399562969e+04
1.0064374656e-02 3.3282120318e+04
1.0758194141e-02 3.4103454209e+04
1.1499843560e-02 3.4851426274e+04
1.2292621657e-02 3.5512519634e+04
1.3140052557e-02 3.6071788656e+04
1.4045902528e-02 3.6512972673e+04
1.5014201403e-02 3.6818885958e+04
1.6049252823e-02 3.6972221880e+04
1.7155658454e-02 3.6956908177e+04
1.8338337541e-02 3.6760028989e+04
1.9602548331e-02 3.6374136002e+04
2.0953910425e-02 3.5799480299e+04
2.2398434579e-02 3.5045452777e+04
2.3942541331e-02 3.4130536372e+04
2.5593094528e-02 3.3080436967e+04
2.7357434854e-02 3.1924744000e+04
2.9243405908e-02 3.0693075009e+04
3.1259391457e-02 2.9411803842e+04
3.3414356411e-02 2.8102135846e+04
3.5717882216e-02 2.6779683933e+04
3.8180205971e-02 2.5455180466e+04
4.0812276304e-02 2.4135755600e+04
4.3625798076e-02 2.2826300106e+04
4.6448644251e-02 2.1607254065e+04
4.9271490425e-02 2.0473828463e+04
5.2094336599e-02 1.9417983156e+04
5.4917182773e-02 1.8432809892e+04
5.7740028948e-02 1.7512328282e+04
6.0562875122e-02 1.6651296238e+04
6.3385717571e-02 1.5845064735e+04
6.6208563745e-02 1.5089465873e+04
6.9031409919e-02 1.4380729233e+04
7.1854256094e-02 1.3715423659e+04
7.4677102268e-02 1.3090413530e+04
7.7499948442e-02 1.2502820481e+04
8.0322794616e-02 1.1949998317e+04
8.3145640791e-02 1.1429510812e+04
8.5968486965e-02 1.0939110914e+04
8.8791333139e-02 1.0476725237e+04
9.1614179313e-02 1.0040439713e+04
9.5231682062e-02 9.5166784613e+03
9.8849177361e-02 9.0294847682e+03
1.0246667266e-01 8.5757783814e+03
1.0608417541e-01 8.1527712389e+03
1.0970167071e-01 7.7579402658e+03
1.1331916600e-01 7.3889957111e+03
1.1693666875e-01 7.0438602703e+03
1.2055416405e-01 6.7206496786e+03
1.2417165935e-01 6.4176493460e+03
1.2778915465e-01 6.1333001151e+03
1.3140666485e-01 5.8661811087e+03
1.3502416015e-01 5.6150003042e+03
1.3864165545e-01 5.3785756170e+03
1.4225915074e-01 5.1558283404e+03
1.4587664604e-01 4.9457721084e+03
1.4949414134e-01 4.7475040514e+03
1.5311165154e-01 4.5601960914e+03
1.5672914684e-01 4.3830908670e+03
1.6034664214e-01 4.2154907087e+03
1.6396413743e-01 4.0567550281e+03
1.6758163273e-01 3.9062943692e+03
1.7119912803e-01 3.7635657593e+03
1.7481663823e-01 3.6280679955e+03
1.7843413353e-01 3.4993400866e+03
1.8205162883e-01 3.3769545075e+03
1.8566912413e-01 3.2605164034e+03
1.8928661942e-01 3.1496602540e+03
1.9290411472e-01 3.0440473661e+03
1.9652162492e-01 2.9433632108e+03
2.0013912022e-01 2.8473170140e+03
2.0375661552e-01 2.7556374054e+03
2.0737411082e-01 2.6680724128e+03
2.1099160612e-01 2.5843875065e+03
2.1460910142e-01 2.5043642009e+03
2.1822661161e-01 2.4277984802e+03
2.2184410691e-01 2.3545008906e+03
2.2546160221e-01 2.2842935916e+03
2.2907909751e-01 2.2170106704e+03
2.3269659281e-01 2.1524969417e+03
2.3631410301e-01 2.0906068903e+03
2.3993159831e-01 2.0312049461e+03
2.4354909360e-01 1.9741632815e+03
2.4716658890e-01 1.9193622205e+03
2.5078409910e-01 1.8666891994e+03
2.5440159440e-01 1.8160391055e+03
2.5801908970e-01 1.7673124942e+03
2.6163658500e-01 1.7204160253e+03
2.6525408030e-01 1.6752618360e+03
2.6887157559e-01 1.6317671651e+03
2.7248907089e-01 1.5898540082e+03
2.7610656619e-01 1.5494487997e+03
2.7972406149e-01 1.5104821168e+03
2.8334155679e-01 1.4728884078e+03
2.8695905209e-01 1.4366057405e+03
2.9057657719e-01 1.4015752846e+03
2.9419407249e-01 1.3677422394e+03
2.9781156778e-01 1.3350539034e+03
3.0142906308e-01 1.3034606511e+03
3.0504655838e-01 1.2729154673e+03
3.0866405368e-01 1.2433737862e+03
3.1228154898e-01 1.2147933426e+03
3.1589904427e-01 1.1871340318e+03
3.1951653957e-01 1.1603577818e+03
3.2313403487e-01 1.1344284315e+03
3.2675153017e-01 1.1093116187e+03
3.3036902547e-01 1.0849746755e+03
3.3398655057e-01 1.0613863389e+03
3.3760404587e-01 1.0385174304e+03
3.4122154117e-01 1.0163396051e+03
3.4483903647e-01 9.9482605525e+02
3.4845653176e-01 9.7395123740e+02
3.5207402706e-01 9.5369080313e+02
3.5569152236e-01 9.3402153319e+02
3.5930901766e-01 9.1492127595e+02
3.6292651296e-01 8.9636889004e+02
3.6654400825e-01 8.7834419009e+02
3.7016150355e-01 8.6082789597e+02
3.7377902865e-01 8.4380144693e+02
3.7739652395e-01 8.2724751377e+02
3.8101401925e-01 8.1114911522e+02
3.8463151455e-01 7.9549014343e+02
3.8824900985e-01 7.8025518430e+02
3.9186650515e-01 7.6542948237e+02
3.9548400044e-01 7.5099890779e+02
3.9910149574e-01 7.3694992513e+02
4.0271899104e-01 7.2326956394e+02
4.0633648634e-01 7.0994539108e+02
4.0995398164e-01 6.9696548456e+02
4.1357147694e-01 6.8431840871e+02
4.1718900204e-01 6.7199309076e+02
4.2080649733e-01 6.5997920218e+02
4.2442399263e-01 6.4826652871e+02
4.2804148793e-01 6.3684535943e+02
4.3165898323e-01 6.2570636517e+02
4.3527647853e-01 6.1484058086e+02
4.3889397383e-01 6.0423938886e+02
4.4251146913e-01 5.9389450305e+02
4.4612896442e-01 5.8379795384e+02
4.4974645972e-01 5.7394207395e+02
4.5336395502e-01 5.6431948491e+02
4.5698148012e-01 5.5492300770e+02
4.6059897542e-01 5.4574595845e+02
4.6421647072e-01 5.3678167246e+02
4.6783396602e-01 5.2802380469e+02
4.7145146131e-01 5.1946624102e+02
4.7506895661e-01 5.1110308837e+02
4.7868645191e-01 5.0292866523e+02
4.8230394721e-01 4.9493749276e+02
4.8592144251e-01 4.8712428627e+02
4.8953893781e-01 4.7948394710e+02
4.9315643311e-01 4.7201155489e+02
4.9677392840e-01 4.6470236026e+02
5.0039142370e-01 4.5755177781e+02
5.0400894880e-01 4.5055532239e+02
5.0762641430e-01 4.4370888789e+02
5.1124393940e-01 4.3700811633e+02
5.1486140490e-01 4.3044923535e+02
5.1847893000e-01 4.2402816912e+02
5.2209645510e-01 4.1774129543e+02
5.2571392059e-01 4.1158510651e+02
5.2933144569e-01 4.0555590984e+02
5.3294891119e-01 3.9965052843e+02
5.3656643629e-01 3.9386550144e+02
5.4018390179e-01 3.8819785865e+02
5.4380142689e-01 3.8264435366e+02
5.4741889238e-01 3.7720220743e+02
5.5103641748e-01 3.7186837229e+02
5.5465388298e-01 3.6664024609e+02
5.5827140808e-01 3.6151496548e+02
5.6188893318e-01 3.5649001016e+02
5.6550639868e-01 3.5156293387e+02
5.6912392378e-01 3.4673112537e+02
5.7274138927e-01 3.4199236996e+02
5.7635891437e-01 3.3734420972e+02
5.7997637987e-01 3.3278456571e+02
6.2793356180e-01 2.7974241969e+02
7.6695966721e-01 1.7951007122e+02
9.3676644564e-01 1.1417992057e+02
1.1441689730e+00 7.2032735796e+01
1.3974907398e+00 4.5097179652e+01
1.7069003582e+00 2.8032838669e+01
2.0848126411e+00 1.7309762113e+01
2.5463953018e+00 1.0622229297e+01
3.1101737022e+00 6.4807515526e+00
3.7987737656e+00 3.9327402357e+00
4.6398367882e+00 2.3745911008e+00
5.6671080589e+00 1.4271284596e+00
