z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022445000000000007        0.67        0.14379164800000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0383857747e-06 4.9041233729e+01
7.5235852819e-06 5.2282309012e+01
8.0422332758e-06 5.5737586155e+01
8.5966339611e-06 5.9421208638e+01
9.1892534328e-06 6.3348274502e+01
9.8227255876e-06 6.7534864526e+01
1.0499867130e-05 7.1998129908e+01
1.1223687579e-05 7.6756345800e+01
1.1997405636e-05 8.1829005774e+01
1.2824461919e-05 8.7236891031e+01
1.3708530787e-05 9.3002132378e+01
1.4653544895e-05 9.9148354196e+01
1.5663705199e-05 1.0570072190e+02
1.6743500964e-05 1.1268605330e+02
1.7897735233e-05 1.2013296338e+02
1.9131535737e-05 1.2807191324e+02
2.0450392185e-05 1.3653542725e+02
2.1860163542e-05 1.4555811491e+02
2.3367121685e-05 1.5517692403e+02
2.4977962312e-05 1.6543118171e+02
2.6699846785e-05 1.7636283039e+02
2.8540433050e-05 1.8801659087e+02
3.0507902920e-05 2.0044009939e+02
3.2611002098e-05 2.1368412206e+02
3.4859080188e-05 2.2780276530e+02
3.7262132537e-05 2.4285369343e+02
3.9830840251e-05 2.5889833045e+02
4.2576630221e-05 2.7600218195e+02
4.5511700591e-05 2.9423493597e+02
4.8649104429e-05 3.1367092069e+02
5.2002786106e-05 3.3438926101e+02
5.5587661336e-05 3.5647429895e+02
5.9419664467e-05 3.8001580369e+02
6.3515828515e-05 4.0510937569e+02
6.7894368840e-05 4.3185686323e+02
7.2574752267e-05 4.6036667999e+02
7.7577780758e-05 4.9075420215e+02
8.2925696915e-05 5.2314228715e+02
8.8642278570e-05 5.5766171413e+02
9.4752940640e-05 5.9445165732e+02
1.0128484428e-04 6.3366019178e+02
1.0826704238e-04 6.7544500539e+02
1.1573055963e-04 7.1997370667e+02
1.2370858167e-04 7.6742477468e+02
1.3223658607e-04 8.1798814785e+02
1.4135247329e-04 8.7186580356e+02
1.5109677042e-04 9.2927275792e+02
1.6151281307e-04 9.9043792192e+02
1.7264689086e-04 1.0556047323e+03
1.8454850942e-04 1.1250324512e+03
1.9727057952e-04 1.1989970201e+03
2.1086966444e-04 1.2777922320e+03
2.2540622740e-04 1.3617308773e+03
2.4094486434e-04 1.4511457736e+03
2.5755469687e-04 1.5463916782e+03
2.7530954685e-04 1.6478458958e+03
2.9428832931e-04 1.7559100881e+03
3.1457544537e-04 1.8710120117e+03
3.3626108780e-04 1.9936066839e+03
3.5944164847e-04 2.1241780437e+03
3.8422018406e-04 2.2632408395e+03
4.1070685256e-04 2.4113422367e+03
4.3901943718e-04 2.5690637816e+03
4.6928375377e-04 2.7370225626e+03
5.0163437845e-04 2.9158739738e+03
5.3621520055e-04 3.1063132853e+03
5.7317980099e-04 3.3090760112e+03
6.1269267462e-04 3.5249426115e+03
6.5492937574e-04 3.7547369127e+03
7.0007768227e-04 3.9993296728e+03
7.4833841063e-04 4.2596396776e+03
7.9992599785e-04 4.5366329337e+03
8.5506984033e-04 4.8313251361e+03
9.1401510872e-04 5.1447803050e+03
9.7702385392e-04 5.4781097669e+03
1.0443761712e-03 5.8324699345e+03
1.1163714808e-03 6.2090588464e+03
1.1933299247e-03 6.6091110497e+03
1.2755935313e-03 7.0338885391e+03
1.3635280775e-03 7.4846720538e+03
1.4575244859e-03 7.9627460895e+03
1.5580008039e-03 8.4693824509e+03
1.6654033680e-03 9.0058147108e+03
1.7802099465e-03 9.5732172347e+03
1.9029309042e-03 1.0172668689e+04
2.0341116469e-03 1.0805116704e+04
2.1743357647e-03 1.1471341210e+04
2.3242260795e-03 1.2171904496e+04
2.4844494183e-03 1.2907117697e+04
2.6557180099e-03 1.3676992417e+04
2.8387929778e-03 1.4481206258e+04
3.0344885308e-03 1.5319077660e+04
3.2436747570e-03 1.6189542832e+04
3.4672813490e-03 1.7091146088e+04
3.7063024938e-03 1.8022043114e+04
3.9618010633e-03 1.8980007058e+04
4.2349123396e-03 1.9962435609e+04
4.5268512331e-03 2.0966369069e+04
4.8389150761e-03 2.1988486466e+04
5.1724915393e-03 2.3025110771e+04
5.5290632881e-03 2.4072191687e+04
5.9102158993e-03 2.5125286957e+04
6.3176439144e-03 2.6179526044e+04
6.7531582899e-03 2.7229567073e+04
7.2186952457e-03 2.8269546175e+04
7.7163246460e-03 2.9293013994e+04
8.2482593134e-03 3.0292861617e+04
8.8168624788e-03 3.1261228576e+04
9.4246631488e-03 3.2189407401e+04
1.0074364021e-02 3.3067714971e+04
1.0768852197e-02 3.3885354521e+04
1.1511215940e-02 3.4630279991e+04
1.2304755859e-02 3.5289074156e+04
1.3152998872e-02 3.5846903493e+04
1.4059716836e-02 3.6287630989e+04
1.5028940514e-02 3.6594198741e+04
1.6064977273e-02 3.6749429511e+04
1.7172437161e-02 3.6737367472e+04
1.8356239423e-02 3.6545182401e+04
1.9621647894e-02 3.6165460341e+04
2.0974289626e-02 3.5598412070e+04
2.2420179099e-02 3.4853301676e+04
2.3965740576e-02 3.3948398164e+04
2.5617847219e-02 3.2909120909e+04
2.7383843437e-02 3.1764741286e+04
2.9271582142e-02 3.0544561358e+04
3.1289454550e-02 2.9274682375e+04
3.3446431160e-02 2.7976101125e+04
3.5752099007e-02 2.6664289263e+04
3.8216713816e-02 2.5349890288e+04
4.0851227939e-02 2.4039999071e+04
4.3667357415e-02 2.2739496525e+04
4.6492893249e-02 2.1528314827e+04
4.9318429083e-02 2.0401837687e+04
5.2143961191e-02 1.9352163677e+04
5.4969497025e-02 1.8372493226e+04
5.7795032859e-02 1.7456938412e+04
6.0620568693e-02 1.6600332290e+04
6.3446104526e-02 1.5798087491e+04
6.6271640360e-02 1.5046091053e+04
6.9097176194e-02 1.4340616418e+04
7.1922704577e-02 1.3678272674e+04
7.4748240411e-02 1.3055953998e+04
7.7573776245e-02 1.2470812751e+04
8.0399312079e-02 1.1920227987e+04
8.3224847913e-02 1.1401785614e+04
8.6050383747e-02 1.0913258059e+04
8.8875919581e-02 1.0452589134e+04
9.1701455414e-02 1.0017879995e+04
9.5323421061e-02 9.4958139322e+03
9.8945386708e-02 9.0101504574e+03
1.0256735236e-01 8.5578294953e+03
1.0618931800e-01 8.1360803173e+03
1.0981128365e-01 7.7423924285e+03
1.1343324929e-01 7.3744894487e+03
