z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022445000000000007        0.67        0.14379164800000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0383857747e-06 5.0376965995e+01
7.5235852819e-06 5.3706343774e+01
8.0422332758e-06 5.7255769713e+01
8.5966339611e-06 6.1039782225e+01
9.1892534328e-06 6.5073851575e+01
9.8227255876e-06 6.9374538407e+01
1.0499867130e-05 7.3959466679e+01
1.1223687579e-05 7.8847389399e+01
1.1997405636e-05 8.4058343282e+01
1.2824461919e-05 8.9613695157e+01
1.3708530787e-05 9.5536180625e+01
1.4653544895e-05 1.0185007420e+02
1.5663705199e-05 1.0858124343e+02
1.6743500964e-05 1.1575725716e+02
1.7897735233e-05 1.2340748608e+02
1.9131535737e-05 1.3156331152e+02
2.0450392185e-05 1.4025816408e+02
2.1860163542e-05 1.4952754689e+02
2.3367121685e-05 1.5940958461e+02
2.4977962312e-05 1.6994458267e+02
2.6699846785e-05 1.8117586245e+02
2.8540433050e-05 1.9314926635e+02
3.0507902920e-05 2.0591396204e+02
3.2611002098e-05 2.1952207128e+02
3.4859080188e-05 2.3402948964e+02
3.7262132537e-05 2.4949551526e+02
3.9830840251e-05 2.6598345213e+02
4.2576630221e-05 2.8356088838e+02
4.5511700591e-05 3.0229966544e+02
4.8649104429e-05 3.2227658943e+02
5.2002786106e-05 3.4357326107e+02
5.5587661336e-05 3.6627694175e+02
5.9419664467e-05 3.9048046080e+02
6.3515828515e-05 4.1628277222e+02
6.7894368840e-05 4.4378944964e+02
7.2574752267e-05 4.7311287189e+02
7.7577780758e-05 5.0437281076e+02
8.2925696915e-05 5.3769701868e+02
8.8642278570e-05 5.7322147621e+02
9.4752940640e-05 6.1109138189e+02
1.0128484428e-04 6.5146078102e+02
1.0826704238e-04 6.9449435980e+02
1.1573055963e-04 7.4036756904e+02
1.2370858167e-04 7.8926699535e+02
1.3223658607e-04 8.4139122726e+02
1.4135247329e-04 8.9695203068e+02
1.5109677042e-04 9.5617478194e+02
1.6151281307e-04 1.0192993958e+03
1.7264689086e-04 1.0865809440e+03
1.8454850942e-04 1.1582910785e+03
1.9727057952e-04 1.2347187115e+03
2.1086966444e-04 1.3161704487e+03
2.2540622740e-04 1.4029730644e+03
2.4094486434e-04 1.4954731295e+03
2.5755469687e-04 1.5940387442e+03
2.7530954685e-04 1.6990608990e+03
2.9428832931e-04 1.8109537223e+03
3.1457544537e-04 1.9301569545e+03
3.3626108780e-04 2.0571359487e+03
3.5944164847e-04 2.1923830311e+03
3.8422018406e-04 2.3364189864e+03
4.1070685256e-04 2.4897941707e+03
4.3901943718e-04 2.6530888832e+03
4.6928375377e-04 2.8269148510e+03
5.0163437845e-04 3.0119159710e+03
5.3621520055e-04 3.2087690527e+03
5.7317980099e-04 3.4181833233e+03
6.1269267462e-04 3.6409031494e+03
6.5492937574e-04 3.8777050680e+03
7.0007768227e-04 4.1293997657e+03
7.4833841063e-04 4.3968333163e+03
7.9992599785e-04 4.6808804991e+03
8.5506984033e-04 4.9824524706e+03
9.1401510872e-04 5.3024866181e+03
9.7702385392e-04 5.6419490346e+03
1.0443761712e-03 6.0018310543e+03
1.1163714808e-03 6.3831447983e+03
1.1933299247e-03 6.7869162453e+03
1.2755935313e-03 7.2141792931e+03
1.3635280775e-03 7.6659703141e+03
1.4575244859e-03 8.1433128125e+03
1.5580008039e-03 8.6472154448e+03
1.6654033680e-03 9.1786438091e+03
1.7802099465e-03 9.7385234146e+03
1.9029309042e-03 1.0327711471e+04
2.0341116469e-03 1.0946995898e+04
2.1743357647e-03 1.1597065631e+04
2.3242260795e-03 1.2278490824e+04
2.4844494183e-03 1.2991709979e+04
2.6557180099e-03 1.3736996296e+04
2.8387929778e-03 1.4514434900e+04
3.0344885308e-03 1.5323906021e+04
3.2436747570e-03 1.6165039454e+04
3.4672813490e-03 1.7037196747e+04
3.7063024938e-03 1.7939404878e+04
3.9618010633e-03 1.8870348337e+04
4.2349123396e-03 1.9828300827e+04
4.5268512331e-03 2.0811112394e+04
4.8389150761e-03 2.1817149788e+04
5.1724915393e-03 2.2841214318e+04
5.5290632881e-03 2.3880546286e+04
5.9102158993e-03 2.4930814110e+04
6.3176439144e-03 2.5986379608e+04
6.7531582899e-03 2.7042598407e+04
7.2186952457e-03 2.8092494047e+04
7.7163246460e-03 2.9128977229e+04
8.2482593134e-03 3.0143414484e+04
8.8168624788e-03 3.1126788286e+04
9.4246631488e-03 3.2069358516e+04
1.0074364021e-02 3.2960274445e+04
1.0768852197e-02 3.3787887526e+04
1.1511215940e-02 3.4539496010e+04
1.2304755859e-02 3.5201717134e+04
1.3152998872e-02 3.5760538591e+04
1.4059716836e-02 3.6201449187e+04
1.5028940514e-02 3.6509834787e+04
1.6064977273e-02 3.6671346533e+04
1.7172437161e-02 3.6672340342e+04
1.8356239423e-02 3.6500530203e+04
1.9621647894e-02 3.6145847367e+04
2.0974289626e-02 3.5601351011e+04
2.2420179099e-02 3.4864289353e+04
2.3965740576e-02 3.3937247881e+04
2.5617847219e-02 3.2829248080e+04
2.7383843437e-02 3.1556630387e+04
2.9271582142e-02 3.0143640170e+04
3.1289454550e-02 2.8622497029e+04
3.3446431160e-02 2.7032606867e+04
3.5752099007e-02 2.5419005853e+04
3.8216713816e-02 2.3829624474e+04
4.0851227939e-02 2.2311625094e+04
4.3667357415e-02 2.0906975349e+04
4.6492893249e-02 1.9717845512e+04
4.9318429083e-02 1.8728934493e+04
5.2143961191e-02 1.7910398331e+04
5.4969497025e-02 1.7226996410e+04
5.7795032859e-02 1.6641706380e+04
6.0620568693e-02 1.6118269070e+04
6.3446104526e-02 1.5623870972e+04
6.6271640360e-02 1.5131147698e+04
6.9097176194e-02 1.4620251780e+04
7.1922704577e-02 1.4077673752e+04
7.4748240411e-02 1.3498103073e+04
7.7573776245e-02 1.2886559268e+04
8.0399312079e-02 1.2249328871e+04
8.3224847913e-02 1.1598912690e+04
8.6050383747e-02 1.0952032252e+04
8.8875919581e-02 1.0326347458e+04
9.1701455414e-02 9.7360666084e+03
9.5323421061e-02 9.0459069847e+03
9.8945386708e-02 8.4430352503e+03
1.0256735236e-01 7.9369059518e+03
1.0618931800e-01 7.5269682380e+03
1.0981128365e-01 7.2011202100e+03
1.1343324929e-01 6.9423389331e+03
1.1705521494e-01 6.7328318641e+03
1.2067718059e-01 6.5533652396e+03
1.2429914624e-01 6.3847310319e+03
1.2792110443e-01 6.2112084530e+03
1.3154308498e-01 6.0218111644e+03
1.3516505063e-01 5.8089272242e+03
1.3878701627e-01 5.5721968222e+03
1.4240898192e-01 5.3171725186e+03
1.4603094757e-01 5.0526357623e+03
1.4965291321e-01 4.7878267975e+03
1.5327487886e-01 4.5319428096e+03
1.5689684451e-01 4.2937578240e+03
1.6051881015e-01 4.0801211034e+03
1.6414077580e-01 3.8946968228e+03
1.6776274145e-01 3.7380462268e+03
1.7138470709e-01 3.6083435383e+03
1.7500667274e-01 3.5018740999e+03
1.7862863839e-01 3.4133892352e+03
1.8225060403e-01 3.3367857802e+03
1.8587256968e-01 3.2660320877e+03
1.8949453533e-01 3.1958505282e+03
1.9311650097e-01 3.1220312722e+03
1.9673846662e-01 3.0416785152e+03
2.0036043227e-01 2.9535393553e+03
2.0398239791e-01 2.8581161413e+03
2.0760436356e-01 2.7572982480e+03
2.1122632921e-01 2.6537854897e+03
2.1484829485e-01 2.5506483793e+03
2.1847026050e-01 2.4509782164e+03
2.2209222615e-01 2.3574391807e+03
2.2571419179e-01 2.2719372271e+03
2.2933615744e-01 2.1955658919e+03
2.3295812309e-01 2.1285902071e+03
2.3658008873e-01 2.0703905270e+03
2.4020205438e-01 2.0196703965e+03
2.4382402003e-01 1.9748522430e+03
2.4744598568e-01 1.9342058097e+03
2.5106793642e-01 1.8957992820e+03
2.5468990207e-01 1.8577728564e+03
2.5831186771e-01 1.8187807089e+03
2.6193383336e-01 1.7780793391e+03
2.6555579901e-01 1.7353500152e+03
2.6917776465e-01 1.6906558404e+03
2.7279973030e-01 1.6444713235e+03
2.7642169595e-01 1.5975826525e+03
2.8004366159e-01 1.5509340200e+03
2.8366562724e-01 1.5055147804e+03
2.8728759289e-01 1.4622046625e+03
2.9090955854e-01 1.4216251678e+03
2.9453155398e-01 1.3841194030e+03
2.9815351963e-01 1.3498020668e+03
3.0177548528e-01 1.3185666267e+03
3.0539745092e-01 1.2900847001e+03
3.0901941657e-01 1.2638543098e+03
3.1264138222e-01 1.2392819172e+03
3.1626334786e-01 1.2157695295e+03
3.1988531351e-01 1.1927852265e+03
3.2350727916e-01 1.1698914948e+03
3.2712924480e-01 1.1467670044e+03
3.3075121045e-01 1.1232471929e+03
3.3437317610e-01 1.0993320602e+03
3.3799514175e-01 1.0751386562e+03
3.4161710739e-01 1.0508694050e+03
3.4523907304e-01 1.0268017737e+03
3.4886103869e-01 1.0032377902e+03
3.5248300433e-01 9.8043326856e+02
3.5610496998e-01 9.5858191007e+02
3.5972693563e-01 9.3783120225e+02
3.6334890127e-01 9.1826491109e+02
3.6697086692e-01 8.9987214826e+02
3.7059283256e-01 8.8255850687e+02
3.7421479821e-01 8.6617668496e+02
3.7783676386e-01 8.5054733418e+02
3.8145872951e-01 8.3548770359e+02
3.8508069515e-01 8.2083162224e+02
3.8870266080e-01 8.0643550007e+02
3.9232462645e-01 7.9217226519e+02
3.9594659209e-01 7.7795369727e+02
3.9956855774e-01 7.6375214238e+02
4.0319052339e-01 7.4959698668e+02
4.0681248903e-01 7.3554502278e+02
4.1043445468e-01 7.2166090022e+02
4.1405642033e-01 7.0801477457e+02
4.1767838597e-01 6.9468434902e+02
4.2130035162e-01 6.8174602756e+02
4.2492231727e-01 6.6925740705e+02
4.2854428291e-01 6.5724583208e+02
4.3216624856e-01 6.4571068401e+02
4.3578821421e-01 6.3463080479e+02
4.3941017985e-01 6.2397124037e+02
4.4303214550e-01 6.1368645768e+02
4.4665411115e-01 6.0372244805e+02
4.5027607679e-01 5.9401957307e+02
4.5389804244e-01 5.8451986468e+02
4.5752000809e-01 5.7517791354e+02
4.6114197373e-01 5.6596618946e+02
4.6476393938e-01 5.5687052522e+02
4.6838590503e-01 5.4788442494e+02
4.7200787067e-01 5.3900968271e+02
4.7562983632e-01 5.3025898099e+02
4.7925180197e-01 5.2165267354e+02
4.8287376761e-01 5.1321566128e+02
4.8649573326e-01 5.0497092726e+02
4.9011769891e-01 4.9693468027e+02
4.9373966456e-01 4.8911388019e+02
4.9736163020e-01 4.8150933126e+02
5.0098359585e-01 4.7412010552e+02
5.0460553169e-01 4.6694227449e+02
5.0822752714e-01 4.5996327945e+02
5.1184946299e-01 4.5316230264e+02
5.1547145843e-01 4.4651744364e+02
5.1909339428e-01 4.4001066864e+02
5.2271538973e-01 4.3362901678e+02
5.2633732557e-01 4.2736172346e+02
5.2995932102e-01 4.2119836432e+02
5.3358125687e-01 4.1512990700e+02
5.3720325232e-01 4.0915245396e+02
5.4082518816e-01 4.0326888194e+02
5.4444718361e-01 3.9748543938e+02
5.4806911945e-01 3.9180723018e+02
5.5169111490e-01 3.8623700737e+02
5.5531305075e-01 3.8077647224e+02
5.5893504620e-01 3.7542893461e+02
5.6255698204e-01 3.7019866319e+02
5.6617897749e-01 3.6508674065e+02
5.6980091333e-01 3.6008926944e+02
5.7342290878e-01 3.5520015581e+02
5.7704484463e-01 3.5041315133e+02
5.8066684008e-01 3.4572401821e+02
6.2868112326e-01 2.9083393056e+02
7.6787275076e-01 1.8677100163e+02
9.3788164854e-01 1.1874971881e+02
1.1455310583e+00 7.4825267840e+01
1.3991544247e+00 4.6763060648e+01
1.7089323998e+00 2.9007729896e+01
2.0872945785e+00 1.7871232063e+01
2.5494267940e+00 1.0941641532e+01
3.1138763428e+00 6.6606907894e+00
3.8032960892e+00 4.0333591041e+00
4.6453599930e+00 2.4305428104e+00
5.6738543510e+00 1.4581194515e+00
