z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.4220000000e+00        0.022445000000000007        0.67        0.14379164800000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0383857747e-06 4.8996859753e+01
7.5235852819e-06 5.2235002428e+01
8.0422332758e-06 5.5687153149e+01
8.5966339611e-06 5.9367442599e+01
9.1892534328e-06 6.3290955161e+01
9.8227255876e-06 6.7473757062e+01
1.0499867130e-05 7.1932983984e+01
1.1223687579e-05 7.6686894545e+01
1.1997405636e-05 8.1754964680e+01
1.2824461919e-05 8.7157956789e+01
1.3708530787e-05 9.2917981659e+01
1.4653544895e-05 9.9058642297e+01
1.5663705199e-05 1.0560508135e+02
1.6743500964e-05 1.1258409238e+02
1.7897735233e-05 1.2002426446e+02
1.9131535737e-05 1.2795603116e+02
2.0450392185e-05 1.3641188743e+02
2.1860163542e-05 1.4542641144e+02
2.3367121685e-05 1.5503651761e+02
2.4977962312e-05 1.6528149747e+02
2.6699846785e-05 1.7620325552e+02
2.8540433050e-05 1.8784647212e+02
3.0507902920e-05 2.0025874045e+02
3.2611002098e-05 2.1349078072e+02
3.4859080188e-05 2.2759665044e+02
3.7262132537e-05 2.4263396180e+02
3.9830840251e-05 2.5866408330e+02
4.2576630221e-05 2.7575246134e+02
4.5511700591e-05 2.9396872101e+02
4.8649104429e-05 3.1338712334e+02
5.2002786106e-05 3.3408672182e+02
5.5587661336e-05 3.5615178229e+02
5.9419664467e-05 3.7967199296e+02
6.3515828515e-05 4.0474286804e+02
6.7894368840e-05 4.3146616396e+02
7.2574752267e-05 4.5995019672e+02
7.7577780758e-05 4.9031023856e+02
8.2925696915e-05 5.2266903630e+02
8.8642278570e-05 5.5715725145e+02
9.4752940640e-05 5.9391393312e+02
1.0128484428e-04 6.3308702336e+02
1.0826704238e-04 6.7483406857e+02
1.1573055963e-04 7.1932252700e+02
1.2370858167e-04 7.6673071792e+02
1.3223658607e-04 8.1724840991e+02
1.4135247329e-04 8.7107740001e+02
1.5109677042e-04 9.2843251264e+02
1.6151281307e-04 9.8954245507e+02
1.7264689086e-04 1.0546504478e+03
1.8454850942e-04 1.1240155232e+03
1.9727057952e-04 1.1979133787e+03
2.1086966444e-04 1.2766375482e+03
2.2540622740e-04 1.3605005469e+03
2.4094486434e-04 1.4498349007e+03
2.5755469687e-04 1.5449950568e+03
2.7530954685e-04 1.6463579912e+03
2.9428832931e-04 1.7543250176e+03
3.1457544537e-04 1.8693235231e+03
3.3626108780e-04 1.9918081343e+03
3.5944164847e-04 2.1222623764e+03
3.8422018406e-04 2.2612005610e+03
4.1070685256e-04 2.4091693918e+03
4.3901943718e-04 2.5667499278e+03
4.6928375377e-04 2.7345587451e+03
5.0163437845e-04 2.9132506983e+03
5.3621520055e-04 3.1035204909e+03
5.7317980099e-04 3.3061030444e+03
6.1269267462e-04 3.5217781979e+03
6.5492937574e-04 3.7513691317e+03
7.0007768227e-04 3.9957459317e+03
7.4833841063e-04 4.2558266872e+03
