z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.5660000000e+00        0.022445000000000007        0.67        0.14379164800000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0383857747e-06 5.0282775630e+01
7.5235852819e-06 5.3605935284e+01
8.0422332758e-06 5.7148733091e+01
8.5966339611e-06 6.0925640641e+01
9.1892534328e-06 6.4952184683e+01
9.8227255876e-06 6.9244836698e+01
1.0499867130e-05 7.3821178534e+01
1.1223687579e-05 7.8699963757e+01
1.1997405636e-05 8.3901172854e+01
1.2824461919e-05 8.9446154338e+01
1.3708530787e-05 9.5357551127e+01
1.4653544895e-05 1.0165965636e+02
1.5663705199e-05 1.0837823547e+02
1.6743500964e-05 1.1554082069e+02
1.7897735233e-05 1.2317679075e+02
1.9131535737e-05 1.3131738319e+02
2.0450392185e-05 1.3999594587e+02
2.1860163542e-05 1.4924803508e+02
2.3367121685e-05 1.5911158739e+02
2.4977962312e-05 1.6962693185e+02
2.6699846785e-05 1.8083719491e+02
2.8540433050e-05 1.9278825133e+02
3.0507902920e-05 2.0552907999e+02
3.2611002098e-05 2.1911187433e+02
3.4859080188e-05 2.3359215275e+02
3.7262132537e-05 2.4902933526e+02
3.9830840251e-05 2.6548651041e+02
4.2576630221e-05 2.8303118366e+02
4.5511700591e-05 3.0173500748e+02
4.8649104429e-05 3.2167476291e+02
5.2002786106e-05 3.4293177060e+02
5.5587661336e-05 3.6559324044e+02
5.9419664467e-05 3.8975173173e+02
6.3515828515e-05 4.1550608562e+02
6.7894368840e-05 4.4296169506e+02
7.2574752267e-05 4.7223075015e+02
7.7577780758e-05 5.0343280257e+02
8.2925696915e-05 5.3669530538e+02
8.8642278570e-05 5.7215425105e+02
9.4752940640e-05 6.0995426963e+02
1.0128484428e-04 6.5024921762e+02
1.0826704238e-04 6.9320399387e+02
1.1573055963e-04 7.3899321450e+02
1.2370858167e-04 7.8780317592e+02
1.3223658607e-04 8.3983239478e+02
1.4135247329e-04 8.9529288388e+02
1.5109677042e-04 9.5440853265e+02
1.6151281307e-04 1.0174197205e+03
1.7264689086e-04 1.0845812553e+03
1.8454850942e-04 1.1561641405e+03
1.9727057952e-04 1.2324569491e+03
2.1086966444e-04 1.3137666089e+03
2.2540622740e-04 1.4004189915e+03
2.4094486434e-04 1.4927606789e+03
2.5755469687e-04 1.5911596506e+03
2.7530954685e-04 1.6960070508e+03
2.9428832931e-04 1.8077160099e+03
3.1457544537e-04 1.9267266509e+03
3.3626108780e-04 2.0535048129e+03
3.5944164847e-04 2.1885424442e+03
3.8422018406e-04 2.3323611356e+03
4.1070685256e-04 2.4855115314e+03
4.3901943718e-04 2.6485739185e+03
4.6928375377e-04 2.8221605822e+03
5.0163437845e-04 3.0069161983e+03
5.3621520055e-04 3.2035194041e+03
5.7317980099e-04 3.4126774980e+03
6.1269267462e-04 3.6351378251e+03
6.5492937574e-04 3.8716750173e+03
7.0007768227e-04 4.1231021831e+03
7.4833841063e-04 4.3902618770e+03
7.9992599785e-04 4.6740323817e+03
8.5506984033e-04 4.9753171073e+03
9.1401510872e-04 5.2950551921e+03
9.7702385392e-04 5.6342069756e+03
1.0443761712e-03 5.9937598877e+03
1.1163714808e-03 6.3747209894e+03
1.1933299247e-03 6.7781146164e+03
1.2755935313e-03 7.2049702089e+03
1.3635280775e-03 7.6563195626e+03
1.4575244859e-03 8.1331921172e+03
1.5580008039e-03 8.6365890444e+03
1.6654033680e-03 9.1674840328e+03
1.7802099465e-03 9.7268036567e+03
1.9029309042e-03 1.0315410887e+04
2.0341116469e-03 1.0934082318e+04
2.1743357647e-03 1.1583512096e+04
2.3242260795e-03 1.2264267160e+04
2.4844494183e-03 1.2976784882e+04
2.6557180099e-03 1.3721344807e+04
2.8387929778e-03 1.4498040377e+04
3.0344885308e-03 1.5306746739e+04
3.2436747570e-03 1.6147094836e+04
3.4672813490e-03 1.7018448627e+04
3.7063024938e-03 1.7919846989e+04
3.9618010633e-03 1.8849972301e+04
4.2349123396e-03 1.9807119038e+04
4.5268512331e-03 2.0789119958e+04
4.8389150761e-03 2.1794373186e+04
5.1724915393e-03 2.2817660067e+04
5.5290632881e-03 2.3856257413e+04
5.9102158993e-03 2.4905799331e+04
6.3176439144e-03 2.5960702818e+04
6.7531582899e-03 2.7016305161e+04
7.2186952457e-03 2.8065649201e+04
7.7163246460e-03 2.9101663132e+04
8.2482593134e-03 3.0115718817e+04
8.8168624788e-03 3.1098792365e+04
9.4246631488e-03 3.2041168876e+04
1.0074364021e-02 3.2931996437e+04
1.0768852197e-02 3.3759650462e+04
1.1511215940e-02 3.4511432172e+04
1.2304755859e-02 3.5173967482e+04
1.3152998872e-02 3.5733225858e+04
1.4059716836e-02 3.6174715046e+04
1.5028940514e-02 3.6483832859e+04
1.6064977273e-02 3.6646203260e+04
1.7172437161e-02 3.6648207174e+04
1.8356239423e-02 3.6477525871e+04
1.9621647894e-02 3.6124070683e+04
2.0974289626e-02 3.5580912717e+04
2.2420179099e-02 3.4845275390e+04
2.3965740576e-02 3.3919712279e+04
2.5617847219e-02 3.2813228433e+04
2.7383843437e-02 3.1542128420e+04
2.9271582142e-02 3.0130650801e+04
3.1289454550e-02 2.8610961845e+04
3.3446431160e-02 2.7022461385e+04
3.5752099007e-02 2.5410157383e+04
3.8216713816e-02 2.3821958452e+04
4.0851227939e-02 2.2305031945e+04
4.3667357415e-02 2.0901321847e+04
4.6492893249e-02 1.9712974359e+04
4.9318429083e-02 1.8724701001e+04
5.2143961191e-02 1.7906689632e+04
5.4969497025e-02 1.7223735132e+04
5.7795032859e-02 1.6638824777e+04
6.0620568693e-02 1.6115716940e+04
6.3446104526e-02 1.5621610885e+04
6.6271640360e-02 1.5129150678e+04
6.9097176194e-02 1.4618496631e+04
7.1922704577e-02 1.4076134891e+04
7.4748240411e-02 1.3496766708e+04
7.7573776245e-02 1.2885404221e+04
8.0399312079e-02 1.2248337931e+04
8.3224847913e-02 1.1598068739e+04
8.6050383747e-02 1.0951320530e+04
8.8875919581e-02 1.0325751615e+04
9.1701455414e-02 9.7355684232e+03
9.5323421061e-02 9.0455169910e+03
9.8945386708e-02 8.4427355269e+03
1.0256735236e-01 7.9366782315e+03
1.0618931800e-01 7.5268025092e+03
1.0981128365e-01 7.2010039990e+03
1.1343324929e-01 6.9422651397e+03
1.1705521494e-01 6.7327957011e+03
1.2067718059e-01 6.5533610175e+03
1.2429914624e-01 6.3847566548e+03
1.2792110443e-01 6.2112579373e+03
1.3154308498e-01 6.0218425545e+03
1.3516505063e-01 5.8089809110e+03
1.3878701627e-01 5.5722693971e+03
1.4240898192e-01 5.3172607854e+03
1.4603094757e-01 5.0527339764e+03
1.4965291321e-01 4.7879350844e+03
1.5327487886e-01 4.5320576128e+03
1.5689684451e-01 4.2938784992e+03
1.6051881015e-01 4.0802469350e+03
1.6414077580e-01 3.8948268158e+03
1.6776274145e-01 3.7381787976e+03
1.7138470709e-01 3.6084803555e+03
1.7500667274e-01 3.5020138057e+03
1.7862863839e-01 3.4135318311e+03
1.8225060403e-01 3.3369323891e+03
1.8587256968e-01 3.2661819486e+03
1.8949453533e-01 3.1960023723e+03
1.9311650097e-01 3.1221844205e+03
1.9673846662e-01 3.0418327445e+03
2.0036043227e-01 2.9536939166e+03
2.0398239791e-01 2.8582697005e+03
2.0760436356e-01 2.7574505436e+03
2.1122632921e-01 2.6539352905e+03
2.1484829485e-01 2.5507955750e+03
2.1847026050e-01 2.4511228578e+03
2.2209222615e-01 2.3575816294e+03
2.2571419179e-01 2.2720770606e+03
2.2933615744e-01 2.1957029804e+03
2.3295812309e-01 2.1287255827e+03
2.3658008873e-01 2.0705243373e+03
2.4020205438e-01 2.0198028252e+03
2.4382402003e-01 1.9749837104e+03
2.4744598568e-01 1.9343365365e+03
2.5106793642e-01 1.8959288460e+03
2.5468990207e-01 1.8579012082e+03
2.5831186771e-01 1.8189083231e+03
2.6193383336e-01 1.7782053977e+03
2.6555579901e-01 1.7354746090e+03
2.6917776465e-01 1.6907781868e+03
2.7279973030e-01 1.6445913931e+03
2.7642169595e-01 1.5977005402e+03
2.8004366159e-01 1.5510493795e+03
2.8366562724e-01 1.5056278932e+03
2.8728759289e-01 1.4623152471e+03
2.9090955854e-01 1.4217337383e+03
2.9453155398e-01 1.3842258263e+03
2.9815351963e-01 1.3499067439e+03
3.0177548528e-01 1.3186698959e+03
3.0539745092e-01 1.2901859753e+03
3.0901941657e-01 1.2639542981e+03
3.1264138222e-01 1.2393804433e+03
3.1626334786e-01 1.2158670451e+03
3.1988531351e-01 1.1928812251e+03
3.2350727916e-01 1.1699862958e+03
3.2712924480e-01 1.1468605081e+03
3.3075121045e-01 1.1233392576e+03
3.3437317610e-01 1.0994227407e+03
3.3799514175e-01 1.0752275643e+03
3.4161710739e-01 1.0509568093e+03
3.4523907304e-01 1.0268876628e+03
3.4886103869e-01 1.0033221448e+03
3.5248300433e-01 9.8051594676e+02
3.5610496998e-01 9.5866302114e+02
3.5972693563e-01 9.3791099164e+02
3.6334890127e-01 9.1834328925e+02
3.6697086692e-01 8.9994911700e+02
3.7059283256e-01 8.8263454145e+02
3.7421479821e-01 8.6625134993e+02
3.7783676386e-01 8.5062119650e+02
3.8145872951e-01 8.3556043487e+02
3.8508069515e-01 8.2090333189e+02
3.8870266080e-01 8.0650614090e+02
3.9232462645e-01 7.9224194868e+02
3.9594659209e-01 7.7802217119e+02
3.9956855774e-01 7.6381971789e+02
4.0319052339e-01 7.4966349516e+02
4.0681248903e-01 7.3561062868e+02
4.1043445468e-01 7.2172531121e+02
