z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022445000000000007        0.67        0.14393529600000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0411724664e-06 4.8907398755e+01
7.5265597843e-06 5.2139600489e+01
8.0454074123e-06 5.5585410254e+01
8.6000218289e-06 5.9258942011e+01
9.1928695838e-06 6.3175249160e+01
9.8265845736e-06 6.7350361762e+01
1.0503986232e-05 7.1801394880e+01
1.1228084077e-05 7.6546565994e+01
1.2002097719e-05 8.1605313156e+01
1.2829469597e-05 8.6998363910e+01
1.3713875887e-05 9.2747791087e+01
1.4659249246e-05 9.8877144552e+01
1.5669793356e-05 1.0541152804e+02
1.6749998394e-05 1.1237768064e+02
1.7904669221e-05 1.1980413883e+02
1.9138937205e-05 1.2772129099e+02
2.0458292056e-05 1.3616155887e+02
2.1868594558e-05 1.4515945446e+02
2.3376118406e-05 1.5475182070e+02
2.4987564757e-05 1.6497789534e+02
2.6710096790e-05 1.7587950000e+02
2.8551370633e-05 1.8750120296e+02
3.0519575375e-05 1.9989053619e+02
3.2623458537e-05 2.1309811714e+02
3.4872377000e-05 2.2717792716e+02
3.7276324292e-05 2.4218743723e+02
3.9845985157e-05 2.5818790046e+02
4.2592790123e-05 2.7524463857e+02
4.5528948249e-05 2.9342718754e+02
4.8667512601e-05 3.1280964101e+02
5.2022434829e-05 3.3347091923e+02
5.5608630646e-05 3.5549509825e+02
5.9442041675e-05 3.7897170895e+02
6.3539715484e-05 4.0399613932e+02
6.7919856519e-05 4.3066984989e+02
7.2601949796e-05 4.5910102357e+02
7.7606804552e-05 4.8940471694e+02
8.2956677943e-05 5.2170348807e+02
8.8675340521e-05 5.5612766009e+02
9.4788221759e-05 5.9281605664e+02
1.0132250463e-04 6.3191641725e+02
1.0830722749e-04 6.7358584646e+02
1.1577344412e-04 7.1799159933e+02
1.2375434744e-04 7.6531163686e+02
1.3228542230e-04 8.1573534386e+02
