z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.5400000000e-01        0.022445000000000007        0.67        0.14393529600000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0411724664e-06 5.0249306614e+01
7.5265597843e-06 5.3570235546e+01
8.0454074123e-06 5.7110625897e+01
8.6000218289e-06 6.0884985226e+01
9.1928695838e-06 6.4908812454e+01
9.8265845736e-06 6.9198552970e+01
1.0503986232e-05 7.3771793168e+01
1.1228084077e-05 7.8647267924e+01
1.2002097719e-05 8.3844961605e+01
1.2829469597e-05 8.9386145478e+01
1.3713875887e-05 9.5293542315e+01
1.4659249246e-05 1.0159134884e+02
1.5669793356e-05 1.0830534795e+02
1.6749998394e-05 1.1546303592e+02
1.7904669221e-05 1.2309377203e+02
1.9138937205e-05 1.3122878608e+02
2.0458292056e-05 1.3990141776e+02
2.1868594558e-05 1.4914718402e+02
2.3376118406e-05 1.5900394368e+02
2.4987564757e-05 1.6951209944e+02
2.6710096790e-05 1.8071464274e+02
2.8551370633e-05 1.9265746804e+02
3.0519575375e-05 2.0538952246e+02
3.2623458537e-05 2.1896291050e+02
3.4872377000e-05 2.3343320831e+02
3.7276324292e-05 2.4885970308e+02
3.9845985157e-05 2.6530542301e+02
4.2592790123e-05 2.8283791542e+02
4.5528948249e-05 3.0152870802e+02
4.8667512601e-05 3.2145450607e+02
5.2022434829e-05 3.4269668357e+02
5.5608630646e-05 3.6534215121e+02
5.9442041675e-05 3.8948377530e+02
6.3539715484e-05 4.1522001870e+02
6.7919856519e-05 4.4265616781e+02
7.2601949796e-05 4.7190436255e+02
7.7606804552e-05 5.0308410510e+02
8.2956677943e-05 5.3632282853e+02
8.8675340521e-05 5.7175610629e+02
9.4788221759e-05 6.0952878952e+02
1.0132250463e-04 6.4979464785e+02
1.0830722749e-04 6.9271768628e+02
1.1577344412e-04 7.3847304297e+02
1.2375434744e-04 7.8724669001e+02
1.3228542230e-04 8.3923698963e+02
1.4140459825e-04 8.9465511323e+02
1.5115240239e-04 9.5372558004e+02
1.6157217033e-04 1.0166876338e+03
1.7271023535e-04 1.0837957217e+03
1.8461611762e-04 1.1553215294e+03
1.9734272791e-04 1.2315518861e+03
2.1094665863e-04 1.3127939718e+03
2.2548838751e-04 1.3993725644e+03
2.4103255419e-04 1.4916339896e+03
2.5764826569e-04 1.5899449245e+03
2.7540940209e-04 1.6946958683e+03
2.9439490754e-04 1.8062995870e+03
3.1468918314e-04 1.9251947042e+03
3.3638245077e-04 2.0518443842e+03
3.5957116052e-04 2.1867412406e+03
3.8435839815e-04 2.3304041038e+03
4.1085435078e-04 2.4833810138e+03
4.3917683070e-04 2.6462520933e+03
4.6945171198e-04 2.8196261960e+03
5.0181365805e-04 3.0041461734e+03
5.3640641272e-04 3.2004864812e+03
5.7338393526e-04 3.4093558125e+03
6.1291042948e-04 3.6314949429e+03
6.5516179893e-04 3.8676803226e+03
7.0032570511e-04 4.1187188080e+03
7.4860308086e-04 4.3854550847e+03
8.0020842142e-04 4.6687632874e+03
8.5537123960e-04 4.9695498729e+03
9.1433670605e-04 5.2887514652e+03
9.7736704629e-04 5.6273338980e+03
1.0447424138e-03 5.9862840746e+03
1.1167622870e-03 6.3666118823e+03
1.1937469244e-03 6.7693430109e+03
1.2760384707e-03 7.1955079384e+03
1.3640029356e-03 7.6461433679e+03
1.4580312418e-03 8.1222692428e+03
1.5585414367e-03 8.6248887469e+03
1.6659803223e-03 9.1549710659e+03
1.7808256671e-03 9.7134355854e+03
1.9035878358e-03 1.0301146145e+04
2.0348127000e-03 1.0918882307e+04
2.1750836167e-03 1.1567336483e+04
2.3250242230e-03 1.2247077544e+04
2.4853011128e-03 1.2958544113e+04
2.6566267479e-03 1.3702012006e+04
2.8397627175e-03 1.4477569330e+04
3.0355232302e-03 1.5285095416e+04
3.2447788399e-03 1.6124233045e+04
3.4684594721e-03 1.6994330028e+04
3.7075595465e-03 1.7894433458e+04
3.9631421678e-03 1.8823223636e+04
4.2363437824e-03 1.9778995867e+04
4.5283786021e-03 2.0759593425e+04
4.8405448906e-03 2.1763405470e+04
5.1742303185e-03 2.2785229812e+04
5.5309189484e-03 2.3822346601e+04
5.9121958911e-03 2.4870400249e+04
6.3197561540e-03 2.5923807403e+04
6.7554120906e-03 2.6977911757e+04
7.2211003862e-03 2.8025771951e+04
7.7188909054e-03 2.9060316376e+04
8.2509964705e-03 3.0072933454e+04
8.8197840378e-03 3.1054620867e+04
9.4277802855e-03 3.1995682927e+04
1.0077689774e-02 3.2885286208e+04
1.0772400536e-02 3.3711813888e+04
1.1515002698e-02 3.4462588024e+04
1.2308795936e-02 3.5124266030e+04
1.3157309033e-02 3.5682865584e+04
1.4064315706e-02 3.6123902532e+04
1.5033846721e-02 3.6432793119e+04
1.6070213169e-02 3.6595221744e+04
1.7178023234e-02 3.6597558516e+04
1.8362199888e-02 3.6427544959e+04
1.9628006965e-02 3.6075106140e+04
2.0981075242e-02 3.5533319850e+04
2.2427417338e-02 3.4799408780e+04
2.3973463103e-02 3.3875928054e+04
2.5626087561e-02 3.2771860837e+04
2.7392636985e-02 3.1503464931e+04
2.9280962423e-02 3.0094920178e+04
3.1299460679e-02 2.8578301644e+04
3.3457107842e-02 2.6992930304e+04
3.5763490945e-02 2.5383712400e+04
3.8228869438e-02 2.3798425336e+04
4.0864195675e-02 2.2284141659e+04
4.3681193143e-02 2.0882710653e+04
4.6507623047e-02 1.9696103675e+04
4.9334052950e-02 1.8709099149e+04
5.2160482854e-02 1.7891966440e+04
5.4986912757e-02 1.7209579273e+04
5.7813346386e-02 1.6625016651e+04
6.0639776289e-02 1.6102116075e+04
6.3466206193e-02 1.5608170399e+04
6.6292636097e-02 1.5115893026e+04
6.9119066000e-02 1.4605490348e+04
7.1945495903e-02 1.4063457931e+04
7.4771925807e-02 1.3484635724e+04
7.7598355710e-02 1.2873943397e+04
8.0424785614e-02 1.2237639476e+04
8.3251215518e-02 1.1588191214e+04
8.6077645421e-02 1.0942306529e+04
8.8904075324e-02 1.0317621344e+04
9.1730505228e-02 9.7283162249e+03
9.5353960991e-02 9.0392548922e+03
9.8977416754e-02 8.4373197132e+03
1.0260087252e-01 7.9319166734e+03
1.0622432083e-01 7.5225027604e+03
1.0984777659e-01 7.1970177420e+03
1.1347123236e-01 6.9384668704e+03
1.1709468067e-01 6.7290724838e+03
1.2071813643e-01 6.5496084090e+03
1.2434159219e-01 6.3809083288e+03
1.2796504796e-01 6.2073101259e+03
1.3158850372e-01 6.0178774209e+03
1.3521194458e-01 5.8050248036e+03
1.3883540034e-01 5.5683940965e+03
1.4245885611e-01 5.3135327386e+03
1.4608231187e-01 5.0492165530e+03
1.4970576763e-01 4.7846877594e+03
1.5332922339e-01 4.5291272854e+03
1.5695267916e-01 4.2912783924e+03
1.6057612002e-01 4.0779541111e+03
1.6419957578e-01 3.8927999012e+03
1.6782303155e-01 3.7363707461e+03
1.7144648731e-01 3.6068429581e+03
1.7506994307e-01 3.5004970956e+03
1.7869339883e-01 3.4120787741e+03
1.8231685460e-01 3.3354874868e+03
1.8594029546e-01 3.2647050886e+03
1.8956375122e-01 3.1944767160e+03
1.9318720698e-01 3.1206095874e+03
1.9681066275e-01 3.0402172151e+03
2.0043411851e-01 2.9520531612e+03
2.0405757427e-01 2.8566254820e+03
2.0768101513e-01 2.7558347199e+03
2.1130447090e-01 2.6523822885e+03
2.1492792666e-01 2.5493349615e+03
2.1855138242e-01 2.4497724411e+03
2.2217483819e-01 2.3563472987e+03
2.2579829395e-01 2.2709569642e+03
2.2942174971e-01 2.1946917714e+03
2.3304519057e-01 2.1278114948e+03
2.3666864634e-01 2.0696907606e+03
2.4029210210e-01 2.0190254297e+03
2.4391555786e-01 1.9742380616e+03
2.4753901362e-01 1.9336018153e+03
2.5116246939e-01 1.8951913682e+03
2.5478592515e-01 1.8571523863e+03
2.5840938091e-01 1.8181418246e+03
2.6203283668e-01 1.7774193859e+03
2.6565629244e-01 1.7346722638e+03
2.6927971840e-01 1.6899690530e+03
2.7290317416e-01 1.6437905156e+03
2.7652662992e-01 1.5969206432e+03
2.8015008569e-01 1.5503001303e+03
2.8377354145e-01 1.5049159995e+03
2.8739699721e-01 1.4616464556e+03
2.9102045298e-01 1.4211122037e+03
2.9464390874e-01 1.3836522672e+03
2.9826736450e-01 1.3493772597e+03
3.0189082027e-01 1.3181759691e+03
3.0551427603e-01 1.2897191882e+03
3.0913773179e-01 1.2635064026e+03
3.1276118755e-01 1.2389457577e+03
3.1638464332e-01 1.2154386952e+03
3.2000806928e-01 1.1924533362e+03
3.2363152504e-01 1.1695534514e+03
3.2725498080e-01 1.1464212062e+03
3.3087843656e-01 1.1228958278e+03
3.3450189233e-01 1.0989789923e+03
3.3812534809e-01 1.0747875383e+03
3.4174880385e-01 1.0505230601e+03
3.4537225962e-01 1.0264634085e+03
3.4899571538e-01 1.0029120528e+03
3.5261917114e-01 9.8012427789e+02
3.5624262691e-01 9.5829162257e+02
3.5986608267e-01 9.3756019490e+02
3.6348953843e-01 9.1801091999e+02
3.6711296439e-01 8.9963278434e+02
3.7073642016e-01 8.8233271215e+02
3.7435987592e-01 8.6596226093e+02
3.7798333168e-01 8.5034144418e+02
