z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.3140000000e+00        0.022445000000000007        0.67        0.14393529600000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0411724664e-06 5.0189341756e+01
7.5265597843e-06 5.3506296430e+01
8.0454074123e-06 5.7042464968e+01
8.6000218289e-06 6.0812342188e+01
9.1928695838e-06 6.4831349077e+01
9.8265845736e-06 6.9115964380e+01
1.0503986232e-05 7.3683765087e+01
1.1228084077e-05 7.8553416311e+01
1.2002097719e-05 8.3744899037e+01
1.2829469597e-05 8.9279489874e+01
1.3713875887e-05 9.5179842035e+01
1.4659249246e-05 1.0147011692e+02
1.5669793356e-05 1.0817611572e+02
1.6749998394e-05 1.1532527937e+02
1.7904669221e-05 1.2294689107e+02
1.9138937205e-05 1.3107222802e+02
2.0458292056e-05 1.3973450078e+02
2.1868594558e-05 1.4896923783e+02
2.3376118406e-05 1.5881422491e+02
2.4987564757e-05 1.6930984910e+02
2.6710096790e-05 1.8049905838e+02
2.8551370633e-05 1.9242764505e+02
3.0519575375e-05 2.0514453923e+02
3.2623458537e-05 2.1870174816e+02
3.4872377000e-05 2.3315482182e+02
3.7276324292e-05 2.4856289339e+02
3.9845985157e-05 2.6498908414e+02
4.2592790123e-05 2.8250064519e+02
4.5528948249e-05 3.0116926108e+02
4.8667512601e-05 3.2107131303e+02
5.2022434829e-05 3.4228830401e+02
5.5608630646e-05 3.6490693976e+02
5.9442041675e-05 3.8901983730e+02
6.3539715484e-05 4.1472550471e+02
6.7919856519e-05 4.4212913061e+02
7.2601949796e-05 4.7134278668e+02
7.7606804552e-05 5.0248567052e+02
8.2956677943e-05 5.3568515837e+02
8.8675340521e-05 5.7107684560e+02
9.4788221759e-05 6.0880487061e+02
1.0132250463e-04 6.4902345340e+02
1.0830722749e-04 6.9189640969e+02
1.1577344412e-04 7.3759824413e+02
1.2375434744e-04 7.8631491955e+02
1.3228542230e-04 8.3824482871e+02
1.4140459825e-04 8.9359891572e+02
1.5115240239e-04 9.5260140487e+02
1.6157217033e-04 1.0154913392e+03
1.7271023535e-04 1.0825233902e+03
1.8461611762e-04 1.1539677769e+03
1.9734272791e-04 1.2301126951e+03
2.1094665863e-04 1.3112643175e+03
2.2548838751e-04 1.3977475224e+03
2.4103255419e-04 1.4899083227e+03
2.5764826569e-04 1.5881133809e+03
2.7540940209e-04 1.6927528422e+03
2.9439490754e-04 1.8042400114e+03
3.1468918314e-04 1.9230129721e+03
3.3638245077e-04 2.0495358824e+03
3.5957116052e-04 2.1842994605e+03
3.8435839815e-04 2.3278243863e+03
4.1085435078e-04 2.4806587096e+03
4.3917683070e-04 2.6433817373e+03
4.6945171198e-04 2.8166040331e+03
5.0181365805e-04 3.0009693613e+03
5.3640641272e-04 3.1971498278e+03
5.7338393526e-04 3.4058567315e+03
6.1291042948e-04 3.6278295510e+03
6.5516179893e-04 3.8638459858e+03
7.0032570511e-04 4.1147132109e+03
7.4860308086e-04 4.3812740313e+03
8.0020842142e-04 4.6644016987e+03
8.5537123960e-04 4.9650028278e+03
9.1433670605e-04 5.2840102691e+03
9.7736704629e-04 5.6223863492e+03
1.0447424138e-03 5.9811193066e+03
1.1167622870e-03 6.3612138995e+03
1.1937469244e-03 6.7636936725e+03
1.2760384707e-03 7.1895873529e+03
1.3640029356e-03 7.6399314413e+03
1.4580312418e-03 8.1157443000e+03
1.5585414367e-03 8.6180326305e+03
1.6659803223e-03 9.1477655611e+03
1.7808256671e-03 9.7058662253e+03
1.9035878358e-03 1.0293191032e+04
2.0348127000e-03 1.0910525779e+04
2.1750836167e-03 1.1558557795e+04
2.3250242230e-03 1.2237857156e+04
2.4853011128e-03 1.2948864374e+04
2.6566267479e-03 1.3691855419e+04
2.8397627175e-03 1.4466922280e+04
3.0355232302e-03 1.5273948349e+04
